;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;ALL;Allstate Corp;2018-09-10T23:51:18Z;Insurance shares sink as Hurricane Florence looms;Category 4 storm menaces US east coast;Insurance shares took a hit on Monday as officials warned on the “potentially catastrophic” impact of Hurricane Florence, a major storm that could hit the east coast of the US as early as Thursday.But the likelihood of the rebuilding effort that could follow such a storm propped up home improvement companies such as Home Depot and Lowe’s.The National Hurricane Center upgraded Florence to a category 4 storm on Monday and described it as an “large and extremely dangerous hurricane”. Data showed its maximum sustained wind speed at 140 miles per hour (220km per hour) and the NHC said further strengthening was anticipated.A “life-threatening storm surge” is likely along portions of the coastlines of South Carolina, North Carolina and Virginia, the NHC said, with a storm surge watch likely to be issued for some of these areas by Tuesday.“On the forecast track, the center of Florence will move over the southwestern Atlantic Ocean between Bermuda and the Bahamas Tuesday and Wednesday, and approach the coast of South Carolina or North Carolina on Thursday,” the NHC said in an update on Monday afternoon.The S&P 500 insurance subsector was down 0.7 per cent during lunchtime trading in New York, weaker than both the broader financial sector and the benchmark S&P 500, which were both up about 0.3 per cent.American International Group and Travellers finished down by 1.8 per cent and 1.9 per cent, respectively while Progressive was off 1.6 per cent and Chubb dropped 0.8 per cent. The worst performers, though were Torchmark and Everest Re Group — which saw declines blow out to 4.5 per cent and 2.6 per cent, respectively, by the closing bell.Benefiting from a predicted need for homebuilding materials in any repair efforts, Lowe’s was up 2.6 per cent and Home Depot gained 2.2 per cent.
1;ALL;Allstate Corp;2018-07-19T18:15:20Z;Insurers hit by mounting US storm costs;Catastrophes cut nearly $1bn from profits at two of the sector’s largest companies;Two of the biggest US insurance companies have racked up hundreds of millions of dollars in losses from recent storms as extreme weather across the country continues its costly run.Travelers disclosed on Thursday that catastrophes had cost it $488m in the second quarter, a fifth more than a year ago. Weaker-than-expected second-quarter earnings sent shares in the $34bn-market-cap company down 3.2 per cent by late morning in New York.Allstate, meanwhile, estimated ahead of its second-quarter results that catastrophe losses last month alone cost it $417m due mainly to hailstorms in Texas and Colorado.The hailstorms and thunderstorms in June followed a series of other costly disasters earlier in the year, from mudslides in California to cyclones in the north-east of the country.Catastrophe losses in recent quarters “have exceeded our historical experience and our expectations”, said Alan Schnitzer, chairman and chief executive of Travelers. Referring to a list of catastrophes, he added: “We haven’t seen a string like that in the last decade.”Last year was the costliest on record for the industry. Hurricanes in Florida and the Caribbean, earthquakes in Mexico and wildfires in California cost insurers about $135bn, according to estimates from Munich Re earlier this year.Colorado was particularly hard hit by recent hailstorms, striking urban areas of Denver, Boulder and Colorado Springs, according to the insurance broker Aon.Combined economic losses from hail and windstorms last month were anticipated to cost almost $4bn. Of that, insurers expected to cover more than $3bn.“When these storms hit they can be quite severe,” said Randy Binner, analyst at B Riley FBR. “The severity of some of these storms and the damage they’re causing are running higher than we think they would.”He added: “It’s partly a function of the economy being good. There’s a lot of insured property out there.”The updates from Travelers and Allstate could signal weakness across the sector as earnings season gets under way.
2;ALL;Allstate Corp;2017-12-19T19:49:50Z;Insurers see tax plan hitting Bermuda and Lloyd’s of London;Foreign-owned groups say they will be forced to raise premiums by billions of dollars;Multinational insurers with US operations have hit out at the Republican tax plan that is on the brink of becoming law this week, claiming the reforms will make them victims of “America first” protectionism.With the House of Representatives approving the finalised bill on Tuesday, Lloyd’s of London and companies in Bermuda and continental Europe have emerged as big potential losers from a new tax on cross-border payments.The tax package gives corporations a generous cut in the headline corporate tax rate from 35 per cent to 21 per cent, but the insurers’ predicament highlights how some sectors have been left facing perceived penalties that frantic lobbying could not avert.Foreign-owned insurers say the tax on cross-border flows of insurance cash will make it harder for them to reduce their US tax bills and force them to ramp up premiums for consumers by billions of dollars a year.The regime, part of the set of tax laws hammered out by the House of Representatives and Senate, would also hit global banks and has prompted protests from European finance ministers.If the tax bill passes the Senate as expected, it will go to President Donald Trump’s desk to be signed into law as early as this week. Republicans are pursuing tax reform without any Democratic support and operating on a razor thin Senate majority.Kevin Brady, the lawmaker who chaired the committee that finalised the bill, gave foreign banks and insurers a glimmer of hope this week by saying he would listen to their concerns and advocate a future bill to make any necessary revisions.“We’re going to let businesses analyse the new tax approach, give us their feedback and we’ll listen from there,” he said in response to a question from the Financial Times.The winners of this debate are US insurers — they had the home court advantage, and they wonThe tax bill is a victory for domestic US insurers including Allstate, Berkshire Hathaway and Travelers, which argued that their international rivals — especially in Bermuda — had an unfair tax advantage. The Coalition for American Insurance said the package “helps to close the tax haven loophole in the current tax code that unfairly rewarded the transfer of profits and jobs overseas”.However, overseas-based insurers complain the new rules will make it more expensive for them to do business, and say that the added costs would have to be passed on to customers.Bradley Kading, president of the Association of Bermuda Insurers and Reinsurers, said studies funded by the association had found the reforms threatened to wipe out at least an eighth, or $18bn, of global reinsurance supply and would push up consumer premiums by $5bn to $20bn a year.“It’s quite a dramatic change,” he said. “The winners of this debate are US insurers — they had the home court advantage, and they won. The losers are US consumers.”The changes will impose a tax on premiums that US subsidiaries pay to their parent companies overseas. The premiums will be taxed at 5 per cent next year, rising to 10 per cent in 2019 and 12.5 per cent in 2026.Critics of the reforms include Evan Greenberg, chief executive of the insurer Chubb, which is listed in the US but headquartered in Switzerland. He has said “protectionist US insurers” were “seeking to upset the global insurance market that is working well for US consumers.”Insurance executives in London meanwhile said the reforms could slow down the flow of business to insurance centres outside the US. “It limits the amount of capital available and drives prices up,” said one.Domestic US companies complain the structures targeted by the reforms — so-called affiliate reinsurance — are designed to avoid taxes on business their foreign rivals conduct in the US. International insurers counter that there are sound non-tax reasons for such arrangements and that they help spread risk globally.Joseph Calianno, international technical tax practice leader at BDO, said there was a chance the measure could provoke retaliatory action from other jurisdictions.“There are a lot of different deductible payments that could be picked up here to related foreign parties,” he said. “There is a thought that they are discriminating against them.”In a statement Lloyd’s said: “At this point it is too soon to speculate on the impact of proposed US tax reforms on the Lloyd’s market. Ultimately this will vary considerably depending on the nature of a particular business.“Lloyd’s remains fully committed to the US market and ready to manage the impact of these reforms.”One senior executive at a European bank said the tax reform was “an irritant” but one that would not change the economics of having a US presence.The banker said the hit to foreign lenders seemed to be “an unintended consequence” of the tax changes, adding that it was “quite confident” of finding a way of structuring the capital instruments it had issued to its US arm from its European parent in a way that could allow it to avoid being hit by the changes.Additional reporting by Martin Arnold in London
3;ALL;Allstate Corp;2017-10-02T19:31:43Z;Global Bankers Insurance to buy Lincoln Benefit from Cowdery’s Resolution Life;;Global Bankers Insurance said on Monday that one of its affiliates has agreed to acquire Lincoln Benefit Life Company and certain other affiliated entities from British insurance entrepreneur Clive Cowdery’s Resolution Life.The acquired entities support a life and annuity business with more than $9.5bn in policy reserves and $572.4m in capital and surplus as of June 30.Lou Hensley, co-Ceo of Global Bankers said:Lincoln Benefit Life is our largest acquisition since our inception and we are excited for the future opportunities this transaction brings. Resolution Life’s management team, along with the Company’s employees, have built an impressive business with scalable operations. Although the Company has recently been in run-off, Lincoln Benefit Life is a strong brand name that we can leverage for new sales.The decision to sell Lincoln Benefit Life comes as Mr Cowdery’s Resolution Group has moved to consolidate its insurance activities across the US, UK and continental Europe into a single holding company.Mr Cowdery’s Delaware-incorporated vehicle first acquired Lincoln Benefit Life from AllState for $600m in 2013, when it was placed into run-off — accepting premiums on existing policies only.The deal, which is subject to regulatory approval, is expected to close in the first quarter of 2018.
4;ALL;Allstate Corp;2016-10-06T18:39:19Z;Florida insurer shares feel full force of Hurricane Matthew;;Shares in Florida insurance companies came under heavy selling pressure on Thursday as the industry braced for multi-billion dollar losses from Hurricane Matthew.By early afternoon in New York, Heritage Insurance was down 13 per cent and Universal Insurance 14 per cent. Both companies provide property and casualty cover in the state, writes Alistair Gray in New York.Authorities have warned of “catastrophic” damage if Matthew, classified as a category four storm, hits Florida directly. In a note on Thursday, analysts FBR Capital Markets said they were assuming losses for the insurance industry of between $3bn and $7bn.“This level of event will likely be notable for earnings of exposed insurers, but it is not a large event in terms of industry capital capacity,” wrote analyst Randy Binner.The most costly catastrophe in US history, Hurricane Katrina in 2005, cost the sector $49bn, according to the Insurance Information Institute. Sandy, which devastated the eastern seaboard in 2012, cost almost $20bn.Shares in larger, diversified insurers tracked down only modestly. Allstate, Travelers and Progressive were all down less than 1 per cent.
5;ALL;Allstate Corp;2014-04-28T16:48:16Z;Investors place bet on insurers’ catastrophe bonds;;Yield-starved investors are gambling that mother nature will be kind this year as they flock to a risky type of insurance-linked debt known as catastrophe bonds.Sales of “cat bonds” have hit a record level in the first four months of 2014 as insurance companies take advantage of investor appetite for a type of debt that offers higher yields as well as returns that are uncorrelated to other types of securities.The bonds allow insurers to transfer some of the risk that they will have to pay out billions of dollars in the event of a natural disaster taking place. While the debt offers juicy returns, investors are at risk of losing their principal if catastrophes such as earthquakes or hurricanes do occur.“The spreads on these bonds have been incredible and so that has attracted a number of investors,” said Jeff Mohrenweiser, senior director at Fitch Ratings. “There’s been greater demand, and insurance companies are now meeting that demand with increased supply.”A new deal offered last week by Allstate, the biggest publicly traded home and car insurer in the US, helped push year-to-date issuance of cat bonds to $4.75bn, according to figures from Artemis.bm, which collects data on insurance-linked markets.That is the highest amount sold in the first four months of the year since at least 1996, and takes the amount of cat bonds sold over the past 12 months to $8.4bn – not far from the $8.5bn 12-month record recorded in late 2006 and early 2007.The Allstate sale followed a $1.5bn offering by Citizens Property Insurance, in what will probably be the largest cat bond sale on record, according to Artemis.bm. The bonds cover citizens’ losses in the event of a hurricane in Florida.“The market has a lot of potential right now, definitely helped by the continued low pricing,” said Steve Evans, owner and editor of Artemis.bm.Allstate said last week that it would offer at least $600m worth of catastrophe bonds – more than twice the $250m the company sold last year.The new bonds, issued as part of Allstate’s Sanders Re shelf programme, cover lage storms in most of the US, as well as earthquakes in a handful of states.Losses on cat bonds have so far been relatively rare but can occur even if natural disasters do not materialise. A $250m cat bond sold by Allstate back in 2007 defaulted because of a derivatives agreement struck with Lehman Brothers, the failed investment bank, for instance.While cat bonds remain a small portion of the overall amount of net premiums written by the insurance industry, transferring some risk to investors through the debt has clear benefits for insurers, according to Mr Mohrenweiser at Fitch.“Typically insurance companies are going to get catastrophe coverage from the large reinsurers,” he says. “Cat bonds provide a little bit of a diversification benefit. They also help keep people honest because there are competing forces on pricing.”tracy.alloway@ft.comTwitter: @tracyalloway
6;ALL;Allstate Corp;2013-07-18T13:32:14Z;Timing good for Clive Cowdery’s first US deal with Resolution Life;;The list of British institutions that have failed to crack the US is a long one, but where Tesco and Marks and Spencer have fallen in the past, Clive Cowdery believes he has a successful future.In sealing his first deal in the US, the British entrepreneur signalled his ambition to do stateside what he first managed in the UK, namely to buy up and roll together a number of life assurance businesses and to run them for cash instead of hunting for new customers.Whether his new Delaware-incorporated company Resolution Life will be able to meet these expectations may come down to the force of Mr Cowdery’s personality as much as to the raw mathematics of insurance finance, says industry veteran Jim Sutcliffe.“What Clive is, apart from anything else, is a superb salesman,” says Mr Sutcliffe, a former chief executive of Old Mutual and now chairman of Sun Life Financial of Canada.The pair have known each other since the 1990s when Mr Sutcliffe was head of the British company Prudential’s UK arm and Mr Cowdery was an executive in Dublin. “He works bloody hard building relationships, and he is a great networker.”Resolution Life was revealed on Wednesday as the successful bidder for the Allstate subsidiary Lincoln Benefit Life, fighting off private equity bidders in what may be the first evidence of Mr Cowdery’s famous persuasiveness. Private equity deals are facing scrutiny from regulators, amid fears the new owners could take a more aggressive approach to investing the assets and put policyholders at risk – so Mr Cowdery’s task has been to persuade sellers that his deal is less likely to get gummed up in the approval process.Allstate was at pains to highlight Resolution’s “long-term view of the market” and its commitment to running Lincoln as a traditional life business rather than financial engineering.It is a record cheered by early investors in Resolution Mark One, though one experienced industry analyst argued the record of returns for public investors has been more mixed, and Mr Cowdery’s star has fallen in the UK.Public shareholders gained access to the first Resolution Life when in 2005 it mounted a reverse takeover of the listed group Britannic, and ultimately sold the enlarged company to Hugh Osmond’s Pearl Group in early 2008. But the share price return merely tracked that of the sector and the market.The second iteration was listed straight away, and a series of rights issues and corporate governance problems proved unpopular with investors.“It’s not a huge record, but as in all things timing matters,” the analyst says. “Cowdery was well ahead of anyone else. He identified in the life market that it was better to consolidate and merge the dead and the dying rather than focus on trying to win new business.”What Clive is, apart from anything else, is a superb salesmanIn the US, Mr Cowdery will not be a pioneer. A Birmingham, Alabama, company called Protective Life has been acquiring and running off life assurance businesses for more than three decades and has dramatically increased the size of its dealmaking in recent years as bigger owners have decided to exit the life industry.John Johns, chief executive of Protective, called Mr Cowdery “a very able fellow” and said the timing was good for Resolution’s arrival in the US.“If you look at the financial performance of traditional businesses here, even though interest rates are improving, it has not been very exciting from an investor standpoint,” he says.“There are strong parallels between the UK and the US markets, though consolidation is happening in smaller pieces and a bit more gradually here. The US is more fragmented than the UK was before Resolution came along.”If anything, with interest rates potentially on an upward path and investment returns set to improve, more of the 400-plus US life companies could be encouraged to hoist a “for sale” sign if management think they will not be accused of selling at the bottom. Add to that new, more onerous solvency regulations on financial companies, and foreign owners could be particularly keen to divest their US divisions, Mr Johns says.Mr Sutcliffe of Sun Life is among those who regards it as a tough sell to persuade US life company managers that their businesses are better off closed and sold than open and growing, since US investors are already focused on returns on equity. But he also predicted Resolution would have little trouble finding financial backing for deals from pension funds and, ironically, life assurance funds seeking a low double-digit return.He puts Mr Cowdery’s chances of success in the US at “60/40 in favour, and the reason it would work is because of his forceful personality”.
7;ALL;Allstate Corp;2020-04-25T03:00:02+0000;Cowdery in $600m deal for US insurer;;Clive Cowdery, who has twice set up companies called Resolution to consolidate the UK life insurance industry, embarked on a third act in the US with the $600m acquisition of Lincoln Benefit Life.Mr Cowdery’s Delaware-incorporated vehicle, Resolution Life Holdings, beat private equity bidders for the 75-year-old insurer, which was put up for sale by its parent Allstate.In a clue to Mr Cowdery’s transatlantic ambitions, Allstate said Resolution expected the deal would be the first of several. “Its strategy is to acquire a number of life insurance businesses in the US and focus on the needs of existing customers over the long run, rather than actively seeking new sales,” it said.In its statement announcing the deal, Allstate highlighted Resolution’s “consistent track record of establishing businesses in the UK” and its commitment “to retaining in-force customers and providing excellent customer experiences and support”.The vehicle is separate from Resolution Ltd, the UK-listed group which bought Friends Provident. It will be run by Weldon Wilson who, as head of the Swiss Re arm Admin Re, was a competitor to Mr Cowdery as he bid for life businesses.The Lincoln business being sold represented about 15 per cent of Allstate’s premium and contract charge income last year, totalling $341m.Resolution and Mr Cowdery declined to comment on Wednesday night.Allstate is remaining in the life insurance business, but focusing on policies sold by its own salesforce rather than indirectly through financial advisors. The company said it would take a $475m-$525m after-tax loss on the deal but it would free up $1bn in capital to deploy elsewhere.Sales of life businesses have come under the political and regulatory microscope in the US since private equity bidders began winning auctions, particularly for fixed annuity businesses, amid concern that financial buyers would increase risks to policyholders through more aggressive investment strategies.The sale of Sun Life Financial of Canada’s US life business to Guggenheim Partners has been delayed by an investigation into the deal by New York state superintendent of financial services Benjamin Lawsky, which has also raised nerves over Aviva’s sale of its US arm to Guggenheim Partners.The first Resolution project began in 2004 with the purchase of Royal & Sun Alliance’s life business and public shareholders gained access to the company when in 2005 it mounted a reverse takeover of the listed group Britannic, which had already closed to new business two year’s previously.The company was ultimately sold to Hugh Osmond’s Pearl Group in 2008 for about £5bn.The current Resolution Ltd has achieved less significant returns for shareholders and attracted the ire of UK regulators, who insisted Mr Cowdery drop a structure where the company was managed by his personal offshore company, Resolution Operations LLP.It bought Friends Provident, most of Axa’s UK life assurance operations and part of Bupa, but cancelled a plan to return £250m to shareholders and abandoned its acquisition strategy.
8;ALL;Allstate Corp;2013-05-14T18:21:31Z;Northern Ireland boost as US insurance company creates 650 jobs;;US insurance company AllState Corporation is creating 650 jobs at its technology division in Northern Ireland, providing a welcome boost to employment in a region suffering from a deep recession.The company said on Tuesday that it had already hired 200 staff and would recruit the remaining 450 new employees by 2016. The investment was supported with £4.5m grant aid from the government development agency, Invest Northern Ireland.Northern Ireland’s economy has fared worse than other regions because of the economic crisis in the Republic of Ireland and civil unrest sparked by Loyalist protests over the flying of the Union flag at Belfast city hall. Unemployment rose last month to 8.5 per cent, the same level as 1998. Youth unemployment is at record levels, with almost a quarter of those aged 18 to 24 out of work.The Northern Ireland executive is focusing on using the G8 summit, which is being held in Lough Erne, Co Fermanagh, as a means of attracting inward investment. It plans to ask G8 leaders to send trade delegations to an investment conference planned for the region in the autumn.Peter Robinson, First Minister in the Northern Ireland executive, welcomed the investment, which will bring AllState’s total workforce in Belfast, Londonderry and Strabane to more than 2,000 people.“This announcement of hundreds of new high quality jobs by a top Fortune 100 company sends out a clear and unequivocal message to international investors to have confidence in Northern Ireland as a competitive location from which to grow their business,” he said.AllState Northern Ireland, which was formerly known as Northbrook technology, develops software and technology solutions to its US parent AllState Corporation, a home and automobile insurer.
9;ALL;Allstate Corp;2020-04-03T03:00:05Z;Emerging market debt burdens may be sorely understated;Recent paper suggests overseas liabilities of EMs are greater than previously thought;For emerging economies, coronavirus struck first through the financial markets. Long before the numbers of cases and deaths in these countries began to spread alarm, many emerging markets experienced a sudden halt in foreign investment inflows.Overseas investors have taken $95bn out of EM stocks and bonds since late January, according to the Institute of International Finance, dwarfing the withdrawals that followed the onset of the global financial crisis in September 2008.As Covid-19 infections rise and fragile health systems struggle to cope, foreign investors may be low on the list of concerns for EM governments. But these outflows will have a big impact on the fiscal measures policymakers can bring to bear on the crisis.Emerging markets’ overseas liabilities, moreover, may be bigger than previously imagined. A paper published by Matteo Maggiori at Stanford and colleagues at Harvard, Chicago Booth and Columbia Business School suggests the true ownership of EM bonds by overseas investors is much greater than shown in standard data — in some countries, by many multiples.The paper also suggests that foreign holdings of shares issued by Chinese companies may be many times greater than the $160bn that shows up in US national accounts. Should US-China relations sour in the aftermath of the coronavirus crisis, these giant holdings could become a source of significant risk.Mr Maggiori and his colleagues question the normal practice of allocating securities in national accounts on the basis of the residency rather than the nationality of their issuer. It may make sense, for example, for a bond issued by a Brazilian subsidiary of Banco Santander to be added to the debt statistics of Brazil (the residency of its issuer) rather than Spain (the nationality of the issuer’s ultimate owner), because the bond’s proceeds are likely to be put to use in Brazil.But it makes much less sense for a bond issued by Petrobras International Finance Company, a Cayman Island subsidiary of the Brazilian oil group, to be added to the debt statistics of the Cayman Islands. Yet that is what happens in standard, residency-based financial statistics such as the US’s Treasury International Capital data (TIC) and the IMF’s Coordinated Portfolio Investment Survey (CPIS).Mr Maggiori says this results in a vast understatement of the investments by US, European and other international investors in emerging economies. So the academics developed an algorithm to reallocate the securities logged in the TIC and CPIS data according to nationality rather than residency.The results are startling. TIC data show that US ownership of Brazilian bonds at the end of 2017 amounted to $8bn, based on the residency of issuers. But restated by nationality, the total rises to $68bn. For Chinese bonds, the total rises from $3bn to $55bn. Mr Maggiori says the results sound a warning as the coronavirus crisis threatens to tip emerging markets into a debt crisis.“If we are going to see a wave of corporate defaults, it’s a risk worth thinking about that a lot of issuance has taken place offshore,” he said. “[Our work] shows that exposures are quite large.”What is also striking is the role played by tax havens such as the Cayman Islands. In the TIC data, of Brazil’s $59bn in reallocated bonds, $42bn were issued in tax havens. Of China’s $52bn, $44bn were issued in tax havens. The results also shine a light on the role of so-called variable interest equity structures in US investments in Chinese companies. VIEs allow US investors to hold shares in these companies, circumventing Chinese restrictions on foreign ownership of some operating businesses. But in these transactions what investors actually buy are shares in listed companies, generally resident in the Cayman Islands, that give them a claim on the profits of Chinese operating businesses.By reallocating such investments on the basis of nationality rather than residence, the paper shows that US “ownership” of Chinese companies at the end of 2017 was not $160bn, as shown in US national statistics, but $700bn. This puts it closer to the amount of Chinese ownership of US Treasuries, of about $1.1tn. This is significant because Chinese regulators are certainly aware of the smoke-and-mirrors act being carried out by VIEs. They could, should they wish, bring the practice to an end.Mr Maggiori is not suggesting they will. But he thinks the risk is worth noting. “You read a lot about the possibility of China dumping its US Treasuries but very little about the possibility of China imposing its own regulations. If we’re talking about one, we should certainly be talking about the other,” he said.jonathan.wheatley@ft.com
