;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;CCL;Carnival Corp;2020-04-07T03:00:20Z;Why cruise ship-backed bonds drew $17bn of demand;Carnival’s example could be copied by other asset-heavy groups in dire straits;It was the deal that sounded like an April Fools’ joke: bond investors falling over themselves to give a cruise ship company a boat load of money.Carnival Corporation, the world’s largest cruise operator, received $17bn of orders from bond investors last week for $4bn of debt backed by its fleet of ships. Carnival printed the secured bonds as part of a wider $6.25bn rescue financing on April 1.Coronavirus has killed passengers on several of Carnival’s cruise ships — incidents that have put the term “floating Petri dishes” firmly in the popular lexicon. And yet the company and its bankers constructed an appealing investment case for bond fund managers, potentially setting a template that other asset-heavy companies in dire straits could follow.It is not hard to see why Carnival needed the cash: it is having to endure an unprecedented global shutdown of the cruise industry.Even after raising billions in the capital markets and drawing down a $3bn credit line with banks, the company warned that it might run out of money in eight months, as it leaks a monumental $1bn of cash a month.So why the strong demand for the bond sale? The first thing to make clear is that the $17bn order book number is essentially nonsense.When a big bond deal gains enough momentum, it attracts hedge funds looking to buy a piece of the offering using borrowed money, which then sell it on almost immediately for a quick profit. Such funds are called “new issue flippers”, in the disdainful terms of portfolio managers at more staid investment firms.But these longer-term investors are not blameless either. Many of them increase their orders beyond what they actually want, in the hope of getting as big a piece of the pie as possible.If you needed any evidence of the distorting effect this has on the true level of demand, Carnival’s bonds fell below their issue price the next afternoon. So much for the $13bn of extra money that did not find a home in the sale.But while the order book number was undeniably inflated, Carnival’s bond deal was certainly a success. One reason for that is pretty straightforward: the Panama-incorporated company paid up.Carnival still somehow carries an investment-grade credit rating and yet it had to offer investors an annual coupon of 11.5 per cent to borrow for just three years. As the bonds were sold at a slight discount, the yield investors make is closer to 12 per cent — a rate more normally associated with companies in the lowest reaches of the junk bond market.If that is not enough, investors could get back more than the money they invested. If Carnival wants to retire the bonds before 2023, the company has to pay a substantial premium to investors. Given that it is paying a massive annual interest bill of more than $450m on these new bonds, if the cruise ship industry returns to any semblance of normality within the next year, the chances of an early repayment seem high.But what if it all goes wrong?Carnival assuaged investors’ concerns by offering them a lot of collateral: the $4bn in bonds are secured on $28bn worth of ships and other assets such as intellectual property.How is coronavirus taking its toll on markets, business, and our everyday lives and workplaces? Stay briefed with our coronavirus newsletter.Sign up hereThe value of these boats would be questionable if the cruise industry were to collapse entirely. But investors can still mark down their value severely and potentially get their money back, as bondholders share this collateral with less than $500m of other debt.Carnival had so much freedom to pledge its assets because its investment-grade rating meant it was previously able to borrow freely on an unsecured basis. The new bonds would rank ahead of $16bn of the company’s existing debt in a bankruptcy.This is not great for the company’s existing bondholders, which have just seen a new slice of debt layered ahead of them.Bonds are supposed to have safeguards against this happening — a phenomenon known as getting “primed” in debt markets parlance. But these restrictions often have big enough loopholes to steer one of Carnival’s cruise ships through, particularly in the borrower-friendly market for investment-grade bonds.Unsurprisingly, bond investors are now running the slide rule over the asset bases of other companies that have seen sharp drops in liquidity. Airlines are one obvious candidate, with European carriers such as easyJet and Ryanair still retaining investment-grade ratings.But now the taboo against paying up and pledging assets has been broken, you can expect that more companies will be willing to follow suit and “do a Carnival”.robert.smith@ft.com
1;CCL;Carnival Corp;2020-04-06T16:23:11Z;Saudi Arabia’s PIF takes 8.2% stake in cruise operator Carnival ;Rare sign of investor confidence in industry battered by coronavirus pandemic;Saudi Arabia’s Public Investment Fund has built an 8.2 per cent stake in struggling cruise operator Carnival, marking the Gulf fund’s latest high-profile direct investment after previous bets on companies such as Tesla and Uber.The PIF’s position amounts to a $430m stake based on the US-traded company’s share price, which rose 23 per cent on Monday, but is still down by almost 80 per cent this year.The PIF, which is used by Crown Prince Mohammed bin Salman to advance and diversify Saudi Arabia’s economic interests, revealed that it owned 43.5m shares in a regulatory filing signed by its head, Yasir al-Rumayyan, who is a close ally of the prince.The purchase marks a rare sign of investor confidence in an industry that has been battered by the effects of the coronavirus pandemic, which has killed passengers and left cruise ships pleading with countries to be allowed to dock.All big cruise operators have suspended operations until at least May and share prices have tumbled in response to their struggles. Carnival has said it will burn through $1bn a month even with all its ships in dock, including payouts on customer deposits for cancelled bookings and future committed ship orders.Last week it raised a total of $6.25bn in debt and equity from investors as it raced to secure funds to meet its cash needs for the next several months. The fundraising included the sale of $500m of new shares at $8 each.Multiple people with knowledge of that deal confirmed that the PIF did not acquire its stake through the offering. That means the PIF bought the stake in the open market, with an unknown purchase price. It did not own any shares in Carnival before the start of 2020. Shares in Carnival have fallen from $51 in January to less than $8 last week before rebounding to $10.44 on Monday afternoon.The PIF has had a mixed record in direct investing, with a 2016 bet on ride-hailing group Uber still trading well below the $62.5bn valuation it bought in.The fund’s now exited position in Tesla was revealed by the Financial Times in August 2018 and prompted its founder Elon Musk to make his “funding secured” tweet, which ultimately led Mr Musk and Tesla to face regulatory penalties. A person close to the Saudi royal court said: “Any investor should look at global opportunities — the lessons learnt from 2008, buy undervalued assets.”This person added that the PIF would be active in dealmaking in the coming weeks. “You will see a lot of acquisitions in the next few weeks. This is a good opportunity . . . keeping in mind their main effort right now should be geared to the domestic [economy].”Carnival declined to comment.
2;CCL;Carnival Corp;2020-04-03T11:22:13Z;Some holidaymakers can’t wait for their next cruise ;Operators such as Carnival have been battered by coronavirus but passengers are surprisingly stoical;"The world is frozen by the coronavirus pandemic. People are locked down. Industry is shut down. The final toll on business is unknowable. Optimistic economists, who last week were predicting a sharp rebound in the third quarter, are starting to sober up. Without a big advance in testing or treatment, normality might not return for a year or more. Surely nothing can preserve companies in a state of suspended animation for that long.Against this grim backdrop, however, consider the admirable resilience of two groups: cruise passengers and bond investors, who both think we might soon be floating on the high seas sipping piña coladas. This week, Carnival Corporation pulled off an audacious refinancing, raising $6bn from investors. The cruise line’s chutzpah is impressive. Against stiff competition, Carnival’s shares are among the worst-performing globally this year among companies worth more than $1bn, having fallen 85 per cent. As Carnival acknowledged this week in the “recent developments” section of the bond offering’s prospectus, it has experienced a few problems of late.First, coronavirus struck its Diamond Princess ship, which was then quarantined in a Japanese port; “a substantial proportion” of passengers were infected and some died. “Numerous” passengers and crew on its Grand Princess ship were infected too and some of them died. The infection has also spread on other Carnival ships, including Zaandam, Costa Luminosa, Ruby Princess, Costa Magica and Costa Favolosa. Some of those passengers have died, too, and some of those disease-ridden ships were left at sea with ports refusing to accept them.There’s a huge appetite from our customers to get back out thereCarnival has stopped all operations across its remaining fleet. It is trying to encourage passengers whose trips have been cancelled to forgo a refund and take a voucher for a future cruise, with generous amounts of credit for onboard entertainment. If enough passengers demand cash then the drain on liquidity could hasten the company’s demise. It is already at $1bn a month.To buttress its finances, Carnival had to offer debt investors an annual coupon of 11.5 per cent. But it is remarkable that it raised the money at all after the horrific experiences of so many passengers. As rival Norwegian Cruise Line noted drily last month, “coronavirus is also impacting consumer sentiment regarding cruise travel generally”.Nevertheless, bond investors are somehow betting that impact will be temporary and that cruise lovers will put the horror out of their minds. They might be right.During a trading update on Thursday, Saga, a UK-listed company that offers cruises targeted at the over-fifties on its two ships, Spirit of Discovery and Spirit of Adventure, highlighted the stoicism of its customers. Saga’s ships were 86 per cent full in March, better than normal, even as the pandemic engulfed more countries.“They were very keen to continue cruising right until the government effectively locked the sector down,” said chief executive Euan Sutherland. “Almost 60 per cent of them immediately rebooked cruises with us, so they didn’t ask for their money back, even with a period of uncertainty. They said, ‘right, when can I book again?’”Even for cruises scheduled for this autumn and early next year, Saga’s cabins are 80 per cent full. As Mr Sutherland said: “There’s a huge appetite from our customers to get back out there.”"
3;CCL;Carnival Corp;2020-04-26T00:16:19+0000;Carnival/rescue financing: any port in a storm;At the right price, even the most troubled companies have lifelines available;When a ship runs aground, everyone scrambles to the top deck. On Wednesday, Carnival Corporation raised more than $6bn, most of it in high-yield senior debt. That is meant to tide the cruise holiday company over. Lockdowns have curtailed summer holiday bookings and cruise liners now have a grim reputation for becoming quarantine ships. The centrepiece of the financing is a $4bn offering of five-year senior secured bonds priced at just under par with an annual coupon of 11.5 per cent. That juicy implied return attracted enough investors for Carnival to increase the offering from a mooted $3bn.Carnival’s physical assets — its fleet — are valued on its balance sheet at nearly $40bn. There should be more than enough collateral to cover the bonds. And even if, in a year’s time, these senior bonds fall a tenth in value, 12 months worth of coupons will allow buyers to break even on their investment.Carnival business has ceased to exist in the short term. It looks questionable longer term. The lesson? At the right price, even the most troubled companies have lifelines available.How is coronavirus taking its toll on markets, business, and our everyday lives and workplaces? Stay briefed with our coronavirus newsletter.Sign up hereStill, Carnival had advantages. Because it had been an investment grade company, its existing $12bn pile of loans and bonds did not have much in the way of covenants preventing it from adding senior debt. It had collateral, too. Many other troubled companies have already played those cards. Their chances of a cash infusion are far lower.Down in steerage, Carnival got a rougher reception. It sold $500m worth of common shares on Tuesday at an approximate 85 per cent discount to where the stock traded in mid-January. On Wednesday, Carnival’s market worth was about $6bn, with $20bn of debt above that common equity.Carnival also sold $1.75bn of convertible bonds at such a modest premium that Carnival’s shares had exceeded the exercise price just two days ago. Those bondholders are entitled to a remarkable 5.75 per cent annual coupon.With rescue financings floated on such needy terms, the mere hint of a turnround will be enough to turn them into lucrative trades.If you are a subscriber and would like to receive alerts when Lex articles are published, just click the button “Add to myFT”, which appears at the top of this page above the headline.
4;CCL;Carnival Corp;2020-04-01T14:48:08Z;Carnival increases size of rescue bond sale to $4bn;Orders for debt package at world’s biggest cruise operator smash $10bn;Carnival Corporation is increasing the size of a rescue bond sale backed by its cruise ships to $4bn after drawing strong demand, even as the world’s largest cruise operator warned it might only have enough cash to stay afloat for eight months.The Panama-incorporated company launched a $6bn fundraising package on Tuesday, tapping debt and equity investors for liquidity after coronavirus killed passengers on several of its cruise ships and had a severe impact on future bookings. Having initially sought to raise $3bn in three-year bonds secured on the majority of its ships, Carnival announced on Wednesday that it was raising this to $4bn. Two investors said that the deal had already received more than $10bn of orders. However the price Carnival is paying is steep. The group will offer investors an annual coupon of 11.5 per cent, equating to over $450m in interest costs a year, and will issue the bonds at a slight discount to face value. While the debt carries an investment-grade rating and will be backed by cruise vessels and other assets that Carnival says are worth more than $28bn, this interest rate is more normally associated with companies in the lowest reaches of the junk bond market.“This is a high investment-grade company that is now borrowing at usury rates,” said John McClain, a portfolio manager at Diamond Hill Capital Management. “Things have changed quickly. If you are borrowing at 12 per cent then you are fairly desperate.”The cruise ship operator has also set out plans to raise $1.75bn of bonds that can convert into shares and $1.25bn in newly issued stock, although two investors said on Wednesday that they expected Carnival to cut back the size of the equity offering to $750m. Carnival did not immediately respond to a request for comment. In a memorandum to bond investors Carnival issued a series of stark warnings about its ability to withstand an unprecedented international shutdown of the cruise industry.“We have never previously experienced a complete cessation of our cruising operations, and as a consequence, our ability to be predictive regarding the impact of such a cessation on our brands and future prospects is uncertain,” the document said. The original $6bn funding plan would have given Carnival about $9.5bn of cash on its balance sheet, although the size of the overall deal might now be higher. However, the bond document says that this is only sufficient to fund its “liquidity requirements over the next eight months” — until the end of November — as the company needs about $1bn of cash a month.While investors have been drawn to the bond sale due to its collateral, which includes 86 of Carnival’s 105 cruise ships, the document warns that the market value of the fleet has been “adversely affected” by the shutdown in the cruise industry and that the market for used vessels is “small”.Carnival is turning to investors for funding as it is unclear whether it will be able to benefit from the $2tn US stimulus deal signed last week. Even though the group has its headquarters in Florida and pays US tax, it is incorporated in Panama, which may impede government support.Carnival said on Tuesday that although “on the surface” it appeared that the company would not be able to apply for it there were aspects of the package that “require further investigation”.Additional reporting by Alice Hancock and Arash Massoudi
5;CCL;Carnival Corp;2020-03-31T15:30:57Z;Carnival looks to raise $6bn to stay afloat;Largest operator has cancelled all cruises after passengers contracted Covid-19;"Carnival Corporation is looking to raise $6bn to stay afloat, paying a hefty premium to investors after coronavirus killed passengers on several of its cruise ships and severely hit future bookings.The world’s largest cruise operator said on Tuesday it intended to raise at least $3bn of three-year bonds secured on part of its fleet of cruise ships, $1.75bn of bonds that can convert into shares and $1.25bn in newly issued stock.Several investors said Carnival had indicated it might pay a coupon of above 12 per cent on the senior secured bonds, an incredibly high interest rate for a company that still has an investment-grade rating.Carnival’s US-listed shares have lost about three-quarters of their value this year, as it reels from the impact of coronavirus on its business.More than 3,700 passengers were quarantined for more than 20 days off the coast of Japan — some in windowless rooms — on the Carnival-owned Diamond Princess after the virus erupted on the ship. Six have subsequently died.Carnival is taking a big leap here. A lot of companies would not consider this deal. They are telling you they want financing above all else.”The World Health Organisation gives the 712 cases on the Carnival-owned Diamond Princess cruise liner their own row in its tally of the disease, which otherwise contains only countries. The number of cases is similar to those recorded in Hong Kong.Another of its ships, the Grand Princess, was stranded off California for five days while US authorities decided whether to allow the liner, which had 21 reported cases of the disease, to dock; two of those passengers have since died. Meanwhile another four passengers died aboard the Zaandam, a Carnival ship denied entry to multiple countries whose owner is now pleading to be allowed to dock in Florida.Carnival temporarily cancelled all cruises this month and reported a sharp decline in future bookings, even after the company slashed its prices. It said it had made a loss, including gains and losses on ship sales and restructuring costs, of $781m in the three months to the end of February compared with income of $336m in the same period last year.Shares in Carnival rose 10 per cent on news of the potential financing. Bank of America, Goldman Sachs and JPMorgan are leading it, with all three of the US banks also among a wider group of lenders backing a $3bn revolving-credit facility that Carnival drew down earlier this month.“Carnival is taking a big leap here,” said Christopher Yanney, co-founder of CKC Capital. “A lot of companies would not consider this deal. They are telling you they want financing above all else.”Carnival’s options may be limited by the fact it is incorporated in Panama, which might bar it from US government support even though it is headquartered in Florida and pays US tax. Carnival said that although “on the surface” it appeared that the company would not be able to apply for government support, there were aspects of the package that “require further investigation”. How is coronavirus taking its toll on markets, business, and our everyday lives and workplaces? Stay briefed with our coronavirus newsletter.Sign up hereCarnival added that the pricing on the bond, which is due to close on Wednesday, had not yet been fixed.While the company paid an interest rate of just 1 per cent to raise a $600m 10-year bond in October, this debt is now trading at little over half its face value as investors have looked to cut exposure to the stricken cruise ship industry. The new senior secured bonds Carnival is offering to investors would rank ahead of these existing unsecured bonds in a bankruptcy.Additional reporting by Eric Platt and Arash Massoudi"
6;CCL;Carnival Corp;2020-03-24T15:18:47Z;Coronavirus/cruise lines: battening down;The industry has voluntarily suspended sailings for a month but that could be extended;Where extraordinary happens, boasts Royal Caribbean in its adverts. Cruise ships have proven extraordinary at one thing: spreading coronavirus. In Australia, infected passengers who recently disembarked from the Ruby Princess led to the largest jump in the country’s confirmed virus cases so far on Tuesday. In turn, this industry has its own financial ills to battle.Share prices in major cruise companies have crashed 80 per cent this year. The industry has voluntarily suspended sailings for a month but that could be extended. Cruise lines would run out of cash within three to five months of no sailing, analysts say. London-listed Carnival, the world’s biggest operator, had $20bn of revenues and nearly $3bn of after-tax earnings last year. It already forecasts a net loss this year.Creditors nervously monitor Carnival’s ability to meet its interest payments. Interest coverage is a key debt covenant. Its loan covenants require that ebitda covers its interest payments by more than three times. Tapping into its $2.8bn credit facility last week gave a hint of its growing desperation. With a three-month pause to cruising — entirely possible at this stage — Carnival would breach its covenant, say analysts at Morgan Stanley.Cruise lines, with their massive ships which can cost well over a billion dollars, are capital intensive. On current analyst estimates, Carnival has no free cash flow until 2022. Royal Caribbean too will feel the pinch given it has over $4bn of investment commitments this year. On Monday, it arranged and drew down a $2.2bn one-year credit facility. Despite the industry’s voluntary hiatus, most should expect the big ships to remain docked for longer. Reputational risk is paramount. Cruise operators do rely on passenger loyalty, but in fact new customers are the key to growth. Unfortunately, the industry’s big bet was on China’s tourists. No doubt, the coronavirus has forced that growth market off its moorings.Lex coronavirus advice exchange. We invite Lex readers to swap advice, queries and opinions. Please send us your thoughts via lexfeedback@ft.com. You are welcome to use a nickname sign-off/anonymous email. We plan to publish curated highlights.Suggestions and questions are most welcome on areas core to Lex's readership of corporate executives, bankers, investors, entrepreneurs and professional advisers. These include staying solvent, business continuity, staff welfare, investment or the practicalities of running complicated businesses remotely.We remain open to reader posts in the comment section below Lex articles, this one included. Thank you.
7;CCL;Carnival Corp;2020-04-26T00:16:19+0000;Will cruise ships survive and what will be left of them?;It is no surprise that virus-hit Carnival is the FTSE’s worst performer this year;Carnival is an oddity. The London listing of the Miami-based cruise line operator is a legacy of its 2003 hostile takeover of P&O Princess Cruises, which it won on a pledge to be dual-listed.The stock also stands out as the FTSE 100’s biggest faller in the year to date, down more than 60 per cent. As of Friday morning the aggregate value of Carnival’s UK and US lines was £2.5bn ($3.2bn) lower than when the P&O takeover took effect almost 17 years ago, when the combined fleet was 62. It is now 104.Judging whether this sell-off is an overreaction demands answers to two key questions: how long it will take for coronavirus to be brought under control, and what will be left of the industry when that moment comes. Until that becomes clear there is no possibility of anchoring forecasts and calculating future values. Investing becomes gambling. And, as this week’s record-breaking falls show, most investors are reluctant gamblers.The viral outbreak has become an existential crisis for the industry. Carnival’s competitors have fared even worse so far this year, with Wall Street-listed Norwegian Cruise Line and Royal Caribbean each down about 80 per cent.Cruises have been targeted because no sector looks as poorly positioned to cope. The disease has spread through the winter “wave season”, the industry’s key quarter when ship owners race for early bookings so they can at least break even for their year’s scheduled sailings. Demand and capacity are often hard to match as ships are typically delivered up to five years after ordering and have price tags with nine figures.Then there is the much-discussed problem of demographics. About one in seven cruise ship passengers is over 70, putting them in the highest risk category for Covid-19. After decades of stories about outbreaks of norovirus, the operators already had a poor reputation for keeping them healthy.A Covid-19 case on Carnival’s Diamond Princess is used by epidemiologists to benchmark incubation rates, having resulted in 700 infections and eight deaths. Carnival this week announced it would suspend for two months all sailings under its Princess brand, which accounts for about a fifth of its fleet and targets older holidaymakers wanting longer tours. While the action should protect the Princess brand from further damage, it may not help the long-term viability of its product.One certainty is that 2020 is a write-off. Booking cancellations were reported to be running at around 50 per cent even before Italy’s nationwide lockdown and the US’s ban on incoming European travel.Offers of big discounts on future bookings have allowed operators to keep hold of customers’ deposits, delaying any crunch on working capital. But increasingly generous terms and flexibility in the customers’ favour could be storing up cash flow problems for later. US president Donald Trump has talked in vague terms about state assistance but what that means in practice — if anything — is anyone’s guess.Even if cruise line operators are somehow treated as too big to fail, it is not obvious why they are candidates for bailouts. Carnival’s debt covenants, in common with its main peers, are framed mostly around balance sheet values. Eroding these buffers would take deep writedowns of equity value and significant losses over several years, which does not look very likely, as managements move into cash protection mode. There may well be failures among the smaller, weaker players. But that would make an already cartel-like industry even more concentrated.In 2016 Macquarie estimated a replacement cost for Carnival’s fleet of nearly $54bn, more than twice the company’s current shrunken enterprise value of just over $21bn. In any assumption other than an L-shaped recovery, the risks of failure are not yet that extreme.So can a valuation argument be built around those facts alone? Potentially — with the caveat that everyone to try so far has regretted it very soon after. The first quarter has been one that proves the dictum that no matter how bad things are, they can always get worse.For some, however, it looks like a gamble worth taking. James Hardiman, analyst at Wedbush Securities, says that while his targets for the stock “feel somewhat like an exercise in futility”, there is logic behind them.“If these companies do not go out of business, they will most likely double or triple in value over the course of the next 12-18 months,” he wrote in a report this week. “While speaking in these terms is understandably nauseating to some investors, others will eventually see this as a big moneymaking opportunity.”* This column was amended on 14 March to correct the prices of ships
8;CCL;Carnival Corp;2020-01-31T11:00:31Z;Coronavirus/cruise lines: the weaker vessels  ;The industry faces choppy waters that will continue beyond the current epidemic;The outbreak of the new coronavirus shows how heftily fear of the unknown outweighs mundane dangers. Consider the rout in US-listed shares of cruise lines. The stocks, notionally encapsulating all discounted future returns, are down 8-14 per cent. Chinese passengers occupy only 5 per cent or so of berths for Royal Caribbean, Carnival and Norwegian Cruise Line. The hit from cancelled voyages may be limited to a single sailing season.The sell-off looks disproportionate. That would hold true even accounting for broader impacts on the cruise business. Americans are, for example, less inclined to travel anywhere abroad during a distant epidemic. Moreover, the coronavirus has erupted during the peak period for bookings.Cruise shares fell a tenth during the 2003 Sars outbreak, recovering in just months, Morningstar analysts note. The trajectory of stocks may be the same this time. The difference is that the cruise industry, like the ships themselves, is now enormous.Before the coronavirus appeared, cruise liners were set to carry 32m passengers in 2020. That compares with 13m in 2004, according to the Cruise Lines International Association. Cruising is snobbishly dismissed as foreign travel for folks afraid of going abroad. Variety, comfort and the falling cost of cruise holidays have powered strong demand, even so.Demographics help. Ageing baby boomers are as inclined to book a cruise as they once were to hitchhike to Kathmandu. For newly-prosperous Asians, cruising is an unthreatening way to sample the novelty of foreign travel.Unfortunately, scale has disadvantages. Big cruise ships cost $500m and the fleet is growing 7 per cent a year, holding down prices. Returns on assets chug along at about 5 per cent annually.Shares trade at a discount of almost half the US average. Two issues menace the sector as oppressively as the liners that dwarf Venice as they pass. First, most ships are propelled by high-emission fuel oil. Second, hostility to passengers is growing in cities regularly swamped by them. These obvious negatives are better reasons to steer clear of cruise lines than the enigmatic coronavirus.If you are a subscriber and would like to receive alerts when Lex articles are published, just click the button “Add to myFT”, which appears at the top of this page above the headline.
9;CCL;Carnival Corp;2020-04-17T03:30:43Z;NMC scandal proves a boon for global advisers;The UAE-based healthcare group’s troubles have amplified concerns about local regulators;It took four decades for NMC Health to ascend from its humble origins as a small clinic founded by Indian entrepreneur BR Shetty to its pinnacle as a FTSE 100 favourite.It took less than four months for the success story of the largest private healthcare provider in the United Arab Emirates to sour after short-sellers questioned NMC’s debt and cash position last December. Angry denials quickly collapsed as an independent investigation triggered a series of damaging revelations that saw NMC admit evidence of fraud and more than $4bn of undisclosed debt.Earlier this month, NMC’s major creditor, Abu Dhabi Commercial Bank (ADCB), successfully applied to a UK court to place the London-listed business in administration. Restructuring consultancy Alvarez & Marsal has taken over management of the hospitals and clinics, replacing the entire board.“Clearly something has gone very wrong with the management and oversight of this company,” said Judge Sebastian Prentis at the hearing.The unfurling scandal has been lucrative for consultants, with boutique investment banks coming in to advise the company’s management, shareholders and creditors.The appointment of Alvarez & Marsal to handle the UK administration comes after the previous management brought in investment bank Moelis & Co and accountancy firm PwC to assist them with debt restructuring and operational advice as NMC sought a debt standstill. Shareholders, such as Mr Shetty, have also engaged their own advisers, including investment bank Houlihan Lokey, to steer them through the situation.The crisis at the UAE’s largest private healthcare provider has coincided with the onset of the coronavirus pandemic. “The turmoil at NMC couldn’t come at a worse time given the growing Covid-19 crisis,” says one healthcare consultant. The number of cases had risen by Wednesday to more than 5,300, with 33 deaths.The Gulf state has introduced tight restrictions on movement, with Dubai imposing a 24-hour curfew that requires residents to apply for a permit to leave their homes to collect essentials. A mass testing programme has involved opening 13 drive-through testing centres across the seven-emirate federation, as well as the construction of a laboratory in Abu Dhabi that can assess tens of thousands of samples a day.While some non-essential NMC facilities have closed because of the nationwide lockdown, one person close to the company says any hospital and clinic that can serve patients is staying open. NMC has more than 2,200 beds and 2,000 doctors in 200 facilities across the UAE.The company’s former management attempted to block the administration effort, arguing that such a move would destabilise the business at a critical juncture. Alvarez & Marsal quickly wrote to assure staff that the administrators would strive to allow medical staff to deliver healthcare efficiently, including a commitment to pay salaries on time. NMC struggled to meet February payroll.Clearly something has gone very wrong with the management and oversight of this companySome local healthcare executives believe that the government would have intervened if it feared a shortage of intensive care beds. As it is, Dubai alone already has up to 5,000 available for Covid-19 patients and can handle more than 10,000 with the construction of two field hospitals. It also plans to convert deserted hotels into medical facilities if the need arises.“The government has a full handle on the number of intensive care beds needed,” says one healthcare executive. “If they needed the hospitals, they would have acted differently on NMC.”Alvarez’s three joint administrators working on NMC are all senior managers based in the UK, rather than in the consultancy’s UAE office. In a letter to staff, Richard Fleming, managing director of Alvarez & Marsal Europe, said this was because NMC is registered in the UK.At the administration hearing, the judge expressed his confidence that the new management, backed by fresh funding, would be able to keep NMC a going concern. ADCB has pledged to provide new working capital facilities.Yet the scandal has once again tarnished the UAE’s reputation as a commercial centre. Coming less than two years after the fall of Abraaj — a Dubai-based private equity group that collapsed when it was accused of misusing investor money — it has intensified concerns about local regulators’ capacity to deal with such complex cases.Abraaj started to unravel when overseas investors in the group’s healthcare fund raised the alarm on its alleged use of their money for internal purposes, rather than investments. Alissa Amico Kole, managing director of the Govern Center, which advises on corporate governance, points out that the original whistleblower on NMC’s financial problems — research firm Muddy Waters — also came from outside the region.To bolster local ability to handle such crises, Nasser Saidi, a governance consultant, says the financial regulator’s powers could be expanded into a supervisory body to screen regional companies seeking to list abroad. He also believes that a UAE version of the UK’s Companies House — providing information on corporate ownership and financials to the public — would benefit transparency.While the Abraaj scandal damaged the fundraising prospects of the Middle Eastern private equity industry, NMC threatens to do likewise for UAE companies seeking to access the deep pools of capital in western markets.“The level of scrutiny for companies from here will be off the charts,” says one investment banker.
