;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;CTL;Centurylink;2019-03-04T15:23:18Z;CenturyLink finds internal controls ‘weakness’ in $34bn Level 3 deal;US telecoms group delays filing annual report as it sees need for extra auditing;CenturyLink, the US telecoms company, has delayed the regulatory filing of its annual report, citing “material weaknesses in its internal controls” related to its acquisition of Level 3 Communications in 2016.The Louisiana-based telecoms company said that it does not expect to report any material changes to its published results for 2018 but that it needs to conduct additional auditing and testing of its controls regarding revenue recognition and how it values Level 3 assets and liabilities.“The principal reason for the delay is that recently identified material weaknesses in internal controls over the company’s revenue recording processes and the procedures for measuring fair value of assets and liabilities assumed in connection with the Level 3 Communications acquisition have created the need to conduct additional review and testing with respect to those processes prior to finalising the assessment and the audits of the effectiveness of internal control over financial reporting as of December 31 2018 and of the company’s financial statements as of and for the year ended December 31 2018,” the telecoms group said in its statement to the Securities and Exchange Commission.CenturyLink, traditionally a long-distance phone company, paid $34bn for Level 3, a dotcom boom darling. The deal made it one of the largest enterprise telephony providers in the US and transformed it into a global internet player as it took over Level 3’s international network. Its shares have more than halved since.In February, it said that revenue for the year fell to $23.4bn from $24.1bn while it recorded a net loss of $1.7bn compared with a $1.5bn net profit in the year before. It reduced its net debt to $35.4bn from $37.1bn.
1;CTL;Centurylink;2017-11-28T05:00:46Z;Private equity funds find strength in numbers;Club deals are back in fashion but not all investors are happy;Private equity groups are again teaming up to buy high-priced businesses in so-called club deals as global investors seek to share the mounting costs as well as the risk of acquiring assets at an uncertain part of the economic cycle in some regions.But while the strategy may make sense for investment managers, clients among the large institutions are becoming concerned. These private equity partnerships can increase exposure to a single deal through different managers, they say, and leave the private equity firms less able to influence the business directly if something goes wrong.“[We make] majority control private equity investments in North America and Europe,” says Mark Redman, global head of private equity at the Ontario Municipal Employees’ Retirement System (OMERS).“Why specifically majority control? As an investor you need to retain the ability to make meaningful changes effectively, efficiently and quickly. If you invest as part of a club deal it can be significantly harder to do that.”Club deals were popular during the frenetic years that preceded the financial crisis but fell out of favour when investors — stung by losses incurred in the crash — pushed back to minimise the risk when they were invested in more than one fund. Falling prices helped make one-fund deals more manageable.People are happier working together. You can diversify the deals you do and can do bigger dealsBut some advantages have always been clear for the industry, and in particular at a point in time whe n prices are again at a level equalling the previous boom. Multiples paid for assets are on average as high as those in the lead up to the financial crisis, according to Preqin, the data provider.This has led to a resurgence in recent years of deals involving two or more private equity groups. According to Preqin, deals made by two or more private equity firms grew from 247 in 2015 to 270 last year and there have been 160 so far this year.“Some of the deals are much bigger now and the equity cheques to do this can’t be too concentrated on one single transaction,” says Marco Compagnoni, a senior partner at Weil, Gotshal & Manges.“People are happier working together,” adds Mr Compagnoni. “You can diversify the deals you do and can do bigger deals.”Executives point to the success of recent auctions, including the sale of Stada, the German maker of generic Viagra, which was acquired by Cinven and Bain Capital, two buyout funds.After a difficult takeover process, the consortium completed their €4.1bn takeover over the summer, with the deal becoming Europe’s largest buyout in four years.Earlier this year, Advent International and Bain Capital signed a deal to buy Concardis, a German payment processing firm, valuing the company at €700m.Some auctions draw multi-fund consortiums, vying with each other in broad groups. GTCR, Charlesbank Capital Partners, Berkshire Partners and Stonepeak Infrastructure Partners teamed up to bid on a data business unit of CenturyLink, which was eventually sold to a group led by Medica Capital and BC Partners for about $2.8bn.As private equity groups grow comfortable with club deals again, some are even predicting further bids from three or more groups in the next year. Any loosening of antitrust rules in the US — notwithstanding the specific difficulties experienced by AT&T and Time Warner— could lead to another round of mega deals.“You had three or four groups partnering in the crisis,” said a London-based banker who has worked on multiple auctions advising private equity firms. “I can see this going forward because of all the capital that has been raised and the need to deploy it.”Executives at buyout funds say that their chances in forthcoming high-profile, high price auctions could be improved, even as they seek to spread their bets.Sanofi, the French drugmaker, is seeking to sell its European generic drug business for about €3bn, drawing interest from a consortium formed by Cinven and Bain Capital. A decision on the buyer is expected in the next few months.Akzo Nobel’s specialty chemicals unit is also for sale, with a price expected at about €9bn. Given its size, buyout funds KKR and CVC have teamed up to bid for the asset, people familiar with the move said. The company said it hoped to sell the unit by April next year.Rival consortiums have formed to bid for Unilever’s spreads business.Consortium building is not always easy, however. Private equity owners need to show a united front from the onset or they risk losing out on deals. “If you look like a strange group of people that got together and cracks start to appear, a seller may decide the bidder is flaky”, says Mr Compagnoni.Club deals have also, in the past, drawn regulatory scrutiny, with accusations that groups have teamed up to bring down asset prices. In 2006, the US Department of Justice, concerned with bid rigging, launched an investigation of private equity firms in relation to their participation in consortiums. Carlyle, Blackstone, TPG collectively paid more than $300m to settled claims without admitting these were true.Of greater immediate concern is that some club deals have recently gone sour, including the recent collapse of Toys R US, a 69-year old toy retailer owned by a consortium that included KKR and Bain Capital.When filing for bankruptcy, the company attributed its demise partly to “expensive debt service” and “unrelenting competition” from online and brick-and-mortar retailers.You have to choose your partners very well. Otherwise you can risk falling out in the future when it comes to strategic questionsThe collapse led to both private equity groups and Vornado Realty Trust to lose out on the $1.3bn of equity they sank into the retailer. However, the losses were offset by the more than $360m in fees.The investors had disagreed over the timing to sell of the toy seller, according to one person familiar with the situation. KKR and Bain Capital declined to comment.In light of these risks, large institutional investors are speaking out against club deals, worried that co-owner structures make it less easy to influence a business strategy or the investment exit timetable.Private equity firms need to chose partners wisely and make sure there is alignment both when they buy and sell, say advisers.“You have to choose your partners very well. Otherwise you can risk falling out in the future when it comes to strategic questions and growth plans,” says a veteran adviser to buyout funds.“Groups can disagree on when to sell a business because of the different times at which they raise money from investors, for example. Interests need to be aligned.”
2;CTL;Centurylink;2017-11-15T18:32:47Z;US high-yield bonds: junkyard dogs;Stock investors better start paying closer attention;It is not yet a stockpicker’s market. But suddenly it has become a moment for junk bond whisperers. Key US high-yield bond indices have fallen the most this month since January 2016, accompanied by sharp outflows from US mutual and exchange traded funds. There is no macroeconomic shock. But weak earnings or other company-specific hiccups, particularly in the telecoms sector, have forced fixed income investors to reckon with the massive rally in high yield debt. And it is a warning about complacency in equity markets.Conceptually, stockholders stomach the first loss at struggling companies. Still, credit investors tend to note the subtle shifts in the prospects of a business. In recent weeks, sentiment has soured on the heavily-indebted telco sector, particularly at Sprint, CenturyLink, and Frontier Communications. These companies have heavy capital spending burdens funded by a junk bond binge.Since late October, the Bank of America high-yield index spread has widened by nearly 50 basis points, signalling the increased risk premium bond investors demand. It is a sharp rise. But this measure has only risen to 384 basis points, only slightly above the average spread for 2017. During the high-yield panic in early 2016 that spread jumped to nearly 900 basis points.By any reasonable measure, junk bonds remain pricey. Companies that least deserve the benefit of the doubt in the long-running risk asset rally are now being reappraised. Even among those companies, the risk of impending default is mild. Moody’s expects that the default rate, currently at a modest 3.3 per cent, will fall another percentage point over the next year.It may seem, therefore, that the mild correction in junk bond prices is a trivial event. But US equities have rallied in recent days, creating an odd divergence in two asset classes that should be positively correlated. When junk bond investors pay more attention to company-specific factors, expect equity investors to follow suit.The Lex team is interested in hearing more from readers. Is the junk bond correction just the beginning?
3;CTL;Centurylink;2017-05-08T16:59:32Z;CenturyLink shares rise after Corvex reveals 5.5% stake;;Keith Meister, chief investment officer at Corvex, said on Monday that the hedge fund has taken a 5.5 per cent stake in CenturyLink amid optimism over its “truly transformative” deal to buy Level 3 Communications.Mr Meister’s remarks at the annual Sohn Conference in New York sent shares in CenturyLink, a telecom, up by about 3 per cent in mid-day trading.CenturyLink unveiled plans last year to buy Level 3, which runs infrastructure that lets businesses connect to the internet, and plans to close the deal this year.Mr Meister said the deal will be a “game changer” for CenturyLink since it will provide it with a growing asset, that secures its dividend, and is accretive to cash-flow.Corvex owns 30m shares, worth 5.5 per cent of the company, making it the hedge fund’s “biggest position”, Mr Meister said.
4;CTL;Centurylink;2016-10-31T18:21:06Z;Level 3 brings the global internet to CenturyLink;Planned $34bn deal brings 23,000-mile network of cables crucial for web services;During the first dotcom boom, CenturyLink was a barely considered long-distance telephone company serving about 2m customers in the deep south of America.A little more than a decade later, the company stands to be transformed through the $34bn acquisition of Level 3 — a former darling of that tech boom and now one of the largest global internet providers critical to data-intensive businesses such as Netflix and Google.CenturyLink has grown rapidly in recent years to become the third-largest fixed-line telecoms player in the US behind AT&T and Verizon, as well as a major competitor in the market selling telecoms services to companies.But the acquisition of Level 3, announced on Monday, will give the group global significance for the first time, propelling it above Verizon in the US enterprise market and greatly expanding its internet services business as data use rapidly increases.Glen Post, chief executive of CenturyLink, who will remain in charge after the deal, says: “Customers are global today. They are no longer local or regional. We need to meet their needs whatever market they are in and with whatever products and services they need.”CenturyLink, valued at about $16bn and with $19bn of debt, is smaller than Level 3, which has a $20bn market capitalisation and about $10bn in debt.CenturyLink will fund the deal through about $24bn in shares and cash, as well as take on Level 3’s existing debt. The deal is worth about $66.50 per share, and represents a premium of 42 per cent to Level 3’s closing price on Wednesday ahead of reports of the deal.CenturyLink’s shares dropped more than 10 per cent to $26.6 on Monday as analysts worried about the use of a large proportion of stock to acquire Level 3. Shares in Level 3 rose about 5 per cent to $56.5.Mr Post said he expected to reduce the company’s debt-to-earnings ratio from 3.8 times to 3 times within four years using nearly $1bn of annual cost savings that had been identified. “On virtually every level, this deal makes a lot of sense,” he said.The combined CenturyLink-Level 3 will derive three-quarters of its revenue from business customers. Mr Post said it could spin out its consumer broadband and telephony operations although it had no plan to do so yet.It is the second blockbuster telecoms deal in as many weeks following AT&T’s $85bn swoop on Time Warner. Both acquisitions are rooted in a similar vision of the future of the internet-based global economy: namely that telecoms and media are converging and that the “pipes” needed to carry all the world’s information will become ever more important to carry these services. CenturyLink and Level 3’s merger lies in the latter part of that formula.Such success for Level 3’s strategy was at one stage looking unlikely. Level 3 had spent billions of dollars building a 23,000-mile network of fibre optic cables across North America and Europe in the 1990s, which transformed it first into a tech boom darling but then into one of the more prominent victims of the crash.The bursting of the tech bubble sent its stock into freefall, dropping from $130 to $3 within two years as the expected demand for internet services failed to materialise. It narrowly avoided bankruptcy, as others including Global Crossing and MCI WorldCom imploded, and positioned itself to deliver on its original promise to provide the pipes for burgeoning data demand.By 2016, those pipes are critical to the world’s largest internet businesses such as Google, which routes huge amounts of traffic over Level 3 fibre.The depth of Level 3’s global network became apparent in the summer of 2015 when a problem with routing traffic in Malaysia had a knock-on effect in Europe, Africa and the US where internet speeds started to slow.However, there are more prosaic reasons for the deal given worries about a lack of growth at CenturyLink. Jennifer Fritzsche, an analyst with Wells Fargo, noted that third-quarter results issued by CenturyLink alongside the details of the Level 3 takeover were “underwhelming”, and showed the need for the company to bulk up in fibre. The deal also provides access to up to $10bn in tax credits.“We think this is a very positive transaction as it solves its lack of growth and need for more fibre issue as well as helps them with its looming tax issue,” she said, noting that other fibre network providers such as Zayo could now come into focus in a consolidating market.Mr Post, a duck hunting chief executive who joined CenturyLink in 1976, has engineered the takeover of larger telecoms companies by using stock and debt. Key to its rapid transformation was the 2008 acquisition of Embarq, Sprint’s former landline business, for $5.8bn to create one of the largest regional players in the US.Two years later, CenturyLink completed the $22.4bn takeover of Qwest, making it the third-largest telecoms group in the US, and followed up with the $2.5bn takeover of datacentre business Savvis in 2011.Given this record, analysts are already asking if CenturyLink’s ambitions are over. Mr Post said the company would focus on integrating Level 3 in the coming years but admitted there would be opportunities for further expansion “especially internationally” on the horizon.
5;CTL;Centurylink;2016-10-31T17:45:25Z;CenturyLink/Level 3: Pipe-fitting;Telecoms are dull, until the dealmakers show up;With its miles of wires and lines of computer code, telecoms is basically a technical sector — even if management of these plumbing businesses gets boring.After the razzmatazz of AT&T storming Manhattan and Hollywood to buy Time Warner, a more humdrum variety of dealmaking returned on Monday. CenturyLink announced a takeover of Level 3 Communications, paying $34bn including debt.Normally, a reversion to a boring industry deal should be reassuring to telco investors. CenturyLink shareholders have not heard the message. Its shares shed a tenth on the news it would be taking on Level 3, a heavy debt for a company of questionable fit.CenturyLink’s core business is supplying telephone and broadband to business customers — its two biggest competitors are Verizon and AT&T. Cable operators such as Comcast and Charter are also lurking. It reached its current size by consolidating smaller telcos.Level 3 is best known as a “backbone”, providing the lines down which internet traffic passes. However, it has been pushing towards selling more phone and internet services after having, oddly enough, bought Time Warner Telecom for $6bn in 2014.Besides these operations — which, overall, operate in a flat to declining market — Level 3’s key asset is $10bn of operating losses that can be used to offset future taxes. The rules on acquirers appropriating these are strict, but CenturyLink will still be able to utilise them.Nominally, Level 3 shareholders are being paid a 49 per cent premium. But 60 per cent of the consideration is in stock. And unlike the AT&T/Time Warner deal, there is no protection from a “collar” on those shares.As such, Level 3 shareholders are also feeling the slide in CenturyLink shares. Even with a promised $1bn in annual cost savings (by 2019), the leverage of the new company is approaching four times earnings before interest, tax, depreciation and amortisation. Telecoms may be a staid business. But dealmakers can always spice things up.Email the Lex team at lex@ft.com
6;CTL;Centurylink;2016-10-31T13:47:19Z;October dealmaking volumes hit $500bn after GE acquisition ;Three takeovers join surge of blockbuster M&A despite US political uncertainty;"General Electric led a trio of companies penning big takeovers on Monday to lift the total value of transactions attempted in October to above $500bn, in what has unexpectedly become one of the busiest months for global dealmaking on record.The surge in blockbuster mergers and acquisitions in recent weeks signalled renewed corporate confidence in the outlook for the US economy, dealmakers said, even as the country’s highly-charged presidential race concludes in about a week.Operating conditions at many corporations have not changed drastically in recent years: companies are still struggling to increase sales, and historically low borrowing rates have made acquisitions an attractive way to boost revenue growth.That combination has provided the impetus for a multiyear boom in dealmaking led by industries where companies are seeking greater consolidation to gain scale over competitors and leverage over customers.“I’ve never tried to think about politics in terms of when I time deals,” GE chief executive Jeff Immelt said of his $25bn deal to acquire oil and gas services provider Baker Hughes. “The time do these things are right now . . . when there is a level of uncertainty, not whenever things are known.”The new company formed by combining GE’s oil and gas equipment manufacturing business with Baker Hughes will create a powerful competitor to oil services giant Schlumberger, with $32bn in annual revenues and operations in 120 countries.————————-October’s megadeals1. Oct 22 AT&T to buy Time Warner in $85.4bn deal
2. Oct 27 Qualcomm buys NXP for $47bn
3. Oct 21 BAT makes $47bn offer to buy out Reynolds
4. Oct 31 GE and Baker Hughes to merge oil and gas units
5. Oct 31 CenturyLink to buy Level 3 in $34bn tie-up————————October has been one of the busiest for global deal making on record, with the total value of deals topping $500bn. Matthew Vincent asks Arash Massoudi, FT M&A correspondent, what’s behind the trend and whether it’s likely to continueElsewhere, US telecoms group CenturyLink said it would buy the larger Level 3, which provides infrastructure that allows business to connect to the internet safely, for $34bn including debt. Private equity group Blackstone also said it would acquire TeamHealth, a US provider of physician services, for $6.1bn including debt.The transactions capped the seventh most-active month for global M&A with $502.8bn worth of deals, according to data from Dealogic. Attempts for US-based companies accounted for $329.1bn of that amount, just shy of a monthly record set in July of 2015.The remarkable comeback of M&A activity in October comes after a sluggish 2016 for dealmakers. Until recently, chief executives have been reluctant to make big bets in the US because of the turmoil associated with the presidential race and an Obama administration that has acted to block several megadeals.Some argue that October’s burst of activity was partly thanks to the growing poll lead of Hillary Clinton, Democratic presidential nominee, over Republican rival Donald Trump. However, the FBI’s decision to release new details about its investigation into Mrs Clinton’s use of a private email server could choke off the trend, as the presidential race has tightened again.Scott Barshay, a senior dealmaker at law firm Paul Weiss, said the recent spree, which includes AT&T’s agreement to buy Time Warner for about $108bn including debt, featured deals that had strong long-term rationales as well as few regulatory hurdles.“They were not just synergy or financial plays, rather they were highly strategic, landscape-changing business combinations in their respective industries,” Mr Barshay said. “While the transactions are large in size, we don’t expect any of them to have great difficulty in obtaining regulatory approvals around the world.”CenturyLink/Level 3: pipe-fitting
Telecoms are dull, until the dealmakers show upGE: out of stock
justification for a conglomerate is eroding, bit by bitOther big deals in October included Qualcomm’s bid to buy rival NXP Semiconductors for $47bn with debt and British American Tobacco’s unsolicited offer to buy the remaining shares it does not already own in cigarette maker Reynolds American for $58bn including the assumption of its debt.“October was certainly busy and part of it is just coincidental,” said Blair Effron, a co-founder of Centerview Partners, which advised on the GE deal. “More importantly CEOs and boards generally believe that the economy globally and in the US will continue to demonstrate slow but steady growth over the next 18 to 24 months.”Mr Effron added: “Deals are happening in spite of political uncertainty as executive need to supplement this 2 per cent US growth environment with M&A.”GE will make a one-time cash payment of $17.50 a share, or $7.4bn in total, to Baker Hughes shareholders, who will also own 37.5 per cent of the newly formed oil services company. Shareholders in GE will own the remaining 62.5 per cent of the “new” Baker Hughes. CenturyLink said it would pay $26.50 per share in cash and 1.4286 for each Level 3 share to control 51 per cent of the new entity. The deal implies a valuation of $66.50 a share for Level 3, valuing the company’s shares at about $25bn.Blackstone is paying $43.50 a share, or $3.2bn of equity value, to acquire TeamHealth.———Further reading● Analysis: Level 3 brings global internet to CenturyLink● Analysis: GE to combine oil and gas unit with Baker Hughes"
7;CTL;Centurylink;2016-10-31T10:46:08Z;CenturyLink to buy Level 3 in $34bn telecom tie-up;;CenturyLink on Monday unveiled plans to buy Level 3 Communications, which runs infrastructure that allows businesses connect to the internet, in a $34bn deal.The tie-up with Level 3 will provide CenturyLink, which has historically focused on phone networks, the ability to increase its fibre-optic capacity, something that is especially important as it works to bring broadband internet to rural areas.“The digital economy relies on broadband connectivity, and together with Level 3 we will have one of the most robust fiber network and high-speed data services companies in the world,” said Glen Post, CenturyLink’s chief executive.CenturyLink said it will pay about $66.50 per Level 3 share in a stock and cash transaction.Level 3 shares rose 3.9 per cent in pre-market trading to $56.15. They traded at about $47 before reports over the deal began to surface earlier this month. CenturyLink was little changed in early trading, but has risen 10.8 per cent this month.The merger comes shortly after AT&T, one of the biggest US telecoms, announced plans to acquire Time Warner, in a deal that will give it access to media brands like HBO and CNN.CenturyLink said on Monday it plans to close the deal by the third quarter of 2017.
8;CTL;Centurylink;2012-06-19T21:34:56Z;Savvis to double data centre capacity;;Savvis, the US data centre operator, is to double its global capacity as its struggles to meet soaring demand from banks and investors wanting to outsource more trading infrastructure.The group, owned by New York Stock Exchange-listed CenturyLink, will open new sites in London and Singapore and add further capacity at five other sites in London and the US in coming months.Savvis’s rapid expansion illustrates how becalmed equity markets, fierce competition from new entrants and lowered bank profitability are leading many trading firms and brokers to outsource more of their trading infrastructure.Data centres, often unremarkable buildings from the outside, have become key battlegrounds for the industry as it seeks to create digital trading hubs. By transmitting and receiving thousands of messages and quotes in one location, they seek to replicate the physical trading floor, although trades are conducted in microseconds.The industry has divided between exchanges such as CME Group, Hong Kong Exchanges and Clearing, and NYSE Euronext which own their own data centres and those which outsource to companies like Savvis and Equinix. Those which own their own sites can charge rent, opening up a lucrative market servicing investors who want to place their equipment next to exchange servers.The new Savvis sites at London Docklands and Singapore will open on June 30 and August 1 respectively. Bill Fathers, president of Savvis, said, “We’re still not expanding at the rate of market growth.” Financial services accounts for around 20-25 per cent of the group’s total revenues.Savvis’s expansion also illustrates that the trends in trading and technology which have swept through equity markets in recent years are beginning to seep into other asset classes. Executing deals are frequently conducted in fractions of seconds, often by algorithms. Banks also face pressure on IT costs amid lower profitability and tougher liquidity requirements.Neil Cresswell, managing director of Savvis Europe, Middle East and Africa, said there was increasing demand in Europe. “The demand profile is changing,” he told FT Trading Room. “Trading in different asset classes is coming. FX has taken off in the last year, while there’s interest in rates and fixed income, commodities.”
9;CTL;Centurylink;2020-04-17T03:30:43Z;NMC scandal proves a boon for global advisers;The UAE-based healthcare group’s troubles have amplified concerns about local regulators;It took four decades for NMC Health to ascend from its humble origins as a small clinic founded by Indian entrepreneur BR Shetty to its pinnacle as a FTSE 100 favourite.It took less than four months for the success story of the largest private healthcare provider in the United Arab Emirates to sour after short-sellers questioned NMC’s debt and cash position last December. Angry denials quickly collapsed as an independent investigation triggered a series of damaging revelations that saw NMC admit evidence of fraud and more than $4bn of undisclosed debt.Earlier this month, NMC’s major creditor, Abu Dhabi Commercial Bank (ADCB), successfully applied to a UK court to place the London-listed business in administration. Restructuring consultancy Alvarez & Marsal has taken over management of the hospitals and clinics, replacing the entire board.“Clearly something has gone very wrong with the management and oversight of this company,” said Judge Sebastian Prentis at the hearing.The unfurling scandal has been lucrative for consultants, with boutique investment banks coming in to advise the company’s management, shareholders and creditors.The appointment of Alvarez & Marsal to handle the UK administration comes after the previous management brought in investment bank Moelis & Co and accountancy firm PwC to assist them with debt restructuring and operational advice as NMC sought a debt standstill. Shareholders, such as Mr Shetty, have also engaged their own advisers, including investment bank Houlihan Lokey, to steer them through the situation.The crisis at the UAE’s largest private healthcare provider has coincided with the onset of the coronavirus pandemic. “The turmoil at NMC couldn’t come at a worse time given the growing Covid-19 crisis,” says one healthcare consultant. The number of cases had risen by Wednesday to more than 5,300, with 33 deaths.The Gulf state has introduced tight restrictions on movement, with Dubai imposing a 24-hour curfew that requires residents to apply for a permit to leave their homes to collect essentials. A mass testing programme has involved opening 13 drive-through testing centres across the seven-emirate federation, as well as the construction of a laboratory in Abu Dhabi that can assess tens of thousands of samples a day.While some non-essential NMC facilities have closed because of the nationwide lockdown, one person close to the company says any hospital and clinic that can serve patients is staying open. NMC has more than 2,200 beds and 2,000 doctors in 200 facilities across the UAE.The company’s former management attempted to block the administration effort, arguing that such a move would destabilise the business at a critical juncture. Alvarez & Marsal quickly wrote to assure staff that the administrators would strive to allow medical staff to deliver healthcare efficiently, including a commitment to pay salaries on time. NMC struggled to meet February payroll.Clearly something has gone very wrong with the management and oversight of this companySome local healthcare executives believe that the government would have intervened if it feared a shortage of intensive care beds. As it is, Dubai alone already has up to 5,000 available for Covid-19 patients and can handle more than 10,000 with the construction of two field hospitals. It also plans to convert deserted hotels into medical facilities if the need arises.“The government has a full handle on the number of intensive care beds needed,” says one healthcare executive. “If they needed the hospitals, they would have acted differently on NMC.”Alvarez’s three joint administrators working on NMC are all senior managers based in the UK, rather than in the consultancy’s UAE office. In a letter to staff, Richard Fleming, managing director of Alvarez & Marsal Europe, said this was because NMC is registered in the UK.At the administration hearing, the judge expressed his confidence that the new management, backed by fresh funding, would be able to keep NMC a going concern. ADCB has pledged to provide new working capital facilities.Yet the scandal has once again tarnished the UAE’s reputation as a commercial centre. Coming less than two years after the fall of Abraaj — a Dubai-based private equity group that collapsed when it was accused of misusing investor money — it has intensified concerns about local regulators’ capacity to deal with such complex cases.Abraaj started to unravel when overseas investors in the group’s healthcare fund raised the alarm on its alleged use of their money for internal purposes, rather than investments. Alissa Amico Kole, managing director of the Govern Center, which advises on corporate governance, points out that the original whistleblower on NMC’s financial problems — research firm Muddy Waters — also came from outside the region.To bolster local ability to handle such crises, Nasser Saidi, a governance consultant, says the financial regulator’s powers could be expanded into a supervisory body to screen regional companies seeking to list abroad. He also believes that a UAE version of the UK’s Companies House — providing information on corporate ownership and financials to the public — would benefit transparency.While the Abraaj scandal damaged the fundraising prospects of the Middle Eastern private equity industry, NMC threatens to do likewise for UAE companies seeking to access the deep pools of capital in western markets.“The level of scrutiny for companies from here will be off the charts,” says one investment banker.
