;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;CTXS;Citrix Systems Inc;2019-03-08T19:31:24Z;Citrix investigates FBI report about cyber breach;Tech group told hackers ‘may have accessed and downloaded business documents’;"Citrix Systems, the networking and remote access technology company, said on Friday that it was responding to an FBI report that international cyber criminals had gained access to its network.In an online statement, the company that it had been contacted by the FBI about the breach on March 6, and that the hackers “may have accessed and downloaded business documents”.Shares in the group, which posted annual revenues of nearly $3bn in 2018, fell 3 per cent to $99.77 following the news.Its products are currently used by more than 400,000 businesses including 98 per cent of the Fortune 500, according to its website.Citrix said on Friday it did not know which specific documents had been accessed, but added that there was “no indication that the security of any Citrix product or service was compromised”.According to the company, the FBI had suggested that the hackers used so-called password spraying to gain access to the network, a technique that exploits weak passwords.“Citrix has taken action to contain this incident,” it said. “We commenced a forensic investigation; engaged a leading cyber security firm to assist; took actions to secure our internal network; and continue to cooperate with the FBI.”"
1;CTXS;Citrix Systems Inc;2017-03-15T16:41:59Z;Citrix: altitude sickness;Private equity is ravenous for software but this is a big meal;Tech fund managers like to moan about the dwindling number of public companies — but this mood shifts whenever a private equity firm brandishes a big cheque.In a now familiar pattern, an activist, usually Elliott Management, turns up demanding change, usually including a sale. The tech company acquiesces and is snapped up by a private equity firm, usually Vista Equity Partners or Thoma Bravo, at a big premium. Everyone celebrates.Citrix, the desktop virtualisation company, is the latest to hoist a For Sale sign. But there is a problem: its enterprise value is $13bn. Earnings were $1bn in the past 12 months, before interest, tax, depreciation and amortisation. The resulting multiple is high for a buyout, though not stratospheric for software.The real snag is absolute price. If a bidder could assemble $4bn levered three to one, Citrix could be bought, even with a premium from today’s inflated level. But any cheque of more than $3bn is large in private equity. The debt, moreover, would fall foul of regulatory guidelines, which say borrowings of more than six times ebitda “raise concerns”.A further question is how much Citrix could be improved. It is more mature than many software targets, with revenues growing at a single-digit percentage since 2014. Unlike recent deals which have moved from activist situation to buyout in the blink of an eye, it has been almost two years since Elliott announced its action plan.Much of that plan has been implemented with impressive results, including an operating margin boosted from 18 to 23 per cent, with 33 per cent forecast for this year. Potential bidders will question what more they can wring out. It would be easier for a strategic buyer such as Microsoft or Cisco, which have more cash and fewer constraints. If a financial buyer does snap up Citrix, it would be a significant step up in an already hot market.Email the Lex team at lex@ft.com
2;CTXS;Citrix Systems Inc;2016-05-15T20:29:57Z;VMware: Tractor beam;The software company is being sucked into Dell but retains an attractive valuation;It sounds a bit Star Trek. Despite being protected by The Federation, VMware is being captured by the secretive aliens of Denali. Yet this is a side-effect of the biggest tech deal in history. Dell and Silver Lake, in the guise of “Denali”, last year agreed to pay more than $60bn for EMC, the server group whose self-styled “Federation” of quasi-autonomous businesses includes VMware, the server virtualisation company.As the crown jewel inside EMC, VMware investors and employees have displayed some skittishness at being taken over by Michael Dell and his private equity ally. Shares in VMware remain more than 20 per cent lower than when the deal was announced in October. Parsing the future under Dell is complex. Concern has centred on Dell’s decision to pay for EMC, in part, with tracking stock in VMware, equivalent to a 53 per cent economic interest. There is also a vague timetable around $1bn in promised revenue synergies supposedly derived by VMware - not much incentive. And EMC CEO Joe Tucci has acknowledged worries that Dell might raid VMware's $7bn in net cash to pay down its huge debt pile, though he has also pledged it won’t happen.VMware’s share price decline was partly caused by the Dell deal and an arbitrage opportunity from selling VMware stock and buying EMC, but operating woes were also a factor. VMware cut guidance in two of the last three quarters. It has yet to prove that it can prosper in a world where customers use the clouds of Amazon, Microsoft and Google rather than the on-premise data centres where VMware ruled.There are, however, enough positives to make the valuation interesting. Last quarter VMWare defied expectations of a slump in IT spending. Its faster-growing mobile and cloud-focused businesses (under a Star Trek-like “Project Photon”) can make up for the slowdown of its legacy products. It is used to being operated as a subsidiary - EMC today owns 81 per cent. In spite of the healthy cash position, it trades at 13 times forward earnings, lower than other mature software companies such as Microsoft, Oracle and Citrix. The last of these three, which has an existing partnership with Dell, has more to fear from the EMC deal than VMware. Existing investors should cling on.
3;CTXS;Citrix Systems Inc;2015-11-18T21:37:57Z;Citrix slips after ceding to activists with spin-off and job cuts;Benchmark S&P 500 led higher by healthcare stocks;Citrix Systems lagged behind the S&P 500 on Wednesday after the cloud computing software maker ceded to activist pressure and announced that it would spin off its GoTo family of products and cut 1,000 jobs.Following a review, the New York-based company said the GoTo spin-off, including GoToMeeting, its videoconferencing business, was “is in the best interest of all stakeholders”.Chris Hylen, who currently serves as senior vice-president and general manager of the Citrix Mobility Apps Business Unit, will serve as the chief executive of the new company.Investors were expecting Citrix’s “Bytemobile business to also be spun off or sold but is instead being folded into NetScaler”, said Heather Bellini, an analyst at Goldman Sachs.Citrix has come under pressure from Paul Singer’s Elliott Management, which disclosed a stake in the company in June.At the time, the investor said Citrix should focus on its best products and spin off or sell some of its businesses.“While an activist can improve a company’s efficiency (and ultimately, margin), an activist is less likely to make changes (for example, production of new products) that would support sustainable growth,” said John DiFucci, an analyst at Jefferies, adding that he doesn’t see “much upside” for the stock from current levels.Citrix also said it expects to achieve $200m in annualised cost savings, including the elimination of 1,000 full-time and contract jobs.The company said it expected fiscal 2016 revenue growth of 1 to 2 per cent, below Wall Street forecasts for 5 per cent growth, according to Goldman.Citrix shares, which have gained 11 per cent so far this year, declined 10.1 per cent to $70.54.ConAgra shares jumped 4 per cent to $40.93 after the company said it would split into two public companies.The consumer brands business will be renamed ConAgra Brands, while the frozen potato business will operate as Lamb Weston.The transaction is expected to be completed in the autumn of 2016 and ConAgra shareholders will receive shares in both companies.Staples shares fell 2.7 per cent to $12.11 after the US office supplies chain said third-quarter profits and revenues fell from a year agoThe Massachusetts-based company said profits declined nearly 9 per cent to $198m, or 31 cents a share, in the three months ended in October from a year ago.The results include a $40m pre-tax charge related to the acquisition of Office Depot. Meanwhile, sales slid 6 per cent to $5.6bn.Analysts had forecast earnings of 35 cents a share on sales of $5.7bn.Jack in the Box shares rose 5.8 per cent to $74.05 after the US fast-food chain said its fiscal fourth-quarter profits jumped 43 per cent to $23.1m, or 63 cents a share, from the year-ago period. Sales rose 3 per cent to $354.1m, shy of analysts’ forecasts.The benchmark S&P 500 was led higher by healthcare stocks, which gained 2 per cent.By close of trading, the S&P 500 advanced 1.6 per cent to 2,083.58, while the Dow Jones Industrial Average rose 1.4 per cent to 17,737.16. The Nasdaq Composite climbed 1.8 per cent 5,075.20.mamta.badkar@ft.comTwitter: @mamtabadkar
4;CTXS;Citrix Systems Inc;2020-04-25T18:31:28+0000;Elliott-Citrix: another one folds;The hedge fund has won concessions, but not yet a victory, in Silicon Valley;"Activist investors are as welcome in Silicon Valley as spoilers about the new Star Wars movie. So Elliott Management deserves credit for its victories there. On Tuesday, Citrix Systems became the latest company to cave in, erm, sorry, “decide on a new strategy after a thorough review”.The software company, after prodding by Elliott, will tick every box on the standard activist to-do list. It will spin off its web conferencing products, cut $200m in costs and 1,000 jobs, increase the salesforce for its core virtualisation products, and devote 50 per cent of free cash flow to buybacks.After all this, the shares fell 8 per cent, perhaps because profit targets attached to the overhaul were not aggressive. Revenue targets looked light and adjusted earnings per share for 2016 is expected to come in at $4.45, just ahead of analysts’ estimates (each ignores a $0.53 restructuring charge).These are just the first steps, though, and the targets have probably been set deliberately low. Bob Calderoni, interim chief executive, said nine times on a conference call that the revenue target was “conservative”. In spite of the lacklustre share price reaction, Citrix stock has risen since Elliott showed up. When it delivered its manifesto in June, the hedge fund noted that Citrix had underperformed the S&P 500 every year in the past five. This year the stock has risen 13 per cent to $72; the S&P 500 is flat.It is a long way from stating a plan to successful execution and, although it should have the advantage of being tax free, the spin-off is less tidy than a sale of the entire company, which was reported to be on the table.With its plan in place, a seat on the board and a say on the next chief executive, Elliott has all it wanted. Yet it envisaged a share price over $90 by the end of 2016. In the case of another, bigger tech investment, in EMC, Elliott was only bailed out by Dell’s bid for the company. If Citrix shares do not rally, Elliott might be the one being held to account.Email the Lex team at lex@ft.com"
5;CTXS;Citrix Systems Inc;2015-07-29T18:05:03Z;Anadarko jumps after earnings surprise;US equities rise ahead of latest Fed monetary policy statement;Investors pushed shares of Anadarko Petroleum higher after the US oil and gas company reported an unexpected profit in the second quarter, amid the protracted drop in crude prices, by boosting oil production but keeping operating costs low.The Houston-based company reported a second-quarter profit of $61m or 12 cents a share in the three months to June, compared with $227m or 45 cents a share the same time a year ago. Sales fell nearly 41 per cent to $2.6bn.Analysts on Wall Street had forecast a loss of 56 cents a share, on sales of $2.5bn. Adjusting for one-off items the company reported a profit of 1 cent, ahead of forecasts for a loss of 52 cents.Oil production of 318,000 barrels of oil equivalent per day (boepd) topped estimates for 301,000.The unexpected profits were driven by lower operating costs and a rise in oil output driven by its Wattenberg field in Colorado and by output in Delaware and the Gulf of Mexico.Total oil, natural gas and natural gas liquids production of 846,000 boepd was, however, shy of forecasts for about 862,000.“All of Anadarko Petroleum’s large projects are advancing and new discoveries, which will likely be unappreciated in this market, should add long-term value, all else being equal,” said Michael Scialla, an analyst at Stifel.Shares of Anadarko Petroleum, which have declined 30 per cent in the past year, rose 4.7 per cent to $76.28 and were among the best-performing stocks on the benchmark S&P 500 on Wednesday.Elsewhere, Yelp suffered its biggest one day decline on record after the online review site cut its full-year sales outlook roughly 5 per cent on Tuesday and projected revenues short of Wall Street forecasts.The stock plunged 25 per cent to a two-year low of $25.11.Twitter was also high on investors’ sell lists. Shares in the social media platform known for its 140-character messages tumbled 14.5 per cent on Wednesday to $31.24, wiping more than $3bn off the company’s valuation after its finance chief warned meaningful user growth was not yet in sight.A top gainer, Citrix Systems rose 8.1 per cent to $75.27. Bowing to pressure from activist investor Elliott Management, the software company has agreed to put its GoToMeeting video-conferencing division up for sale and announced the retirement of longstanding chief executive, Mark Templeton.Gilead Sciences was up 2.3 per cent to $115.71 after the biotech company reported better than expected sales of its hepatitis C drug and lifted its full year outlook by $1bn.Overall, US equities were up after the latest monetary policy statement from the US Federal Reserve.Both the S&P 500 and the Dow Jones Industrial Average were up 0.7 per cent at 2,108.57 and 17,751.39. The Nasdaq Composite rose 0.4 per cent to 5,111.73.mamta.badkar@ft.comTwitter: @mamtabadkar
6;CTXS;Citrix Systems Inc;2015-07-28T22:55:30Z;Citrix restructures after pressure from Elliott;Headhunters appointed to find replacement for chief executive Mark Templeton;Citrix Systems put its GoToMeeting video conferencing division up for sale and announced the retirement of its longstanding chief executive, Mark Templeton, in the latest victory for an activist hedge fund in the tech sector.Elliott Management, which has a 7.1 per cent stake in Citrix and which has been agitating for a strategic overhaul, also edged out the chairman, Thomas Bogan, who will step back into a lead director role.Citrix, which sells a range of business software, including desktop virtualisation products that allow employees to access their work computers remotely, has been struggling with the transition to cloud-based business software.It appointed Bob Calderoni, who Elliott has worked with as a director at Juniper Networks, as executive chairman, hired headhunters to find a replacement for Mr Templeton and appointed Goldman Sachs and Qatalyst Partners to advise on its strategy review.The company said it planned to simplify its business by selling non-core products and reconsidering its capital structure.Mr Templeton, who has run Citrix for 14 years, said he would be “passionately and intensively leading this change” until a successor is found.He said GoToMeeting was aimed at small businesses, rather than Citrix’s core large enterprise customers, who were more likely to use Microsoft’s Lync and Skype for Business, and was not “synergistic”. Citrix’s perspective had changed, he said, on “where we should be investing more and less”.Citrix also reported second-quarter results that showed revenue rose 2 per cent to $797m and net income increased to $103m from $53m in the second quarter of 2014.Reflecting the shift to a new generation of cloud services, Citrix said product and licence revenue decreased 12 per cent to $205m, while software-as-a-service revenue, which includes its fast-growing GoTo products, increased 11 per cent to $178m.Elliott wrote an open letter to Citrix in June demanding the company focus on its best products, saying it had missed a “profound opportunity” to capitalise on the shift to the cloud, because of a sprawling product set and bloated costs.Jesse Cohn, head of Elliott’s US activism arm, will join the Citrix board and the hedge fund will have a veto over one other new board member.“We first invested in Citrix because we saw a substantial value creation opportunity for the company and its shareholders,” Mr Cohn said on Tuesday. “We are confident that the initiatives announced will allow Citrix to build upon its position as an innovative industry leader.”Elliott’s success in forcing its way on to the Citrix board comes amid an aggressive push by activist hedge funds in the tech sector. A week ago, Jana Partners won board seats at Qualcomm, the smartphone chipmaker, and also persuaded that company to launch a strategy review.
7;CTXS;Citrix Systems Inc;2015-06-16T17:57:22Z;Citrix: virtual reality;Cloudy prospects for desktop virtualisation;Not all tech companies live in a bubble. Citrix, which has more than $3bn in annual revenue, is growing sales at 5 per cent a year, and is profitable. With an enterprise value of $12bn, Citrix is worth half as much as Twitter and a quarter as much as Salesforce, both of which are lossmaking.The problem is that Citrix’s products are a mixed bag. More than half of sales and profits come from what it calls workspace services, which includes desktop virtualisation (which allows employees to access their office desktops from their iPads). Citrix has a 38 per cent market share in this business, but the segment is growing slowly. Another fifth of revenues come from cloud services, where it faces tough competition. And another fifth comes from mobility apps, a fast-growing segment that includes services such as GoToMeeting, a virtual meeting organiser.Citrix’s share price has stagnated over the past five years. Recently Elliott Management, which holds a 7 per cent stake, demanded cost cuts, disposals, a larger salesforce, and (predictably) share buybacks.These proposals miss the point. Citrix’s growth is slowing because its core offering, desktop virtualisation, is becoming less relevant as work moves to the cloud. Even if the company did sell hot assets such as GoToMeeting, the core business would remain under pressure. In the short term, there is competition from Oracle and VMware. In the long term, obsolescence looms.Citrix should consider something more radical: selling the whole business. Microsoft, for example, would be able to cut costs for Citrix’s slower growing products by combining sales teams and data centres, and tie the cloud offerings in with its own. The companies’ products are used in tandem by many customers and the two companies have joint selling arrangements already. Cisco might be interested in Citrix as well.Life is harder for companies outside the bubble. They need to think big.Email the Lex team at lex@ft.com
8;CTXS;Citrix Systems Inc;2015-06-12T16:45:14Z;Restoration climbs on retail outperformance;US stocks decline amid concerns over Greek deal impasse;Investors pushed shares of Restoration Hardware Holdings higher after the luxury home furnishings retailer reported first-quarter results that topped Wall Street forecasts and lifted its full-year outlook even as other retailers reported mixed results.The California-based company reported profits of $7.2m or 17 cents a share, compared with $1.8m or 4 cents a share in the same period the year before. Sales rose 15 per cent to $422m.Analysts on Wall Street had forecast earnings of 15 cents a share on sales of $418.3m. Adjusted earnings of 23 cents a share topped estimates for 20 cents a share.Same-store sales, a key industry metric, advanced 15 per cent, topping estimates for an 11.5 per cent gain.“The firm delivered better than expected sales and profits in a quarter marked by choppy results for many retailers, with reported growth rates near the top of the retail spectrum underscoring strong brand momentum,” said Matthew Fassler, an analyst at Goldman Sachs.The company lifted its full-year earnings and sales outlook. Restoration Hardware now expects full-year earnings in the range of $3.02 to $3.15 a share against forecasts for $3.03 a share. This is above its previous outlook for earnings of $2.95 to $3.10 a share.Sales are expected to range from $2.146bn to $2.176bn compared with forecasts for $2.16bn.Shares of Restoration Hardware advanced 3 per cent to $97.46 in morning trading, settling to close at $96.28. The stock has gained nearly 20 per cent in the past year.Shares of Citrix Systems advanced more than 2 per cent to $71.91 to be the best performing stock on the benchmark S&P 500 on Friday after the software company was upgraded by analysts at Needham and Piper Jaffray.The upgrades follow activist investor Elliott Management’s call for changes at Citrix, which sent shares up 7 per cent on Thursday.Elliot Management, which along with Elliott International has a 7.1 per cent stake in Citrix, sent a public letter to the Santa Clara, California-based company recommending that it sell some of its businesses and cut costs.Elliott said the changes could lift the company’s share price to $90 to $100 a share or more.Citrix has delivered an “inconsistent performance over the past several quarters” amid changing consumer preferences, said Scott Zeller, an analyst at Needham.“If Elliott is capable of gaining a board seat(s), it is conceivable they may achieve the outcome we have seen with Riverbed, Blue Coat and other activist investments, which would include improved operating profile and/or a sale of Citrix Systems or its parts,” Mr Zeller added.Shares of Darden Restaurants climbed 1.58 per cent to $68.11 after analysts at Credit Suisse upgraded the company that operates restaurant chains including Olive Garden.Analysts upgraded Darden Restaurants to “outperform” from “neutral” and raised the price target to $77 from $69.Shares of Wingstop, a chicken wing restaurant chain, jumped more than 60 per cent in their trading debut on Friday, valuing the company at over $900m.US stocks declined amid concerns on a Greek debt deal as Athens said it was still negotiating with its creditors to unlock more aid.The S&P 500 fell 0.7 per cent to 2,094.18 and the Dow Jones Industrial Average declined 0.78 per cent to 17,898.70. The Nasdaq Composite slid 0.62 per cent to 5,051.47.mamta.badkar@ft.comTwitter: @mamtabadkar
9;CTXS;Citrix Systems Inc;2020-04-25T18:31:28+0000;Hess jumps after Bakken unit stake sale;US stocks higher as investors cheer rebound in retail sales;Hess enjoyed its biggest one-day rally in more than two years after the US oil and gas explorer said it was selling a 50 per cent stake in its Bakken midstream unit to a private equity group for $2.7bn.Under the terms of the deal, the unit, which specialises in the processing, transportation and storage of natural gas and oil in the shale oil producing epicentre of North Dakota, will be spun off into a joint venture called Hess Infrastructure Partners.Proceeds from the business will be split evenly between Hess and its new partner, Global Infrastructure Partners.Sales of the unit comes as Hess struggles to cope with the collapse in crude prices, which drove it into a loss during the first quarter.In an attempt to shore up its finances, the company has already cut back on capital expenditure this year.It also sold off its network of gas stations and convenience stores to Marathon Petroleum last year for $2.87bn.News of the asset sale prompted analysts at Capital One Securities to upgrade the stock to “overweight” and boost their price target by nearly a fifth to $78.Investors, meanwhile, pushed Hess shares up by 5 per cent to $68.83, making it one of the best-performing stocks on the S&P 500.But despite the gain, the stock it is still down more than 26 per cent over the 12 months.Citrix Systems was another stock that was in hot demand after activist investor Elliott Management said the cloud-computing software maker should sell some units, cut costs and buy back shares.Elliott, whose 7.1 per cent stake in Citrix make it one of the company’s biggest shareholders, said in a letter to the company’s board that it believed the stock can rise to between $90 and $100 by the end of next year. Citrix climbed 7 per cent to $70.39.“Citrix has leading technology franchises in attractive markets but has struggled operationally for years,” it said. “As a result, today Citrix’s operations and product portfolio represent an opportunity for improvement of uniquely significant magnitude.”Elsewhere, Nike gained 1 per cent to $103.88 after it landed a deal to replace Adidas as the exclusive on court uniform and apparel provider for the NBA, cementing the brand’s lock over the sport.Lululemon Athletica fell 1 per cent to $66.07 after the yoga-wear maker said its founder Chip Wilson and his family could sell their entire 14 per cent stake in the business.Shares in Box, the cloud-storage start-up, punched 3 per cent higher to $18.27 following a set of better than expected first-quarter results.Krispy Kreme Doughnuts was up more than 14 per cent to $19.80 after it delivered a 10 per cent jump in earnings on better sales and stronger margins.Overall, US equity markets were higher as investors cheered a rebound in May retail sales.The S&P 500, which had its biggest rally in a month on Wednesday, rose 0.2 per cent to 2,108.86 while the Dow Jones Industrial Average gained 0.2 per cent to 18,039.37. The technology-heavy Nasdaq Composite edged up 0.1 per cent to 5,082.51.
