;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;D;Dominion Resources;2020-04-24T20:32:47+0000;Aetna rises after earnings beat forecasts;Health insurer’s results buoyed by higher operating income and reduction in medical care spending;Aetna shares climbed on Monday after it reported better than expected quarterly profits as the share of premiums spent on healthcare services dipped.The health insurer earned $320.8m in the fourth quarter, up from $232m in the period in 2014. Operating income, which excludes certain items, rose 12 per cent year on year to $1.37 a share, easily beating estimates of $1.21.Aetna’s bottom line received a lift from a reduction in medical care spending. The proportion of premiums paid in healthcare costs fell from 83 per cent to 81.9 per cent as its medical benefit ratio in the government and commercial segments dipped.Mark Bertolini, chief executive, said the group was “on track” to complete its buyout of fellow health insurerHumana in the second half. The pact, which was unveiled in 2015, would deepen exposure to the Medicare market, where its plans supplement those offered to the elderly by the US government.Aetna’s shares rose 1.50 per cent to $103.37 by the close, bringing their 12-month advance to around 12 per cent.Elsewhere healthcare companies were in focus after another batch of deals were announced.Shares in Alere, a provider of diagnostic tests, surged almost 45.5 per cent to $54.11 after industry heavyweight Abbott Laboratories agreed to acquire it for $56 a share.Under the deal, which will give Alere an equity value of $5.8bn, Abbott will assume about $2.6bn of its debt. Abbott expected the acquisition to lift its total diagnostics sales to more than $7bn.Not all deals received a thumbs-up from shareholders. Shares in Stryker, the medical device company, fell earlier in the day after it announced a deal to buy Sage Products, which makes care products, for $2.78bn. They closed almost flat.Twitter, the short messaging service, closed up 6.61 per cent to $17.91 after a report said Marc Andreessen and Silver Lake had “considered some sort of deal”. However, a source close to Silver Lake dismissed the report, which had appeared in The Information.The shares have halved during the past 12 months as a management overhaul has done little to assuage investor concerns over user growth.Dominion Resources came under pressure after the midsized US electricity and gas distributor unveiled plans to buy smaller rival Questar for $4.4bn. In a sign that Dominion’s all-cash offer of $25 a share might be too rich for investors, the stock fell 2.76 per cent to $70.18.Shares in Questar jumped 22.56 per cent to $24.99.Aluminium producer Alcoa added to its 14-month rout, dropping 1.10 per cent to $7.21 as news that Elliott Management was supporting its board nominees failed to lift sentiment. The stock’s losses for the past 12 months exceed 54 per cent.By the close the S&P 500 was almost flat at 1,938.85, the Dow Jones Industrial Average nudged down to 16,444.11 and the Nasdaq Composite was slightly up at 4,619.53.
1;D;Dominion Resources;2016-02-01T12:18:26Z;US gas distributors Dominion and Questar to merge in $4.4bn deal;;Consolidation in the energy sector continued apace on Monday with Dominion Resources, a mid-sized US electricity and gas distributor, offering to buy smaller rival Questar for $4.4bn.The $25-a-share all cash offer represents a 22 per cent premium to Questar’s closing price on Friday and comes as energy companies come under increasing pressure to merge amid the 19 month long rout in global crude prices.The addition of Utah-based Questar will expand Dominion’s geographic reach in the US. Dominion’s existing natural gas operations lie in the heart of the mid-Atlantic, whereas Questar’s system covers western states such as Utah, Wyoming and Idaho.Dominion said:The combined company would serve about 2.5 million electric utility customers and 2.3 million gas utility customers in seven states. It also would operate more than 15,500 miles of natural gas transmission, gathering and storage pipelines, one of the nation’s largest natural gas storage systems, and approximately 24,300 megawatts of generation.
2;D;Dominion Resources;2013-07-08T16:47:03Z;Dell rises but US tech stocks struggle;;Dell shares led a strong open to the week’s US equities trading after news emerged that an influential shareholder advisory firm has backed founder Michael Dell’s proposal to take the computer maker private.Shares in the company rose 3.2 per cent to $13.44, and have traded near the $14 range since January when word of buyout discussions first broke.Dell has struggled as it looks to reduce its dependence on a steadily shrinking PC market and become a broader technology company.The S&P 500 rose 0.5 per cent to 1,640.49 as a broad rally was led by the energy and consumer sectors, while some tech stocks were under pressure on concerns about the global PC market.The Philadelphia Semiconductor Index was down 2 per cent after analysts downgraded Intel. Like Dell, Intel has been hit by concerns that the decline of PC sales will damage its core business. Shares in the chipmaker were down 3.6 per cent to $23.19 after downgrades from Evercore Partners and Citigroup.However, declining PC sales only tell part of the story. In the growing mobile chip market, it is far behind competitors.“They have almost no share in the 3G market, which is heavily dominated by Qualcomm, Samsung and some others,” said S&P Capital IQ analyst Christine Amracost. “They have some small wins, but on the 3G they really haven’t been there yet.”She added that Intel is preparing to release its new mobile chip in 2014 to directly compete with the industry leaders.“The game really starts in 2014,” she said.Apple’s struggles, along with Intel, meant the tech-heavy Nasdaq lagged behind the broader rally, up 0.2 to 3,484.83. Apple shares were off 0.6 per cent to $415.05.Sprint Nextel shares were down 1.1 per cent to $7.08 after the company said more than half of its investors chose to receive cash instead of stock in SoftBank as part of its acquisition deal, exceeding the money available for the scheme.The Dow Jones Industrial Average added 0.6 per cent to 15,225.15. American Express, up 1 per cent to $77.04, and Walmart, 2 per cent higher to $76.71, helped drive the blue-chip index.Utilities were among the strongest sectors, breaking a recent downward trend that has coincided with rising US Treasury rates and better performance from more cyclical sectors.The Southern Company rose 1.7 per cent to $43.85, Dominion Resources added 1.1 per cent to $56.88, and PPL gained 1.7 per cent to $29.85.For all the concerns about rising interest rates and the upcoming end of quantitative easing, the S&P 500 is only 2.7 per cent off its all-time highs hit in May.The Russell Small-cap index hit an all-time high on Monday, adding 0.3 per cent to 1,008.76, having passed the 1,000 mark for the first time on Friday.It has also performed noticeably well when compared with the other major indices since the market top in May. Up 18.8 per cent on the year to date, the Russell has since the beginning of June outperformed the S&P 500 by nearly 2 percentage points.The earnings season began with Alcoa reporting earnings just after the bell on Monday. Yum Brands, which has become sensitive to Chinese consumer consumption, reports on Wednesday, and US banks JPMorgan and Wells Fargo on Friday.One of the world’s largest aluminium producers, Alcoa was up 1.4 per cent to $7.87, and traded about 1.3 per cent higher in after-hours trading after reporting that it had beaten earnings per share and revenue estimates.
3;D;Dominion Resources;2013-05-15T09:14:53Z;US utilities’ outperformance fades away;Groups shed 4% in May after strong start to year;The record rally for US stocks that kicked off the year was driven by a historic outperformance from companies in the utilities sector, Wall Street’s hallmark defensive equity market bet.Utilities companies significantly, and unusually, outpaced the industry’s expected returns in a rising market during the four months through April, according to historical research compiled by AllianceBernstein.But the sector, which groups together slow-growth, high-yielding companies such as US electricity groups Duke Energy and Dominion Resources, has since weakened. After a ferocious start to the year, utilities companies have shed 3.3 per cent in May even as a broader market rally continues.Analysts said the early-year rally in utilities’ shares was driven by a hesitancy among investors to buy into riskier equities, a fear that has somewhat dissipated.The recent declines for the utilities sector have meant it is now underperforming the S&P 500, having risen 14.6 per cent in the year to date compared with a 16.3 per cent gain for the benchmark. But the healthcare sector, another defensive industry, still remains as the top performing industry this year.“Through much of history, the defensive sectors have tended to consistently underperform in a rising market,” said Vadim Zlotnikov, chief market strategist at AllianceBernstein. “What was unique about the period through to the end of April was the very unusual outperformance of utilities and other defensive sectors.”Analysts said the gains were a result of a timid push into equities that helped stretch valuations in the companies beyond long-run price-to-earnings averages.Concerns that the US economy was headed for a spring slowdown have been allayed to some extent of late, as encouraging data on retail sales and employment have boosted investor confidence.Investors are seeking companies that are undervalued across all sectorsWhile utilities and other defensive sectors have weakened in recent days, the broad rally on the US market has been driven by soaring prices in stocks more sensitive to swings in the economy.Financials and companies that sell non-essential consumer goods have been the strongest gaining sectors so far in May. Analysts have said gains from companies in those industries and other cyclical sectors are more typical of a rising US market.“If you think about how the rally started, it was driven by investors who were chasing yield from other asset classes,” said JJ Kinahan, chief strategist at TDAmeritrade.“What has happened is that the market has found new momentum and now investors are seeking companies that are undervalued across all sectors, particularly ones that had been depressed in recent months.”
4;D;Dominion Resources;2020-04-24T17:25:23+0000;Dominion carves role as utility;;Dominion Resources, the US energy utility, on Monday completed its move away from exploration and production with the sale of the bulk of its US Appalachian operations to Consol Energy, the US coal and natural gas producer.Consol, which has been expanding in natural gas as its coal output declined, will pay almost $3.5bn in cash for Dominion’s conventional E&P operations, as well as the rights to about 491,000 acres in the Marcellus Shale formation.Investment in the Appalachian region by energy companies has picked up since technological developments enabled gas extraction from the Marcellus Shale about four years ago.The area is currently producing about 2.5bn cubic foot per day of natural gas, but that is predicted to rise to as much as 6bn cubic feet a day by 2013, according to industry bankers.Competition for unconventional oil and gas assets, which require more energy and more sophisticated technology to extract, has picked up in the past year as companies focus on securing their supply of natural resources.The biggest deal of last year was ExxonMobil’s $41bn offer to buy XTO Energy, the shale gas specialist.The deal will bolster Consol’s natural gas reserves and production capacity, nearly tripling its presence in the Appalachian basin of Pennsylvania and West Virginia.“In addition to bolstering our gas platform, this transaction will also result in a more balanced energy portfolio,” J Brett Harvey, Consol’s chief executive, said in a statement.Natural gas is expected to account for 35 per cent of Consol’s revenues following the purchase.Consol also said that it would look to raise $4bn in equity and debt to fund the acquisition and to develop the fields.The deal is set to close at the end of April and according to Consol will increase its proven gas reserves by 50 per cent and double its potential gas resources.After the deal, Dominion will have largely completed its withdrawal from its upstream operations, a process that began in 2007.It wants to focus on its business as a regulated utility, storing and transporting natural gas.The company originally set out to sell only the drilling rights to the Marcellus formation, while retaining its shallower producing assets. The price offered by Consol for its entire Appalachian business prompted the company to agree to its sale, said people familiar with the deal.Bank of America Merrill Lynch advised Consol on the deal, while Barclays Capital advised Dominion.Consol shares fell 10.22 per cent to $48.79 in afternoon trading as investors digested the fundraising that will be needed to complete the deal.Dominion’s stock price was almost unchanged, at $39.68.
5;D;Dominion Resources;2010-03-15T20:24:15Z;Consol;The miner’s shale deal has dangers, but there is no reward without risk;Old king coal had reason to be a merry old soul on Monday, but investors didn’t see things that way. Shares in Appalachian miner Consol Energy lost a 10th of their value after it announced a bold deal to pay utility Dominion Resources $3.5bn in cash for a vast tract of gas-rich acreage in the Marcellus Shale. In addition to Consol’s production, the enlarged company would get a third of its revenue from gas.The deal vaults Consol from 15th to third place in terms of acreage controlled in the leading eastern US energy patch, behind Chesapeake Energy and Range Resources, each with about twice as much. Consol reckons that, accounting for Dominion’s more easily valued proved reserves, it is paying under $1bn for undeveloped Marcellus resources or about $1,903 an acre. That is a very attractive price indeed for access to the region.Small deals that have more onerous royalty requirements have been done at more than twice as much. Current benchmark prices of about $4.40 a million British thermal units should generate a 20 per cent after tax rate of return. The deal will require considerable debt and equity issuance but Consol hinted it could trim its exposure through sales or joint ventures.There is no such thing as a free lunch, though. Two risks to Consol’s deal are that furious shale drilling creates an even worse US gas glut, forcing down prices and returns, or that it creates an environmental backlash over controversial hydraulic fracturing techniques that are used to unlock the gas. ExxonMobil, which paid $41bn or 13 per cent of its market value for gas-rich XTO Energy, could lick its wounds if its deal flopped. Consol, wagering a proportion three times as high, might not get off so lightly. No risk, no reward.
6;D;Dominion Resources;2009-07-31T19:00:15Z;US stocks close month with hefty gains;;US equities settled mixed on Friday, but closed out July with solid gains as data on the economy suggested the vehemence of the recession was abating and expansion beckoned in the third quarter.Among second-quarter earnings on Friday, Chevron reported a 71 per cent drop in profits. The stock rose 2.6 per cent to $69.47, pushing it up 1.5 per cent this week.Constellation Energy beat estimates and raised its earnings forecast for the full year. The power company’s shares dropped 1.1 per cent to $28.70.Also exceeding its forecasts, Dominion Resources recorded a 52 per cent rise in net income but cut its outlook. The stock fell 2.1 per cent to $33.80.After the closing bell on Thursday, Walt Disney reported a 26 per cent slide in third quarter earnings. The stock slid 4.2 per cent to $25.12 and analysts at JP Morgan downgraded Disney on Friday.The S&P 500 gained 0.1 per cent to close at 987.48, having risen 0.7 per cent to a high of 993.18 earlier. That left the benchmark up 0.8 per cent for the week, and 7.4 per cent higher for July.The Nasdaq Composite slipped in late trade on Friday, closing down 0.3 per cent at 1,978.50, for a weekly climb of 0.6 per cent and a monthly rise of 7.8 per cent.Both the S&P and Nasdaq have rallied for each of the past five months and this week the main benchmarks set highs for the year.The Dow Jones Industrial Average closed 0.2 per cent higher at 9,171.61 on Friday, a gain of 0.9 per cent this week. For July, blue chips jumped 8.6 per cent, the best month since a rise of 10.6 per cent in October 2002.The rise in shares on Friday came after the advance read on US gross domestic product for the second quarter showed a contraction of 1 per cent. That was better than the forecast decline of 1.5 per cent.Economists said this indicated that the recession was abating, clearing the way for a modest expansion during the third quarter.That outlook has powered the equity market’s rally in recent weeks, but some worry that the market is due for a pullback. “There is a lot of money moving off the sidelines into the market, chasing performance,” said Michael Kastner, portfolio manager at SterlingStamos. “The stock market is getting ahead of itself.”Caution over the economic outlook was provided by the GDP report which showed that consumer spending slipped 1.2 per cent during the second quarter, more than a forecast drop of 0.5 per cent.“With consumers still flat on their backs, it will be a long time before the recovery gains any real momentum,” said Paul Ashworth, senior US economist at Capital Economics.Meanwhile, downward revisions to past quarters also weighed on sentiment.GDP for the first quarter is now seen to have fallen 6.4 per cent, more than an earlier decline of 5.5 per cent, while fourth quarter GDP is now pegged at a 1.9 per cent decline, versus a prior drop of 0.8 per cent. But investors are banking that companies, which have focused on drastic cost cutting this year, will benefit quickly from a pick-up in the economy.“The reversal of the safe haven trade we have seen on Wall Street for the past three months is set to start playing out on Main Street,” said Jim Paulsen, chief investment strategist at Wells Capital Management. “It’s not just the lean and mean companies, but also those consumers who have saved and delayed buying products. There is a lot of pent-up demand.”From a trading perspective, the S&P 500 has room to rally beyond resistance just above 1,000 and possibly approach 1,100, according to some analysts“The 1,100 area on the S&P marks fair value for the market’s move between 1994 and the top in 2007,” said Bill Strazzullo, chief market strategist at Bell Curve Trading. “These high-value trading areas are like magnets for the market.”Among stocks in the news this week, shares in Yahoo dropped 18.1 per cent to $14.32 after investors knocked the company’s search engine tie-up with Microsoft.General Electric rose 11.4 per cent to $13.40 this week after it indicated that its finance unit did not need additional capital and Goldman Sachs upgraded the stock.Colgate-Palmolive’s profits beat estimates amid cost cutting, and the group maintained guidance for the rest of the year. The stock fell 3.5 per cent to $72.44 this week.MasterCard rose 4.6 per cent to $194.03 after a 26.4 per cent rise in net income for the second quarter. Visa also beat estimates, but dipped 2.7 per cent to $65.46 this week. Dow Chemical recorded a loss of $486m for the quarter, due to charges stemming from its $16.5bn buy-out of Rohm & Haas and weak sales, but beat estimates and rose 4.9 per cent to $21.17 this week.In deals, IBM said it would buy SPSS, a provider of predictive analytics software for $1.2bn or $50 a share. SPSS rose 41 per cent to $49.48 this week, while Big Blue gained 0.2 per cent to $117.93.
7;D;Dominion Resources;2008-07-03T16:59:27Z;Babcock & Brown fund buys Dominion utilities;;An unlisted energy and infrastructure fund managed by Australia’s second largest investment firm has agreed to buy Dominion Resources’ natural gas utilities in Pennsylvania and West Virginia for $910m.Babcock & Brown Infrastructure Fund North America (BBIFNA) said that it would acquire People’s Natural Gas Company and Hope Gas subject to regulatory approvals.On completion of the deal, the San Francisco-based wholesale fund, which is one of three unlisted infrastructure funds managed by Babcock & Brown, will have added natural gas delivery to 359,000 homes and businesses in the Pittsburgh area and to 115,000 in West Virginia to its US asset base.Those assets already include a power cable under San Francisco Bay, port operations in Florida, Louisiana and Alabama, and a stake in the 15,768km Natural Gas Pipeline of America.Babcock & Brown, which advised the fund on the acquisition, said the $910m price included working capital and capital expenditures, subject to adjustments. Babcock & Brown raised about A$1.4bn (US$1.34bn) in the US capital markets between last October and March this year, specifically for infrastructure opportunities in North America.The sale of the gas utilities to BBIFNA comes after an unsuccessful attempt by Dominion in March to sell those same assets to Equitable Resources.The earlier deal was blocked by the US antitrust regulator as creating a natural-gas monopoly in the Pittsburgh area.Dominion, one of the US’s largest energy producers, said it plans to use the $675m after-tax proceeds from the deal to pay down debt.Babcock & Brown, which manages A$72bn in global infrastructure assets, has been forced to justify the viability of its business model which is highly dependent on easy access to capital.It won a last-minute reprieve from its bankers who have agreed to drop a clause giving the lenders the right to review the terms of a A$2.8bn corporate debt facility in return for Babcock & Brown paying more interest on the debt.
8;D;Dominion Resources;2007-12-26T19:47:24Z;Transocean and Google reap M&A rewards;;Technology groups Google and Oracle and energy companies XTO and Transocean enjoyed the best share price performance among US corporations making large domestic acquisitions this year, according to Dealogic data.Figures from the data provider show how shareholders have been willing to reward big deals in the technology and energy sectors, while financial services groups have been unable to offset the pain of the credit squeeze with large acquisitions.Wachovia and Bank of America, the two North Carolina-based banks, were among the worst performers, according to Dealogic.Google took the top spot. Its shares rose 47 per cent between its announcement in April of the $3.1bn purchase of Doubleclick, the internet advertising company, and December 14. The search engine outperformed the S&P 500 index by 44 per cent.Second place went to Trans-ocean, which in July made a bold consolidation move in the oil services sector, acquiring rival GlobalSantaFe for $17.6bn. After the deal was announced, Transocean outperformed the S&P by 31 per cent.Meanwhile, Oracle was rewarded for its purchase of Hyperion Solutions, a rival software group, and XTO gained in the wake of its acquisition of assets from Dominion Resources.The Dealogic analysis has been running for four years, offering some evidence of investor reaction to big consolidation moves.However, it falls short of an evaluation of the best and worst deals. A company’s ability to implement projected cost savings or revenue targets related to a merger often cannot be calculated for months after a deal closes.The worst performer in 2007 was Vulcan Materials, which makes construction aggregates. It agreed to buy Florida Rock Industries for $4.5bn in February, just as the US housing market began its decline. Vulcan shares have underperformed the S&P index by 29 per cent since then.Bank of America also suffered after its $21bn purchase of Illinois-based LaSalle Bank in April. Its shares have fallen 17 per cent compared with the index.Wachovia has underperformed the S&P by 24 per cent since its $6.8bn takeover of AG Edwards, the brokerage, which was agreed at the end of May.
9;D;Dominion Resources;2020-04-17T03:30:43Z;Coronavirus creates new priorities for consultants;Deals have dried up in emerging markets. Now the focus is on helping businesses survive the pandemic;Suddenly the music has stopped for dealmakers. Mergers and acquisitions, mainstays of consultancy work, are no more resistant to coronavirus than the rest of the global economy.But the decline in transactions has led businesses to focus their attention elsewhere — in particular, on how to survive and potentially thrive once the recovery comes.Worldwide volumes of M&A activity were down nearly a third in the first three months of the year compared with the same period in 2019, according to Refinitiv, the financial data provider. Asia Pacific experienced a 17 per cent drop.Emerging markets are now growing at their slowest pace since records began and experts predict flat growth at best and declines in gross domestic product in some cases. Rating agency Fitch has forecast anaemic GDP growth of 0.8 per cent for Turkey this year, while it expects South Africa’s GDP to fall by 3.8 per cent and Russia’s by 1.4 per cent.According to Fiona Czerniawska, co-founder of Source Global Research, which advises the professional services industry, the sudden fall in deals is not the prelude to a V-shaped recovery, where the economy suffers a sharp drop followed by an acute rise, but rather to a U-shaped upturn, in which activity picks up more gradually.In part that is because of the constraints imposed by social-distancing measures. “It is much harder to build trust remotely,” says Ms Czerniawska. “In a lockdown it becomes much harder to go beyond the people that you know already. Consultants need to demonstrate that they don’t just bring advice but that they have been involved in developing results in the past.”A downturn presents not only complex scenarios for companies but also opportunities for consultants in emerging markets to help them through the dark times, says Mehmet Sami, founding partner of Pretium Advisory in Istanbul.“[The drop in economic activity] leads to a polarisation in the corporate world,” Mr Sami adds. “The difference between stressed companies and resilient players will be bigger.”So what should consultants in emerging markets be advising companies to do if they are to weather the coronavirus storm?Tim Mahapatra is a London-based managing director at consultancy firm Alvarez & Marsal. He says companies are in survival mode and should be looking at ways of preserving as much cash as possible.“All the conversations with clients right now are about cash optimisation,” he says. “[The pandemic] is changing the mindset for the immediate period of the lockdown.”He says some of the key concerns business leaders face now include questions such as: “What do you do when your revenues stop but you still have to pay your suppliers? How do you take advantage of the range of support that governments are offering? How do you interact with the banks?”Mr Sami agrees that “cash control is going to be paramount” for businesses in emerging economies. He says it will be crucial for companies to make sure they have solid and easy-to-tap sources of credit.“If you don’t have a [credit] line in a bank, you’ll clearly have difficulties. But if you don’t, is a financial institution able to help?” he asks. “The banks could also be under stress as well in emerging markets because the global flows are slowing down. If banks are cautious, will they be able to provide facilities to corporates?”Companies — alongside consultants — need to start modelling various financial scenarios. Their survival may depend on their ability to respond swiftly to a wide range of possible outcomes.There are plenty of unknowns that business leaders need to be thinking about now, says Mr Sami.“What happens if the lockdown continues for the second quarter of this year?” he asks. “When do people think things will gradually improve? You need scenarios to make decisions and stress tests.”The pandemic’s global impact will be shaped, he argues, by the response of regulators and by the “behaviour” of the virus. “While the latter’s impact is unknown, the former creates [a] worldwide regulated supply shock, which results in demand shock,” he says. “In response, corporate leadership — especially boards — have enormous responsibilities and need to exhibit duty of care.”A key task is to set up robust board committees that can work through operational and financial scenarios to protect the business and satisfy regulators. Ultimately, Mr Sami thinks the health crisis will accelerate the “onboarding” of independent directors and consultants who can contribute their knowhow.Businesses need to start implementing “tracking policies” to make sure that manufacturing continues and that it is not hugely disrupted if — or when — coronavirus enters the workforce.“You have to have a good contact tracing system,” says Mr Sami. “If someone gets [coronavirus], make sure you isolate certain goods and people. You do need a lot of workforce protection, especially on the manufacturing side of things, with committees reporting on a regular basis.”The veteran consultant adds that monitoring supply chains is crucial in emerging markets such as Turkey. Where critical supply parts or raw materials are at risk, managers need to find alternative sources and new suppliers. Logistical analysis will help with developing flexible solutions.“This is the time when the effectiveness of the boards will be really questioned.”Whatever the priorities of businesses right now, executives must ensure they keep an eye on the future too, says Alvarez & Marsal’s Mr Mahapatra.Companies will see different types of restructuring depending on the sector — anything from going into administration to mere discussions about sources of credit to get through the rough patch, he says.But it is important to see beyond the immediate crisis. “What will the business look like in 12 months’ time?” he asks. “How do you maximise your chances of survival?”While survival strategies vary hugely, he says, “there are some common considerations”.One is the pivot to cash. Another is the need to secure supply chains in readiness for the rebound. “This includes accelerating payment to key suppliers to ensure they can respond and supporting smaller suppliers to make sure they can survive the next few months,” Mr Mahapatra says.“Prior to the lockdown being lifted, companies will need to ensure availability of labour, liaise with customers and suppliers, and organise inventory to prepare for an uptick in demand. For some, Covid-19 will have a long-term business impact, meaning they need to start repositioning their brands and deliver operational changes now.”With such measures in place, a rapid restart should be achievable. But he warns: “Many companies will emerge from the crisis with higher debt to repay or lower reserves. This will cause them to reprioritise their investment plans, potentially acting as a lag on recovery in the year ahead.”
