;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;EIX;Edison International;2019-12-23T04:00:28Z;Fire and flood focus minds of bosses and investors;Quantifying the weather-related costs from climate change is still a difficult job;"For Southern California Edison, a US power company with 15m customers, the risks of climate change are already in its backyard.Edison’s electrical wires sparked two deadly wildfires in 2017 and 2018, and the company recently set aside a $4.7bn reserve fund for possible liabilities related to the fires. Now it has embarked on a costly programme to upgrade its electrical lines and make its grid less likely to spark fires. “We are seeing the early manifestations of climate change in our state,” said chief executive Pedro Pizarro. “Beginning in 2017 and with the fires in northern California, those were at a scale that no one had ever imagined.” He outlines what Edison is doing in response. The company is replacing 6,000 miles of bare electrical wire to reduce fire risk, installing thousands of micro weather stations that monitor wind speeds, and swapping out the oil in its transformers with a less flammable alternative. For Edison International, the listed company that owns Southern California Edison, the financial impact of the fires has been serious. The company reached a $360m settlement agreement with the public entities that were damaged by the Thomas and Woolsey fires, and multiple other legal cases will determine damages to other parties. For another California utility, PG&E, the impact has been even worse. PG&E started bankruptcy proceedings in January 2019 after a series of catastrophic wildfires left it on the hook for as much as $30bn in possible liabilities. Owing to the severe risk, PG&E had to shut off power to nearly 3m customers this autumn, to prevent its electrical wires from sparking another fire. Edison also used blackouts in areas of high risk, leaving about 200,000 customers without power.The California wildfires and their impact on power companies are one of the most visible examples of how climate-related risks are starting to affect businesses, sometimes at a speed and scale that is unexpected. Over the past year, a growing number of companies and investors have been focusing on the physical risks of climate change, which include not just wildfires but also changing weather patterns, storms, and increased flood risks. Paul Polman, the former chief executive of Unilever said there had been a big shift in the way companies viewed climate-related risks. He pointed to a recent survey that asked board members whether climate change was relevant to their business: In 2017, 40 per cent of respondents said it was not relevant, but in 2018 that figure dropped to 14 per cent. “You see things moving faster than anyone ever imagined,” he said, referring to how businesses consider climate risk. “Companies need to have climate-competent boards.” The physical risks are only part of the picture — businesses also face risks from abrupt policy shifts, as governments try to reduce carbon dioxide emissions. Over the past year, several major economies including the UK and France have adopted targets to cut emissions to net zero by 2050, which will mean a radical restructuring of the economy in coming decades. As companies try to plan for these changes and quantify their impact, regulators have also taken note. Earlier this month, the Bank of England outlined a climate stress test for the largest UK banks and insurers, saying it would be the toughest such test in the world. The test will scrutinise how institutions are prepared for more frequent severe weather events, and examine whether they could withstand a sudden fire sale of “brown” assets (those considered detrimental to the environment).“Climate change will affect the value of virtually every financial asset; the [test] will help ensure the core of our financial system is resilient to those changes,” said Bank of England Governor Mark Carney.The test includes three future scenarios, the most severe of which envisages 4C of warming by the year 2080, which would bring major weather changes including heatwaves and flash floods. Jon Williams, partner for sustainability and climate change at PwC, said companies and institutions needed to carry out their own checks, even before the mandatory tests begin. “Firms need to think about how their businesses, operations and clients are exposed to physical, transition and liability-related risks,” he said. However, quantifying the exact costs of the changing weather that results from climate change is still a difficult undertaking. Some sectors, such as real estate, have developed sophisticated risk assessment models that take rising sea levels and storm risks into account. But for many sectors, the effects of climate change are more diffuse.A study by the non-profit climate assessment group CDP, which tallied the climate risks reported by 500 of the world’s largest companies, found that they reported nearly $1tn in climate risks to their business. Of these, around $250bn were related to write-offs or impairments due to policy changes and physical risk. For the California power companies, the wildfires are only one example of the physical risks that companies face due to climate change. “It is not just drought, but we have also had floods,” said Mr Pizarro, adding that abnormally high winds have also helped to stoke the fires. “Climate change brings significant volatility and changing patterns.”While some parts of the world will see more frequent heatwaves and drought due to global warming, others could see increased rain and flooding. The power companies also have to plan for how to address rising sea levels and the challenge of coastal erosion. One thing under consideration is “to what extent will we need to harden our grid there in response to sea level rise,” said Mr Pizarro. “Will you see adaptation as moving inland from the coast, or will the homes on the coast be [protected]?” Moral Money is our new weekly newsletter covering sustainable business, finance and investing. Sign up here for breaking news and insightful analysis on this bubbling revolution.The uncertain physical risks are compounded by big policy shifts under way. California aims to be carbon neutral by 2045, which will mean a complete reshaping of the utilities business.Electricity demand is expected to rise by 60 per cent by 2045 compared with today, according to calculations by Edison, as the state works to cut emissions by introducing more electric vehicles. At the same time, California will also boost its wind and solar power, and add more energy storage. “The investment requirement across the economy for added renewable storage and wires is around $250bn between now and 2045,” said Mr Pizarro. That figure does not include the new electric vehicles or home heaters that will also be needed to reach the target.The year capitalism went cuddlyGerman bosses question US pledges on corporate reformHow asset managers turned into business agitatorsFacebook joins Silicon Valley’s rush to appear responsibleWhat it feels like to be a worker in the ‘woke’ worldWarren Buffett on why companies cannot be moral arbiters"
1;EIX;Edison International;2018-11-12T17:40:56Z;Californian power companies under scrutiny as wildfires spread;Electrical equipment among possible causes of blazes that have killed at least 31;Shares in California utilities PG&E and Edison International plunged on Monday as concerns rose that deadly wildfires ravaging the state could cost them billions of dollars.PG&E and Edison, which serve territories affected by separate wildfires in northern and southern California, could face liabilities from fires potentially ignited by electrical equipment as well as the cost of damage to their infrastructure, analysts said.PG&E shares fell as much as 38 per cent, prompting a brief halt in trading, before closing 17.4 per cent lower at $32.98. Edison shares retreated as much as 25 per cent before paring their losses to finish down 12.2 per cent at $53.56.At their lows, PG&E and Edison shares posted their worst intraday performance since California was hit by power shortages about 16 years ago.Firefighters have been battling multiple blazes in northern and southern California. The Camp fire — as the outbreak in northern California is called — has grown to become the most destructive in the state’s history, burning 109,000 acres and more than 6,000 homes as of Sunday.Officials said the fire had killed 29 people, while two others had died in a separate blaze near Los Angeles. More than 200 people are missing. An early estimate from Morgan Stanley put insured losses from the Camp fire at $2bn to $4bn, with higher economic costs.The cause of the Camp fire is under investigation. Cal Fire, the state’s firefighting agency, is reportedly looking into whether electrical equipment could have ignited the blaze.In a filing with the state’s utilities regulator last week, PG&E said it detected damage to a transmission tower in the area where the Camp fire started, according to the San Francisco Chronicle. The company said the information it provided was preliminary.Greg Gordon, Evercore ISI analyst, cut his price target for PG&E shares to $49 from $55, citing an “exposure place holder” of $3.5bn, according to Bloomberg. Investors were discounting more than $20bn in exposure, Mr Gordon said.Michael Lapides, analyst at Goldman Sachs, said he expected “incremental investor concern” as the wildfires spread. He also noted that a California law passed in August did not contain provisions that would allow utility companies to recover costs related to potential fires this year.The California Fire Fighters, FEMA and First Responders are amazing and very brave. Thank you and God Bless you all!Edison’s local subsidiary, Southern California Edison, submitted an initial safety incident report that noted an outage in the vicinity of the Woolsey fire, which has forced thousands of Los Angeles-area residents to evacuate. The fires have damaged Southern California Edison equipment and lines, according to the company.Both PG&E and Edison said they would co-operate fully with any investigations.PG&E took a $2.5bn charge in the second quarter to cover its potential liabilities from a series of wildfires last year. In June, the California Department of Forestry and Fire Protection linked PG&E-owned power poles and lines to 12 fires that hit northern California in October 2017.More than 8,000 firefighters were battling the blazes on Monday, while winds fanned flames feeding on dry brush. President Donald Trump tweeted: “The California Fire Fighters, FEMA and First Responders are amazing and very brave. Thank you and God Bless you all!”Analysts at Keefe, Bruyette & Woods said it was still too early to make credible estimates of the financial losses, but that primary insurers rather than reinsurers would likely bear the majority of the cost to the insurance industry. According to RMS, a modelling firm, 6,700 structures have already been destroyed by the Camp fire, and over 15,000 more are threatened.In a blog on the RMS website Chris Folkman, a senior director at the company, wrote: “The wide dispersion of smoke was a noticeable feature of the fires in many highly populated areas of California. The smoke is sure to result in many insurance claims for evacuation, business interruption, and contents damage.”The share prices of insurance companies fell on Monday. According to KBW, the five largest insurers in California by market share are State Farm, Farmers, Liberty Mutual, Allstate and Auto Club Exchange.Many of those are mutuals or privately owned. But shares in Allstate fell 2.3 per cent on Monday, while Travelers, Chubb and AIG were all off more than 3 per cent.KBW said AIG and Chubb could have significant exposure to properties in Malibu, which is in the path of the Woolsey Fire in southern California.
2;EIX;Edison International;2017-12-21T20:11:35Z;Utilities short-circuited by California wildfires;;A devastating rash of wildfires that have hit California over the past few months are casting a long shadow over two of the state’s major utility groups, PG&E and Edison International.PG&E shares are down nearly 12 per cent on Thursday, a day after the company announced that it was suspending its dividend, citing “uncertainty related to causes and potential liabilities associated with the extraordinary October 2017 Northern California wildfires.” If held, the drop will be the company’s biggest since August 2002, according to Thomson Reuters data.It’s PG&E’s second major tumble in recent months. Just after the wildfires broke out, it shares were hit as concerns grew about its possible liability for the wildfires. Those concerns were underscored by Wednesday’s announcement, in which PG&E acknowledged that no cause had yet been identified for the October blaze.That leaves a cloud of uncertainty hanging over PG&E. The company — which is headquartered in San Francisco and operates Pacific Gas & Energy, billed as California’s largest investor-owned utility — said that California courts have found that utilities could be liable for property damage caused by their equipment — meaning that if PG&E equipment is found to be a culprit for the fire, it could be forced to pay up.Given the extensive damage, the tab for the wildfires could run into the millions or even billions of dollars.“After extensive consideration and in light of the uncertainty associated with the causes and potential liabilities associated with these wildfires as well as state policy uncertainties, the PG&E boards determined that suspending the common and preferred stock dividends is prudent with respect to cash conservation and is in the best long-term interests of the companies, our customers and our shareholders”, said Richard Kelly, chair of PG&E’s board.Those concerns have also infected Edison International, another utility group with a large California presence through its subsidiary Southern California Edison. Edison’s shares are down 6.7 per cent on Thursday after PG&E’s announcement.Edison recently set off alarms on Wall Street when it said that it believed investigators looking into the cause of another deadly wildfire outbreak in the southern part of the state could be looking at “the possible role of its facilities.” Including Thursday’s drop, Edison’s has lost nearly 22 per cent of its share price value so far this month.The losses have dragged the utilities sector on the S&P 500, which is one of the few sectors in the red on Thursday despite a tax reform-fuelled rally. It shed 0.9 per cent today, and 6.5 per cent so far in December, putting it on track for its worst one-month loss since February 2015, according to Thomson Reuters data.
3;EIX;Edison International;2017-12-12T16:51:42Z;Edison leads utilities lower while California wildfires burn;;Edison International shares have been singed amid an investigation into the cause of wildfires raging in California, and its losses have helped to drag the utilities sector to the bottom of the benchmark S&P 500 index.The California-based utility’s shares were down about 6.6 per cent on Tuesday, bringing its total drop since the start of December — when the latest round of deadly and destructive fires broke out — to 16.7 per cent.Southern California Edison, one of Edison’s subsidiaries, says it provides services for a population of about 15m in central, coastal and southern California, where the fires have been wreaking havoc.Edison shares tumbled 12.8 per cent on December 5, as the fires started to gather strength. They started to recoup those losses until they were knocked off kilter on Tuesday following a statement from the company saying that it believed authorities’ investigation into the origin of the wildfires now includes “the possible role of its facilities.”The company added: “SCE continues to cooperate with the investigations. The wildfire investigations may take a considerable amount of time to complete. SCE will provide updated information as circumstances warrant.”The statement has sparked investor fears that Edison may be found at fault for the fires and thus on the hook for damages. Those fears echo the concerns that drove down shares of another utility that operates in California, Pacific Gas & Electric, in October amid fears about its liability for another spate of wildfires that devastated Northern California.It is unclear so far what, or who, is to blame for the latest fires, but liability for such events — depending on the circumstances — can range into the hundreds of millions or even billions of dollars in extreme cases.That uncertainty has cast a cloud over Edison shares that could linger until a cause is identified. Its losses have put it at the bottom of the S&P 500 by midday trading on Tuesday, and have pushed the entire utilities sector to an 0.93 per cent decline, the biggest loser so far today on the index.
4;EIX;Edison International;2015-12-08T05:07:13Z;Complex deals from Texas to Arkansas via Greenland;Firms can play an increasingly central role in unlocking investment for projects to materialise;From building a port in Greenland to financing a steel mill in Arkansas, lawyers in North America are using increasingly complex funding structures to satisfy local regulations and the often conflicting demands of investors.Business needs access to capital and although trading conditions have improved considerably in the US over the past couple of years, there is still a lack of liquidity and an intense desire to safeguard investment. This year’s submissions to FT North America Innovative Lawyers have shown law firms playing an increasingly central role in unlocking investment and enabling deals and projects to be financed.In Greenland, the financing for the new national port, via the US private placement market, was helped by Morrison & Foerster partner Brian Bates, who led a team structuring the arrangement. The deal was unique in that it was a financing of specific assets — a harbour, quays and cranes — done in a way that gave the investors prior security in those assets, along with assignment of the lease from the port operator.Greenland’s laws do not have the concept of land ownership, so investors are unable to take a security interest in the underlying property rights. The laws of the country, which is an autonomous Danish dependent territory, are also unknown to most international investors.On offer were “secured notes which are secured by mortgages on the buildings to be built at the port, a collateral assignment of the lease between the company and the port’s principal operator, Royal Arctic Line, and a security interest in certain cranes which shall be installed at the port by the company following construction of the port”, all without a government guarantee or land ownership, according to the firm.Freeport LNG, creating in Texas one of the world’s largest natural gas liquefaction and export facilities in the world, hired White & Case to structure the complex funding for the project and to handle equity and debt financings for each of three liquefaction trains — liquefaction and purification facilities.“When the multi-owner structure was created the financial markets were still recovering from the global financial crisis,” the firm says. “A straightforward structure with a single project company was not a viable option.”By creating a system where there were multiple owners, FLNG was able to tap multiple financing sources, though it also created “an incredible amount of substantive and procedural complexity”, says the firm, for which the deal was led by New York partner Jason Webber. “Simpler solutions that might have been acceptable to equity investors of the liquefaction owners were flatly unacceptable to their lenders or to FLNG, and vice versa.”Another example is Freshfields Bruckhaus Deringer’s advice to KfW IPEX-Bank on the financing of the world’s first flex steel mill plant, at $1.3bn the largest private investment ever in Arkansas. Investors included secured and un-secured commercial banks, hedge funds, government lenders and grant providers.“Many investors could only invest if certain conditions were satisfied, which often conflicted with the interests of other investors,” according to the firm. “With over 50 parties involved in the project, success relied on innovative inter-creditor arrangements that satisfied conflicting interests.”The varying interests ranged from clawback rights if job creation targets were not met, working capital lenders’ need for first-priority security over accounts receivable and conditions around the order in which certain loans would be funded, among other issues. Some were required by the investor, others by the law.Many investors could only invest if certain conditions were satisfied, which often conflicted with the interests of other investorsThe work was KfW’s largest financing in the US and may create at least 500 jobs, according to Freshfields. Partner Melissa Raciti-Knapp led the team on the project, which involved more than 50 parties.“The arrangements were so successful that they made for a strong bankable project,” the firm says. “Despite challenges along the way, including a lawsuit from a competitor before closing, not a single lender or other credit provider failed to honour its commitment to the project.”Other examples of North American legal teams playing a larger role in complex financing structures include Chadbourne & Parke’s work representing NRG Energy. The deal was a tax-equity financing of a $2.65bn portfolio of wind farms spread across eight states.The challenge was to find a way for NRG to make the most competitive bid for the portfolio in the midst of the Edison Mission Energy bankruptcy.Hogan Lovells also tackled similarly complex funding structures in its advice on the first securitisation of revenues from oil and gas royalties in Brazil, on behalf of BB Securities and BNP Paribas for the Rio Oil Finance Trust. The $2bn deal was the largest structured bond ever sold by an emerging markets issuer, according to the firm.
5;EIX;Edison International;2015-11-17T21:00:33Z;Batteries start to compete for power grid;Lazard predicts falling cost of electricity storage will boost solar and wind power;The cost of batteries is falling to the point that they are becoming an increasingly viable option for uses such as supporting the stability of power grids, according to Lazard, the investment bank.Electricity storage has until recently been prohibitively expensive, but its emergence at an economically viable cost will enable increased use of wind and solar power, which are not always available.The cost of renewable energy has fallen sharply over the past decade as market growth, usually encouraged by subsidies, has enabled manufacturers of wind turbines and solar panels to benefit from economies of scale.Similar trends are now at work in electricity storage with investments such as Tesla’s battery “gigafactory”, now under construction in Nevada, greatly increasing manufacturing capacity.Within five years, Lazard believes, the price of batteries is likely to have fallen to the point that they will be competitive against back-up fossil fuel power generation for a wide range of uses.“Storage is looking far more optimistic in terms of innovation and material impact now,” said George Bilicic, global leader of Lazard’s power, energy and infrastructure practice.“Power grid applications were grade school science projects a few years ago. They are much more real now.”The need for electricity storage has grown along with the use of renewable energy. Onshore wind and solar power in sunny areas are now competitive with conventional coal and gas-fired electricity generation even without subsidies, according to Lazard.However, because their output is not consistent through the day, and cannot be called on whenever needed, they have to be supported by other power sources. These are typically gas-fired “peaker” plants, which cost more to run than the most efficient generation and are used only when demand is highest.From the US to China, solar power is poised to tackle climate change and shake up the electricity industryRead moreBatteries are still typically more expensive than peaker plants for uses such as supporting the grid at times of strain or backing up renewable energy, but Lazard expects that in five years’ time they will be generally competitive options even without any subsidies or tax breaks.New electricity storage installed on to the grid to support wind and solar power is likely to grow more than 60-fold from 196 megawatts of capacity this year to 12,700MW in 2025, according to Navigant, a research firm.Jim Robo, the chief executive of NextEra Energy, told a conference in September he expected that after 2020, “there may never be another peaker built in the United States”, because electricity storage would be used instead.NextEra, which owns Florida Power & Light, a utility, is one of many US and international companies investing in storage. AES, the Virginia-based power company, is for example providing 100MW of battery storage capacity for Southern California Edison, another utility.The PJM electricity grid, which stretches from Tennessee to New Jersey, has become a centre for investment in storage because its market design rewards sources that can be brought on quickly to support the infrastructure.The cost of large high-powered batteries is falling, offering the prospect that large scale storage could transform industry. Matthew Vincent asks Clive Cookson, FT science editor, and Andy Sharman, FT motor industry correspondent, how far off this is.Widespread use of energy storage was not essential for increased reliance on renewables, said Mr Bilicic. A “blended” mix of solar, wind and gas-fired power, with improved energy efficiency, could be competitive with conventional coal plants, he added.One option to back up variable renewable energy is flexible combined-cycle gas turbine plants.General Electric and Siemens have brought on to the market new turbines that can ramp output up and down faster and with higher efficiency than previous models.However, electricity storage will make it easier to increase the contribution made by renewables, Lazard believes, and can generally be deployed faster than new gas-fired power plants.
6;EIX;Edison International;2015-06-12T16:01:24Z;US probes Infosys and Tata Consultancy over H1-B visas;Lawmakers believe hundreds of American workers have been replaced by foreigners;The US government is investigating Infosys and Tata Consultancy Services, two leaders of the Indian IT outsourcing industry, over their use of visas to bring highly-skilled workers to America, according to two US lawmakers.The Department of Labor is probing potential “visa abuse” by the two companies, according to two US Senators, who say they used a US visa programme to “replace hundreds of American workers” at a power company.Most Democrats and Republicans are deeply divided over how to reform the US immigration system, but the case points to some cross-party agreement that the visas, known as H-1Bs, should not be used to displace US workers.The government probe was announced by Senator Dick Durbin, a Democrat from Illinois, and Senator Jeff Sessions, a Republican from Alabama.“We’re pleased to hear that the Labor Department is taking a first step to stanch this tide of visa abuse. A number of US employers, including some large, well-known, publicly traded corporations, have laid-off thousands of American workers and replaced them with H-1B visa holders,” they said.The Department of Labor had no comment on the details of its investigation.Indian IT outsourcing companies rely heavily on H-1B visas to allow Indian staff to work on projects in the US, as do Silicon Valley tech businesses, which have lobbied hard to increase the number of visas issued each year.The DoL investigation was sparked by a power company called Southern California Edison, which the Los Angeles Times said in February was firing domestic IT workers and replacing them with employees from Infosys and Tata Consultancy Services, who had been brought in under outsourcing contracts with the companies.The report prompted the lawmakers to lead a bipartisan group of Senators who wrote to three federal agencies — including the DoL — to call for an investigation into visa abuses.Senator Durbin and Senator Sessions said: “To add insult to injury, many of the replaced American employees report that they have been forced to train the foreign workers who are taking their jobs. That’s just plain wrong and we’ll continue to press the administration to help solve this problem.”Infosys said: “Infosys is committed to complying with US immigration laws. The US Department of Labor regularly selects a percentage of visa and labour condition applications for extra scrutiny in this industry, and we work closely with the DoL to assist them in this activity in the ordinary course of our business. We have received no indication of any broader investigation of Infosys visa practices.”Tata said: “TCS maintains rigorous internal controls to ensure we are fully compliant with all regulatory requirements related to US immigration laws including those related to H-1B visas.”Southern California Edison did not respond to a request for comment.In 2013, Infosys agreed a civil settlement with the US Department of Justice over the alleged misuse of a different immigration visa, which included a $34m penalty — then the largest amount ever paid in an immigration case.The US has an annual quota of 65,000 H-1B visas and Mr Sessions has complained that companies are using them to bring in “lower-wage guest workers” even as many US graduates with science and engineering degrees struggle to find good jobs.Immigration policy and its economic impact is likely to feature prominently in the campaign for the 2016 presidential election.
7;EIX;Edison International;2013-06-23T18:34:40Z;US nuclear policy;Atomic energy should remain an important part of the mix;Pandora’s Promise, a film recently released in the US, seeks to win new allies for the cause of nuclear power on the grounds that it helps fight the threat of global warming caused by burning fossil fuels.It is a timely argument as President Barack Obama prepares for a statement on the climate on Tuesday. Unfortunately, the US nuclear industry has lost friends where it really matters: among regulators, executives and investors.This month the US utility Edison International gave up on trying to reopen its San Onofre nuclear plant in southern California because the cost of meeting regulators’ requirements would have been prohibitive.Two other US reactors are also being retired this year: Crystal River in Florida, which like San Onofre needed costly repairs, and Kewaunee in Wisconsin, which closed because power prices in its region were too low.Behind those three decisions lies the US shale revolution, which has sent gas and electricity prices tumbling. It has been clear for a while that cheap gas made building new reactors unattractive. Now it appears that even existing plants may not be commercially viable.For the long-term future of US energy supplies, this is a problem. Nuclear power provided 19 per cent of US electricity last year. If that were to disappear, much of it would be replaced by gas-fired power. Renewables have made enormous strides, and solar power in particular is becoming an increasingly competitive option in parts of the US. But without large-scale energy storage, renewables cannot be relied on to provide power whenever it is needed.Replacing nuclear power with gas would both increase carbon dioxide emissions and expose more of US energy supply to commodity price risk. Thanks to shale, gas seems likely to be the low-cost option for the foreseeable future, but over the decades-long life of a plant, that could change.So while the short-term arguments may point against nuclear power, regulators need to take a longer-term view. At San Onofre, Edison was made to meet demands that were more onerous than it had expected after a vocal campaign against the plant. With the economics of nuclear power already tricky, extra regulatory requirements can tip the balance.Safety, of course, is paramount, but regulators must make rational assessments of the risks rather than responding to political pressure. Nuclear power is an important part of the energy mix, and it should be allowed to remain so.——————————————-Letter in response to this editorial:Nuclear waste challenges are real but manageable / From Mr Armond Cohen
8;EIX;Edison International;2013-06-07T23:05:57Z;San Onofre nuclear plant latest in US to close;;One of the largest nuclear power plants in the US is to be shut down permanently, it was announced on Friday, in the latest sign of the deterioration in the industry’s economics.Edison International, the California utility, said it planned to retire both units at the San Onofre plant north of San Diego, which have not been operating since January 2012.It was the third shutdown of a nuclear plant for largely economic reasons to be announced in the US this year, as cheap natural gas and government support for renewables has made it more difficult to justify not only new nuclear construction, but even repairs to existing plants.At San Onofre, one unit had been shut down for maintenance, the other because of a leak from a tube in its steam generator, which transfers heat from the reactor to the turbine system.The US government’s Nuclear Regulatory Commission found “unexpected degradation” in the tubes in both units’ steam generators.Edison had been working to restart one unit, but faced opposition from environmental groups and objections from regulators.Ted Craver, Edison’s chief executive, said “continuing uncertainty about when or if” San Onofre would start up again was “not good for our customers, our investors, or the need to plan for our region’s long-term electricity needs”.The shutdown means the company will take a charge of $450m-$650m.Analysts said that while Edison could have pressed on with securing the regulatory approvals and making the investment needed to restart the plant, that was a less attractive option than investing in other sources of supply.The US Energy Information Administration said additional spending on gas-fired power plants and power transmission lines meant southern California would have an acceptable margin of security in its electricity supplies during the peak summer months even without any contribution from San Onofre, although that could still be threatened by problems such as wildfires.Travis Miller, director of utilities research at Morningstar, said low natural gas prices caused by the shale boom were encouraging regulators to look at alternatives to nuclear power.“Regulators are becoming more confident that investing in gas plants has lower costs and presents lower risks to customers than spending hundreds of millions of dollars and taking on the uncertainty that goes with repairing a nuclear plant.”Edison’s shares rose 2.7 per cent to $47.61 on Friday.After no retirements of nuclear plants in recent years, shutdowns of about 3,600 megawatts of capacity have been announced in 2013.Duke Energy said it would retire the Crystal River plant in Florida, which like San Onofre was shut down and needed repairs, and last month Dominion announced the closure of the Kewaunee plant in Wisconsin, which faced a tough market with low electricity prices.Damon Moglen of Friends of the Earth, the environmental group, said the San Onofre decision marked a “historic” week in the decline of the US nuclear industry.“These aging nuclear power plants are not reliable, they are not safe, and because of that they are not economic,” he said.The US Nuclear Energy Institute, which represents the industry, said the problem with steam generators was “unique” to San Onofre.It added: “This is a blow to California’s energy diversity, but is not an indicator of the industry’s larger ability to reliably supply low-carbon electricity to hundreds of millions of electricity consumers from facilities operating in 31 states.”Edison said it would “pursue recovery of damages” from Mitsubishi Heavy Industries, which supplied the steam generators fitted at San Onofre in 2009-10.
9;EIX;Edison International;2020-04-03T03:00:05Z;Emerging market debt burdens may be sorely understated;Recent paper suggests overseas liabilities of EMs are greater than previously thought;For emerging economies, coronavirus struck first through the financial markets. Long before the numbers of cases and deaths in these countries began to spread alarm, many emerging markets experienced a sudden halt in foreign investment inflows.Overseas investors have taken $95bn out of EM stocks and bonds since late January, according to the Institute of International Finance, dwarfing the withdrawals that followed the onset of the global financial crisis in September 2008.As Covid-19 infections rise and fragile health systems struggle to cope, foreign investors may be low on the list of concerns for EM governments. But these outflows will have a big impact on the fiscal measures policymakers can bring to bear on the crisis.Emerging markets’ overseas liabilities, moreover, may be bigger than previously imagined. A paper published by Matteo Maggiori at Stanford and colleagues at Harvard, Chicago Booth and Columbia Business School suggests the true ownership of EM bonds by overseas investors is much greater than shown in standard data — in some countries, by many multiples.The paper also suggests that foreign holdings of shares issued by Chinese companies may be many times greater than the $160bn that shows up in US national accounts. Should US-China relations sour in the aftermath of the coronavirus crisis, these giant holdings could become a source of significant risk.Mr Maggiori and his colleagues question the normal practice of allocating securities in national accounts on the basis of the residency rather than the nationality of their issuer. It may make sense, for example, for a bond issued by a Brazilian subsidiary of Banco Santander to be added to the debt statistics of Brazil (the residency of its issuer) rather than Spain (the nationality of the issuer’s ultimate owner), because the bond’s proceeds are likely to be put to use in Brazil.But it makes much less sense for a bond issued by Petrobras International Finance Company, a Cayman Island subsidiary of the Brazilian oil group, to be added to the debt statistics of the Cayman Islands. Yet that is what happens in standard, residency-based financial statistics such as the US’s Treasury International Capital data (TIC) and the IMF’s Coordinated Portfolio Investment Survey (CPIS).Mr Maggiori says this results in a vast understatement of the investments by US, European and other international investors in emerging economies. So the academics developed an algorithm to reallocate the securities logged in the TIC and CPIS data according to nationality rather than residency.The results are startling. TIC data show that US ownership of Brazilian bonds at the end of 2017 amounted to $8bn, based on the residency of issuers. But restated by nationality, the total rises to $68bn. For Chinese bonds, the total rises from $3bn to $55bn. Mr Maggiori says the results sound a warning as the coronavirus crisis threatens to tip emerging markets into a debt crisis.“If we are going to see a wave of corporate defaults, it’s a risk worth thinking about that a lot of issuance has taken place offshore,” he said. “[Our work] shows that exposures are quite large.”What is also striking is the role played by tax havens such as the Cayman Islands. In the TIC data, of Brazil’s $59bn in reallocated bonds, $42bn were issued in tax havens. Of China’s $52bn, $44bn were issued in tax havens. The results also shine a light on the role of so-called variable interest equity structures in US investments in Chinese companies. VIEs allow US investors to hold shares in these companies, circumventing Chinese restrictions on foreign ownership of some operating businesses. But in these transactions what investors actually buy are shares in listed companies, generally resident in the Cayman Islands, that give them a claim on the profits of Chinese operating businesses.By reallocating such investments on the basis of nationality rather than residence, the paper shows that US “ownership” of Chinese companies at the end of 2017 was not $160bn, as shown in US national statistics, but $700bn. This puts it closer to the amount of Chinese ownership of US Treasuries, of about $1.1tn. This is significant because Chinese regulators are certainly aware of the smoke-and-mirrors act being carried out by VIEs. They could, should they wish, bring the practice to an end.Mr Maggiori is not suggesting they will. But he thinks the risk is worth noting. “You read a lot about the possibility of China dumping its US Treasuries but very little about the possibility of China imposing its own regulations. If we’re talking about one, we should certainly be talking about the other,” he said.jonathan.wheatley@ft.com
