;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;IT;Gartner Inc;2018-05-17T00:17:57Z;Australian company develops world’s largest 3D printer ;Titomic’s bus-sized device adds scale to technology that is transforming manufacturing;Titomic, an Australian company, unveiled on Wednesday what it said was the world’s largest and fastest metal 3D printer— a development it said that could revolutionise the advanced manufacturing industry.The bus-sized printer is capable of making complex aircraft wing parts of up to nearly 9m in length. It can also print metal bike frames in around 25 minutes. The technology has attracted overseas interest with Italian shipbuilder Fincantieri partnering with Titomic this week to explore using its “kinetic fusion” 3D printing technology at its shipyards.“Only a year ago people thought it would not be possible to use this type of printing process to make large-scale metal parts for industry,” Jeff Lang, chief executive of Titomic, told the FT. “Now we do are doing it larger and faster than anyone else.”By utilising three-dimensional digital models, 3D printing enables the creation of more complex and lightweight structures than traditional manufacturing methods and with less waste of materials. Some experts predicted it could spur a shift away from mass production back to local manufacturing in the markets where the products were sold. “3D printing removes the labour cost element in manufacturing by automating processes,” said Milan Brandt, professor of engineering at RMIT University, a technology and science-focused institution based in Australia.3D printing technology is already shaking up some advanced manufacturing sectors, according to Gartner, the research company, which predicts three-quarters of aircraft will fly with 3D printed components by 2021. It forecasts a fifth of the world’s top 100 consumer goods companies will use 3D printing to create custom products by then.Last year BP initiated a study to determine whether the rise of small-scale digital manufacturing using 3D printers would reduce the need to ship goods around the world, disrupting oil markets.“3D printing can provide an exponential increase in the speed of production lines,” said Mr Lang, who added that one of their 3D printers can do the work of 50 people. “It could enable, for example, US bicycle manufacturers, which tend to manufacture in cheap-labour zones, to begin to bring back local production.” Titomic’s technology was co-developed with the Commonwealth Scientific and Industrial Research Organisation, Australia’s national science agency. It has adapted existing cold spray technology — a technique used in the past mainly to deploy metal coatings and repairs to existing infrastructure.Titomic uses an additive manufacturing process, which sprays titanium alloy particles on to a scaffold, layer by layer, from a print head or nozzle, rather than by stamping or cutting metal panels on assembly lines. It does not use lasers or heat to melt metals — a method used by earlier generations of 3D printers, which have struggled to print metal components of any scale due to thermal distortion. Mr Brandt said Titomic’s technology was probably the world’s largest commercial 3D printer, although it was possible the Chinese defence establishment had developed similar printers. He said the technology was a step forward in terms of 3D printing at scale but cautioned that the printed components might not be as strong as those made using traditional methods, and might require some post-processing finishing. Mr Lang said Titomic’s 3D printing technology could get the metallurgy to within 1-2 per cent of standards produced by traditional manufacturing processes.Max York, Australia chief executive of General Electric, which previously held the record of developing the world’s largest 3D printer, said additive manufacturing was poised to become a disrupting force.Mr York said GE used the process to combine 855 separate parts into just 12 when designing a turboprop engine, adding: “It turns the whole classical design for manufacturing process on its head.”
1;IT;Gartner Inc;2018-04-11T21:55:15Z;Worldwide PC shipments fall for 14th straight quarter, Gartner says;;Worldwide PC shipments fell for the 14th consecutive quarter, Gartner said on Wednesday, on lower demand in China and the US and delayed orders ahead of the release of new models.Global shipments of personal computers — which include desk-based PCs and notebook PCs but not Chromebooks or iPads — fell 1.4 per cent to 61.7m units in the first quarter compared with the year-ago quarter. Shipments fell 2.9 per cent to 11.8m units in the US and 3.9 per cent in the Asia-Pacific market — led by a 5.9 per cent drop in China.“This was driven by China’s business market, where some state-owned and large enterprises postponed new purchases or upgrades, awaiting new policies and officials’ reassignments after the session of the National People’s Congress in early March,” Gartner analyst Mikako Kitagawa said.PC shipments also declined as some inventory was carried over from the end of last year and vendors awaited newer models, with Intel due to release the latest generation of core processors in the second quarter.The report showed that Texas-based Dell saw the biggest increase in shipments, up 6.5 per cent year-on-year. And while Dell secured the largest market share in the US, HP retained the top spot globally with 20.8 per cent of the market share.A separate report from IDC, however, showed that global PC shipments were little changed at 60.4m units, exceeding its forecast for a 1.5 per cent year-on-year decline in the first quarter. This marks the third straight quarter where traditional PC shipment volume has been roughly flat. IDC includes desktops, notebooks and workstations in its methodology.“The market is continuing on a resilient path that should see modest commercial momentum through 2020,” said IDC research manager Jay Chou.The PC market was expected to grow again in 2018 after years of decline amid the rising adoption of smartphones.
2;IT;Gartner Inc;2018-03-02T18:23:33Z;Time to worry about smartphone innovation;Struggle of gadget makers to generate buzz at MWC highlights shift in market;When the relaunch of a two-decades-old banana-shaped phone manages to create the most buzz at the world’s biggest telecoms show, it is time to start worrying about smartphone innovation.The phone in question — the old Nokia 8810 — was not even great in 1996, and looked more ridiculous than ever when relaunched with 4G at the Mobile World Congress this week. But it does highlight how far the market has shifted from hardware to services in just a few years.Mobile World Congress, an event designed to show off cutting-edge connected devices, instead showed just why the fortunes of the smartphone industry have turned so quickly. Its vast halls of cheap Android-based devices, with broadly the same shapes and functions, caused little excitement. Even Samsung’s big ideas this year stopped not much further than improving the camera on its flagship phone, which does not seem much given the Korean group’s $12bn annual R&D budget.It is no surprise that global smartphone sales fell for the first time in the last quarter of 2017, year-on-year, according to Gartner. Executives at telecoms groups say people are holding on to phones for longer, or buying older devices when the latest sells at twice the price with barely more functionality.Compounding the problem, the companies that make hardware such as smartphones, connected watches, or VR headsets have quickly found their supposedly groundbreaking devices easily copied by low-cost Asian manufacturers. Call this the IBM problem, which faced an existential threat as soon as Asian groups started churning out cheap PCs in the 1990s. But here IBM also provides a few tips to the future, with its pivot to software and solutions. By the time of IBM’s iconic “solutions for a small planet” ad campaign in 1996, the company was trumpeting voice recognition and ecommerce — producing the sort of digital enterprise backbone that ended up helping develop the internet economy.Likewise, the focus for successful tech groups has shifted towards operating systems and services. The 5G networks that were the other main feature of the telecoms congress were pointing to a move beyond smartphones, and to the development of smart homes and cars. Apple and Samsung may still make money from their phones, but they have considerable advantages in cross-referencing suites of connected devices from fridges to speakers.The latter, another of the gadgets tipped for big things this year, provides a snapshot of how competition is changing. Companies are not just battling over who can get the plastic devices into the house, but over who gets to have the sound of the voices of their personal assistants heard in the living room: Alexa, Bixby or Siri. This is reflected in the barely profitable prices being offered by the leading manufacturers. The money is to be made in your home PA, with any resulting opportunity to sell and advertise.Such AI-based platforms are being developed by an ever more dominant grouping, comprising Amazon, Apple, Google, Samsung and Microsoft. Companies just making gadgets are simply hanging on to their coat-tails now. Hence the huge valuations carried by the tech groups on the stock market relative to erstwhile rivals that have concentrated on making devices. But still, at least for this former tech reporter, there is a moment of mourning this week for the glory days of the smartphone — sometimes great, sometimes ludicrous, but rarely dull.
3;IT;Gartner Inc;2018-02-22T18:49:57Z;Global smartphone sales fall for first time;Incremental upgrades fail to persuade users to trade up;Global sales of smartphones declined in the fourth quarter of 2017 compared to the same period a year earlier, marking the first year-on-year decline as consumers were slower to upgrade their devices.Nearly 408m smartphones were sold to consumers in the final three months of last year, according to Gartner, a 5.6 per cent fall from the fourth quarter of 2016 and the first fall since the research firm began tracking the market in 2004.Although demand for features such as 4G connectivity and high-quality cameras remained strong, new products with only incremental improvements failed to motivate users to trade up, according to Anshul Gupta, research director.A decade of growth now means most people have access to a smartphone or tablet device but the latest research will be worrying for the telecoms industry, which has experienced falling sales in China, the world’s biggest smartphone market.As demand for new smartphones has slowed, manufacturers and chipmakers have begun to look towards alternative products to embed their technologies in, including ‘internet of things’ devices and automated cars.The Gartner report said Samsung remained the most popular smartphone brand by sales with a market share of 18.2 per cent, followed closely by Apple with 17.9 per cent.Samsung’s profit and average selling price could improve if its next flagship phones, the successors to its Galaxy series which are expected to launch this year, are successful.Gartner also expects strong demand for the iPhone X to bring a delayed sales boost for the US company in the first quarter of 2018.Chinese phone manufacturers Huawei and Xiaomi were the only companies to see sales grow, largely driven by strong demand in Asia.
4;IT;Gartner Inc;2017-10-26T17:57:34Z;Gorillas in the mist await cloud players old and new;Traditional IT companies are struggling not to be picked off as laggards in new world;Sometimes, in the midst of a technology shift that takes years to play out, you have to stop the clock to see what is happening.Relative value has been seeping away from old-line IT companies as the cloud becomes a significant locus for computing. It is not a binary choice for tech buyers, who are facing massive sunk cost in their existing systems — as this week’s alliance of convenience between Google and Cisco Systems shows. But there is no disguising the direction of travel.Between them, IBM, Hewlett Packard Enterprise, HP Inc, Cisco and VMware are now worth about $420bn — only 15 per cent more than this same group (before the HP break-up) was worth a decade ago.These companies, taken together, represent a large chunk of what, not so long ago, was thought of as the IT sector. The cloud has changed all that. To put it in perspective: their entire market capitalisation is equivalent to the extra value added over the past decade by Amazon, the leading cloud player.True, Amazon’s business still revolves mostly around ecommerce and logistics. But the solid profit margins of its cloud business, Amazon Web Services, are supporting the entire enterprise. The sheer scale of the addressable market — global IT spending should hit $3.5tn this year, according to Gartner — supports the analysts who argue that this will eventually become Amazon’s main business. That puts into perspective the messy transitional period the IT world is now in — and will continue to struggle through for a long time to come.When traditional IT companies first coined the term “hybrid cloud” — meaning the mixture of computing on their own premises and cloud-based services that is now the reality of life for most big consumers of IT — they were sounding a plea for continued relevance. But the pure cloud players are now making the same case, and building the relationships needed to work in this world. Amazon struck a deal with VMware last year, and now Google has allied itself with Cisco.The truth is, despite the tectonic shifts that seem to upend established tech companies with regularity, IT is a business with very long residuals. The heyday of the mainframe computer ended many years ago, but IBM is still reckoned to derive nearly half its profits from selling the machines, along with related software and services.However, that should not distract from where value — both in business and stock market terms — is shifting. The cloud is no longer just about buying extra storage capacity or processing capacity. Many of the most advanced development environments and higher level services for application developers are now being supplied from the cloud.With the partnership announced this week, Google will be creating many of those tools for Cisco’s customers. And machine learning is the not-so-secret weapon that will do much to drive the next round of cloud development: the chance for outside companies to plug into the artificial intelligence developed for the search giant’s own services could be a big draw in future.Some IT companies, at least in the stock market’s eyes, have already come through the Valley of Death represented by this transition. Microsoft has added $350bn in market value in the past 10 years. Oracle, after leading a wave of consolidation among traditional software companies, is finally getting a cloud lift that has added $120bn in market cap.The market value comparisons are pertinent. The IT sector has always gone through cycles, as periods of innovation give way to scrambles for consolidation. The winners are the ones best positioned when consolidation hits.After an incredible run as two of the winners from cloud-based software applications, Adobe and Salesforce are worth $85bn and $72bn respectively. That might make them look like survivors of the cloud transition. But it is all relative.When Microsoft toyed with buying Salesforce three years ago, for a reputed $60bn, it would have represented about 17 per cent of the larger company’s then-stock market value. Now that Microsoft has a much higher market cap, paying perhaps $80bn now would only represent 13 per cent of its present worth.The cloud is big enough to contain a multitude of software, services and infrastructure companies and more will emerge as it expands further. But there are already gorillas in the mist and — from the traditional IT players to the pure-play cloud services — no one can feel safe.richard.waters@ft.com
5;IT;Gartner Inc;2017-10-17T07:30:16Z;PC market set to return to growth in 2018;Windows 10 upgrade by businesses along with growth in China and Russia spark revival;The PC is set to stage a comeback in 2018, after the rise of smartphones sent sales of desktop and laptop computers into decline in recent years.The latest industry prediction suggests a return to growth for PCs next year, as businesses upgrade their computers, while markets including China and Russia rebound.Gartner, the research company, predicts the global devices market will grow by 2 per cent in 2018 to 2.35bn units. That would represent the fastest rate of growth since 2015.Ranjit Atwal, research director at Gartner, said the “misconception persists” that the world has gone completely mobile and relies on smartphones, when many people still use desktop computers, laptops and tablets for specific tasks including reading, watching videos and writing long emails.He said users holding on to older PCs for a longer period remains an issue for the market and that traditional PC shipments will probably shrink 4.4 per cent in 2018. That decline is more rapid than the 3.6 per cent drop that was recorded in the third quarter of this year as component shortages led to price rises that weighed on shipment growth.Yet businesses have started buying computers again, as more companies upgrade to Windows 10-based computers, according to Gartner. It predicts the overall market for PCs, including ultramobile laptop models, will rise 0.8 per cent in 2018 after a stable 2017.Mr Atwal said the PC market in Russia is expected to grow 5 per cent this year, with expansion continuing into 2018. Growth in that market will be driven by desktop computers, which are more aggressively priced than mobile computers and hybrid devices.Another growth driver will be China, where sales of PCs have been slow in 2017 because of security and privacy concerns related to Windows 10. With Microsoft now working with a Chinese government agency on an approved version of the software, Gartner expects a positive affect in 2018 as sales of ultramobile computers ramp up.The total PC market is expected to drop to 263m units this year from 270m in 2016, but is forecast to top 265m in 2018. That compares to 352m in 2011.The research company also expects phone sales to grow in 2018, with shipments expected to rise 2.4 per cent and smartphone sales seen rising 6 per cent to 1.6bn — about 86 per cent of overall mobile phone shipments. The iPhone X is seen as a sales driver in North America, China and Western Europe. With the phone not available until November, the impact of sales will not be felt until 2018.That could follow a weak fourth quarter of 2017 when component shortages could limit supply of new phones, particularly at the lower end of the market.
6;IT;Gartner Inc;2017-10-10T22:22:04Z;Global PC shipments decline for 12th straight quarter but HP bucks fall, Gartner says;;Worldwide PC shipments fell for the 12th consecutive quarter amid weakness in the US market, research group Gartner said on Tuesday.Global shipments of personal computers fell 3.6 per cent from a year ago in the third quarter to 67m units as signs of stabilsation in key regions like Japan, Latin America and Europe, the Middle East and Africa (EMEA) were offset by weakness in the US, according to preliminary estimates from Gartner. America saw a 10.3 per cent drop — its fourth straight quarterly drop — to 14.7m units.“Weak back-to-school sales were further evidence that traditional consumer PC demand drivers for PCs are no longer effective,” Mika Kitagawa, principal analyst at Gartner, said. “Business PC demand is stable in the US, but demand could slow down among SMBs due to PC price increases due to component shortages.”HP was the only major PC maker to clock a gain, with a 4.4 per cent increase in shipments to 14.59m units — marking its fifth straight quarter of PC growth and taking its market share to 21.8 per cent. Lenovo, which came in second reported a 1.5 per cent drop to 14.36m units, making it the eighth drop in the last 10 quarters and putting its market share at 21.4 per cent.Meanwhile, shipments of Apple’s Mac computers fell 5.6 per cent to 4.6m units seeing its market share slip to 6.9 per cent, compared 7 per cent a year ago.The shortage of Dynamic Random Access Memory (DRAM) chips, that worsened in the third quarter, lifted prices of components and weighed on shipments. “The component price hike impacted the consumer PC market as most vendors generally pass the price hike on to consumers, rather than absorbing the cost themselves,” Mika Kitagawa, principal analyst at Gartner, said.
7;IT;Gartner Inc;2017-09-18T17:54:16Z;John Chambers to step down at Cisco Systems;Executive chairman who led network giant from mid-90s will depart at end of year;John Chambers, one of the towering figures from the tech boom of the late-1990s, is to step down as chairman of networking equipment company Cisco Systems, the company said on Monday.His departure comes a decade and a half after Cisco enjoyed a brief spell as the world’s most valuable company, and comes as the company is going through an upheaval in its business caused by the rise of cloud computing.Mr Chambers stepped back as chief executive two years ago, handing the reins to former head of sales Chuck Robbins, but stayed on as executive chairman and has remained a prominent face internationally for the company.“It needed a different type of person to lead it through this transition,” said Glenn O’Donnell, an IT analyst at Forrester Research*. “They needed someone to come in and really shake things up. It hasn’t made [Mr Robbins] popular with a lot of people inside Cisco.”Mr O’Donnell said Mr Chambers had picked the right moment to cede control, rather than risk the company’s future by staying on too long — a fate that befell Ken Olsen at Digital Equipment Corporation, the Boston-based company that foundered on the transition from the mini-computing to PC eras.With an affable salesman’s charm, pronounced West Virginia accent and expansive enthusiasm, the voluble Mr Chambers rode the first wave of the internet boom to overtake the world’s biggest communications equipment makers. The routers and other IP-based gear it produced ended up swallowing most of the voice calls and other traffic that flowed over other networks, undermining giant telecoms equipment companies of the era, such as Nortel and Lucent.“Our competitors from 10 years and before are gone,” said Mr Chambers, 68, in an FT interview on Monday. Referring to constant talk in the tech world of successive start-ups that would turn into a “Cisco killer”, he said: “Nobody’s been able to get us.”Cisco emerged from a group of small IP networking companies in the mid-1990s, rising from $1.2bn in revenue when he took over to $48bn last year. “We got the market transitions right. We innovated at a pace other companies couldn’t,” Mr Chambers said.At one point during the boom, Cisco overtook Microsoft to become the world’s most valuable company, as its stock market value topped $600bn — a level that would still make it the third most valuable today, behind Apple and Google’s parent, Alphabet.There were concerns when he stepped down as chief executive that his full-time executive role would overshadow his successor. However, he said he had cut his role to half-time about a year ago, and insisted that the development of his “partnership” with Mr Robbins, who will take over as chairman in December, had been part of a well thought out plan.His departure at the end of the year will leave Larry Ellison of Oracle and Michael Dell as the only heads of leading US tech companies from the 1990s to still play an influential role in the industry.Mr Ellison, who has also handed over the chief executive responsibilities while still playing a central role in strategy, is steering Oracle through a major transition to the cloud. Mr Dell, meanwhile, bought back the PC company that bears his name in the largest buyout and has since turned it into one of the world’s biggest IT companies in terms of sales.A former computer salesman who got his start at IBM, Mr Chambers joined Cisco in 1990 and rose to become chief executive in 1995.* This article has been amended to reflect that Glenn O’Donnell is an IT analyst at Forrester Research
8;IT;Gartner Inc;2017-08-28T13:01:55Z;New Fitbit smartwatch and headphones take aim at Apple;Partnership with Adidas marks effort to regain leadership of wearable tech market;Fitbit is teaming up with Adidas as it takes on Apple with its first fully-fledged smartwatch, Ionic, and new wireless headphones. Ionic is the first of what Fitbit chief executive James Park said would be a series of smartwatches, as it looks to regain its position at the top of the wearable technology market, a position that analysts say it has lost to Apple Watch in recent months. The $300 device — which boasts four-day battery life, new wireless music and payment features, and improved GPS and heart-rate tracking — will go on sale in October. Adidas, the German sportswear group, will sell a special edition of Ionic starting early next year, boosting Fitbit’s profile in Europe and Asia. In Fitbit, Adidas has a new ally against Nike, which first partnered with Apple on a customised version of its Watch last year. Adidas lags behind Nike in the US sportswear market but has been gaining share in recent months. Fitbit is banking on Ionic to reverse its declining sales, as simpler fitness trackers reach saturation point in many developed markets. The San Francisco-based company’s revenues this year are expected to fall by as much as a quarter compared with 2016. Ionic’s launch is “definitely a big event in the company’s history”, Mr Park said in an interview. “We’ve rarely entered a new category with this much effort and push behind it.” While the majority of Fitbit’s revenues in the fourth quarter will still come from its earlier products, Mr Park added: “Our entry into smartwatches — and Ionic is not the only product in our smartwatch road map — allows us to re-establish a growth profile for Fitbit looking forward.” [The Ionic’s] upgraded sensor can detect blood oxygen levels as well as heart rate and steps, meaning it could eventually help diagnose medical conditions such as sleep apnoeaThe unveiling of Ionic, alongside new Flyer wireless headphones and updated Aria scales, comes ahead of the anticipated new version of the Apple Watch, which is expected to include a cellular wireless connection when it makes its debut next month. Ionic, which unlike an Apple Watch works with both iOS and Android smartphones, features a slimline design that Fitbit says was inspired by the space age. Its upgraded sensor can detect blood oxygen levels as well as heart rate and steps, meaning it could eventually help diagnose medical conditions such as sleep apnoea. A colour touchscreen will also offer guided workout sessions, powered by a revamped Fitbit Coach app, and customisable watch faces. Analysts at Gartner estimate that 41.5m smartwatches will be sold globally this year, up 19 per cent from 2016, generating $9.7bn in revenues. The consultancy predicts that smartwatches will be the second best-selling kind of wearable device by 2019, after Bluetooth headsets. Fitbit’s $130 Flyer wireless headphones, which pair automatically with Ionic watches, are designed to be workout friendly with a secure and sweat-proof design. While Flyer headphones, at $130, are cheaper than Apple’s $160 AirPods, the Ionic is at least $30 more expensive than the cheapest available Apple Watch. Gartner estimates the average selling price of a smartwatch is $223. Mr Park believes Ionic can command a premium price because of its four-day battery life (Apple Watch lasts just a day or two), improved GPS reception thanks to “nanomoulding technology” that he says is unique in wearables, and the ability to stream music from Pandora, the internet radio company. Thanks to the acquisitions of Coin and Pebble last year, Fitbit’s watch will also support third-party apps, such as Starbucks and Strava, as well as contactless payments with Visa, MasterCard and American Express cards. Although multi-day battery life means Ionic can track sleep, continuous use of both music and GPS will consume all the device’s power reserves in around 10 hours. Like the Apple Watch, Ionic’s screen remains dark until wearers raise their arm or push a button, in order to lengthen battery life. Customers can order an Ionic starting on August 28, with the first shipments arriving in late September. The device will go on general sale in October.
9;IT;Gartner Inc;2017-08-24T17:18:48Z;Dixons Carphone rings alarm on UK smartphone market;Retailer blames warning on lack of handsets but analysts point to structural shift;Dixons Carphone, Britain’s largest retailer of smartphones, is blaming consumers’ reluctance to upgrade and a lack of handset innovation for an unexpected profit warning issued on Thursday.But analysts are questioning whether there is a structural shift in how consumers buy their phones.The retailer’s warning coincided with the launch of Samsung’s Galaxy Note 8 which, alongside the impending launch of Apple’s latest iPhone, had been expected to act as a catalyst for a new upgrade cycle as consumers trade in older models for “$1,000 smartphones” offering an array of new features.Yet Seb James, chief executive of Dixons Carphone, argues it would be “Pollyanna-ish” to presume that expensive new models will kick-start a recovery, as consumers are holding on to old handsets for about six months longer than previously. He says it is “quite rational” that consumers have delayed phone purchases given the rising cost of handsets in the UK — and what he calls “relatively incremental handset improvements”.“The S8 is a great phone but it is quite pricey. You are [looking at] an extra £600 or £700 for a waterproof screen or inductive charging and quite a lot of people are saying ‘no thanks’,” says Mr James.He expresses some confidence the market will rebound, with many Apple users holding on to phones “on their last legs” in anticipation of the iPhone 8 launch later this year.Yet the Dixons Carphone update adds fuel to the argument that UK smartphone consumers have become more discerning, and are happier to buy SIM-only data deals direct from networks while hunting for cheaper handsets online. Such a change in consumer behaviour would have a marked impact on longstanding business model of Carphone Warehouse, which merged with Dixons in 2014.Michael Prew, managing director at investment bank Jefferies, says: “Dixons Carphone really just moves cardboard boxes around with no in-store added value — so it’s just a logistics business with expensive high street storage. Another nail in the high street coffin which is contracting relentlessly to food and fitness. The value of these businesses is transferring from shops to sheds.”Britain has traditionally been a subsidy-led market where consumers pay for an expensive handset over the lifetime of the contract, a model that had suited Carphone Warehouse. Yet consumer habits appear to be changing.Roberta Cozza, an analyst with Gartner, says: “What we now have in the UK is a very knowledgable buyer who knows what they want. It is the decoupling of the data plan from the cost of the device.”The UK smartphone market is in decline, contracting 5 per cent in 2016 to 34m handsets according to Gartner — a sharper fall than the 2 per cent drop across western Europe.That was partly due to the poor showing of the iPhone 7 and industry experts have predicted an “avalanche” of orders for the iPhone 8. Mr James says his company expects similar volumes to the iPhone 6S in 2015 when the new model hits the shelves.Another problem for Dixons Carphone is a lack of variety at the device level, with almost three-quarters of phone owners in the UK now using an iPhone or Galaxy smartphone.Apple and Samsung’s combined market share rose to 71 per cent at the end of June compared with 62 per cent only 18 months earlier, according to Gartner. Second-tier handset makers including Huawei and Lenovo have struggled to make their mark in Britain meaning there is less competition and less reason for consumers to head to Dixons Carphone’s stores to check out new models.Some analysts say that “alarm bells”, rather than ringtones, have started to sound at the retailer with its shares dropping almost 20 per cent on its warning that profits will be £360m-£440m, compared with analyst expectations of closer to £500m. Simon Bowler, an analyst with Exane BNP Paribas, says: “Of greatest concern are changes in the mobile market which threaten to undermine Dixon Carphone’s share and profitability.”Mr James denies that the significance of the independent mobile phone retailer is receding. The collapse of Phones4u in 2014 raised concerns that networks were intent on tightening their grip on the retail market by pushing more sales through their own stores and websites.“We’ve grown not shrunk. Our market share is growing. Phones4u is absolutely not relevant,” says Mr James, noting that smartphone sales only account for a portion of Dixons’ overall business. The retailer connected 37 per cent of new contract subscribers last year according to its accounts.Neil Mawston, executive director at research company Strategy Analytics, says that the retailer may have not helped its own cause by launching a low-cost network called iD Mobile that has encouraged many customers passing through its doors to trade down, not up, by taking lower-priced contracts.“Carphone Warehouse may have to start closing some of its UK or European retail stores if things do not improve for the retailer in 2018,” he says. “It is not the next Phones4U, because it has a much stronger top-market position, but Carphone does have some bumpy times ahead.”
