;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;ILMN;Illumina Inc;2020-01-03T16:58:05Z;Illumina and Pacific Biosciences call off merger;Mooted $1.2bn deal halted after scrutiny by UK and US competition watchdogs;DNA sequencing company Illumina called off a $1.2bn merger with smaller rival Pacific Biosciences on Thursday following scrutiny of the deal by competition watchdogs in the UK and the US who feared the two could become too dominant in their field.San Diego-based Illumina said the two had mutually agreed to abandon the mooted deal, first announced in November 2018, as a result of “the lengthy regulatory approval process” and “continued uncertainty” over its outcome.The UK’s Competition and Markets Authority and the Federal Trade Commission in the US had both stepped up their investigations last year due to concerns over the deal’s impact on the market in DNA sequencing.DNA sequencers, first commercialised in the late 1980s, are used to analyse the genetic make-up of humans and other species for use in clinical testing, disease research and drug development. Illumina’s DNA sequencing technologies are deployed in areas including oncology and personalised medicine.Illumina has about an 80 per cent share of the DNA sequencing market globally and controls 90 per cent of the market in the UK, according to the CMA. The merger with PacBio would have given it an almost 100 per cent market share in the UK.Shares in Illumina opened 1.4 per cent lower on Friday, while shares in PacBio, which is also based in California, opened 0.2 per cent lower.The CMA, which deepened its inquiry in July last year, provisionally found that the deal would result in a significant loss of competition because of the small number of rivals in the market and could lead to a worse service and higher prices. It said PacBio was one of Illumina’s closest competitors and vice versa and pointed out that the companies’ internal documents often referred to each other as competitive threats.The FTC also moved to block the deal last year and was working closely with the CMA to monitor its progress.In December the FTC said it feared that Illumina was using the merger to unlawfully maintain its monopoly in the US market for next-generation DNA sequencing. It added that the proposed acquisition was “illegal because it may substantially lessen competition” in the market for genetic sequencing by eliminating current competition and preventing future competition between Illumina and PacBio.On Friday Illumina said its proposed tie-up with PacBio would have “broadened access to Pacific Biosciences sequencing technology, significantly expanded and accelerated innovation, and ultimately increased the clinical utility and impact of sequencing”.Michael Hunkapiller, chief executive of PacBio, said: “We are disappointed that our customers and other stakeholders will not realise the powerful advantages of integrating the sequencing capabilities of our two companies.”
1;ILMN;Illumina Inc;2018-07-30T20:38:51Z;Illumina shares lit up by earnings beat, outlook raise;;Growing demand for genomic information and applications saw diagnostics company Illumina soar past analysts’ expectations in the second quarter and boost its forecast for full-year sales growth and earnings.Shares of the California-based company rose 7.2 per cent in Monday after-hours trade following its earnings report for the three months to July 1.The company said that revenue rose 25 per cent year-over-year to $830m, while net income came in at $209m, or $1.41 a diluted share, up from $121m, or 87 cents, in the year-ago period.Analysts had expected revenue of $787m on net income of $163m, or $1.01 a share, according to Factset.Illumina’s president and chief executive, Francis deSouza, credited the performance to “broad demand across applications, systems and geographies” for its products, which include tools to analyse genetic variations and functions.“Sequencing consumables, array consumables, and lab and other services each grew more than 30% compared to the second quarter of 2017, highlighting the growing interest in genomic information and its application to research, clinical and consumer markets,” he added.The strength of its second quarter prompted Illumina to raise its full-year forecasts. It is now looking for revenue to grow 20 per cent year-over-year in fiscal 2018, and earnings per share between $5.10 and $5.20. It had previously predicted revenue growth between 15 and 16 per cent and earnings per share of $4.45 to $4.55.After rising 70.6 per cent in 2017, Illumina shares are up 32.38 per cent so far in 2018.
2;ILMN;Illumina Inc;2017-08-01T21:31:02Z;Illumina rises as its boosts forecast, posts earnings beat;;Diagnostics company Illumina saw its shares climb in after-hours trading after it raised its revenue growth forecast due to stronger-than-expected demand for its NovaSeq sequencing platform and posted quarterly earnings above Wall Street forecasts.The California-based company on Tuesday said that interest in the NovaSeq platform — which debuted in January, with the expectation that it could one day lower the cost of sequencing a human genome to $100 — had helped it to a strong showing in the second quarter. Illumina also signalled that it expected interest in the platform to continue in the months ahead.Chief executive and president Francis deSouza said:“Interest in the NovaSeq platform exceeded our expectations during the quarter. As a result, we have updated our 2017 revenue growth projections to reflect the market demand for NovaSeq and our positive outlook for the rest of the business.”Its full-year guidance for earnings per diluted share attributable to its stockholders has now been lifted to a range of $5.36-$5.46, a dime higher than its previous guidance for $5.26-$5.36. It has also tightened its full-year revenue growth target to 12 per cent, from its previous range of 10 to 12 per cent.The rosier outlook was accompanied by a better-than-expected round of earnings, which saw the company’s revenue rise 10 per cent year-on-year to $662m, beating expectations for $642.5m from analysts surveyed by Bloomberg. Net income attributable to Illumina shareholders was $128m, or 82 cents per diluted share, versus forecasts for $85m profit, or 58 cents per share.The news sent the company’s shares 9.5 per cent higher in after-hours trading on Tuesday.
3;ILMN;Illumina Inc;2016-11-10T17:42:39Z;Siemens: healthy cynicism;Separating the healthcare unit makes sense. Announcing it now does not;"Why announce that a business is to be separately listed but provide no detail on timing, free float or method of separation? Perhaps to engineer a share price pop. If that was the intention, it certainly worked for Siemens.On Thursday, the German conglomerate said (alongside full-year results that featured a warning on 2017 revenue growth) that it would float its medical division. Its shares duly hit their highest level since 2000. The decision is hardly unexpected; medical has been run as an independent entity since 2014, and in May was christened Siemens Healthineers in one of the year’s most lampooned rebrandings. Cynicism aside, though, the separation makes sense and should help move the unit into higher-growth areas.The mainstay of Healthineers is imaging and diagnostics, typically large, expensive pieces of kit sold to hospitals. Revenue growth has been fairly pedestrian but operating margins have expanded nicely, from 10 per cent five years ago to 17 per cent now. An area where growth is more exciting is molecular diagnostics, but valuations in this field are racier — Illumina, pursued in 2013 by Swiss pharma group Roche, trades at a heady six times forecast sales. Listing Healthineers separately will give it an acquisition currency of its own.Valuation is tricky, since the most relevant peers are themselves divisions of other conglomerates such as General Electric or Toshiba, and because the future capital structure of Healthineers is — guess what? — undecided. Less exact US comparators such as Hologic and Varian trade at enterprise values equivalent to 11-12 times earnings before interest, tax, depreciation and amortisation. On that basis (and assuming that Healthineers’ share of group net debt is in line with its contribution to profit) then the company could have an equity value of €25bn. That is more than the combined value of Osram Licht and Infineon, earlier Siemens offspring.Separating Healthineers, along with the already announced combination of its wind power division with Gamesa of Spain, would leave Siemens as an ABB-style engineer with (likely controlling) stakes in listed medical and green energy companies. That would make it easier to value and allow management to focus on the main industrial businesses. One plea, though: please call the separated medical business something other than Healthineers.Email the Lex team at lex@ft.com"
4;ILMN;Illumina Inc;2020-04-24T22:03:09+0000;Healthcare clocks sharpest decline in broad S&P 500 sell-off;;Tuesday turned out to be an ugly day for US stocks with a trifecta of problems — namely, a gloomy start to earnings season, strengthening expectations of a rate rise this year and a drop in oil prices — sending the S&P 500 1.4% lower.But healthcare took the hardest hit.A more than 25 per cent tumble in shares of gene sequencing company Illumina, which issued disappointing earnings outlook, saw the healthcare sector lead the decline on the benchmark S&P 500 with a 2.3 per cent drop.Meanwhile, a 1.5 per cent drop in Brent, the global oil benchmark, to $52.33 a barrel, saw the energy sector fall 1.1 per cent.Dividend paying telecoms, which are interest rate sensitive but not as expensive as utilities, posted the slimmest losses on the S&P 500, sliding just 0.2 per cent.
5;ILMN;Illumina Inc;2016-10-11T17:43:49Z;Illumina shares slide on sales ‘credibility gap’;US stocks retreat as healthcare sector posts heaviest losses;Illumina shares shed more than $6bn in market value after it warned that its third-quarter sales were likely to come in below its own forecast and Wall Street’s because of a drop in revenue from its high-speed genetic sequencing devices.The diagnostics group said that it expects sales in the third quarter to have risen 10 per cent on a year-on-year basis to $607m, compared with an earlier estimate of $625m-$630m. That was also shy of analyst expectations of $628m.Illumina said the shortfall in revenue came as a result of a bigger than expected year-on-year dip in sales of high-throughput sequencing instruments, or devices that can analyse a very high number of DNA molecules at the same time.“We are clearly disappointed,” said chief executive Francis deSouza in a conference call, adding that “returning to the level of predictability that our stakeholders expect is my top priority as CEO, and you have my commitment that we are focused on achieving this goal”.Analysts at Goldman Sachs noted that the disappointing results create a “widening credibility gap”.That adds to concerns that the research market that uses the gene sequencing machines “looks increasingly saturated”, while start-ups are challenging the company in the cancer diagnostic segment, the investment bank said.Shares in the California-based company fell 24.8 per cent to $138.99, marking one of the stock’s biggest falls on record.On the other side of the spectrum, Apple shares rise for a second day as rival Samsung’s woes deepened.Samsung was forced to stop selling the fire-prone Galaxy Note 7 smartphone on consumer safety grounds.The problems for the South Korea-based company could be good news for Apple, as it is expected to reduce competition against the iPhone, the group’s biggest source of revenue.“We see a more favourable competitive landscape and higher Android switcher rates for [Apple] over the next 12-18 months as Samsung’s issues may weigh on future product launches and given [Apple’s] strong potential offerings”, said Angelo Zino, equity analyst at CFRA Research.Apple shares climbed 0.2 per cent on Tuesday, adding to a 1.7 per cent gain in the previous session, bringing them to $116.30.Looking more broadly, the markets were in the red by close of trading. The S&P 500 was down 1.2 per cent to 2,136.73, the Dow Jones Industrial Average dipped 1.1 per cent to 18,128.66 and the Nasdaq Composite declined 1.5 per cent to 5,246.79.The S&P 500 healthcare sector posted the heaviest losses, led by the plunge in Illumina shares.The materials sector was also under pressure as Alcoa, the US aluminium group, skidded 11.4 per cent to $27.91 after revealing quarterly profits and sales that missed analyst estimates.The disappointing results from Alcoa marked a gloomy start to third-quarter earnings season, which is forecast to show yet another year-on-year fall in corporate profits.Several large lenders, including JPMorgan Chase, Wells Fargo and Citigroup, are set to report results on Friday.
6;ILMN;Illumina Inc;2020-04-24T21:11:09+0000;S&P falls 1% as US stocks extend declines;;A downbeat start to earnings season, strengthening expectations of a rate rise this year and a renewed sell-off in crude all combined to see US stocks extend their declines on Tuesday.By late morning, the S&P 500 was 1 per cent lower at 2,141.61, the Dow Jones Industrial Average declined 0.9 per cent to 18,159.51. The Nasdaq Composite slid 1.2 per cent to 5,264.77.While speaking at an event in Sydney, Chicago Fed president Charles Evans said “policy could well be changing soon”. Following his remarks, federal funds futures put 67.6 per cent odds of a rate rise in December, compared with 64.3 per cent on Friday.Meanwhile, a renewed sell-off in crude also drove energy shares 0.9 per cent lower.And finally, a downbeat start to earnings season also proved a drag for US stocks. Gene sequencing firm Illumina was the biggest decliner on the S&P 500, falling 26 per cent to $137.32. Investors soured on the company after it warned that its third-quarter sales would miss analysts’ forecasts and fall short of its own estimates because of a bigger-than-expected drop in revenue from its high-volume genetic sequencing instruments.Aluminium maker Alcoa also added to the glum start to earnings after posting disappointing third quarter results.
7;ILMN;Illumina Inc;2020-04-24T23:51:20+0000;Illumina tumbles 25% after sales warning;;Illumina shares plummeted by a quarter after it warned on Monday that its third-quarter sales were likely to come in below its own forecast and Wall Street’s due to a drop in revenue from a type of genetic sequencing instrument.The diagnostic group said that it expects sales in the third quarter to have risen 10 per cent on a year-on-year basis to $607m, compared with an earlier estimate of $625m – $630m. That was also shy of analyst expectations of $628m.Illumina said the shortfall in revenue came as a result of a bigger-than-expected year-on-year dip in sales of high-throughput sequencing instruments, or devices that can analyse a very high number of DNA molecules at the same time.Shares of the California-based company fell as much as 26 per cent in after hours trading. They were down by 3.7 per cent for 2016 as of Monday’s close.
8;ILMN;Illumina Inc;2020-04-25T00:51:32+0000;President raises patient and business hope for cancer treatment;Many experts believe a new type of drug promises to revolutionise treatment;When Jimmy Carter was diagnosed last year with melanoma that had spread to his brain, many people feared the worst for the oldest living US president.Yet four months after making his condition public, he revealed that the cancer had disappeared. By March this year, doctors were confident enough to give him the all-clear. “So I’m not going to have any more treatment,” he told the Sunday school class he teaches in his home town of Plains, Georgia.Mr Carter, 91, is one of the latest beneficiaries of a new drug type which many scientists, medics and pharmaceuticals executives believe is destined to transform the treatment of cancer. Until recently, advanced melanoma would have been a near-certain death sentence. That has begun to change since the arrival of Keytruda, the drug by Merck of the US given to Mr Carter, and a rival product, Bristol-Myers Squibb’s Opdivo.Both are so-called PD-1 checkpoint inhibitors, which work by disabling the mechanism used by cancer to evade the immune system. Robbed of this defence shield, tumours are exposed to attack by disease-fighting T-cells.These are among the first of a category of “ immunotherapies” which use varied techniques to help the body fight back against cancer. Some researchers have likened them to the antiretroviral drugs which have turned HIV into a manageable chronic condition.“The excitement is warranted because of the extent to which we are seeing very durable responses — people with very advanced cancers surviving for many years,” says Sir Harpal Kumar, chief executive of Cancer Research UK.This is good news for patients and investors. Cancer immunotherapies are forecast to generate tens of billions of dollars in revenues over coming years, helping the industry rebound from recent patent expiries on many older drugs. Keytruda and Opdivo are, together, generating more than $300m of sales every month and several similar products are nearing market.Researchers caution against seeing “ immuno-oncology” as a miracle cure. Keytruda and Opdivo have so far been used mainly against melanoma and a type of lung cancer — and less than a third of people with those conditions respond to treatment. “There are still a number of very significant questions,” says Sir Harpal. “The most important is why only a relatively small population benefits. How can we pinpoint who will benefit and who won’t and why?”Pharma companies believe that they are starting to find answers. Data to be published at the annual meeting of the American Society of Clinical Oncology, which starts today in Chicago, are expected to show progress in extending checkpoint inhibitors into a wider range of cancers. Researchers are experimenting with drug cocktails that combine immunotherapy and other approaches with the aim of raising response rates.8mThe number of people killed by cancer every year worldwide“We are at the beginning of the immuno-oncology era and only starting to understand the complexities of the tumour ecosystem,” says Chris Boshoff, head of early development in immuno-oncology for Pfizer. “Finding the right combinations is going to be key.”By 2025, most cancer patients will receive some kind of immunotherapy as part of their treatment in much the same way as chemotherapy is standard today, according to Mr Boshoff.Paul Workman, chief executive of the UK-based Institute of Cancer Research, does not dispute such forecasts but questions whether it is sensible for so many drug companies, including Roche, AstraZeneca and Pfizer, to be developing checkpoint inhibitors to rival Merck and Bristol-Myers Squibb.“I’m genuinely excited [by immuno-oncology] but the pendulum has probably swung too far,” he says. “A certain number of companies competing for the best PD-1 is good but do we need 20?”The excitement is warranted because of the extent to which we are seeing very durable responsesImmunotherapy is not the only scientific breakthrough improving patient prospects. Just as important could be advances in diagnostic technology leading to earlier, more accurate detection. “Liquid biopsies” which can identify DNA shed by tumours into the bloodstream could make it possible to spot cancer long before symptoms show.Among the pioneers of this technology is the Californian company Grail, spun-out of genomic sequencing group Illumina and backed by investors including Bill Gates and Amazon founder Jeff Bezos. Illumina president Francis deSouza says better diagnostics can save lives and money. “Treating cancer at stage one is much cheaper than treating it late.”Containing the cost of cancer is an increasing problem for health systems around the world. The disease kills some 8m people a year worldwide — 13 per cent of all deaths — with cases forecast to grow by 70 per cent over the next 20 years, says the World Health Organisation.$1bnCost of US government ‘cancer moonshot’ search for curesMuch of the increase will come among the rapidly ageing populations of newly-industrialised countries such as China.Health activists complain that the benefits of immunotherapy will remain out of the reach of most patients around the world because of their high cost. Keytruda and Opdivo are both priced at about $12,500 per month in the US.French scientists have carried out the first human trial of an ultrasound device that pushes drugs through the “blood-brain barrier”, potentially clearing a big obstacle to using chemotherapy on brain tumours. Clive Cookson, the FT’s science editor, tells John Murray-Brown how it works. Music by David SappaProf Workman says new approaches to research and development are needed to improve affordability. He highlights the approval last year of Tagrisso, an AstraZeneca drug which took two and a half years from first clinical trials to launch, compared with the decade or more the process has usually taken.Tagrisso is targeted at lung cancer patients with a particular genetic mutation, allowing for smaller, faster trials than those for one size-fits-all medicines. “This opens the potential to fundamentally change the economics of R&D,” says Prof Workman.The US government this year launched a $1bn “cancer moonshot” programme to support the push for new approaches. The project is spearheaded by US vice-president Joe Biden, whose son, Beau, died last year from brain cancer — a reminder of how big a threat the disease remains even as Mr Carter’s survival demonstrates progress.
9;ILMN;Illumina Inc;2016-04-01T05:03:18Z;Whole-genome breakthrough promises tonic for healthcare;Accurately sequencing an individual’s DNA for less than $1,000 is now possible;Commentators have long looked forward to the “thousand-dollar human genome” — the ability to sequence accurately all 3bn letters of an individual’s DNA for less than $1,000. In 2016 it seems likely to happen, 15 years after the completion of the first whole human genome in a decade-long $3bn research programme. The consequences for personalised healthcare could be profound.Veritas Genetics, a Boston start-up company, announced in March the availability of whole genome sequencing together with interpretation and genetic counselling for $999 — the first time the price of a consumer genomics product has fallen below the thousand dollar barrier.George Church, Harvard University genetics professor and co-founder of Veritas, predicts that whole genome sequencing will soon replace the partial DNA sequencing that, at present, dominates genetic testing.“Now that the whole genome is this accessible, it will replace all genetic tests,” he says, “because it is all genetic tests and much, much more.”The tests commercially available today read only a small fraction of the patient’s DNA. They may focus on specific genes known to be involved in a disease, on mutations scattered through the genome or on the “exome”, the part of the human genome containing active genes but not the DNA that controls their activity.These partial DNA testing techniques are still considerably cheaper than whole genome sequencing. In September, for instance, Human Longevity, a San Diego company founded by genomics pioneer Craig Venter, announced a $250 exome sequencing service in collaboration with Discovery, the South African health insurer.Veritas claims, however, that whole genome sequencing catches many clinically important DNA variants that lie outside genes. “The whole genome is the foundation of precision medicine and a lifetime resource to maximise quality of life and longevity,” says Mirza Cifric, the company’s chief executive.While a host of companies such as Veritas and Human Longevity offer genomic services, backed by deep scientific and clinical knowledge about the relationship between genes and health, the instruments they use to read DNA come almost entirely from one source: Illumina. This Californian company’s machines are generating an estimated 90 per cent of the world’s DNA sequence data — thanks to technology acquired in 2007 when Illumina bought Solexa, a spinout from Cambridge university in the UK, for $650m.MinIon is no larger than a mobile phone, fits into the USB port of a laptop computer and costs no more than $1,000Francis deSouza, Illumina’s president who will take over as chief executive in July from the long-serving Jay Flatley, points out that the DNA sequencing market is still in its infancy. “Until now it has been used largely for research,” he says. “The overarching story for the future will be the march of sequencing into the clinic.”The first medical fields likely to be transformed by large-scale genomic diagnosis are prenatal screening for genetic defects in the embryo — and oncology. The concept of the “liquid biopsy”, diagnosing cancer from DNA that has leaked from the tumour into the bloodstream, is one of the hottest topics in oncology and Illumina has set up a subsidiary company, Grail, to exploit the market. Many others are in the field, too.Although the cost of DNA sequencing per genome has fallen sharply, the machines are still big and expensive. This year Illumina launches its smallest and cheapest sequencer so far, the $49,500 MiniSeq, and it has promised a new machine called Firefly for late next year at a price below $30,000.For a radically smaller, cheaper and more portable DNA reader, researchers can turn to the recently introduced MinIon from Oxford Nanopore, a start-up from Oxford university that focuses on a quite different technology: nanopore sequencing. MinIon is no larger than a mobile phone, fits into the USB port of a laptop computer and costs no more than $1,000 (though consumable reagents add to the running expenses).The technology employs a microscopic hole within bacterial proteins — the nanopore — to act as a biosensor. A voltage is applied across the pore and, as DNA moves through it, the electric current changes in a way that distinguishes between the four biochemical “letters” of the genetic code: G, A, T and C. This direct electronic reading is quite different from the “sequencing by synthesis” technology developed by Illumina, which attaches fluorescent molecular tags to the DNA and uses a computerised camera to read the results.MinIon has the advantage over its competitors of portability, which has enabled many scientists to use it in the field for identifying viruses and bacteria, plants and animals, from their genomes. It cannot come close to the larger Illumina machines for sequencing capacity.Oxford Nanopore’s next offering, the desktop PromethIon being introduced this summer, is a more direct competitor for Illumina. Clive Brown, chief technologist at Oxford Nanopore, says the instrument will begin sequencing human genomes later this year.A court case, however, is currently commanding Oxford Nanopore’s attention. In February Illumina sued the company in the US for allegedly infringing Illumina patents. Although it has no nanopore machines close to commercialisation, Illumina said it “has made substantial investments to obtain licenses and develop the nanopore sequencing technology invented by researchers at the University of Alabama and University of Washington.”Oxford Nanopore, which has an extensive portfolio of nanopore patents from other universities, has issued a robust defence. It accuses Illumina of using the lawsuit “as yet another weapon in its long-running campaign to thwart Oxford Nanopore’s research and commercialisation efforts . . . with the ultimate intent of expanding its already overwhelming monopoly power into the nanopore space, which would be extremely detrimental to competition in the DNA sequencing market”.
