;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;LDOS;Leidos Holdings Inc;2018-03-22T19:15:12Z;US businesses react with alarm to Trump’s China tariffs;Shares in exporters hit by fears that measures will prompt trade war with Beijing;US businesses responded with alarm to President Donald Trump’s announcement of wide-ranging tariffs on imports from China, warning that they would raise costs for American consumers and risked provoking a damaging trade war.Business groups from a range of industries expressed a common view: they shared Mr Trump’s concerns about intellectual property violations and unfair trading practices by China, but thought his decision to use tariffs to address the problem would be counter-productive.As US shares dropped in response to the tariffs on Thursday, some of the worst-hit companies were US exporters, including Boeing and Caterpillar, because of fears that China would take retaliatory measures.China was the third-largest market for US goods exports last year, with aircraft and aircraft parts the largest category. Other principal US exports to China include soyabeans, cars, computer chips and industrial machinery.Nicholas Colas, cofounder of DataTrek, a New York-based research group, said: “If someone wants to make a political statement, the single easiest way to have an impact on the US stock market is to cancel a Boeing order.”At the market close, Boeing’s shares were down 5.2 per cent, and Caterpillar’s had fallen 5.7 per cent. Shares in Arconic, which makes aerospace components, fell 6.1 per cent.Boeing and Caterpillar declined to comment on Mr Trump’s plans.Business groups, however, were outspoken in their criticism. Jay Timmons, president of the National Association of Manufacturers, welcomed Mr Trump’s focus on China’s theft of US intellectual property, but added that tariffs were “likely to create new challenges in the form of significant added costs for manufacturers and American consumers”, as well as potentially provoking retaliation.The only lasting solution would be a “fair, binding and enforceable trade agreement with China that requires them to end these practices once and for all,” he added.One of the strongest responses to the plans came from the National Retail Federation, which said the tariffs would “punish ordinary Americans for China’s violations”.Matthew Shay, the NRF’s president, added that middle- and working-class Americans were “just starting to see the benefits of tax reform in the form of bigger paycheques and higher wages”, and a trade war would “erase those gains and result in higher prices for a wide range of consumer products and basic household goods.”There were also strong words from an agricultural industry group called Farmers for Free Trade. Brian Kuehl, the group’s executive director, said the tariffs would “put a target on American farmers’ backs”.He added: “Given that China is the second-largest export market for American farmers and ranchers, the pain from retaliation could be significant.”The Information Technology Industry Council warned that the tariffs would “cause harm to US workers, businesses, and economic growth”.On Monday, the group led a group of 46 US industry and trade associations in making a last-ditch appeal to Mr Trump, writing a letter warning that “the imposition of sweeping tariffs would trigger a chain reaction of negative consequences for the US economy”. The business groups said the tariffs would provoke retaliation, stifle US exports, and raise costs for businesses and consumers.One of a few companies not joining the denunciations was Lockheed Martin, the defence contractor. Marillyn Hewson, chief executive of Lockheed, said at the ceremony that “we very much welcome this action.”The company in a statement praised the administration’s “focus on the critical need to protect US defence and aerospace industry intellectual property.”Roger Krone, chief executive of Leidos, an IT company that does work for the US government, praised the administration for “taking tangible steps to not only protect US companies in the marketplace, but also to protect billions of dollars of research and development that can make the difference on the battlefield”.Additional reporting by Nicole Bullock and Patti Waldmeir
1;LDOS;Leidos Holdings Inc;2017-10-24T12:58:45Z;Lockheed Martin slips after quarterly results miss Wall St estimates;;Lockheed Martin on Tuesday lifted its full-year earnings outlook but posted disappointing third quarter results, sending shares in the world’s largest defense contractor lower in pre-market trade.The Maryland-based company said it now expects to earn between $12.85 to $13.15 for the full year, up from its previous projection for earnings between $12.30 to $12.60 a share. The company also boosted its net sales outlook to between $50bn to $51.2bn aided by a $200m property gain, up from $49.8bn to $51bn.Lockeed said that it is adopting new accounting standards that are reducing net sales by 2 per cent next year. Factoring that in, the maker of F-35 jets said it expects sales to rise 2 per cent in 2018, that was shy of the 2.9 per cent increase that Wall Street had forecast, according to Thomson Reuters data.Net earnings fell to $939m or $3.24 a share in the third quarter, compared with $2.4bn or $7.93 a share in the year ago period when results were lifted by a one-off gain from its move to merge its information systems business with Leidos Holdings. However, quarterly EPS also missed Wall Street expectations of $3.27, according to a Thomson Reuters survey.Net sales rose 5.3 per cent to $12.17bn, shy of the $12.8bn that analysts had been looking for.Shares dropped 1.5 per cent in pre-market trading to $316.35. They have risen 28 per cent so far this year as of Monday’s close.
2;LDOS;Leidos Holdings Inc;2016-07-11T02:39:58Z;Shoddy, fake goods push China e-shopping complaints up 87%;;Chinese e-commerce titan Jack Ma may have argued that “fake products today are of better quality and better price than the real names” in China, but the country’s online shoppers have a growing number of complaints about the country’s online shopping platforms, according to newly released official figures.In its annual report on management and supervision of online marketplaces in China, the State Administration for Industry and Commerce has revealed it received 145,800 complaints from users of online shopping sites in 2015, a rise of 87.3 per cent from the previous year and ranking the sector at the top of the services category with the most complaints for a second year running.What had China’s online consumers so hot and bothered? According to the SAIC, “problems like the quality of goods purchased online and false advertising were rather glaring,” with complaints chiefly centred on issues including:Substandard quality of goods, counterfeit products, fake promotional offers, refusal to follow through on “seven-day returns with no questions asked” as offered, discrepancies between real goods and those advertised, leaking of customers’ personal information, delayed shipments, slow deliveries and goods being damaged in transit.The administration partly attributed the rise in complaints to growing awareness of consumer rights and improved ability to file complaints online.But it added that the complaints also reflected “a storm of certain real issues” that had arisen during the development of online markets and which “require attention from regulatory authorities at every level.”
3;LDOS;Leidos Holdings Inc;2016-01-26T15:23:30Z;Lockheed spins off services for $5bn in push to focus on core;Cash and shares sale follows defence group’s acquisition of Sikorsky helicopters for $9bn;Lockheed Martin is to sell its information technology and services unit to Leidos in a cash-and-shares transaction valued at $5bn as part of a drive to refocus on its core aerospace and defence business.Leidos, a specialist in IT services that split from SAIC in 2013, will pay $1.8bn cash for Information Systems and Global Solutions, while Lockheed’s shareholders will also receive 50.5 per cent of Leidos’s shares, which Lockheed values at $3.2bn.The spin-off announcement came as Lockheed reported fourth-quarter net earnings up 3.2 per cent to $933m, on sales up 3.1 per cent to $12.9bn.The results were lifted by a 21 per cent rise in operating profit in missiles and fire control and a 12 per cent increase at information systems & global solutions, to $131m.Operating profits at the core aeronautics division rose 1.6 per cent, to $448m, while the figure for mission systems and training fell 32 per cent to $157m. Earnings per share rose 6.7 per cent to $3.01.The sale of the IS&GS business follows a strategic review announced by Marillyn Hewson, chief executive, last July. That came as the company revealed it had reached an agreement to purchase the Sikorsky helicopter business from United Technologies for $9bn.Lockheed launched the IS&GS review partly to reduce overall debt in the wake of the Sikorsky purchase.The company planned to undertake the transaction through a tax-efficient vehicle known as a Reverse Morris Trust, it said. It would use the $1.8bn cash proceeds to pay down debt, pay dividends or buy back shares.Military contractors’ IT and services businesses have fared particularly badly amid the slowdown in US government military spending. The big contractors’ flagship programmes — including Lockheed’s F-35 joint strike fighter — have largely been protected.Ms Hewson said the sale was an “important milestone” in the company’s “portfolio reshaping” strategy. She added: “The combination of our proven IT and technical services businesses with Leidos will create a new leader in the government IT sector with a diversified portfolio, greater scale and improved efficiency.”Roger Krone, Leidos’s chief executive, said the combined company would have the scale and access to markets that would enable it to grow further. “The new company will be better able to offer cost-effective solutions to our customers,” he said.Shares in Lockheed, the world’s biggest military contractor, fell 0.5 per cent to $209.93 by close of markets in New York.
4;LDOS;Leidos Holdings Inc;2020-04-25T22:25:02+0000;Lockheed Martin to separate IT unit in $5bn deal;;US defence contractor Lockheed Martin has announced plans to spin off a division that provides IT services to the American government and merge it with rival Leidos.The transaction is valued at $5bn and will include a $1.8bn cash payment to Lockheed, which the company said it will use to cut its debt, pay dividends or buy back shares.Under the terms of the deal, Lockheed shareholders will own 50.5 per cent of the combined company, with the remaining stake being held by Leidos investors.Marilyn Hewson, the chief executive of Lockheed, said in a statement on Tuesday that the deal is “an important strategic milestone.”
5;LDOS;Leidos Holdings Inc;2015-11-25T10:26:04Z;Five Disney copycat hotels fined in China;Penalties come a month after regulators pledge special support to US group in battling counterfeiters;China has fined five copycat Disney hotels, less than a month after regulators pledged unprecedented special treatment to the entertainment group in its battle against counterfeiters.The US company is far from the first to face copyright and trademark issues in China. In August, a replica Goldman Sachs was found to be operating in Shenzhen, a manufacturing boomtown right on the doorstep of Hong Kong.But Disney did manage to secure backing from the State Administration for Industry and Commerce, which regulates the consumer goods trade. Last month the SAIC promised a “special operation” complete with emergency teams to help protect Disney trademarks and actively monitor online sellers for fakes.The enhanced crackdown comes before the US media group opens its first theme park in mainland China in spring.The five hotels have been fined by the city’s business regulator, which found the lodgings had used the Disney trademark on signs and promotional materials, the state-run Xinhua news agency reported on Wednesday.“The hotels not only infringed trademark rights but are also suspected of unfair competition,” the article quoted the Shanghai Municipal Administration for Industry and Commerce as saying.The hotels, all owned by the privately owned Shenzhen Vienna Hotels Group, were hit with a combined penalty of more than $15,000, the report said.Calls to the lodgings in the city’s Pudong district went unanswered. An automatic ringtone identified one of the premises as the Vienna Shanghai Disney.Disney is developing a long-awaited $5.5bn theme park in Shanghai with state-owned Shanghai Shendi Group. The park was originally expected to open before the year’s end, although delays have pushed back the official date until spring next year.The company opened its largest store in the city in May, as it looks to tap into China’s fast growing market.Among other multinationals battling counterfeiters, Apple has had its work cut out: counterfeit stores, complete with blue t-shirted staff and knock-off Genius Bars that could fool even the most eagle-eyed observer, have been a feature of the commercial landscape in China for years.Additional reporting by Ma Fangjing
6;LDOS;Leidos Holdings Inc;2015-11-05T17:27:55Z;Disney gets help from Chinese authorities to root out fake goods;Government to launch ‘special operation’ year ahead of US group’s first theme park in country;Chinese regulators announced a year-long campaign to crack down on counterfeit Walt Disney merchandise on Thursday, a year before the US media group opens its first theme park in mainland China.The State Administration for Industry and Commerce, which regulates the consumer goods trade, said the “special operation” would promote the development of a fair and competitive market, and protect China’s international image for safeguarding intellectual property rights.The crackdown will last until October 2016.SAIC said it would create “emergency teams” to help protect Disney trademarks, and actively monitor online sellers for fakes.Disney could not be reached for comment.China’s fake goods problem has received much official attention of late.In January, SAIC strongly criticised Alibaba, the ecommerce group, for not doing more to fight fake goods. More than 40 per cent of goods sold online in the country last year were either counterfeit or poor quality, the official Xinhua news agency said this week, quoting an SAIC study. The report added that customer complaints about online orders hit 77,800 last year, a jump of 357 per cent against 2013.The American Apparel and Footwear Association asked the USTR to reinstate Alibaba’s website Taobao on its “notorious markets” list of marketplaces that reportedly engage in piracy and counterfeiting.Taobao was put on the list in 2011 but removed in 2012 after it made efforts to address the problems of counterfeiting.Juanita Duggan, President of AAFA, said “the company’s unwillingness to make serious reforms” was the main reason for seeking to reinstate it.Disney is developing the $5.5bn theme park in Shanghai with China’s state-owned Shanghai Shendi Group. It opened its largest store in the city in May, as it looks to tap into China’s fast-growing film market.
7;LDOS;Leidos Holdings Inc;2015-07-28T16:11:17Z;China: unintended consequences;Shares have fallen again. They were not supposed to;"This was not supposed to happen. Everything was supposed to be calmer by now. After a hairy week or two earlier this month, the Chinese government’s efforts to settle the country’s stock markets were intended to produce a more serene environment. But on Monday China’s indices had one of their biggest ever one-day falls. On Tuesday they struggled to stay flat after opening sharply down again.That is not for want of trying on the part of the Chinese authorities. They have deployed well-tested measures, as well as some made in China. Selling pressure, and supply, have been stemmed by bans on sales by large shareholders, cancellation of initial public offerings and suspension of shares from trading. Buying has been augmented by government funds. To ensure a healthier market, margin financing has been reined in. None of this has worked. Investors are clearly still twitchy despite China’s protestations that it will stand behind markets.They may have good reason. Even after all the recent share price falls, Shanghai and Shenzhen have returned 71 and 86 per cent over 12 months, respectively, leaving ample room for profit-taking. The Shanghai Composite index trades at 19 times historical earnings, which is not cheap enough to attract bargain hunters.And China’s economic slowdown is real. This week, the Caixin purchasing managers’ index hit a 15-month low — although, given the index’s bias towards traditional manufacturing industries, it may omit much of the modern economy. Still, multinational companies are feeling the impact: from the UK’s Burberry to United Technologies of the US, recent results have been dragged down by China.Yet despite the near-term concerns, China’s appeal to corporate investors does not seem to have dimmed. This week, General Motors said it would spearhead its strategy into emerging markets with Chinese partner SAIC; and Delta Air Lines said it would buy 4 per cent of China Eastern Airlines. The stock markets may be subject to the volatility that comes with youth but longer-term potential for growth remains intact."
8;LDOS;Leidos Holdings Inc;2015-07-13T02:32:32Z;Foreign car brands on top in China, despite SUV surge;Western brands still rule but domestic brands gain traction, especially in SUV market;"At first glance, foreign car companies seemingly exert a near stranglehold on China’s car market. However, the reality is rather more complex, with most sales derived from Sino-foreign joint-ventures (JVs), thereby benefiting domestic and foreign automakers. In addition, both foreign and domestic-foreign JVs are facing more competition from domestic brands that are consolidating their share of the fast-growing SUV market in particular.According to our 1Q15 Consumer Brands Survey of sophisticated urban consumers, 86.5 per cent of prospective buyers plan to purchase a foreign-brand car in the coming 12 months. While this was down 1.1 percentage points year-on-year, it nevertheless points to the dominance of foreign car brands over their domestic counterparts. However, foreign automakers are not the sole beneficiaries of this trend, with joint ventures between domestic and foreign automakers accounting for the bulk of foreign-brand sales in China. Based on available company and industry-association sales and delivery figures, we estimate that around 90 per cent of Volkswagen-brand vehicles sold in China during the first five months of 2015 were made by its two China production joint ventures – Shanghai Volkswagen, a JV between Volkswagen and SAIC, and FAW Volkswagen, a JV between Volkswagen and China FAW Group Corporation.Volkswagen remains the most popular car brand in our consumer surveys. However its popularity – and Volkswagen-brand sales and deliveries – are coming under strain. 20.8 per cent of prospective car buyers said they would be inclined to buy a Volkswagen-brand model in the coming 12 months, down 6.6 percentage points year-on-year. The popularity of Volkswagen’s higher-end Audi brand, meanwhile, remained flat year-on-year at 10.9 per cent. This was also reflected in both Volkswagen Group and its JV’s delivery and sales growth figures during the first five months of 2015. Shanghai Volkswagen’s sales during the first five months of the year were down 7.5 per cent year-on-year; FAW Volkswagen’s rose just 0.4 per cent year-on-year, while Volkswagen Group said its China-wide deliveries were down 1.1 per cent year-on-year during this period. That compares with 2.1 per cent year-on-year passenger vehicles sales growth during the first five months of 2015, according to the China Association of Automobile Manufacturers (CAAM).This trend is not limited to Volkswagen, however. Faced with a less optimistic near-term view about new car sales and build-up of inventories, major JV automakers, ranging from SAIC-GM to Beijing Hyundai, have announced production cuts in 2015. Chang’an Ford has also decided to lower its production capacity in China to reduce dealers’ inventory burdens. Other manufacturers are lowering prices in a bid to rekindle sales. Shanghai Volkswagen lowered its suggested retail price for several popular models in April, in the first major round of price cuts by the JV since 2010. We expect more JV automakers to follow suit should sales remain sluggish and inventories high.Meanwhile, domestic-brand sales are gaining some traction, albeit from a relatively low base. A combined 7.9 per cent of prospective car buyers said they were inclined to buy a domestic-brand car in the next 12 months, up 1.5 per cent year-on-year. CAAM, meanwhile, reported a 4.1 percentage points rise in domestic brands’ share of domestically made passenger vehicle sales during the first five months of the year to 42.1 per cent – these numbers include rural sales and do not include imported vehicles.We see this rebound in domestic-brand vehicle sales as due to several factors. Firstly, domestic brands are well positioned to tap into rising demand for larger vehicles, in particular SUVs – especially at the lower end of the market. SUV sales rose 47.7 per cent year-on-year during the first five months of the year to 2.2m vehicles, while sales of sedans declined 4.16 per cent to 4.9m during the same period. Domestic brand Great Wall’s H6 is China’s top-selling SUV, with more than 292,380 H6 vehicles sold during the first five months of 2015, up 54.3 per cent year-on-year. The H6’s guide retail price is Rmb99,800-158,800 ($16,075-25,580), compared with a guide price of Rmb199,800-315,800 for the top-selling foreign brand SUV model in China, the Volkswagen Tiguan.As well as outcompeting on price, domestic carmakers are also slowly closing the quality gap with foreign brands. According to a survey by J.D. Power and Associates in 2014, Chinese brands encountered 131 problems for every 100 vehicles, down from 155 in 2013. By contrast, foreign brands had 95 problems per 100 cars.The recent stock market rally may also have exerted at least a mild temporary downward drag on high-end car sales, again likely hitting higher-priced foreign-brand car sales harder than their lower-priced domestic equivalents.Our Car Buying Sentiment Index among consumers with annual incomes in excess of Rmb300,000 has averaged at 65.1 since November 2014, compared with an average reading of 68.1 in the preceding 12 months, suggesting that some may have deferred additional car purchases in order to allocate more money to the stock market. The likely impact on car sales has been mild, however, with our overall Car Buying Sentiment Index remaining broadly stable over this period. Moreover, with the outlook for A-share markets uncertain, the impact is likely to prove temporary.FT Confidential Research is an independent research service from the Financial Times, providing in-depth analysis of and statistical insight into China and Southeast Asia. Our team of researchers in these key markets combine findings from our proprietary surveys with on-the-ground research to provide predictive analysis for investors."
9;LDOS;Leidos Holdings Inc;2020-04-16T04:01:47Z;Crisis of a lifetime shakes up risk tactics for financial advisers;Strategies to deal with investment dangers now take centre stage;For 11 years, US investors could mostly treat “risk” as an abstract concept that could be easily traded in for ever-higher returns. The coronavirus pandemic changed that, ending the longest US stock market bull run in history and replacing it with a bear market that throws investment danger into sharp relief.Some investors reacted early to the market volatility by moving assets into relatively safe investments: the first half of March saw large net outflows of dollars from US stock and bond mutual funds and net inflows into money market funds.Financial advisers typically caution that such sudden shifts in portfolios may be short-sighted and prefer that their clients focus on the long run.Even an unprecedented market crash is no reason to toss out one’s entire investing strategy. Advisers note that careful deliberation is vital. For instance, some investors should trim their exposure to stocks, but others should sit tight and wait for markets to recover.The first step is accepting that some risk is necessary to produce returns. For example, US stocks had an excellent 2019, resulting in a total return of 31.5 per cent for the benchmark S&P 500 — but that included sharp reversals in January, May and August.“How we talk about risk has some bearing,” says Chris Cooke, principal at Cooke Financial Group, an advisory firm in Indianapolis, Indiana. “These are really difficult discussions. Because the investments that offer decent returns in the long run may offer volatility in the short term.”That is why a basic tenet of investing is to spread risk among different asset classes that do not typically move in tandem, such as stocks, bonds and cash (also usually diversified among US and non-US holdings). Accredited investors with a net worth of $1m or annual income of at least $200,000 can add “alternative” assets such as hedge funds, private equity and commodities to their mix.Advisers believe that most investors can embrace the concept of asset allocation. “In theory, investors understand not putting all your eggs in one basket,” says Jan Spielman, an adviser with Quest Wealth Management of Storm Lake, Iowa.There are myriad ways to allocate assets, however, and they can be combined. Among FT 400 advisers, the most popular method is to build a “core” of lower-risk, passive investments that track market indices, complemented by riskier “satellite” investments. Some portfolios diversify across different types of risk, including volatility and correlation, rather than among asset classes.And many advisers favour allocating tactically in reaction to market developments, while others use computer-aided “model portfolios” designed for different risk levels.FT 400 advisers typically use an average of three different portfolio-building methods, including those described and others. Retirement investing can be its own category, where the long timelines lead some advisers to prefer a gradual reduction in equity exposure as a planned retirement date approaches, to reduce volatility as the investor increasingly relies on investment income.To tailor for risk, advisers sometimes deploy several techniques for different parts of one client’s account. That is important because many investors like to divide investors’ accounts into easily identified “buckets” that represent, say, different levels of risk. Tactical allocation might be right for a “high risk” bucket, but not for a retiree’s “income” bucket.This kind of compartmentalisation can ease investors’ minds if they know most of their money is in their “low risk” bucket.Ms Spielman uses buckets based on time horizon, so assets aimed at short-term use are put into shorter-term investments, as an example. “I don’t know if I have any client who can tell you how many large capitalisation stocks they own, but they can tell you how much they have invested for different timeframes,” she says.These buckets can make the various investment risks more tangible for investors. Traci Richmond, an adviser and co-founder of the Meakem Group in Bethesda, Maryland, finds that most investors worry about the risk of investment losses but not about other risks such as the risk of outliving one’s savings or the risk of inflation sapping their purchasing power.Like many advisers, Ms Richmond recommends investors keep enough emergency cash to cover at least one year of expenses. Many clients have found that approach helpful this year, she says, knowing that they do not have to sell assets at a loss to access cash.Even though having a “cash” bucket is a good general principle, the specific risk level in every portfolio has to be customised to the individual. That is why new clients at many brokerages are given questionnaires asking how they would feel about a large loss, what their investment goals are, and other ways to assess how much risk they can stand.Unfortunately, the extreme test of recent weeks could reveal that some people are poor judges of their risk tolerance.Of course, the recent market crash is the sort of event that provokes investors to rethink how much risk they want to build into their investment portfolios. But reassessing risk tolerance while markets are plunging may not be a wise long-term move.“People tend to think very short-term, but investing is about managing long-term risk,” says Dan Egan, managing director of behavioural finance and investing at Betterment, a wealth manager. “Investors should only reassess risk with a cool mind. Don’t deceive yourself into believing that panic is going to be useful.”If the coronavirus bear market teaches investors anything about risk, it might be that some people overestimated how much risk they are comfortable with in their portfolios. “If investors can’t sleep, that’s stress that we can’t just ignore,” says Ms Richmond. “But people should wait until things normalise before making any big changes.”
