;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;MCK;Mckesson Corp;2019-10-18T22:51:42Z;US opioid trial to go ahead after settlement talks fail;First federal lawsuit to proceed after local governments call offer ‘inadequate’;The first federal trial to emerge from the US opioid crisis looks set to go ahead on Monday after last-minute talks to reach a multibillion-dollar settlement faltered on Friday evening.The County Executives of America, which represents hundreds of local governments pursuing opioid makers and distributors for their alleged role in the epidemic, said the settlement proposals offered were “severely inadequate”. Accusing the defendants of “countless attempted delays and diversions”, the organisation praised the judge for allowing the trial to go forward.“Now it’s time, through the bellwether trial for Summit and Cuyahoga counties, to shed light on the actions of the remaining opioid defendants in that litigation [that is] opioid distributors and a manufacturer — in the first federal trial that begins on Monday,” it said in a statement.Opioid makers and distributors are facing mass litigation from US states, counties, and cities seeking to recoup some of the costs of the crisis, which has led to mounting healthcare and law enforcement bills. Two million Americans are suffering from opioid use disorder, according to the Center for Disease Control, and the outbreak of overdoses has contributed to a drop in US life expectancy.The companies, which all deny responsibility for the crisis, did not respond to requests for comment.Shares in the defendants fell in after-hours trading in New York. Teva Pharmaceuticals, the only remaining manufacturer, fell 1.6 per cent to $7.38, after losing 3.5 per cent during the trading day. Drug distributor stocks also dropped: Cardinal Health lost 3 per cent to $50.02, McKesson fell 3.1 per cent to $147.56, and AmerisourceBergen was down 1 per cent to $89.64.Other opioid makers were also brought lower by the news. Even though they have settled the cases with these particular bellwether counties in Ohio, they face other lawsuits related to the crisis.Endo International, which settled these cases for about $10m, was down 2.4 per cent to $4.76, and Mallinckrodt, which settled the two cases for about $30m, fell 3 per cent to $2.66. Johnson & Johnson, which settled with the two counties for $10m, was up slightly after-hours, after losing 6 per cent to $127.70 during the day, due to investor concerns about a recall of one batch of its talcum powder.Judge Dan Polster met with executives from the defendants on Friday, in an attempt to form a deal before the trial starts on Monday. The Wall Street Journal reported earlier in the week that the distributors had offered about $18bn to settle, while The New York Times said the deal would include the distributors, Teva and Johnson & Johnson, and would be worth about $50bn in cash and addiction treatments.As well as the total value of the deal, the sides have been debating over what period the payments should be made and the split between cash and in-kind payments.
1;MCK;Mckesson Corp;2017-10-26T19:17:41Z;Drug retailers, wholesalers drop on opioid, Amazon news;;Shares of pharmaceutical chains and drug wholesalers are looking a little green around the gills after US President Donald Trump’s declaration that opioids are a public health emergency and a report that ecommerce giant Amazon has secured wholesale pharmacy licenses.Mr Trump’s announcement, paired with the St Louis Post-Dispatch’s report that Amazon may soon be moving in on pharmacies’ turf, send the following shares south:Amazon — which has rattled would-be competitors every time it announces a foray into a new sector, like groceries or appliances — is scheduled to report quarterly earnings after the bell.
2;MCK;Mckesson Corp;2016-01-11T22:18:29Z;McKesson slides on generic drugs unit weakness;Energy companies under pressure amid sharp decline in price of oil;McKesson slid on Monday after the healthcare supply chain company warned over weakness in its biggest unit.The San Francisco-based company cut the top end and raised the bottom end of its adjusted profit outlook for the year ending in March and said it expected bottom-line growth of 7 per cent to 12 per cent the following year.The 2017 outlook trailed Wall Street forecasts, which call for a 12.6 per cent increase.McKesson said the gloomier forecast comes due to “weaker generic pharmaceuticals pricing trends”.The pharmaceuticals distribution business overall accounts for about 95 per cent of the company’s revenues, according to Bloomberg data.The trend in generics is “partially offset” by a cut in McKesson’s corporate tax rate, the company said.McKesson’s shares skidded 10.33 per cent to $163.55 by the close.The shares have tumbled 23.4 per cent over the past 12 months.Celgene, a large US biotechnology company, said it would promote chief operating officer Mark Alles to chief executive as Bob Hugin moves to an executive chairman role. It also said it expected 2016 adjusted earnings of $5.50 to $5.70 a share, compared with analysts’ estimates of $5.67 a share.The shares dropped 5.46 per cent to $103.03.Under Armour came under pressure after analysts at Morgan Stanley cut the stock to “underweight” from “equal-weight”.The analysts said the sportswear company was “losing market share for the first time in three years in apparel, and more surprisingly, [average sales prices] are falling at an accelerating pace”.The shares slid 6.72 per cent to $69.96, cutting their 12-month gain to about 3 per cent.Freeport-McMoRan dropped as copper prices sold off by more than 2 per cent. The company’s credit rating was cut by Fitch Ratings after the market closed on Friday to triple B minus, from triple B.The rating agency said the move reflected its view that the “commodity prices recovery will be prolonged”.Freeport is one of the world’s biggest copper miners and has taken a beating as the price of the industrial metal has fallen by more than a quarter in the past 12 months.Its shares fell 20.33 per cent to $4.31, extending their decline over the past year to 80 per cent.Many energy companies came under pressure amid a sharp decline in the price of crude oil. Marathon Oil, an exploration and production company, dropped 7.05 per cent to $9.62 a share.Meanwhile, Williams Companies, an energy infrastructure company, fell 7.98 per cent to $18.69.General Motors shares rose after Credit Suisse upgraded the stock to “outperform” from “neutral”.The investment bank said worries that the global automotive cycle had peaked after a blistering year for sales were “overstated in the near-term”.The US carmaker’s shares climbed 2.44 per cent to $30.25. They were down about 16 per cent over the past 12 months.By the close, the S&P 500 had nudged up to 1,923.42, the Dow Jones Industrial Average was up around 0.3 per cent to 16,397.06 and the Nasdaq Composite was about 0.1 per cent down at 4,637.63.
3;MCK;Mckesson Corp;2015-09-18T14:15:57Z;McKesson buys UDG Irish unit for €407.5m;All-cash pharmaceuticals deal is second European move in weeks;McKesson Corp, the acquisitive US pharmaceuticals group, has continued its European expansion with the €407.5m purchase of UDG Healthcare’s Irish drug business.On Friday, McKesson — which is best known in the UK for owning the Lloyds Pharmacy chain — said UDG had agreed to a sale of its Irish supply chain services business and UK travel health business in an all-cash deal.Shares in Dublin-based but London-listed UDG rose 6 per cent after the announcement. Liam FitzGerald, the company’s long-time chief executive, also informed investors that he would retire next March, and be replaced by Brendan McAtamney, UDG’s chief operating officer.McKesson’s purchase of the UDG businesses represents its second move into the UK and Irish retail drugs market in a matter of weeks. In late July, it agreed to buy J Sainsbury’s 281 in-store pharmacies for £125m. It is aiming to expand rapidly across the EU, having bought Celesio, the German drug distribution group, at the beginning of 2014 for $8.6bn, including debt.Peter Gray, UDG’s chairman, said the sale of the drug distribution business, formerly known as United Drug, will leave the group more focused on higher-margin operations.UDG’s distribution business accounted for just over half the total revenues of €1.1bn for the six months to last March, but had an operating margin of just 2.2 per cent, compared to an operating margin of 10 per cent in the group’s other divisions. After the disposal, UDG will consist of packaging, marketing services and medical devices distribution businesses.“It gives us the resources to continue building our higher-margin, higher-growth divisions,” Mr Gray said. He argued that the assets being sold would be better utilised in a global group such as McKesson.UDG plans to use the proceeds to pay down debt, and will have about €100m in cash on the balance sheet when the transaction closes.Mr FitzGerald said UDG had long recognised that it did not have the scale to be a significant force in the global pharmaceutical distribution business. McKesson, with annual revenues of $180bn, is many times bigger.However, he added that the focus for the company’s remaining businesses — especially its Ashfield marketing services business — would be on expansion through acquisitions. Future deals are likely to be focused on the US, Japan and Europe.When he became chief executive in 2000, the company’s operations were mostly in Ireland, whereas now it operates in 20 countries.
4;MCK;Mckesson Corp;2014-12-18T19:21:07Z;Oracle on fire after success in the cloud;US stocks bounce back on gains for tech and battered energy;Oracle shares soared to their highest level since 2000 — the year the dotcom bubble burst — after the Silicon Valley company offered the most convincing evidence yet that it is adapting to the radical change in the way corporate customers buy software.Although Oracle’s revenues edged up just 3 per cent and profits dipped last quarter, the share price was electrified by signs of progress in its cloud computing division.Oracle is one of an older generation of software companies, including Microsoft, that built their fortunes selling annual software licences to business customers.That model is now threatened by the emergence of cloud computing, in which companies such as Oracle host software applications online and businesses pay for it as they use it.Richard Davis, a technology analyst at Canaccord, said Oracle was starting to convince Wall Street that it was serious about competing in the cloud.“We believe investor opinion on Oracle’s stock, which in our conversations ranges from indifference to dislike, will change for the better,” Mr Davis saidOracle’s cloud revenues surged 45 per cent to $516m in the quarter to November 30, persuading its famously competitive co-founder and chairman Larry Ellison to declare that its cloud revenues would eclipse those of rival Salesforce.com next year.Shares of Oracle climbed 9.3 per cent to $45.35, their highest level since September 2000.Rite Aid shares jumped 12 per cent after the US pharmacy chain raised its profit forecast for the year.The company said it expected full-year profit to be between $315m and $370m and revenue to be between $26.25bn and $26.4bn.The news came just three months after Rite Aid was forced to lower its guidance as generic drugs squeezed profitability at its core pharmacy business.The latest guidance puts earnings closer to the $298m-$408m level the company set out at the start of its fiscal year in June.Rite Aid, the third largest drugstore chain in the US, said while margins at its pharmacy business are still under pressure — they fell 228 basis points during the third quarter — higher prescription sales and a new agreement with McKesson, its main supplier, which lowered its drug purchasing cost, had helped take out some of the sting.Shares in Rite Aid, down 15 per cent over the past six months, rose 72 cents to $6.78 compared with a low of $5.39 at the start of December.Shares in convenience store operator The Pantry added 3 per cent to $36.44 after its Canadian rival, Alimentation Couche-Tard, swooped on the company in a deal worth $1.7bn including debt.The move will consolidate its position as one of the largest convenience retailers in North America.The two companies said they had agreed to a definitive deal under which Couche-Tard will acquire The Pantry for $36.75 per share in cash, a 27 per cent premium to The Pantry’s closing price on December 16, when reports of a potential tie-up first emerged.Hertz shares rose 6 per cent to $22.55 after Carl Icahn, the rental car company’s largest shareholder, raised his stake in the company to 11.3 per cent from 10.7 per cent.Mr Icahn revealed a stake of just under 8.5 per cent stake in Hertz in August and has since seen the departure of chief executive Mark Frissora and won three board seats at the company.Gains in the technology sector and a steadying of the battered energy industry underpinned a climb in the S&P 500 index of 2.4 per cent to 2,061.2 by the end of the US session. The Nasdaq Composite Index rose 2.2 per cent to 4,748.4.
5;MCK;Mckesson Corp;2014-07-31T17:33:27Z;Stocks: the value is out there;The trick is in seeing where the overvaluation lies;The problem, we are assured, is localised. Yes, reliable measures of valuation for stocks – as a group – are elevated. The cyclically adjusted price/earnings ratio is a fluorescent 60 per cent above its 130-year average. Q, which compares stock prices to the replacement value of company assets, has been higher only in 1929 and 1999. Profits as a proportion of US output – a measure that the competitive logic of capitalism implies must be mean reverting – is at postwar highs on an after-tax basis.But Janet Yellen, Fed chairwoman, called out shares only in social media and biotech as stretched. And strategists echo the message: pick your sectors and your stocks carefully and you can protect capital.What look like value stocks are still out there. Kellogg’s earnings report on Thursday was middling, but it generates solid returns, has a non-terrifying forward earnings multiple of 15, and yields 3 per cent. But overvaluation is emphatically not restricted to a small number of sectors. Of the constituents of the S&P 500, 69 have seen their share prices double in the past two years. Some of Ms Yellen’s targets are on the list: Celgene, Netflix, Facebook, Biogen Idec. But is Goodyear Tire an emblem of the new economy?Another example: McKesson, a famously well-managed company in the old-fashioned drug distribution industry. Its shares have gone from $90 to $190 over two years. Its forward price-to-earnings ratio has gone from 12 to 18 over the same period (its trailing ratio is at an all-time high). Analysts expect EPS growth averaging 18 per cent a year for the next four years. Can McKesson do it? Sure. Does its valuation leave room for error? None whatsoever.There are plenty of other examples just like this one. This locality is getting awfully big.Tweet the Lex team @FTLex or email on lex@ft.com
6;MCK;Mckesson Corp;2014-05-22T11:49:40Z;Magnetar Capital sues McKesson over Celesio deal;;McKesson is being sued by a hedge fund which claims that the US drug distributor’s purchase of Germany’s Celesio was unfair to minority shareholders.Magnetar Capital, which owned over 3 per cent of Celesio when the deal was struck in January, filed a lawsuit in Frankfurt on Wednesday alleging that the German company’s smaller shareholders should have been offered nearly a third more in the takeover deal, which valued Celesio at $8.6bn including debt.The complex takeover led to McKesson and Celesio’s majority shareholder, family-owned German company Haniel, scrambling at the start of the year to find a fresh deal to create one of the world’s largest pharmaceutical distribution groups after an initial offer fell through at the start of January.At issue was a convertible bond partly owned by activist hedge fund Elliott Management, which also owned shares in Celesio. The dilutive impact of the bond meant that McKesson was unable to secure the 75 per cent of Celesio shares it needed before the deadline in its original offer.The first offer had initially been opposed by Elliott, which built a big position in Celesio while arguing McKesson’s initial €23-a-share offer was too low.A deal was then struck for Haniel to buy Elliott’s convertible bond then sell it to McKesson. But Magnetar argued on Wednesday that the price paid for the convertible bond valued Celesio’s shares at €30.95, rather than the €23.50 offered to other shareholders in the deal.The hedge fund calculates that McKesson should have paid an extra €370m to Celesio’s minority shareholders and bondholders.“If McKesson’s transaction is allowed to stand without addressing the divergent prices paid to different shareholders, this precedent would upend safeguards designed to ensure fair treatment of all shareholders in corporate takeovers in Germany,” Magnetar said in a statement.Magnetar complained to the German regulator BaFin in January that the second offer violated the so-called minimum price rule, which demands that all shareholders be offered the same price for their stake within a certain timeframe.But the hedge fund was told it was not the German regulator’s role to enforce particular claims and that it should pursue its grievance in the civil courts, according to one person familiar with the deal.“McKesson does not comment on pending litigation,” McKesson said. “We followed all relevant German laws in our transaction, and we launched our recent tender offer, after concluding agreements with Haniel and Elliott, with full approval from German securities regulators [BaFin].”BaFin said that it did not intervene with third party shareholder disputes in takeover offers, pointing out that shareholders could pursue their claims in a civil court if they felt their offer was unfair.The Celesio deal was closely watched in financial circles in Germany because of the unusual sequence of offers. Under German takeover law, a second bid after a first bid fails is not normally allowed within a 12-month period. Bankers have also suggested the deal paved the way for fresh activism in German companies, where large family-owned stakes in companies are more prevalent than in other countries.
7;MCK;Mckesson Corp;2014-01-24T00:09:54Z;McKesson finalises Celesio takeover;;McKesson, the US drug distributor, has won its hard-fought takeover of Celesio in a deal that values the German pharmaceutical group at $8.6bn, including debt.McKesson said on Thursday evening that it had secured ownership of close to 75 per cent of Celesio’s shares after striking an agreement with German investment company Franz Haniel to acquire its stake.The US group also confirmed it would buy convertible bonds in the company owned by Elliott Management, the New York hedge fund, which amount to about 8 per cent of Celesio’s stock.The deals mean McKesson can now enter into a so-called domination and profit and loss transfer agreement with Celesio, allowing it to wrest control of Celesio and gain access to its cash flows.McKesson did not disclose the terms of the deal with Elliott. However, people familiar with the situation said the drugs group had paid a “significant premium” for the convertible bonds.The takeover was initially opposed by Elliott, which rapidly built a big position in Celesio while arguing McKesson’s initial €23-a-share offer was too low.The hedge fund, which is growing in stature as one of America’s most energetic activist investors, eventually agreed to sell to Haniel last week when McKesson raised its bid to €23.50 a share.“It is a fair assumption to make that Elliott would not have made so much noise about getting the price of the deal bumped by €0.50 if there was not a premium for the other part of the deal [purchase of convertible bonds],” said a person familiar with the structure of the agreement.Haniel agreed to sell its stake to McKesson last October in a deal to create one of the world’s biggest pharmaceutical distribution groups. The family-owned group has been eager to broker a deal to sell Celesio as it looks to make fresh investments in Germany. The sale will leave German retail giant Metro as the largest holding in the Haniel portfolio.Stephan Gemkow, chief executive of Haniel, said on Thursday that “the two companies are an excellent fit, and I wish them – and especially their employees – every commercial success.”John Hammergren, chief executive of McKesson, said the increased scale and improved supply chain efficiencies would benefit his customers.Additional reporting by Alice Ross, Anousha Sakoui and Andrew Ward
8;MCK;Mckesson Corp;2020-04-16T04:01:48Z;The FT 400 Top Financial Advisers;Best in class: we present the leading US professionals, listed by state or territory, and provide the research methodology;"The Financial Times 400 is intended to provide a snapshot of the best financial advisers for the investors who use them.We assess these advisers based on what investors care about and we use a quantifiable, objective methodology.The Financial Times and Ignites Research, the FT’s sister company, contacted the largest US brokerages in autumn 2019 to obtain practice information and data for their top advisers across the US.We asked for information on advisers with more than 10 years’ experience and that had $300m or more in assets under management. Such minimum criteria filtered out most advisers.The FT then invited qualifying advisers out of this group — a list that totalled about 940 — to complete a short questionnaire that gave us more information about their practices.We added that information to our own research on the candidates, including data from regulatory filings.The formula the FT uses to grade advisers is based on six broad factors and calculates a numeric score for each adviserThese factors are:Assets under management can signal experience managing money and client trust.

AUM growth rate can be taken as a proxy for performance, asset retention and ability to generate new business.

Years of experience indicates experience of managing assets in different economic and interest-rate environments.

Compliance record provides evidence of past client disputes. A string of complaints could signal problems.Industry certifications (CFA, CFP, etc) demonstrate technical and industry knowledge and obtaining these designations shows a professional commitment to investment skills.Online accessibility illustrates commitment to providing investors with easy access and transparent contact information.Among the top factors in our scoring, assets under management accounted for an average of 70 per cent of each adviser’s score. Also, AUM growth rate (examined over a three-year period to June 30 2019, to emphasise long-term performance) accounted for an average of 18 per cent. The FT also places a cap on the number of advisers from any one state that corresponds to the distribution of millionaires across the US.We present the FT 400 as an elite group, not a competitive ranking. We acknowledge that ranking the industry’s top advisers from 1 to 400 would be futile, since each takes different approaches and has different specialisations.The research was conducted for the Financial Times by Ignites Research, a sister publication.Please note, individual advisers’ coverage of client categories is indicated below by “X” marks in columns for particular segments served: retail; high net worth (clients for $1m-£10m in investable assets); ultra high net worth (clients with $10m or more in investable assets); and institutional."
9;MCK;Mckesson Corp;2014-01-20T21:41:17Z;Elliott increases stake in Celesio to 24%;;Elliott Associates, the activist hedge fund, has increased its stake in Celesio to more than 24 per cent, days after an $8.6bn takeover of the German drugs wholesaler collapsed.The move could herald an attempt to salvage a deal with McKesson, the US pharmaceutical distributor, whose planned acquisition failed to secure enough shareholder support to go ahead last week.New York-based Elliott now owns shares equivalent to 24.08 per cent of voting rights in Celesio and a further 7.93 per cent through convertible bonds, according to a filing to the Frankfurt stock exchange on Monday.This would make it easier for McKesson to reach the 75 per cent shareholder approval needed for a takeover if agreement was reached with Elliott and Haniel, the German family-owned investment company which controls 50 per cent of Celesio.Haniel agreed to sell its stake to McKesson last October in a deal that would have created one of the world’s biggest pharmaceutical distribution groups.The takeover was initially opposed by Elliott, which rapidly built a big position in Celesio while arguing McKesson’s €23 a share offer was too low.The hedge fund, known for its aggressive approach to boardroom battles, eventually agreed to sell last week when McKesson raised its bid to €23.50 a share.However, the combined stakes of Elliott and Haniel were not enough to clear the 75 per cent approval threshold set as a condition of the deal.Stephan Gemkow, Haniel chief executive, appeared to hint that the deal could be revived when he said: “It is a pity that the takeover has failed for the time being.”Analysts said it was possible McKesson would make another bid because of its desire to establish a European bridgehead as the industry consolidates.Alliance Boots, the UK pharmacy chain, has forged alliances with Walgreens and AmerisourceBergen of the US over the past two years, putting pressure on Celesio and McKesson to find transatlantic partners.“We believe the pressure for a deal is increasing with further tie-ups in global drug procurement, and Celesio and Phoenix [another German-based wholesaler] are the two remaining sizeable EU assets available,” said James Vane-Tempest, analyst at Jefferies.On a fully diluted basis, Haniel and Elliott are believed to own about 41.8 per cent and 27.1 per cent of Celesio, respectively, according to analysts.McKesson could buy out Haniel and Elliott once the pair reached a combined 75 per cent holding, triggering a mandatory bid for the remaining shares, the analysts added.The Elliott stake disclosed on Monday was as of January 13, raising the possibility that the fund has bought further shares in the subsequent week.Elliott and McKesson did not respond to requests for comment. Haniel declined to comment.Additional reporting by Alice Ross in Frankfurt
