;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;MET;Metlife Inc;2019-02-06T22:05:51Z;MetLife earnings nearly double on US strength;;US-based insurer MetLife said that its adjusted earnings almost doubled in the fourth quarter of last year as the impact of tax changes and volume growth more than offset weaker investment markets and lower margins.The company said on Wednesday that adjusted earnings rose 97 per cent to $1.3bn, or $1.35 per share, in the period.The performance was driven by the core US business, where earnings grew 38 per cent. Latin American earnings were up 10 per cent, although profits from Asia slipped by a similar amount.Steven Kandarian, MetLife’s chief executive, said: “While market conditions were challenging in the fourth quarter, our businesses performed exceptionally well overall in 2018,” adding that the company had returned $5.7bn to shareholders through share buybacks and dividends.The company announced last month that Michel Khalaf, who has been president of the US business since 2017, will replace Mr Kandarian in May.Shares in MetLife were down 2.7 per cent in after-hours trading.
1;MET;Metlife Inc;2019-01-08T13:57:40Z;MetLife names Michel Khalaf as chief executive;Head of US business to take helm with insurer’s share price having disappointed the market;MetLife has announced Michel Khalaf will become chief executive, replacing Steven Kandarian, who will retire after eight years running the large, diversified US insurer.Mr Khalaf, 54, has been president of the company’s US business, its largest unit, since 2017. He has also led the company’s Europe, Middle East and Africa operations since 2011.Under Mr Kandarian the company cut costs, returned capital to shareholders, and closed significant mergers — but his tenure was also marked by painful mis-steps in its pension business and a spin-off that has been a stock market disappointment.Shares in MetLife have returned 32 per cent since Mr Kandarian started in the top job in 2011, significantly less than the broader market, insurance industry indices and MetLife’s rival Prudential Financial.“[MetLife] is long overdue for a well-articulated vision and strategy,” said Cathy Seifert, an analyst at CFRA, an independent research house. She noted that Mr Khalaf’s background in global insurance fitted the role well. “We think there will be heightened pressure on Khalaf to stretch the organisation for future growth, while also ensuring its day to day operations remain on track.”Mr Kandarian objected to the systemically important financial institution designation imposed by US regulators and, hoping to shed it, MetLife spun off Brighthouse Financial, which includes MetLife’s market-sensitive annuities business, last year.Brighthouse shares have lost more than 50 per cent of their value since their debut. A federal appeals court dismissed MetLife’s Sifi status last year.In late 2017, MetLife disclosed that it had failed to pay benefits it owed to thousands of “lost” pensioners. Last January it announced a $575m charge in connection with the unpaid benefits and warned of “material weaknesses” in its financial reporting. John Hele, the insurer’s chief financial officer at the time, was replaced in the wake of the debacle.“[Kandarian] was there when the restatement happened and they needed to move beyond that, and the stock hasn’t done well — but last year was also a very bad year for life insurance stocks in general,” said Elyse Greenspan, insurance analyst at Wells Fargo.Mr Khalaf, who joined MetLife in 2010 through its acquisition of Alico from American International Group, will take up his new role in May. Glenn Hubbard, the company’s independent lead director, will become non-executive chairman when Mr Kandarian vacates that post, also at the end of April.MetLife shares closed 0.5 per cent higher at $42.77 in New York on Tuesday.
2;MET;Metlife Inc;2018-06-19T04:00:37Z;Loosening the law that haunts bankers puts us at risk;The powerful Martin Act targeted fraud but a new ruling has curbed its reach;For the past 15 years, global banks and other big financial services groups have lived in fear of an old New York state anti-fraud law. The Martin Act has been used to crack down on biased Wall Street research, insurance bid-rigging and “dark pools” said to mislead traders, among many things.Unlike federal and other state laws, the 1921 Martin Act does not require its enforcers to prove that their target intended to deceive, or ever sold or bought securities. It also gives civil and criminal enforcement authority to the New York attorney-general’s office, a powerful combination that terrifies its targets and prompts most of them to pull out their cheque books and settle. Not Credit Suisse. Last week the Swiss bank fought an $11bn mortgage fraud case all the way to New York’s highest court and won. The court held, 4-1, that cases must be brought within three years of alleged wrongdoing rather than six as previously thought.Credit Suisse was quick to crow that its victory was “significant not only for this case but for all future industry proceedings”. The attorney-general’s office, now headed by Barbara Underwood, countered that the impact was limited because most of the big cases under the act have been brought within three years. Still, legal analysts concluded that the ruling would significantly curb the Martin Act’s reach, making it a less effective weapon against new types of fraud or unethical behaviour that do not naturally fit under traditional laws. The Credit Suisse case is the latest in a string of successful challenges to US financial services watchdogs. Earlier this year, Barclays won its multibillion dollar gamble by settling a mortgage-backed securities case for $2bn. It had refused an earlier demand for $5bn, saying it would rather go to court. In 2016, MetLife sued over a decision to designate it a “systemically important” institution and subject it to higher scrutiny. The insurer won. And former AIG chief executive Hank Greenberg last year settled a $50m false accounting claim for $9m after 12 years of legal wrangling. As the 2008 financial crisis recedes, the industry is becoming emboldened, both in terms of lobbying to loosen regulations and in fighting back against the enforcement agencies. Often these judicial challenges are appropriate. The MetLife designation was one of the first of its kind, and it makes sense to test new rules. For their part, the Credit Suisse and Barclays matters help counter the view, especially in Europe, that American financial watchdogs use their legal system to weaken and extract fines from large overseas competitors. Strict court oversight helps restore faith in the system.But there is a potential risk to hemming in US enforcers. The American system relies on fears of criminal prosecution and giant fines to help keep banks and insurers honest. If financial executives believe they can successfully challenge enforcement actions in court, they may be more willing to countenance risky or unethical behaviour in the name of boosting profits.The latest court challenges coincide with a resurgence of profits at many of the world’s largest investment banks and new plans to loosen the “Volcker rule” ban on banks trading with their own money. Taken all together, these developments will provide the industry with much more freedom. That will serve as a genuine test of bankers’ claims that they have changed their industry’s culture for the better since the financial crisis. We have to hope that they pass.It is also worth remembering why the Martin Act exists. Eric Dinallo, who, at the attorney-general’s office, helped pioneer its modern use, points out that it was written to give authorities the power to intervene. “The AG’s office would literally seize a boiler room’s marketing material before it hit the streets,” he says. “With the internet, that aspect of the act may be more relevant than ever. In law enforcement’s eyes, once you hit the send button, the money is gone.”brooke.masters@ft.com
3;MET;Metlife Inc;2018-05-01T16:48:19Z;MetLife finance chief leaves after reserves debacle;Insurer is dealing with fallout of failure to pay pensions to 13,500 people;MetLife’s chief financial officer has been replaced with immediate effect, months after the second-biggest US insurer by assets warned of problems with its reserves and financial reporting.Just a day before MetLife is due to publish its first-quarter financial results on Wednesday, the life and pensions group said John Hele was leaving after six years.The Canadian, 59, was retiring, MetLife said. He was replaced on Tuesday by John McCallion, the company’s treasurer, although Mr Hele would stay on as an adviser until September.The departure comes after the insurer acknowledged that over a period of about 25 years, it failed to make hundreds of millions of dollars of pension payments to about 13,500 people.MetLife had presumed individuals who were entitled to the payouts “would never respond” if the company’s employees made only two attempts to reach them without success.The practice allowed executives to boost past profits because the insurer released funds from financial reserves that were supposed to support the pension payouts.Earlier this year the company booked a $550m charge to cover the unpaid obligations. Then, in March, it disclosed new problems. The company had over-reserved for annuity payouts in Japan by almost $900m.“A series of issues that fell within the financial reporting function have been a source of investor frustration,” said Sean Dargan, analyst at Wells Fargo Securities.Jay Gelb, at Barclays, said in a note to clients that the timing of the departure — so close to the company’s earnings — “raises obvious questions” about “whether MetLife’s string of various charges is over, or if there are more to come”.Investors have speculated that the episode could lead to broad management changes at MetLife, whose chief executive Steven Kandarian has been in his position for seven years.Before the missing pensions debacle, Mr Hele had won admiration from investors. The keen sailor is a former chief financial officer of the Dutch financial services group ING and joined MetLife from Arch Capital in 2012.Under Mr Kandarian, Mr Hele helped steer MetLife through a spin-off of its consumer business and its successful fight with financial regulators over its too-big-to-fail label.His departure comes less than a week after MetLife disclosed it had cut Mr Hele’s pay, citing “performance in managing financial matters, including material weaknesses in internal control over financial reporting”.In a statement on Tuesday, Mr Kandarian said: “I want to thank John Hele for his service as CFO and for bringing a sharper focus on the true economics of the business we write.”Regulators including at the Securities and Exchange Commission and the New York Department of Financial Services have been probing the missing pensions episode at MetLife.The company’s shares have lost about 15 per cent since the start of November. They slipped 0.8 per cent on Tuesday.
4;MET;Metlife Inc;2018-05-01T14:48:13Z;MetLife’s chief financial officer to depart;;MetLife’s chief financial officer is leaving the US insurance company months after it warned of “material weakness” in its financial reporting.John Hele is standing aside from the position immediately, replaced by the company’s treasurer, John McCallion. Mr Hele, appointed in 2012, will stay on as an adviser until September.His departure comes just a day before MetLife is due to publish first-quarter earnings.The second-biggest US insurer by assets has been embroiled in a debacle over missing pension payouts to thousands of Americans. Earlier this year the company said it had failed to pay pensions to some individuals who had “moved jobs, relocated or otherwise could not be located.”The group warned of “material weakness” in its financial reporting, forcing it to boost its reserves by hundreds of millions of dollars.Regulators including at the Securities and Exchange Commission and the New York Department of Financial Services were probing the matter.
5;MET;Metlife Inc;2018-03-26T04:00:34Z;Big insurers convert disrupters to collaborators;Companies are joining forces with start-ups to stay ahead of rivals;"It has become fashionable in the insurance world to say that the industry is ripe for disruption.The combination of an age-old business model, traditional ways of working and high profit margins in some areas have, so the theory goes, made it a certainty that new entrants will come in to shake things up. A recent survey from PwC found that more business leaders from the sector are concerned about the pace of technological change than in any other industry. And yet the sector manages to sail serenely on. There has been no Amazon or Uber equivalent to revolutionise the way insurance works. The world’s biggest names are largely the same ones that were dominating 10 or 20 years ago. Insurance start-ups have yet to make a big impression even though there are plenty of them — around 1,000 globally, according to Oxbow Partners, a consultancy. They will eventually have an impact on the big players, says Roy Jubraj, a managing director at Accenture. “The disruption creeps up on you . . . You are possibly losing market share, there is a lack of productivity and you face competition on price.” There are plenty of areas where disruption could hit unwary companies and technology could give new entrants an edge. Big data gives insurers more information that they can use to assess risk, while artificial intelligence could allow them to make smarter decisions about those risks. The internet of things— smart devices in homes, for example — might allow insurers to spot problems before they happen, so cutting the cost of claims. And blockchain, say some in the industry, will be one of the most disruptive changes of all, giving buyers of insurance more direct access to the people that take on the risks. Chris Sandilands, a partner at Oxbow, says: “The impact of disruption will be felt by insurers jockeying for position as they introduce new technologies. If you don’t focus, you will be less efficient, or have a less accurate understanding of risk.” Some of the start-ups are using technology to challenge incumbents. New York-based Lemonade, which provides home insurance to renters, sold $10m of policies last year and says that it managed to pay one claim within three seconds of it being made. This is a difficult path, though. “Getting traction in a consumer market is tough,” says Mr Sandilands. “It is hard to get the attention of consumers.” Many of the new entrants are not trying to challenge incumbents head-on. Instead, they are developing technologies or techniques that they can sell to the established insurers. For instance, a recent report from Oxbow cited Atidot, which helps insurers to use data; Cytora, which uses AI to select and price risks; and Digital Fineprint, which provides social media analytics, as some of the start-ups that could do well with this model. If minority stakes do not do the trick, the next step is to buy out the start-upIn response to the threats — or opportunities — insurers have tried a variety of strategies, often combining several in an effort to find the formula that will keep them ahead of the competition. One is to develop new products and services in-house. Most insurers do this to some extent, but UK-based Aviva has gone further than many of its rivals. It has set up what it calls a “ digital garage” in London, and another in Singapore, where it puts product teams to work on new ideas. One result is a system that allows Aviva to cut down the number of questions it asks new customers. Setting up internal start-ups is another option, albeit a difficult one. “It is hard to think of many insurers who have successfully launched start-up businesses,” says Mr Sandilands. “The incentives are so different being an entrepreneur and being an employee.” A variation on that theme is for the insurer to set up a venture capital fund to invest in start-ups that look promising, opening the way for co-operation down the line. A clutch of insurers, including Aviva, Axa, Allianz, XL Catlin and MetLife, have their own funds, although there is some scepticism over whether these minority investments really give the insurers much benefit. If minority stakes do not do the trick, the next logical step is to buy out the start-up entirely. Last year, for example, US-based Travelers bought Simply Business, which sells insurance to small businesses, for £400m, more than three times the price that Simply Business was sold for a year earlier. Some insurers provide services to start-ups and make money from their development that way. Munich Re is a prominent example: the reinsurer has teamed up with start-ups including Bought by Many, Neos and Wefox. The start-ups sell the policies, but Munich Re ultimately takes on the risk. The deal works for both parties — the start-ups get access to capital that might otherwise be expensive to find, while Munich Re gets a new business stream. Whatever the strategy, experts say insurers also have to change their culture and staffing if they are to see off the threat from start-ups. “It is critical for traditional organisations to create an environment where they can move at pace,” says Arjen van den Berg, a partner at consultancy Heidrick & Struggles, which has been working with Aviva. Mr Jubraj says staffing is an area where insurers need to take action. “They really need to rethink their workforce, and think about what the workforce of the future will look like . . . There is still quite a lot of work to be done there.”"
6;MET;Metlife Inc;2018-03-02T00:36:55Z;MetLife warns of new reserving problems;US insurer reveals SEC investigation after it over-reserved for annuities in Japan;MetLife, the US life insurer that failed to make pension payments to about 13,500 Americans, has warned of new problems with its reserving — this time in Japan, its biggest overseas market.MetLife disclosed in an annual securities filing on Thursday that the US Securities and Exchange Commission was investigating a second “material weakness” after it over-reserved for annuity payouts in the country by almost $900m.The second-largest US life insurer by assets set aside more than was necessary to support guarantees it had offered on variable annuities, a retirement savings product.The episode had no impact on the Japanese policyholders — indeed it meant they had greater financial protection than was necessary — but it could leave MetLife vulnerable to legal action from investors who sold shares before it came to light.Insurance regulators also frown upon overly-conservative reserving, which can allow executives to flatter future financial results by releasing the reserves.Management of the company has determined that the over-reserving represents a material weakness in internal control over financial reportingMetLife’s mistake meant its reported profits in past years were lower than they should have been, and the company on Thursday revised upwards its net income for 2017 by $264m.“Management of the company has determined that the over-reserving represents a material weakness in internal control over financial reporting,” MetLife said in a statement.The latest mishap will add to concerns about oversight at the insurer, which said last month that it had failed to make hundreds of millions of dollars worth of pension payments over 25 years.The problems in the US resulted from MetLife’s practice of presuming customers “would never respond” if staff had made two attempts to reach them without success. The SEC and other regulators are investigating the company over that episode.Executives are trying to resolve the missing US pensions scandal, hiring investigators to track down pensioners who are owed on average $20,000 each.Despite the problem in Japan, shares in MetLife rose 1.3 per cent in after-hours trading on Thursday as executives said the resulting release of reserves was expected to free up capital and improve its cash flows.MetLife said it arose because the way it calculated the reserve requirements did not take adequate account of customer withdrawals. It had informed other regulators about the matter as well as the SEC and was “fully co-operating” with them.The affected business in Japan is in “run off”, meaning it no longer sells new policies.
7;MET;Metlife Inc;2018-02-14T18:10:27Z;MetLife hires investigators in search for missing pensioners;US insurer sets aside $510m for missing payments for almost 13,500 people;US insurer MetLife has hired investigators to track down thousands of pensioners as the company seeks to resolve a scandal over missing payouts that has wiped about $8.5bn off its market capitalisation.Executives on Wednesday said they were doing “everything humanly possible” to locate almost 13,500 people— owed on average $20,000 each — after they acknowledged MetLife failed to make proper efforts to find them over 25 years.The failure arose because of practices dating back to the 1990s at MetLife’s pensions “ risk transfer” business, under which companies transfer their retirement liabilities to insurers.MetLife sought to contact eligible pensioners only twice: when they turned 65, and again a few months after the age of 70. If these efforts were unsuccessful, the company presumed the individuals would never be found.As a result, the insurer mistakenly released funds from reserves that support future annuity payouts. The problem was brought to the attention of Michel Khalaf, recently appointed head of Metlife’s US division, in October.The second-biggest US insurer by assets has had to provision $510m to account for the unpaid annuities. It has turned to location professionals at California-based Pension Benefit Information to help find the lost retirees by the summer.Staff are also using the public records specialist Accurint, a division of LexisNexis, and have launched a campaign of phone calls and certified mailings. Retirees who they manage to locate will be due a lump sum to compensate for missing back payments.In a hint that employees might lose jobs over the episode, Steven Kandarian, chairman and chief executive, said managers were “taking action to hold people accountable”.To date, MetLife has not found any evidence of intentional wrongdoing. We are undertaking a thorough review of our practices, processes and people to understand where we fell shortMr Kandarian — the former head of the Pension Benefit Guaranty Corporation, a federal agency that safeguards retirement schemes — said the episode was “especially distressing to me” and “deeply embarrassing”.Shareholders in MetLife have taken fright at the reserve charge and the threat to its reputation. Shares have fallen 14 per cent since the company warned two weeks ago it would need to book a charge of more than half a billion dollars to cover the unmet obligations.The mishap has prompted investors to question other US insurers about their practices. Mark Grier, vice-chairman of Prudential Financial, said last week that the debacle at MetLife was “certainly getting a lot of attention”.“There are inevitably some customers we can’t locate for a number of reasons, but that number is small,” he said, adding he was “comfortable” the company was “meeting our obligations”.As part of efforts to ensure the episode does not happen again, MetLife said it would now start sending annual letters to workers once they turned 55. They would send three letters as soon as they reached 65, including a certified mailing.Regulators at the Securities and Exchange Commission and the New York Department of Financial Services are investigating.Mr Kandarian said: “To date, MetLife has not found any evidence of intentional wrongdoing. We are undertaking a thorough review of our practices, processes and people to understand where we fell short.”
8;MET;Metlife Inc;2018-02-13T23:03:15Z;MetLife failed to make pension payments to about 13,500 people;Chief executive calls blunder ‘deeply disappointing’;MetLife failed to make hundreds of millions of dollars worth of pension payments to about 13,500 people over 25 years, the insurer acknowledged on Tuesday. The missing payouts came to almost $20,000 per head on average.The second-biggest US insurer by assets said on Tuesday the failure resulted from its practice of presuming customers “would never respond” if staff had made two attempts to reach them without success.“Following a detailed review, management concluded that such administrative practices were not sufficient,” it said in a statement. Steven Kandarian, chief executive and chairman, said the blunder was “unacceptable and deeply disappointing”. The life and pensions company “can and will do better”, he added.The mishap occurred at MetLife’s pensions “risk transfer” business, in which companies transfer their retirement liabilities to insurers. MetLife warned in December that it had failed to take adequate steps to track down former employees of its corporate clients. On Tuesday, the company said it would need to boost reserves by $510m on a pre-tax basis.Shares in MetLife are down 17 per cent since the company two weeks ago warned it would need to book a charge of more than half a billion dollars to cover the unpaid obligations. They ticked up 0.7 per cent after hours on Tuesday.“We are rigorously addressing the situation and are committed to significantly improving our operational performance to better serve our customers and strengthen shareholders’ confidence,” Mr Kandarian said.
9;MET;Metlife Inc;2020-04-03T03:00:05Z;Emerging market debt burdens may be sorely understated;Recent paper suggests overseas liabilities of EMs are greater than previously thought;For emerging economies, coronavirus struck first through the financial markets. Long before the numbers of cases and deaths in these countries began to spread alarm, many emerging markets experienced a sudden halt in foreign investment inflows.Overseas investors have taken $95bn out of EM stocks and bonds since late January, according to the Institute of International Finance, dwarfing the withdrawals that followed the onset of the global financial crisis in September 2008.As Covid-19 infections rise and fragile health systems struggle to cope, foreign investors may be low on the list of concerns for EM governments. But these outflows will have a big impact on the fiscal measures policymakers can bring to bear on the crisis.Emerging markets’ overseas liabilities, moreover, may be bigger than previously imagined. A paper published by Matteo Maggiori at Stanford and colleagues at Harvard, Chicago Booth and Columbia Business School suggests the true ownership of EM bonds by overseas investors is much greater than shown in standard data — in some countries, by many multiples.The paper also suggests that foreign holdings of shares issued by Chinese companies may be many times greater than the $160bn that shows up in US national accounts. Should US-China relations sour in the aftermath of the coronavirus crisis, these giant holdings could become a source of significant risk.Mr Maggiori and his colleagues question the normal practice of allocating securities in national accounts on the basis of the residency rather than the nationality of their issuer. It may make sense, for example, for a bond issued by a Brazilian subsidiary of Banco Santander to be added to the debt statistics of Brazil (the residency of its issuer) rather than Spain (the nationality of the issuer’s ultimate owner), because the bond’s proceeds are likely to be put to use in Brazil.But it makes much less sense for a bond issued by Petrobras International Finance Company, a Cayman Island subsidiary of the Brazilian oil group, to be added to the debt statistics of the Cayman Islands. Yet that is what happens in standard, residency-based financial statistics such as the US’s Treasury International Capital data (TIC) and the IMF’s Coordinated Portfolio Investment Survey (CPIS).Mr Maggiori says this results in a vast understatement of the investments by US, European and other international investors in emerging economies. So the academics developed an algorithm to reallocate the securities logged in the TIC and CPIS data according to nationality rather than residency.The results are startling. TIC data show that US ownership of Brazilian bonds at the end of 2017 amounted to $8bn, based on the residency of issuers. But restated by nationality, the total rises to $68bn. For Chinese bonds, the total rises from $3bn to $55bn. Mr Maggiori says the results sound a warning as the coronavirus crisis threatens to tip emerging markets into a debt crisis.“If we are going to see a wave of corporate defaults, it’s a risk worth thinking about that a lot of issuance has taken place offshore,” he said. “[Our work] shows that exposures are quite large.”What is also striking is the role played by tax havens such as the Cayman Islands. In the TIC data, of Brazil’s $59bn in reallocated bonds, $42bn were issued in tax havens. Of China’s $52bn, $44bn were issued in tax havens. The results also shine a light on the role of so-called variable interest equity structures in US investments in Chinese companies. VIEs allow US investors to hold shares in these companies, circumventing Chinese restrictions on foreign ownership of some operating businesses. But in these transactions what investors actually buy are shares in listed companies, generally resident in the Cayman Islands, that give them a claim on the profits of Chinese operating businesses.By reallocating such investments on the basis of nationality rather than residence, the paper shows that US “ownership” of Chinese companies at the end of 2017 was not $160bn, as shown in US national statistics, but $700bn. This puts it closer to the amount of Chinese ownership of US Treasuries, of about $1.1tn. This is significant because Chinese regulators are certainly aware of the smoke-and-mirrors act being carried out by VIEs. They could, should they wish, bring the practice to an end.Mr Maggiori is not suggesting they will. But he thinks the risk is worth noting. “You read a lot about the possibility of China dumping its US Treasuries but very little about the possibility of China imposing its own regulations. If we’re talking about one, we should certainly be talking about the other,” he said.jonathan.wheatley@ft.com
