;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;PFG;Principal Financial Group Inc;2018-09-15T10:00:00Z;Principal Financial reshuffles top team;;Des Moines-based Principal Financial said it would deepen its presence in international markets with the creation of an enlarged global investment business following a senior management reshuffle.Last week’s shake-up led to the abrupt departure of the veteran Jim McCaughan who led the $430bn Principal Global Investors multi-boutique unit since 2002. Mr McCaughan was replaced immediately as chief executive by Pat Halter, chief operating officer, while Tim Dunbar, the chief investment officer of Principal Financial, was promoted to the role of president of a new $667bn global asset management business that will unify four previously separate investment divisions. Dan Houston, chief executive of the parent group, said unifying the four investment units would help the company better meet the needs of investors globally. “We will continue to look to expand in infrastructure and real estate to match the long-term liabilities on our balance sheet. We need to explore private debt and private equity. Internationally, we have around $200bn in retirement and long-term relationships in 10 countries outside China where our clients are looking for global asset management capabilities,” said Mr Houston. Principal Financial reported record net profits of $2.3bn in 2017, up 75 per cent on the previous year.Mr McCaughan, an insightful market commentator and public speaker, formally leaves on September 30. Principal Financial failed to provide a reason for his departure. One industry veteran said institutional investors did not like organisational upheavals that distracted portfolio managers. “Clients will be surprised, as we all are. They will want some explanation,” the person said.A former employee, who did not wish to be named, said the timing of Mr McCaughan’s exit “would not have been Jim’s choice”. Mr Houston said Mr McCaughan had done “an extraordinary job” and insisted his departure was part of a longstanding succession plan that had been in place for two years. He added that the re-organisation would deliver revenue, cost and talent synergies. “Principal has been in business for more than a century and we want to construct a strategy that will serve our clients well over the next hundred years,” he said.Under Mr McCaughan’s leadership, Principal Global Investors expanded from an operation with just $92bn in assets that served only US investors into an international business employing more than 500 investment professionals serving clients in 80 countries. The unit was highly profitable and reported pre-tax profits of $470m last year, an increase of 6 per cent over 2016.New business growth, however, has gone into reverse recently. Investors have pulled about $9.5bn since the start of 2017 from Principal Global Investors, which registered positive inflows of $9bn in 2016 and $15.5bn in 2015.
1;PFG;Principal Financial Group Inc;2020-04-25T23:17:40+0000;BlackRock and Franklin Templeton to win big from US tax holiday;Trump plan to cut tax on repatriated earnings would boost US asset managers;Billions of dollars of profits held overseas by asset managers to avoid corporate tax in the US could be brought home if president-elect Donald Trump follows through on plans for a tax cut on repatriated earnings.Franklin Templeton, which manages $714bn, and BlackRock, the world’s largest investment house, have the largest piles of cash offshore and would benefit most from a one-off tax holiday to encourage companies to bring profits to the US.Mr Trump has said that he will reduce the tax liability for US businesses that want to retrieve profits. This will provide a much-needed boost for asset managers that are fighting pressure on profits from fee competition, poor returns and increased regulatory scrutiny.Usually multinational companies trigger a tax bill of 35 per cent, the US’s statutory corporate tax rate, if they shift profits back. Most keep the money offshore as what they call “permanently reinvested earnings” that can be used for dealmaking outside the US.US asset managers T Rowe Price, Affiliated Managers Group, Principal Financial, AllianceBernstein and Eaton Vance would also gain from a lower tax rate on overseas earnings.“You could see them bringing cash and using it to reinvest and revitalise growth, or for capital management purposes,” said Neal Epstein, senior credit officer at Moody’s, the rating agency that this month lowered its outlook for the industry. “This will relieve pressure in the industry from regulatory changes and the need to invest capital in competitive products and in compliance.”The expectation that a tax holiday will enable companies to use offshore profits for share buybacks or dividend payouts has provided a fillip for investment managers in the US.$7.9bnThe amount of money Franklin Templeton holds offshoreThe share prices of Franklin Templeton and BlackRock, which hold $7.9bn and $4.7bn offshore, rose sharply in the days after the US election, and are up 15 per cent and 10 per cent respectively since Mr Trump’s victory. This month the president-elect chose Larry Fink, BlackRock’s chief executive, to join a council of business advisers for his administration.T Rowe Price said that the tax reform “would be considered favourable” but that there were no immediate plans to repatriate profits or change dividend and buyback plans.$4.7bnThe amount of money BlackRock holds offshoreBlackRock said that it was “not reliant on potential tax law changes to repatriate our offshore cash balances back to the US or invest in our business”.Campaigners argue that asset management companies have little opportunity for capital expenditure or job creation, defeating the purpose of repatriating profits to stimulate the economy.“Despite the best efforts of Congress to make sure that the last repatriation holiday spurred investment rather than dividends, it didn’t work out,” said Matthew Gardner, senior fellow at the Institute on Taxation and Economic Policy, who analysed asset managers’ company filings for FTfm. “Cash is fungible and companies are going to do whatever they want with their repatriated cash.”Research from the Democratic staff of a senate investigation group in 2011 showed that the 15 companies that benefited most from a previous one-off tax break for repatriated profits reduced spending on research and cut more than 20,000 jobs. It argued the tax holiday cost the US Treasury $3.3bn in lost revenues over 10 years.Investors have already begun to price in a surge in buybacks, which analysts predict could break records next year.Frank Clemente, executive director of Americans for Tax Fairness, a campaign group, said that shareholders and the US taxpayer are divided on the merits of the transition tax.“The companies that are going to win the most is those that have paid the lowest rate offshore for longest,” he said. “The American people lose.”James Henry, senior fellow at Columbia University’s Center on Sustainable Investment, added that companies often hold profits offshore in anticipation of tax holidays in the future.“If you do these things often enough you essentially get people to expect them. People wait around keeping their money offshore waiting for that. A lot of that money will be flown back if the US becomes a tax haven.”Legg Mason, which manages $733bn, and Janus Capital, which in October announced plans to merge with Henderson, the Anglo-Australian investment house, are expected to benefit most from separate plans by Mr Trump to reduce the top federal corporate tax rate from 35 per cent to 15 per cent.These two companies pay the most tax of US-based asset managers, according to Rory Callagy, senior credit officer at Moody’s.The money held offshore by financial institutions is dwarfed by the more than $1.2tn that is permanently reinvested by technology companies such as Microsoft, Apple and Google to avoid US tax rates.Franklin Templeton, Affiliated Managers Group, AllianceBernstein and Eaton Vance did not reply to requests for comment.
2;PFG;Principal Financial Group Inc;2015-10-16T16:27:40Z;London hedge fund Liongate to shut down;Second big fund to close this week as market volatility affects performance;London-based hedge fund investor Liongate Capital Management is set to close, in the latest example of problems afflicting the sector.Majority owner Principal Financial Group, the US pension plan specialist, confirmed the news on Friday. A spokesperson for Principal said the Liongate board would be “taking steps to return assets to investors.”It is the second big fund to shut this week, after Fortress Investment Group announced it would be closing its flagship macro fund on Tuesday. Many hedge funds have been affected by market volatility in recent months, and the industry is on track to post one of its worst years since 2011.Liongate managed $2.1bn worth of assets when Principal bought it in 2013, but Principal said in a statement that a loss of clients and reduction in assets under management had “placed the business under significant pressure” in the past two years.Liongate was founded by Randall Dillard and Jeff Holland in 2003. Principal wrote down its $44m investment in Liongate in 2014, and the group’s co-founders both left the fund this year.Principal gave no comment on the value of Liongate’s assets, but the Wall Street Journal reported on Friday that they had fallen to less than $500m this year.
3;PFG;Principal Financial Group Inc;2015-10-11T01:33:28Z;Movers & shakers: October 12;BlackRock hires Monique Donders as head of the institutional client business for the Benelux region;• BlackRock has hired Monique Donders as head of institutional client business for the Benelux region. Ms Donders, a former professor of financial management at the University of Maastricht, joins the world’s largest fund manager from Robeco, where she served as chief risk officer for the past 13 years.• Manulife has appointed Jim Chang as chief executive of its asset management business in Taiwan. Mr Chang, who joins the $313bn fund house from Deutsche Far Eastern Asset Management in Taiwan, succeeds Thomas Cheong, who left in December 2014 to become vice-president of north Asia at Principal Financial Group, the Des Moines-headquartered investment manager.• Two new faces at Kames Capital, the £56.1bn Edinburgh-based investment manager. Juan Valenzuela joins as a fixed income manager from Alliance Trust in Dundee. Timothée Pubellier has moved from UBP, the Paris-based hedge fund manager, to become a trainee fixed-income manager.• Three hires at Axa Investment Managers, the €694bn asset management arm of Axa, the insurer. Tom Clapham joins as head of sovereign wealth funds and central banks in Asia, from Macquarie.In the US, Jamison Gagnier has moved from Loomis Sayles to the role of director of US institutional sales. Rafael Tovar joins as director of US wholesale offshore sales from Nikko Asset Management.• James Butterfill has moved to ETF Securities, the London-based exchange traded funds provider, as head of research and investment strategy. Mr Butterfill previously worked at Coutts, the private bank.• Lombard Odier Investment Managers has made three additions to its alternative investments team and launched a Ucits compliant global macro strategy.Vilas Gadkari joins from Brevan Howard, the hedge fund, along with Giuseppe Sette, founder of Endowment Advisors, also a London-based hedge fund. Jan Szilagyi, a former portfolio manager at Fortress, the US hedge fund manager, also arrives.• Tages Capital, the $2.2bn fund of hedge funds manager, has appointed a new chief executive, Jamie Kermisch, who joins from Mariana Investment Partners.Tages has secured $600m in cash from a range of institutional clients to invest in start-up and early-stage hedge funds.• Jérôme Benathan is to join Julius Baer, the Swiss-based wealth manager, as head of fixed income mandates and funds in November. Mr Benathan previously worked at Swisscanto, an arm of Zürcher Kantonalbank
4;PFG;Principal Financial Group Inc;2014-06-16T18:25:15Z;Wizz a damp squib but the IPO market soldiers on;Queue of wannabe debutants winds round the block;It was the sudden evaporation of investors, not the lack of a silent H, that dashed Wizz Air’s hopes of exploding on to London’s stock market at the speed of its first world war near-namesake, the whizz-bang shell. Demand for the Hungarian airline’s initial public offer vanished during a leap in the oil price and a wave of bad news from rivals.Wizz might have fared better if it had floated earlier this year when the new issues market reopened after a prolonged moratorium. Then investors were cash-rich and exuberant. Now, their natural scepticism has returned following dismal post-float performances from the likes of AO World, the white goods e-emporium, and Just Eat, the online takeaways business.Some see Wizz’s less than supercharged reception, so soon after fashion retailer FatFace pulled its float, as a sign that the IPO market is closing. Yet the queue of wannabe market debutants still winds round the block. And bankers are busy setting up so-called “early stage meetings” with shareholders to discuss autumn’s line-up and assess demand for shares.True, investors are pushing back against entrants with me-too brands in sectors where they have their pick of listed rivals. But they gobbled up debt-laden discounter B&M, deeming it a rare chance to buy into a growing business chaired by ex-Tesco boss Sir Terry Leahy. There are high hopes, too, for the expected float of SSP, the station caterer under Kate Swann’s shrewd management.Barring unforeseen economic shocks the IPO market is not shutting. It is just midway through a classic cycle that swings from exuberance, satiation, disappointment and rejection through to more rational price formationAussie rulesThe facial expression of footballer Marcelo Vieria spoke volumes after he scored the opening goal of the 2014 World Cup against his own side, Brazil. It said: “No error could be more tragic than one which renders me universally ridiculous.”The same horror will have adorned the features of the broker who understated the float price of “flash sale” fashion website MySale by two decimal points. As a result, the shares appeared to open on Monday at 2.26p, a 99 per cent discount.The mistake triggered a flash sale of the company’s own shares that wiped almost 30 per cent off their price. The stock clawed back lost ground after MySale explained it was denominated in pounds, not pennies. But already the etailer’s name had been inscribed in The Bumper Book of Numerical Cock-ups.Here, MySale will rub shoulders with the Isaac Peral, a hastily redesigned Spanish submarine. A decimal point error would have made the vessel 70 tonnes too heavy and good at diving but bad at surfacing. Closer to home, apparel company Supergroup overstated profits forecasts in 2012 after a blunderer added rather than deducted a stock provision.Two brokers handled the MySale float: Macquarie Capital and Zeus Capital. Only one, Macquarie, bore responsibility for filling in the stock exchange form stating the float price in the role of nominated adviser. Being Australian, it may also tend to think in the dollars-spot-cents of its home market.Macquarie declined to comment. Sir Philip Green, rumbustious retail entrepreneur and 22 per cent shareholder in MySale, is likely to have expressed himself rather more freely.Hot stylesThe Principal, the shadowy figure who runs the City behind the scenes, wishes to remind readers who are attending Wimbledon next week of the dress code for financial professionals. It is as follows:“Middle-ranking stock analysts (male). Your clothing should be at least as formal as rival analysts to reflect the paranoia proper to your calling. A three-piece suit is a good way of signalling subconscious fear of being thought a slacker. Heat stroke is a small price to pay.“High-ranking bankers (male). Dress more casually than for the office. You don’t want to be mistaken for a middle-ranking stock analyst. A light-coloured summer suit is appropriate. But avoid the slept-in look pioneered by the late Mr Lee Brilleaux of the Dr Feelgood rock group.“Ladies. In dressing for the office, women have to negotiate minefields regarding hemline, neckline, trend and brand. You can wear anything for Wimbledon, though. A demure dress is fine. So is a spangly top and pedal pushers. Come in fancy dress if you like (a giant tennis ball costume, perhaps?)“Hedgies (male). By all means slick your hair back and wear a blazer, polo shirt, slacks, deck shoes and aviator sunglasses. But only if you’re a continental.”IPOs: kate.burgess@ft.comjonathan.guthrie@ft.com
5;PFG;Principal Financial Group Inc;2014-04-06T08:46:45Z;Chilean pensions lure US investors;MetLife and Principal blaze a trail to the country’s pioneering private market;US asset managers are increasingly buying into a Chilean resource that could turn out to be richer than even its copper mines: its population’s golden years.Only six private sector investment houses are approved to manage assets in the country’s mandatory Administradora de Fondos de Pensiones, or AFP, scheme and two of them were bought by US groups last year – market leader Provida by MetLife and Cuprum, the fourth biggest, by Principal Financial Group.Chile’s upward mobility, combined with a transparent political and regulatory system and its pioneering embrace of defined contribution pension saving have created one of the world’s most promising retirement markets, says Oscar Schmidt, executive vice-president and head of MetLife in Latin America.“This balance in Chile between growth from an emerging middle class and relatively low risk – that is the sweet spot,” Mr Schmidt says.Created in the early 1980s, Chile’s pension system is built on individual savings accounts funded by mandatory 10 per cent salary or wage contributions. The assets are invested by one of six AFPs, which offer up to five government-approved portfolios invested according to differing risk levels.The mandatory savings are supplemented with tax-advantaged voluntary schemes known as Ahorro Previsional Voluntario, or APV accounts, in which assets are invested in private sector mutual funds or insurance products by the AFPs.As of February, the AFPs oversaw $160.4bn in assets, up 11.5 per cent over the past year, according to government data. Assets in the voluntary schemes rose 11.2 per cent in the year to September, to $7.2bn.Fuelling the rising trend is Chile’s robust economic growth, which its central bank projects will climb as much as 4.8 per cent this year. Pension fund assets in the country, meanwhile, are projected to rise at a compound annual growth rate of 11.7 per cent through to 2017, compared with 7.4 per cent in the US, according to data from Cerulli Associates, the research company.“This is a country that is going to be growing at a higher rate than the developed markets, and because of that growth we will have more new consumers demanding new products,” says Roberto Walker, president of Principal’s Latin American operations. “New growth will take place within the mandatory programme and will be even faster in the case of the voluntary programme.”Indeed, the voluntary scheme has attracted recent US interest as well. In the past month, Nuveen Investments and Federated Investors have announced distribution deals making their funds available.“Any time we see an emerging market that is developing with a stable and growing pension marketplace, we think our product line fits it,” says Gordon Ceresino, executive director for international distribution at Federated and president of Federated International Management.Chile’s system also stands out for provisions allowing investors to allocate up to 80 per cent of their contributions to foreign investments. About 40 per cent of that is invested in the US, Mr Ceresino says.Nuveen sees a glowing prospect in convincing savers about the benefits of active management, says Oscar Isoba, its head of business development for Latin America.“The allocation is done on a regional basis and developed markets like the US are accessed mostly through passive vehicles,” Mr Isoba says. “If US active managers gain ground on the performance front, there could be an opportunity to raise assets.”The next large competitor in the market, however, may be the government.President Michelle Bachelet has vowed to create a government-run retirement fund to compete with private sector providers. Her proposal is expected to be presented to the National Congress this year.MetLife’s Mr Schmidt says he takes comfort in the fact that Ms Bachelet presided over an ambitious, and ultimately positive, pension reform initiative in 2008, during her previous term as president.“Overall, it was a great reform, and we think she is going to continue supporting the system,” Mr Schmidt says.Both Mr Schmidt and Principal’s Mr Walker say the system suffers from insufficient savings rather than a lack of competition. They point to potential solutions including higher contributions and greater support for an employer-sponsored option under the voluntary scheme.“We are not against the idea of the government-run AFP because we believe in competition, and if it is fair, we will compete,” Mr Schmidt says.“But we do not think it solves the current problems.”
6;PFG;Principal Financial Group Inc;2013-06-16T03:08:38Z;Retiring boomers reshape investment;An industry report finds a gloomy picture of the increasing personalisation of risk is emerging;Baby boomers will control almost three-quarters of the world’s retail assets within five years, dramatically reshaping the global investment industry.This is one of the findings from “Investing in a debt-fuelled world”, the fifth annual industry report compiled by Create Research, a UK consultancy, and Principal Global Investors, the institutional investment arm of the Iowa-based Principal Financial Group.Based on responses from more than 700 asset managers, pension schemes, consultants, distributors and fund administrators from 29 countries, with combined assets of $27.4tn, the report also paints a gloomy picture of the increasing personalisation of risk. The report sees this being transferred from “those who couldn’t manage it to those who don’t understand it”, as developed-world governments scale back public pension provision and the closure of private sector defined benefit plans accelerates.Perhaps the most wide-reaching trend identified by the report is the changing priorities of baby boomers, those born between 1945 and 1965, who are starting to retire in significant numbers.The report argues that these boomers will be less interested in the mass of products that aim to beat the market, and more interested in “solutions” that will meet their needs in retirement.“Almost 75 per cent of retail assets in the world will be held by retirees or near retirees [within five years]. People have talked about it but it’s happening now.“They want investment choices that are not about beating the markets but meeting their needs in retirement – regular income, inflation protection and low volatility. It is changing the whole complexion of the product mix in asset management,” says Amin Rajan, chief executive of Create Research and author of the report. “What baby boomers want is complete vehicles that can get them from A to B.”Other examples of this “solutions alpha” include liability driven investing in the DB pension fund sector, life-cycle investing and target income funds in the defined contribution world and “advice-embedded” investing in the mass market.“Legacy assets will migrate towards solutions-driven investing. The emerging trend will be as immutable as the momentum of a supertanker,” the report claims. “Conventional investing will morph beyond recognition by the end of this decade.”Survey respondents saw the rate of closure of DB plans accelerating as deficits rise, even in Japan, which has thus far largely retained its “jobs-for-life” culture.As a result, DC schemes are expected to increase their share of global pension assets from 43 per cent today, to more than 60 per cent by 2020.This is likely to have significant repercussions for the investment industry, with 62 per cent of DC investors planning to invest in balanced or multi-asset class funds.Mr Rajan also foresees a wave of innovation in the construction of DC funds, with the rollout of target income funds and vehicles that have an annuity rolled in.The industry itself seems unsure about the manner in which the dominant trends in markets, economics and politics will play out.About 40 per cent of survey respondents see quantitative easing as a tonic for reviving growth, 35 per cent see it as inflationary and 25 per cent as deflationary.Cuts in public spending are seen as the most likely route that European governments will take over the next three years to tackle their debt problems. In the US, a combination of low interest rates and economic growth is seen as a more likely path to achieve the same goal.There is, however, a broad consensus, shared by 62 per cent of the respondents, that central bank decisions will be the primary factor driving global markets in the next three years. This is tied in with worries over “financial repression”, which occurs when central banks keep policy rates artificially low for a long period of time in order to help governments finance their debts.“It is feared that a combination of low rates and rising inflation will steadily vaporise public debt and erode the purchasing power of the underpinning assets,” the report says.“Investors fear being on the losing side in this arbitrary redistribution of wealth that could last for at least 10 years, if history is any guide.”The report will be available on www.create-research.co.uk June 17.
7;PFG;Principal Financial Group Inc;2013-03-04T14:41:57Z;Pensions group buys into fund of funds;;Liongate Capital, the London-based fund of hedge funds, has sold a majority stake of its business to US pension plan specialist the Principal Financial Group.Liongate’s sale is the latest in a series of moves towards consolidation in the funds of hedge funds industry, where many businesses have found themselves squeezed by pressure from investors on fees and low returns from the hedge funds they invest in.Funds of funds were once the single biggest source of money for hedge funds and the route through which most investors accessed the industry. However, since 2008 many have struggled to carve a niche for themselves amid the disappearance of their main high net worth client base.Principal’s deal to acquire 55 per cent of Liongate underscores the extent to which institutional, pension-fund clients are now the biggest source of capital for hedge funds – and institutionally-focused funds of funds are those with the greatest opportunities for growth.Liongate, which was founded in 2003, manages assets of $2.1bn.“With its strong reputation and focused investment expertise, Liongate is a welcome addition to our multi-boutique management structure,” said Jim McCaughan, chief executive of Principal Global Investments, a division of Principal Financial.“The partnership will enhance our capabilities in alternative investments, which is an area where client demand continues to grow. Very few institutional investment firms have this level of expertise in hedge fund investing,” he said.Pension providers such as Principal – which manages assets of more than $400bn – have been ramping up investments in hedge funds since 2008, though few have yet sought to buy hedge fund businesses themselves.UK-based asset manager Aberdeen last year said it hoped to more than double its current hedge fund business, if possible through acquisitions.The deal will help Liongate focus on targeting bespoke mandates for Principal clients, the company said in a statement.“Our clients increasingly want hedged solutions over their entire portfolios, and not just on an ‘alternatives’ side plate,” said Liongate’s co-founder and chief investment officer Randall Dillard.Other recent, high-profile fund of funds deals include the Man Group’s acquisition of FRM last May – for which a maximum consideration of just $142m was paid – and Permal’s acquisition of Fauchier Partners in December.Numerous other fund of fund businesses are said to be for sale, including most notably Arpad “Arki” Busson’s EIM, though many stress there is a great deal of difference between them.The sector is sharply divided between funds that have been treading water since 2008 – thanks, among other things, to reputational damage following investments in the Madoff Ponzi scheme – and those that have quietly targeted pension fund money and sought to move away from traditional off-the-shelf fund products.
8;PFG;Principal Financial Group Inc;2012-11-28T00:40:44Z;BBVA sells Mexican pension for $1.6bn;;"Spain’s BBVA has agreed to sell its Mexican pension fund to local buyers for $1.6bn, the latest in a line of local asset sale by retreating Europeans.Grupo Financiero Banorte, the only major bank that is Mexican-owned and Mexico’s Social Security Institute, known as IMSS, will share the cost for Afore Bancomer – as the pension fund unit is called – equally.The combined fund will have some $40bn of assets, making it Mexico’s largest. The deal is subject to approval by regulators.The deal marks a further consolidation of the Mexican system of private pension funds, known as afores. The afores are largely modelled on Chile’s pension funds, known there as AFPs. Little more than a month ago, Principal Financial Group, a US insurer, agreed to buy Cuprum, the fourth biggest AFP, for $1.5bn. Cuprum has $32bn in assets.Principal has also been active in Mexico, snapping up HSBC’s Mexican pension fund earlier this year for some $200m giving it total assets of $8bn in the country.With a dozen Afores left in Mexico regulators and analysts say there is still room for more consolidation as competition increases.Ramón Pando, chief executive of Afore Principal recently told the Mexican daily El Economista: “We’ve seen it in Chile we’re seeing it here. The companies are consolidating so as to provide better services.”Related reading:
Chile’s privatised pensions draw Principal interest, beyondbrics
Institutional assets growth fuels interest, FT
Fund management: the lure of LatAm, beyondbrics"
9;PFG;Principal Financial Group Inc;2020-04-17T03:30:43Z;NMC scandal proves a boon for global advisers;The UAE-based healthcare group’s troubles have amplified concerns about local regulators;It took four decades for NMC Health to ascend from its humble origins as a small clinic founded by Indian entrepreneur BR Shetty to its pinnacle as a FTSE 100 favourite.It took less than four months for the success story of the largest private healthcare provider in the United Arab Emirates to sour after short-sellers questioned NMC’s debt and cash position last December. Angry denials quickly collapsed as an independent investigation triggered a series of damaging revelations that saw NMC admit evidence of fraud and more than $4bn of undisclosed debt.Earlier this month, NMC’s major creditor, Abu Dhabi Commercial Bank (ADCB), successfully applied to a UK court to place the London-listed business in administration. Restructuring consultancy Alvarez & Marsal has taken over management of the hospitals and clinics, replacing the entire board.“Clearly something has gone very wrong with the management and oversight of this company,” said Judge Sebastian Prentis at the hearing.The unfurling scandal has been lucrative for consultants, with boutique investment banks coming in to advise the company’s management, shareholders and creditors.The appointment of Alvarez & Marsal to handle the UK administration comes after the previous management brought in investment bank Moelis & Co and accountancy firm PwC to assist them with debt restructuring and operational advice as NMC sought a debt standstill. Shareholders, such as Mr Shetty, have also engaged their own advisers, including investment bank Houlihan Lokey, to steer them through the situation.The crisis at the UAE’s largest private healthcare provider has coincided with the onset of the coronavirus pandemic. “The turmoil at NMC couldn’t come at a worse time given the growing Covid-19 crisis,” says one healthcare consultant. The number of cases had risen by Wednesday to more than 5,300, with 33 deaths.The Gulf state has introduced tight restrictions on movement, with Dubai imposing a 24-hour curfew that requires residents to apply for a permit to leave their homes to collect essentials. A mass testing programme has involved opening 13 drive-through testing centres across the seven-emirate federation, as well as the construction of a laboratory in Abu Dhabi that can assess tens of thousands of samples a day.While some non-essential NMC facilities have closed because of the nationwide lockdown, one person close to the company says any hospital and clinic that can serve patients is staying open. NMC has more than 2,200 beds and 2,000 doctors in 200 facilities across the UAE.The company’s former management attempted to block the administration effort, arguing that such a move would destabilise the business at a critical juncture. Alvarez & Marsal quickly wrote to assure staff that the administrators would strive to allow medical staff to deliver healthcare efficiently, including a commitment to pay salaries on time. NMC struggled to meet February payroll.Clearly something has gone very wrong with the management and oversight of this companySome local healthcare executives believe that the government would have intervened if it feared a shortage of intensive care beds. As it is, Dubai alone already has up to 5,000 available for Covid-19 patients and can handle more than 10,000 with the construction of two field hospitals. It also plans to convert deserted hotels into medical facilities if the need arises.“The government has a full handle on the number of intensive care beds needed,” says one healthcare executive. “If they needed the hospitals, they would have acted differently on NMC.”Alvarez’s three joint administrators working on NMC are all senior managers based in the UK, rather than in the consultancy’s UAE office. In a letter to staff, Richard Fleming, managing director of Alvarez & Marsal Europe, said this was because NMC is registered in the UK.At the administration hearing, the judge expressed his confidence that the new management, backed by fresh funding, would be able to keep NMC a going concern. ADCB has pledged to provide new working capital facilities.Yet the scandal has once again tarnished the UAE’s reputation as a commercial centre. Coming less than two years after the fall of Abraaj — a Dubai-based private equity group that collapsed when it was accused of misusing investor money — it has intensified concerns about local regulators’ capacity to deal with such complex cases.Abraaj started to unravel when overseas investors in the group’s healthcare fund raised the alarm on its alleged use of their money for internal purposes, rather than investments. Alissa Amico Kole, managing director of the Govern Center, which advises on corporate governance, points out that the original whistleblower on NMC’s financial problems — research firm Muddy Waters — also came from outside the region.To bolster local ability to handle such crises, Nasser Saidi, a governance consultant, says the financial regulator’s powers could be expanded into a supervisory body to screen regional companies seeking to list abroad. He also believes that a UAE version of the UK’s Companies House — providing information on corporate ownership and financials to the public — would benefit transparency.While the Abraaj scandal damaged the fundraising prospects of the Middle Eastern private equity industry, NMC threatens to do likewise for UAE companies seeking to access the deep pools of capital in western markets.“The level of scrutiny for companies from here will be off the charts,” says one investment banker.
