;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;SPG;Simon Property Group;2020-02-10T19:35:19Z;Simon Property to buy rival mall owner Taubman in $3.6bn deal;Transaction comes as shopping centre group also closes in on Forever 21 deal;US real estate investment trust Simon Property Group has agreed to buy rival Taubman Centers in a deal valued at about $3.6bn, a sign that the wave of retail bankruptcies and store closures in America are encouraging mall landlords to consolidate.Simon will pay $52.50 a share in cash to acquire all of Taubman’s common stock, a 51 per cent premium to its closing price on Friday. The Taubman family has agreed to sell a third of its ownership interest on the same terms.After the deal is completed Taubman, which operates 26 shopping centres in the US and Asia, will be 80 per cent-owned by Simon, with the Taubman family retaining a 20 per cent holding. Simon owns or has an interest in 235 malls and factory outlets in North America, Europe and Asia.The acquisition was announced as Simon closed in on a separate $80m deal to buy fast-fashion chain Forever 21 out of bankruptcy, an unusual transaction that shows how property companies are responding to turmoil in the retail sector.Simon is teaming up with Brookfield Property Partners, another real estate company, and BlackRock-controlled Authentic Brands, a licensing specialist that owns Sports Illustrated magazine, to buy the cheap chic retailer.A deadline for other bidders to come forward for Forever 21 came and went on Friday, paving the way for the consortium to seal the deal. Creditors have until Tuesday morning to file objections to the deal with a Delaware bankruptcy court. A sale hearing is scheduled for shortly after the deadline.Forever 21’s Chapter 11 filing last September was the latest in a series of blows to shopping malls grappling with a series of retail failures. David Simon, chief executive of Simon, said last week that the deal could help save “many” stores and jobs.The store chain is also major tenant of Taubman, according to its most recent annual report. The shopping centre owner had 17 Forever 21 stores in its portfolio as of the start of last year, accounting for 513,00 sq ft of space.“By joining together, we will enhance the ability of [Taubman] to invest in innovative retail environments that create exciting shopping and entertainment experiences for consumers, immersive opportunities for retailers, and substantial new job prospects for local communities,” Mr Simon said.Simon expects to fund the deal with $3.6bn in existing liquidity. The company said on a call that it was “significantly undervalued” and “has no desire to issue stock at this time”.The transaction, which is subject to customary conditions, is expected to close in the middle of the year.Shares in Taubman surged 53 per cent in morning trade. Simon gained 0.7 per cent.
1;SPG;Simon Property Group;2018-04-03T16:48:15Z;Brookfield’s US shopping mall deal should unnerve bulls;Acquisition of retail centre operator is latest twist in a fast-changing narrative;Shares in US mall operators have fallen sharply during the past two years as the narrative that online commerce will destroy bricks-and-mortar retailers becomes the stock market consensus.Not only have large numbers of mall tenants suffered sharp declines in like-for-like sales, the US arguably has too many such centres, boasting five times the number on a per capita basis than the UK and double that of Australia. Hedge funds sold short shares in US mall real estate investment trusts and made significant profits in doing so, with the Bloomberg Regional Mall index down 35 per cent since the middle of 2016.More recently, however, following sharp falls in the value of the largest operators with the highest-quality “class A” malls, such as Simon Property Group and GGP, the market narrative has switched to the risk that these companies have been oversold. Short interest in the shares of the two biggest US operators by value — a proxy for bearish bets against their shares — eased as hedge funds covered their positions and moved on to new ideas. Indeed, some sector analysts started to argue that “prime” US malls, such as those owned by Simon and GGP, were now undervalued as they were trading at meaningful discounts to estimates of the net value of their assets.That was until mall bulls were forced to ask some painful questions last week when news that Brookfield Property Partners was buying out the 66 per cent of GGP it did not own for a headline price of $23.50 a share — compared with a consensus estimate of its net asset value of $28 a share.Analysts at BTIG, who had a $27 price target on GGP’s shares, were outraged at what they saw as a take-under offer by Brookfield. “The offer is wholly inadequate and should be rejected by GGP shareholders,” they wrote.Does the fact that Brookfield has made what the market views as a low-ball offer mean it is getting a bargain, or does it in fact mean the estimated value for the best malls in the US was far too high in the first place? That GGP’s board has decided to accept a bid apparently so far below estimates of the value of its properties may mean the market must now sharply revalue down the value of other owners of commercial real estate.miles.johnson@ft.com
2;SPG;Simon Property Group;2017-08-03T03:00:54Z;Ecommerce isn’t all gloom for real estate investors;Warehouses near residential areas provide a bright spot for real estate investment trusts;While ecommerce has raised existential questions over shopping malls, it has proved a boon for money managers betting on rising demand for the warehouse space and distribution centres that are indispensable for the growth of online retailing.The FTSE NAREIT industrial index, which has 10 members led by Prologis, has rallied 13 per cent over the past year.“They have benefited from what is going on in the ecommerce space, but not just from the large well-known ecommerce providers, but many of brick and mortar retailers have been getting their own online strategy,” says Steve Buller, manager of the Fidelity real estate investment fund.Some of this real estate has scarcity value, depending on the location, because it can also be used in other ways, such as gyms and restaurants since they are close to populated residential areas.“Historically what has always brought the industrial cycle to an end is overbuilding, but the space that everybody wants is very hard to find,” says Sherry Rexroad, chair of the investment committee for the global real estate securities group at BlackRock, referring to the so-called “last mile” from a warehouse to a delivery spot.The performance of industrial reits has come despite the downward pressure on the wider real estate sector exerted by the Federal Reserve raising interest rates. That has prompted a rotation by investors out of stocks with bond-like properties.It has been another headwind for the FTSE Nareit Retail Property Index, which is down more than 20 per cent over the last year. “The sector return dispersion has been largest we have ever seen,” Mr Buller said of the divergence of retail and industrial Reits.Rising fears over the future of bricks and mortar retail has hurt areas of the financial markets exposed to it, but some analysts argue it is premature to write the obituaries for all of those reits focused on shopping malls.“It is bifurcated. In one camp are people who think all brick and mortar is dead and everything will shift online. The other sees pressure but that the better [Reit managers] will figure out how to adapt and make changes,” says Steve Sakwa, an analyst at Evercore who has buy recommendations on some retail Reits.“As property owners you can’t just snap your fingers and change stuff. There are leases — it takes time — sometimes more time than the markets have patience for.”Take Simon Property, a $51bn Indianapolis-based Reit whose shares have fallen by more than a quarter over the last 12 months. David Simon, its chief executive, told analysts on the company’s quarterly earnings call this week that it was lowering its exposure to clothing stores while that to restaurants was rising.At its Galleria shopping centre in Houston, Texas, for example, the upscale sushi restaurant Nobu is replacing a Saks Fifth Avenue department store, while an Outback Steakhouse will fill the space where a Sears once stood in a mall in King of Prussia, a suburb of Philadelphia. In a Nashville property, a Madame Tussauds wax museum will operate where a Barnes & Noble once operated.“I have two teenage daughters — not to generalise from unbelievably small sample size — but the younger generation, millennial generation is more interested in experiences and services versus accumulating stuff,” says Mr Buller. That is “not necessarily good for retail real estate.”Figures from CoStar may hint that efforts by mall operators are helping. Although stores closings this year in the US have nearly reached the total for all of 2016, the percentage of occupied space is still growing, says Suzanne Mulvee, CoStar’s retail strategist.“That suggests the space is getting filled,” she says. “The question is with what? Is the landlord happy? They may fill the space with someone who pays less.”Whatever a shopping mall owner tries, one major factor that will shape their fortunes remains out of their control and is one of the oldest truisms in real estate: location. Owning properties in places with certain demographics improves a Reit’s chance of being able to repurpose space after stores closings, sometimes to its benefit.“Take a mall in the suburbs of New York with high population density and high income and contrast it with a tertiary market in the midwest or south-east with lower income, lower housing values and less density of population — they will face far more competition not just from the internet but from the average Walmart,” says Ms Rexroad of BlackRock. “The benefit of owning A spaces and A locations is becoming ever more important.”The logic applies to the warehouse and distribution space that the march of e-commerce is putting a premium on, too.“Valuations are full, but growth rates there are supporting those valuations,” Ms Rexroad adds of industrial Reits. “The rally isn’t over, but it is certainly not a bargain.”
3;SPG;Simon Property Group;2017-05-16T20:37:01Z;US retail real estate extends its bruising slide;Shares in biggest mall operator Simon Property down 7% since last Wednesday;Shares in companies that own and manage US shopping malls and other retail properties dropped on Tuesday, the fourth-straight decline, amid mounting anxiety over disappointing sales at department stores and clothing retailers.The S&P 500 retail real estate investment trust index dropped 1.9 per cent on Tuesday, and has tumbled 6 per cent since the end of trade last Wednesday.The seven groups listed on the benchmark have collectively shed $7.2bn in market value over the period, according to Bloomberg data.The current decline deepens the fall for retail Reits over the past 12 months to 23 per cent, compared with a 3 per cent drop for the wider Reits industry. The broader market has risen 16.2 per cent over the past year.Investors have been fixated on a string of sales misses in recent days disclosed by the best-known US department stores, such as Macy’s, Kohl’s and JC Penney.Wall Street’s gloomy sentiment intensified on Tuesday, when TJX Cos, a discount retailer that has tended to buck the troubles of retailers, disclosed its weakest like-for-like sales growth since 2015, along with a disappointing outlook. Dick’s Sporting Goods, a speciality retailer, also posted a sales miss.In a sign of the rising jitters, shares in Simon Property Group, the biggest US mall operator, have slid 7 per cent since last Wednesday to $154.13.Meanwhile, the cost to insure Simon’s debt against default has ticked higher. Credit default swaps that are used by investors to hedge holdings of the company’s bonds were the worst performers on Tuesday in an index compiled by Markit that tracks such derivatives on investment-grade companies.The spread on Simon’s five-year CDS was 107.7 basis points on Tuesday, up from 94.5bp last Wednesday, Bloomberg data show. The group is rated in the single A range by S&P, Moody’s and Fitch.Despite the dim sentiment, however, Ross Smotrich, an analyst at Barclays, said this week that Simon’s management appeared to be doing a good job at dodging the retail industry’s troubles.“Given the current environment of increased store closures, we believe the stability underlying [Simon’s] operating metrics speaks to the company’s ability to effectively manage the industry’s current headwinds,” he said.Elsewhere, shares in Pfizer, the world’s largest standalone drugmaker, fell by 1.6 per cent to $32.60, after Citibank issued a scathing note warning that the group would miss profit forecasts in the absence of a large deal.Andrew Baum, the widely-followed Citi analyst, downgraded the pharmaceuticals group from “neutral” to “sell” and reduced its earnings estimates by between 5 and 10 per cent for the 2018-22 period.“Pfizer needs a deal to deliver consensus earnings per share,” Mr Baum wrote.Mr Baum said that Bristol-Myers Squibb and Allergan — which Pfizer tried and failed to buy last year — were the most likely targets, but warned that any deal carried a “major transaction risk” for the company.Looking at the broader market, the S&P 500 slipped 0.1 per cent to 2,400.7, having ticked up to a record intraday high earlier. The Nasdaq Composite edged up by 0.3 per cent to 6,169.9, while the Dow Jones Industrial Average was little changed at 20,979.8.Additional reporting by David Crow
4;SPG;Simon Property Group;2017-05-16T14:22:27Z;US retail Reits hit for fourth day;;Shares in companies that own and manage shopping malls and other retail properties dropped on Tuesday, the fourth-straight decline, amid mounting anxiety over disappointing sales at department stores and apparel retailers.The S&P 500 retail Reits index dropped 1.2 per cent on the day, and has tumbled 5.4 per cent since the end of trade last Wednesday. Investors have been fixated on a string of sales misses from the biggest US department stores, like Macy’s and Kohl’s.Wall Street’s gloomy sentiment persisted on Tuesday, after TJX Cos, a discount retailer that has tended to buck the troubles for retailers, disclosed its weakest like-for-like sales growth since 2015, along with a disappointing outlook. Dick’s Sporting Goods, a specialty retailer, also posted a sales miss.In a sign of the rising jitters, shares in Simon Property Group, the biggest US mall operator, were down 1.2 per cent on Tuesday, and have shed 4.6 per cent of their value since last Wednesday.Meanwhile, the cost to insure Simon’s debt against default has continued to ratchet higher, climbing on Tuesday to 106.7 basis points (1.066 percentage points), from 95.7 bps last Wednesday, Bloomberg data show. The group is rated in the A-range at S&P, Moody’s and Fitch.
5;SPG;Simon Property Group;2020-04-25T21:12:53+0000;Aeropostale wins court backing in $243m sale;;Aeropostale, the teen retailer that for a period at the turn of the century was a staple in high schools across the US, won court backing of its plan to sell itself to an investor consortium led by mall developers as it winds its way through bankruptcy proceedings.The $243m sale, approved by US bankruptcy judge Sean Lane on Monday — who oversaw the restructuring of American Airlines —, includes the company’s ecommerce division and its international licensing business, US capital markets correspondent Eric Platt reports.The deal is expected to close on Thursday and saves several large landlords, including Simon Property Group and General Growth Properties, a large tenant. Aeropostale operated more than 800 stores at the start of the year, primarily in the US, according to filings with US securities regulators.The group has already shuttered more than 100 stores.The company has launched cut rate sales to liquidate merchandise, and will likely keep 229 stores open, a person familiar with the deal said. Retailers across the US have struggled to reinvigorate sliding profits, as competition intensifies from fast fashion chains like H&M and Zara and athletic apparel outfitters such as Nike.
6;SPG;Simon Property Group;2016-01-29T21:24:22Z;Strong dollar takes bite out of Colgate;Broader US markets close poor month on brighter note;The strong dollar has taken the bite out of Colgate’s sales, pushing the toothpaste maker into its first quarterly loss in at least 10 years.The New-York based company saw net sales slip 7.5 per cent to $3.9bn during the fourth quarter of 2015. Better sales volume and higher pricing had helped Colgate-Palmolive deliver a 5 per cent jump in organic sales during the period.Currency headwinds however, knocked 11.5 percentage points off sales, wiping out these gains. That, along with a $1.1bn writedown on its business in Venezuela, pushed Colgate into a $458m loss, compared with a profit of $628m in the same quarter in 2014.Colgate generates two-thirds of its revenues from outside North America, and the dollar’s appreciation against a number of major developed and emerging market currencies has sharply eroded the value of its sales in those countries.“Macroeconomic conditions and foreign exchange volatility remain challenging,” said Ian Cook, chief executive. Based on current exchange rates Colgate expects a “low single-digit earnings per share decline” this year, he added.Shares in Colgate, which are up 0.6 per cent over the past 12 months, gained 3.9 per cent by the close of trading.Elsewhere, the latest instalment of Star Wars wasn’t enough to save Electronic Arts, one of the world’s biggest video game makers, from disappointing Wall Street on Friday. Although the company, which is headquartered in Redwood City, California, said that sales for its Star Wars game beat its own forecasts, the shares slid after its outlook for the current quarter fell short of estimates.Electronic Arts predicted earnings per share, with one-time items stripped out, of 40 cents a share, compared with the 50 cents expected by analysts, according to a survey by Bloomberg. The shares declined 7.5 per cent to $64.54.Simon Property reported weaker than expected results for the fourth quarter, mired by slowing growth in tenant sales for the biggest listed real estate company in the US.Funds from operations, the most widely used profitability metric for real estate investment trusts, fell to $867m, or $2.40 a share, compared with $897m, or $2.47 a share, for the same period a year ago. Analysts had expected $2.44 a share.Simon, the biggest American mall owner by every measure, has rejigged its portfolio in the past few years, shedding smaller, less-profitable shopping centres for big malls and outlets, and thereby boosting its occupancy rates.Tenant sales for Simon’s US malls nudged up to $620 per square foot for the quarter, from $619 per square foot a year ago, but occupancy rates slipped to 96.1 per cent, from 97.1 per cent a year ago.Simon’s shares have fallen 4.3 per cent this year, along with other real estate investment trusts which have been dented by the Federal Reserve’s interest rate rise and broader market anxiety.Shares in Amazon continued to suffer on Friday, after the world’s largest online retailer released weak results late on Thursday. Shares in Amazon fell 7.6 per cent, although the stock is still up 88 per cent over the past 12 months.US stocks ended the week on a cheerful note after a grim January, lifted by a fresh round of easing from the Bank of Japan that boosted sentiment for equities across the globe.By the close of markets in New York, the S&P 500 gained 2.5 per cent to 1,940.24, the Dow Jones Industrial Average added 2.5 per cent to 16,466.30 and the Nasdaq Composite rose 2.4 per cent to 4,613.95.
7;SPG;Simon Property Group;2015-04-14T08:58:06Z;US companies unleash share buyback binge;Shareholders on track for $1tn in cash returns this year;An ageing US equity bull run retains one major source of buyers these days — the large companies that dominate the share market including Apple, Intel, IBM and now General Electric.No matter the muted interest on the part of US investors, companies are increasingly upping their purchasing power, helping maintain a bull market run that over the past six years has left equities looking richly priced.Buybacks have been a popular way to boost shareholder value for several decades and help companies offset equity options granted to employees. But in the current environment of sluggish economic growth, the rising tide of buybacks and dividends being paid out worries some observers, as it suggests corporations are less optimistic about future prospects and see a paucity of long-term investment opportunities.Strategists have debated the degree to which buybacks have accelerated the current bull run, with several noting the downturn in Europe would have probably pushed sovereign wealth funds, pension funds and other institutional investors into US stocks.“It’s not a zero sum game and it doesn’t have to be,” says David Lefkowitz, an equity strategist with UBS Wealth Management. “The flows are not necessarily indicative of how much support corporate buybacks are lending to the bull market. If that goes away, I wouldn’t necessarily be concerned about a downside in equities.”With investors expecting a big reduction in quarterly earnings growth compared with a year ago, the return of cash shows no sign of abating, with GE announcing last week it would return a massive $90bn over the next three years.Now the market stands on the cusp of seeing a record of more than $1tn returned to shareholders in the form of dividends and stock repurchases this year — with this activity supporting equity prices and valuations as the benchmark index hovers less than 1 per cent from a record high.Qualcomm, Lowes, General Motors and Simon Property have initiated or authorised multibillion-dollar increases to share buyback programmes in the past two months, while the financial sector cleared a key hurdle in early March when the Federal Reserve gave a green light to dividend increases and repurchase plans from the country’s largest banks. Citigroup, American Express and JPMorgan led a group of nearly two dozen financials that committed as much as $50bn to buybacks over the next five quarters.Attention has now shifted to Apple, the exemplar of share repurchases, which is expected to announce changes to its multiyear $130bn programme in late April. Those repurchases are “crucial” to valuations and earnings growth, Orrin Sharp-Pierson of BNP Paribas says, a point echoed by Goldman Sachs.“There is still a very clear preference to receive buybacks as an investor. You get this sense of perpetual synthetic growth, which investors appreciate in the presence of little underlying growth,” he says. “And you get a boost to secondary demand — the stock effect creating the additional bid for equities has been really quite important.”Retail investors have been absent from buying US equities, joining institutions looking to Europe and Asia for growth opportunities. Investors have pulled $18bn from exchange traded funds invested in US stocks since the year began, compared with $11bn that has flowed to ETFs investing in European and Asian equities, according to data provider Markit.Tobias Levkovich, a strategist with Citi, notes that over the past decade, S&P 500 companies have repurchased $4tn worth of shares — in part to offset stock options offered to employees — while domestic investors have added less than $100bn to the mix.“The lack of US retail investor interest in stocks has been stunning and equity market tops usually consist of overly aggressive individual investor interest in the asset class,” says Mr Levkovich.The pace of companies buying back their own shares now accounts for more than 2 per cent of overall equity volumes in the US and contributed 2.3 per cent to earnings growth for the S&P 500 last year, according to strategists with JPMorgan. That figure, the brokerage says, will probably accelerate this year as a slide in the dollar and oil cut into earnings gains from underlying operations.The returns have made valuations more palatable for the S&P 500 — the index trades at 17.8 times 2015 expected earnings, above its 10-year average — as analysts ready for two quarters of earnings declines. Companies on the US blue-chip index offer a dividend yield of 2 per cent, just above the yield on the benchmark 10-year Treasury.US multinationals steadily increasing returns to shareholders have in turn found stronger buyer interest. Both the S&P 500 buyback and S&P 500 dividend aristocrats indices have outperformed their namesake over the past 12 months, with the former outpacing the broader blue-chip index by nearly 650 basis points.“With rates expected to remain low, search for yield to continue, and a cautious investor base, shareholder-friendly companies with attractive total yields and strong cash flow generation should benefit from the current market environment,” says Dubravko Lakos-Bujas, a strategist with JPMorgan.eric.platt@ft.comTwitter: @ericgplatt
8;SPG;Simon Property Group;2015-04-01T16:23:30Z;Macerich shares dip as Simon Property pulls $23bn bid;US shopping mall wars on hold as takeover battle ends;The US shopping mall wars have halted for now.Shares in Macerich slipped nearly 7 per cent on Wednesday after the mall operator rejected a $23bn sweetened offer from larger rival Simon Property, which launched a hostile takeover last month.Macerich, whose shares had surged 37 per cent to $96 since Simon first showed interest, closed at $78.73 per share.Simon’s $95.50 per share offer, which valued Macerich at $23.2bn including $6.4bn in debt, “substantially undervalued” the company and did not reflect efforts to restructure its portfolio around high-end malls, Macerich said.Simon swiftly withdrew its offer because Macerich chose “not to engage in discussions” with Simon.The rejection was largely expected by analysts, although a delayed response from Macerich sparked speculation that the company could surprise.Macerich rejected the bid late on Tuesday night, 11 days after Simon made its “best and final offer” on March 20 and one day before its April 1 expiry.Macerich’s shares may trade in the mid-$70s going forward, analysts said.While the rejection was expected, it was “difficult to understand” why Macerich did not offer to engage or seek alternatives and the “outright” rejection will not sit well with investors, wrote Nathan Isbee, analyst at Stifel.Simon, the largest US mall owner by every measure, had sought to buy Macerich to capture more of the high-end mall market.Luxury malls in America are thriving while many second-tier properties are being shut or repurposed. The uneven economic recovery has favoured luxury retailers.Asset values of high-end malls have nearly doubled since 2007, while the values of lower tier “C” and “D” malls have declined, according to Green Street Advisors, a property consultancy.Macerich has rejigged its portfolio around higher-end properties, shedding lower quality malls and investing fresh capital in premium properties.While Macerich is just a quarter of Simon’s size in enterprise value and rental income, its premium model saw the company book more than $1bn in pre-tax profit last year.The company’s strategy will position itself as a “pure-play high-end mall Reit”, Arthur Coppolla, Macerich chief executive, said.Based on expected future growth, Macerich “faces a disconnect between private market valuations and public market views,” Mr Coppolla said.After Simon’s first unsolicited offer in March, Macerich had made governance changes to protect the company from a hostile bid, including a so-called poison pill giving shareholders rights to buy shares at a discount, a sign of its intention to remain independent.Simon’s shares rose 1.2 per cent on Wednesday. S&P Capital analysts raised their target price for Simon to $218, saying that they “applaud” Simon’s decision to scrap the bid and that Macerich “needs to better articulate” its decision to stay independent.
9;SPG;Simon Property Group;2020-04-25T18:31:28+0000;Simon raises bid for rival mall operator;Offer of $95.50 per share for Macerich is ‘final’;Simon Property, the largest US shopping mall operator, sweetened its hostile takeover bid for smaller rival Macerich to $95.50 per share in cash and stock, up from its previous offer of $91.This “best and final offer” will be withdrawn on April 1 if the companies do not meet to discuss the deal, Simon said. The new bid would value Macerich at $23.2bn, including $6.4bn in debt.Although the offer represents a 37 per cent premium to Macerich’s undisturbed share price, the target’s stock slid nearly 7 per cent to $87.19 in early trading as traders deemed the new offer insufficient to seal the deal.Macerich said it would review the proposal and asked shareholders to take no immediate action.Macerich rejected Simon’s initial offer earlier this week, saying the bid “substantially undervalues” the company and did not capture its efforts to restructure its portfolio, shedding lower quality malls and investing fresh capital in new premium properties.Macerich also made governance changes to protect the company from a hostile bid, making it tougher for Simon to force a decision.“Macerich’s decision to adopt extreme defensive measures is disappointing,” said David Simon, Simon’s chairman and chief executive, adding that a “protracted, multiyear proxy battle” was not in the interests of shareholders.Simon also said it would not nominate a new director to Macerich’s board in a friendly move that aims to decrease tension between the two companies’ management.People close to Macerich said the board of the Santa Monica-based company would welcome Simon’s decision to withdraw the threat of a proxy fight over the nomination of board members and would take the new offer more seriously.But despite the sweeter offer and friendlier approach, one person involved in the negotiation said it was still very unlikely that Macerich would accept the higher bid as several substantial legal problems remained.Maryland law prohibits companies from doing a deal with a shareholder who controls — directly or indirectly — more than 10 per cent of the target company.Currently, Simon directly owns 3.6 per cent of Macerich but it also has an indirect control of its rival through Vanguard, which owns 13 per cent of Macerich. Simon is confident that this would not be a problem but Macerich is of a different view.Some analysts said Simon’s new offer was not high enough to make Macerich change its mind.“It’s likely Macerich won’t review any material bids unless they come in at a significant premium,” said David Auerbach, a Reit trader at Esposito Securities. “I am not sure a 5 per cent price increase is a material move. General consensus is they’re just going to walk away.”
