;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;SWK;Stanley Black & Decker Inc;2019-01-22T21:20:54Z;Housing stocks lose footing on fears of slowdown;;Shares of US builders and real estate groups tumbled on Tuesday as investors digested fresh signs of a housing slowdown.Sales of previously owned homes slipped in December, hitting their lowest level since November 2015 and marking the gauge’s first drop in three months. The larger-than-expected decline renewed concerns over the impact of rising interest rates and elevated prices, which have pushed more buyers to the sidelines.Meanwhile, Stanley Black & Decker cited a softer housing market when it provided full-year earnings guidance that fell short of Wall Street’s forecasts. An economic slowdown in the US and overseas is not “catastrophic,” chief executive James Loree said, but the company warned that its tools business was hurt by rising interest rates that dragged on housing activity.KB Home was the worst performer among the largest US homebuilders with shares dropping 3.8 per cent. The stock fell more than 5 per cent at its lows during the session. PulteGroup dropped 1 per cent, while DR Horton lost 2 per cent. The S&P homebuilders select industry index was down 1.8 per cent.Redfin, the online real estate brokerage, shed 12.6 per cent of its value. Zillow saw its shares drop 7.6 per cent.
1;SWK;Stanley Black & Decker Inc;2019-01-22T17:15:32Z;Stanley Black & Decker hammered amid housing, tariff headwinds;;A gloomier forecast than expected from Stanley Black & Decker sawed more than 13 per cent off its shares on Tuesday as the company warned of continued headwinds from tariffs and the housing market.Stanley Black & Decker, the purveyor of cordless drills and lawnmowers, reported fourth-quarter earnings and revenue that beat Wall Street’s estimates, reflecting market share gains and the rollout of new Craftsman products. But the company said it “overcame multiple external headwinds” during the year and expects a similar environment in 2019.“While these headwinds will gradually abate as 2019 unfolds, they will be with us for a while, and the economic growth backdrop also looks to be slowing as well,” chief executive James Loree said during a conference call with analysts.For the current fiscal year, Stanley Black & Decker said it expects to record earnings of $8.45 to $8.65 excluding one-time costs, well below analysts’ forecast of $8.79 a share.Stanley Black & Decker shares tumbled 13.2 per cent to $118.87 on Tuesday morning. The stock was down nearly 16 per cent at its lows, threatening to surpass its biggest single-day drop on record — a 15 per cent sell-off on October 2, 1992.The downbeat outlook also hit shares in Home Depot and Lowe’s, the two largest US home-improvement retailers. Home Depot fell 1.1 per cent, while Lowe’s — which carries Craftsman products made by Stanley Black & Decker — was down 2.3 per cent.The New Britain, Connecticut-based tool maker, which acquired the iconic Craftsman name from Sears Holdings, began selling Craftsman-branded products through Lowe’s, Ace Hardware and Amazon.com last year.Stanley Black & Decker makes everything from power tools and lawn-care equipment to vacuums and toasters. Its portfolio includes several staples of the hardware aisle such as DeWalt, Porter-Cable, Mac Tools and the company’s namesake brands, Stanley and Black & Decker. It also provides commercial security, manufacturing and construction services.Mr Loree said the tools and automotive markets began to lose momentum in the third quarter due in part to interest rate rises by the Federal Reserve that hurt real estate and car buying. Meanwhile, economic and political turmoil in Germany, the UK and Italy have created challenges in Europe, he added.Chief financial officer Donald Allan Jr. noted that negative impacts from higher commodity prices, tariffs and currency fluctuations dragged on operating margins in the tools and storage business during the fourth quarter.They also cautioned that Stanley Black & Decker will see continued pressure on margins as the company balances sales volume with raising prices to offset rising costs.While these challenges “don’t magically disappear,” Stanley Black & Decker has created the “strongest pipeline of revenue-generating catalysts we’ve ever had during my almost 20 years as a C-level executive in this company,” Mr Loree said, citing the Craftsman rollout and other recent acquisitions.In the fourth quarter, net sales grew 5 per cent to $3.64bn on higher tools and storage volume and strength in the industrial segment. The company reported a net loss of $66.7m, or 45 cents a share, compared with net income of $281.5m, or $1.84 a share, in the same period a year earlier. On an adjusted basis, earnings were $2.11 a share. Analysts had forecast fourth-quarter earnings of $2.10 a share and revenue of $3.62bn.
2;SWK;Stanley Black & Decker Inc;2018-07-26T04:00:47Z;Cost impact of tariffs laid bare in corporate earnings;From toys to tools and trucks, manufacturers tweak supply chains and plan price rises;Donald Trump’s multi-front trade battles are prompting warnings from some of the largest US companies that higher tariffs will squeeze their profit margins, force them to pass on the pain to suppliers and push prices up for consumers.An analysis of executives’ comments since the start of the second quarter reporting season shows that most US companies see little immediate impact from the trade actions announced by the Trump administration, most of which have yet to take effect, but makers of toys, tools and trucks have begun to take steps to respond.“This is a very dynamic situation that changes by the day . . . and we’re giving it substantial focus,” Honeywell chairman and chief executive Greg Lewis told analysts. With inflation accelerating in transportation, logistics and metals, the industrial conglomerate was adjusting its pricing “as necessary”, he said, and had begun evaluating “more structural solutions” to weather the tariffs over the longer term, including finding new suppliers.“I think it’s going to be one of those things that goes through into consumer pricing,” cautioned James Quincey, chief executive of Coca-Cola, after the soft drinks group increased prices in response to increases in an array of costs, from freight to the metal used in Coke cans.Whirlpool also told investors it had raised its pricing in response to the “significant headwind” of steel and aluminium tariffs pushing up the cost of raw materials for its washing machines, and companies from Danaher to United Technologies said they were eyeing similar price increases.Stanley Black & Decker said higher prices had so far helped the tool maker fend off the effect of tariffs and unfavourable currency movements, but executives said they may still have to make changes to its supply chain should higher tariffs stay in place for the long term.Companies from 3M to General Electric expressed confidence in their ability to change their sourcing if needed, citing their diversified global supply chains. “Sometimes the hardest part is figuring out what the rules are. But once it’s communicated, we can adapt pretty quickly,” said Scott Roe, chief financial officer of VF, the owner of clothing brands from Vans to The North Face.A few companies have spelt out the tariffs’ likely toll: the White House’s trade measures will cost Ford an estimated $500m-$600m this year, would cost GE $300m-$400m if it had taken no mitigating steps and are forecast to add $45m-$55m to Harley-Davidson’s 2018 costs, executives said.Harley, which last month drew fire from Mr Trump by shifting some production from the US after the EU targeted it in retaliation for US steel and aluminium tariffs, said it planned to keep the prices of its motorbikes unchanged. But that will put pressure on operating profit margins this year, for which it shaved its guidance by half a percentage point, to 9-10 per cent.The warnings come against the backdrop of an unusually strong earnings season for corporate America, despite other challenges including labour shortages, higher transportation costs and currency swings.Thomson Reuters I/B/E/S projects earnings growth of 21.4 for the second quarter, and said on Wednesday that of the nearly 150 S&P 500 companies to have reported so far, 86 per cent had exceeded Wall Street’s expectations — a record since it began collecting the data in 1994.The executives’ comments also represent a striking change of tone from three months ago, when attention focused on calculating the benefits to companies’ bottom lines of the corporate tax cuts Congress passed at the end of 2017.CEOs broadly welcomed the Trump administration’s agenda of cutting taxes and rolling back regulations, but growing fears of a trade war have prompted some to speak up for the principle of free trade in the hope of changing its protectionist trade policy.“We are a company that’s built for fair and open trade,” said John Flannery, chief executive of GE.Brian Goldner, chief executive of Hasbro, put the message more starkly. The toy maker was already moving some production from China to the US, he said, but it was talking to the administration and members of Congress to communicate “just how terrible an impact an ongoing tariff or trade war would be”.
3;SWK;Stanley Black & Decker Inc;2017-01-06T15:41:04Z;Sears/Stanley: in the long run we are all dead;Wheeling and dealing to survive is creating opportunities for the retailer’s rivals;"The financier Eddie Lampert has kept department store chain Sears alive for years, despite fading sales. Toolmaker Stanley Black & Decker is banking on him continuing to do so.This week, Stanley said it would buy the well-known Craftsman tools brand from Sears, which had been hawking it around in its latest attempt to pump up liquidity. Sears will get $525m upfront and another $250m in three years from Stanley. But Stanley will also pay an annual royalty on a sliding scale to Sears for 15 years on Craftsman sales it records. It says the present value of all payments is $900m. But for Sears to get only 60 per cent of them upfront betrays who had the leverage here.Rating agency Fitch recently put Sears on a bankruptcy watch list. But Mr Lampert always seems to have a rabbit to pull out of his hat — usually a package of Sears or Kmart locations that he can sell or borrow against. Asset sales and property financings have raised $10bn since 2012.It may seem as though Mr Lampert is seeing just how long he can play out the string at Sears; many of the financing transactions have been with his own hedge fund. But Sears insists it is deploying strategy based on being an asset-light, membership-based retailer.Financial engineering cannot be an end unto itself, though. Through the first three quarters of 2016, operating cash outflows totalled nearly $750m. While annual sales are more than $20bn they continue to decline nearly 10 per cent a year on a like-for-like basis. Constantly selling assets to stay afloat brings the risk that future earnings power is commensurately eroded.It also creates opportunities for rivals such as Stanley, which will be able to market Craftsman tools outside Sears locations. In 15 years, Sears itself is supposed to be paying a royalty to Stanley on the Craftsman tools its stores sells. Many do not think that Sears will be around then, at least not in its present form. Yet its resilience has surprised so far."
4;SWK;Stanley Black & Decker Inc;2020-04-25T18:31:28+0000;Stanley Black & Decker: fully charged;Battery innovation is not just for electric cars;Fancy battery innovation is not just for electric car upstarts. The US toolmaker Stanley Black & Decker has released a hyped portable power system called Flexvolt where various saws and drills can be charged and used cordlessly. The accompanying media blitz includes blogs and social media influencers that rely on images of beefy men in hard hats and tool belts.On Wednesday, Stanley announced another tools move — it would buy the power tool brands of Newell Brands, a conglomerate that is slimming down, for $1.95bn. The purchase price multiple is a healthy 13 times operating cash flow. Stanley says with cost savings it comes down just eight times, a figure below its own trading multiple.But unlike Tesla, Stanley investors have demanded strong profits to back up its deals. The company has delivered impressive profit growth: its stock price doubled in the past five years and its market cap has reached nearly $20bn.Stanley’s power and hand tools business accounts for two-thirds of the group revenue (its other segments are physical and electronic security, and industrial products such as fasteners). Half of the group’s business is in the US with another quarter in Europe. While the demand for tools is strong (organic growth was 8 per cent last quarter), Stanley’s operating margin of above 15 per cent has reached all-time highs.Since 2000, when it began to bulk up and diversify, Stanley has boasted a total return of 400 per cent, citing its ability to manage costs and tightly manage working capital. Of late, its industrial peers have done just as well. Shares of Honeywell, Danaher, and Illinois Tool Works have all surpassed the performance of Stanley in the past five years. Industrials have broadly outperformed even with worries about slowing global economic growth and adverse currency movements. This deal may make sense but it is Stanley’s operational innovation that will make the difference.Email the Lex team at lex@ft.com
5;SWK;Stanley Black & Decker Inc;2016-06-06T17:29:25Z;US economy: capital punishment;Investors in capital-intensive sectors will hope US data are misleading;Last week Brent crude futures closed above $50 for the first time since November. Sighs of relief all round: how bad can the economy be when fuel prices are rising? Then came the lousy US job numbers on Friday: maybe it can be pretty bad, after all. And the jobs data are not the only sign that the commodity bounce does not reflect strong US output.Data from the Association of American Railroads reveal startlingly low demand for carload and container shipments since the beginning of the year. This can be explained, in some part, by producers’ unwillingness to ship coal and petroleum products at the low prices prevailing earlier in the year. Lower raw material costs should provide a boost to manufacturing and building, though. This does not seem to be working. The Federal Reserve reported in April that the year-on-year increase in total dollars spent for building construction and improvement is among the lowest observed since the financial crisis. The Institute for Supply Management’s Manufacturing Purchasing Managers’ Index is hovering near post-crisis lows, having dipped below 50 (indicating contraction) five times in the past year.The railway sector has already taken its lumps, although stocks such as CSX and Union Pacific have recovered somewhat since the beginning of the year. Not all sectors that should be sensitive to weak industrial activity have suffered, though. The ratio of prices to historic earnings in the capital goods sector has pushed out to 20, compared with a one-year average of 18.The likes of Illinois Tool Works and Stanley Black & Decker, for example — both sought-after, high-quality stocks with attractive dividends and limited commodity exposure — are up nicely over the past year. This looks odd, if US housing and industrial activity is rolling over. And the economic data are at least consistent with such a slowdown.Economies are devilishly hard to predict. Talk of “leading indicators” is misleading in most every case. Some stock prices, however, look like a poor fit with where the economy appears to be right now.Email the Lex team at lex@ft.com
6;SWK;Stanley Black & Decker Inc;2014-08-21T13:16:13Z;Techtronic: trade of the tools;Hong Kong manufacturer deserves more attention;"Americans are hammering, drilling and sanding. Home Depot’s very strong numbers this week, and respectable results from its weak sibling Lowe’s, show as much.Hong Kong tool manufacturer Techtronic has benefited. First-half profit, announced on Thursday, increased 16 per cent year on year, just shy of the 20 per cent Home Depot achieved. Techtronic’s outlook, like Home Depot’s, was positive. The similarities end there. Home Depot has rallied nearly one-tenth since reporting; Techtronic dropped 6 per cent.Owner of brands including Ryobi, Hoover and Milwaukee, Techtronic looks, from many angles, as attractive as the retailer. Techtronic says it has been gaining market share from the competition, which includes Bosch, Makita and Stanley Black & Decker. Its 10 per cent revenue growth outpaced the market; Europe (a fifth of sales) grew at an even faster 15 per cent. Even in countries such as the UK, where the desire for home improvement has been waning and third-party handymen are becoming more popular, Techtronic’s exposure to higher margin professional tools allows the company to benefit.The good news does not end there. Gross margins have been slowly expanding across the group, and stand at 35 per cent. With margins at Makita and Stanley around 2 per cent higher, there may be room for more. Over a third of Techtronic’s revenues come from innovative products. While not always as high end as those made by its competitors, Techtronic’s new products are faster to market and boost margins.Compared with Home Depot, trading on 20 times expected earnings, TTI, at 18 times, looks cheap given its lively growth rate. Stanley trades at a slightly lower multiple – 17 – but has half the growth. And Techtronic is generating enough cash to increase the dividend. Techtronic has outperformed Home Depot, Makita and Stanley over one, three and five years. That pattern looks set to continue.Tweet the Lex team @FTLex or email on lex@ft.com"
7;SWK;Stanley Black & Decker Inc;2020-04-25T18:31:28+0000;Shutdown to continue to hurt US companies;;"The deal may be done, but the US will be living with the consequences of the debt showdown for a long time to come, in the form of corporate profit warnings, economic uncertainty and the enduring disgust of international investors.Larry Fink, chief executive of BlackRock, the world’s largest fund manager, criticised Congress, reflecting widespread views in the business community, saying investors abroad were “disappointed and concerned” by some politicians’ willingness to countenance a debt default.“The fact the narrative in Washington is even about whether we extend our debt ceiling is just not acceptable. If you are a debtor nation your job is to make sure your creditors like you,” Mr Fink said. “Even with a deal to avoid a default, the damage has been done and the result will be a slowdown in economic growth.”Stanley Black & Decker on Wednesday became the first US company to tie a profits warning to the shutdown. James Loree, the company’s chief operating officer, said there was usually a surge in demand in September related to government spending, but this year “it just didn’t occur”.WW Grainger, the industrial supplies company, reported a “high-single digits” decline in sales to the federal government, and warned: “Sequestration and the government shutdown remain significant headwinds”.Housebuilder sentiment is also ebbing. Yet global equity markets rallied after Senate leaders unveiled a deal that could be put to the Republican-controlled House of Representatives.Earlier, billionaire investor Warren Buffett likened the last-minute negotiations over raising the government’s debt ceiling to wielding a “political weapon of mass destruction”.If Congress did damage to the “237-year period of good behaviour” by causing a technical default on bond payments it would be a “pure act of idiocy”, Mr Buffett told CNBC.“I know it’s been used in the past, but we used the atomic bomb back in 1945 and we decided we weren’t going to do something like that again.”Market participants continued to make contingency plans for a default: CME Group, the exchanges operator, demanded clients trading US interest rate swaps deposit more collateral to absorb potential losses; Bank of New York Mellon said its fund management customers had been liquidating short-term government debt in favour of holding cash.William Demchak, chief executive at PNC Financial, said that, even if Congress lifted the debt ceiling in a timely manner, “we’re still likely to see an impact in the form of a slowdown in broader economic activity as we go to the fourth quarter. So, things are not going to get any easier and we’ve plenty of work to do.”Tim Hopper, chief economist at TIAA-CREF, the investment firm with $523bn under management, said: “If Congress and the president are able to reach a long-term deal that offers investors some certainty, it could unleash a wave of growth. However, a short-term deal that doesn’t provide clarity about future fiscal intentions would likely continue to restrain growth.”"
8;SWK;Stanley Black & Decker Inc;2020-04-25T19:58:26+0000;Stanley Black & Decker: not a drill;Shares fall 14% amid cut to earnings target;It is hard to believe – as Stanley Black and Decker’s management claimed while cutting earnings targets on Wednesday – that the government shutdown has hurt US tool sales. Has nobody hammered together underground shelters in which to greet the apocalypse? Do furloughed workers make no home improvements?The government shutdown was only a tertiary explanation. More important were lowered hopes for margin expansion in the security business and slowing emerging markets. The market was unamused regardless, whacking Stanley Black & Decker’s shares 14 per cent. This probably has less to do with the severity of the earnings target cut than with the company’s valuation, which had become toppy in a recent rally. An industrial company that is growing organically in the low single digits should not trade at 17 times earnings.This sober moment invites a look back at the $4.5bn all-stock merger that brought Stanley and Black & Decker together. The share price drop wipes out their outperformance against industrial stocks since the deal was announced in late 2009. One might have hoped that the cost synergies ($350m) and increased emerging market presence that were promised would have given the combined company more of a boost. If Stanley Black & Decker’s margins and profits during the past 12 months are compared to the aggregate results the two groups achieved in 2007, it looks like little has changed. Free cash flow is lower today, as capital expenditures have risen.This is too harsh. Using merry 2007 as a stick to beat 2013’s results with is as unrealistic as it would be to use dreary 2009 as the comparator and declare the merger a success. The companies predicted that the combination would have $1.5bn in earnings before interest, taxes, depreciation and amortisation three years after the merger. They have delivered that and a little bit more. The merger came off more or less as planned. Whether Stanley Black & Decker needs more sanding and polishing is another question.Email the Lex team in confidence at lex@ft.com
9;SWK;Stanley Black & Decker Inc;2020-04-17T03:30:43Z;Coronavirus creates new priorities for consultants;Deals have dried up in emerging markets. Now the focus is on helping businesses survive the pandemic;Suddenly the music has stopped for dealmakers. Mergers and acquisitions, mainstays of consultancy work, are no more resistant to coronavirus than the rest of the global economy.But the decline in transactions has led businesses to focus their attention elsewhere — in particular, on how to survive and potentially thrive once the recovery comes.Worldwide volumes of M&A activity were down nearly a third in the first three months of the year compared with the same period in 2019, according to Refinitiv, the financial data provider. Asia Pacific experienced a 17 per cent drop.Emerging markets are now growing at their slowest pace since records began and experts predict flat growth at best and declines in gross domestic product in some cases. Rating agency Fitch has forecast anaemic GDP growth of 0.8 per cent for Turkey this year, while it expects South Africa’s GDP to fall by 3.8 per cent and Russia’s by 1.4 per cent.According to Fiona Czerniawska, co-founder of Source Global Research, which advises the professional services industry, the sudden fall in deals is not the prelude to a V-shaped recovery, where the economy suffers a sharp drop followed by an acute rise, but rather to a U-shaped upturn, in which activity picks up more gradually.In part that is because of the constraints imposed by social-distancing measures. “It is much harder to build trust remotely,” says Ms Czerniawska. “In a lockdown it becomes much harder to go beyond the people that you know already. Consultants need to demonstrate that they don’t just bring advice but that they have been involved in developing results in the past.”A downturn presents not only complex scenarios for companies but also opportunities for consultants in emerging markets to help them through the dark times, says Mehmet Sami, founding partner of Pretium Advisory in Istanbul.“[The drop in economic activity] leads to a polarisation in the corporate world,” Mr Sami adds. “The difference between stressed companies and resilient players will be bigger.”So what should consultants in emerging markets be advising companies to do if they are to weather the coronavirus storm?Tim Mahapatra is a London-based managing director at consultancy firm Alvarez & Marsal. He says companies are in survival mode and should be looking at ways of preserving as much cash as possible.“All the conversations with clients right now are about cash optimisation,” he says. “[The pandemic] is changing the mindset for the immediate period of the lockdown.”He says some of the key concerns business leaders face now include questions such as: “What do you do when your revenues stop but you still have to pay your suppliers? How do you take advantage of the range of support that governments are offering? How do you interact with the banks?”Mr Sami agrees that “cash control is going to be paramount” for businesses in emerging economies. He says it will be crucial for companies to make sure they have solid and easy-to-tap sources of credit.“If you don’t have a [credit] line in a bank, you’ll clearly have difficulties. But if you don’t, is a financial institution able to help?” he asks. “The banks could also be under stress as well in emerging markets because the global flows are slowing down. If banks are cautious, will they be able to provide facilities to corporates?”Companies — alongside consultants — need to start modelling various financial scenarios. Their survival may depend on their ability to respond swiftly to a wide range of possible outcomes.There are plenty of unknowns that business leaders need to be thinking about now, says Mr Sami.“What happens if the lockdown continues for the second quarter of this year?” he asks. “When do people think things will gradually improve? You need scenarios to make decisions and stress tests.”The pandemic’s global impact will be shaped, he argues, by the response of regulators and by the “behaviour” of the virus. “While the latter’s impact is unknown, the former creates [a] worldwide regulated supply shock, which results in demand shock,” he says. “In response, corporate leadership — especially boards — have enormous responsibilities and need to exhibit duty of care.”A key task is to set up robust board committees that can work through operational and financial scenarios to protect the business and satisfy regulators. Ultimately, Mr Sami thinks the health crisis will accelerate the “onboarding” of independent directors and consultants who can contribute their knowhow.Businesses need to start implementing “tracking policies” to make sure that manufacturing continues and that it is not hugely disrupted if — or when — coronavirus enters the workforce.“You have to have a good contact tracing system,” says Mr Sami. “If someone gets [coronavirus], make sure you isolate certain goods and people. You do need a lot of workforce protection, especially on the manufacturing side of things, with committees reporting on a regular basis.”The veteran consultant adds that monitoring supply chains is crucial in emerging markets such as Turkey. Where critical supply parts or raw materials are at risk, managers need to find alternative sources and new suppliers. Logistical analysis will help with developing flexible solutions.“This is the time when the effectiveness of the boards will be really questioned.”Whatever the priorities of businesses right now, executives must ensure they keep an eye on the future too, says Alvarez & Marsal’s Mr Mahapatra.Companies will see different types of restructuring depending on the sector — anything from going into administration to mere discussions about sources of credit to get through the rough patch, he says.But it is important to see beyond the immediate crisis. “What will the business look like in 12 months’ time?” he asks. “How do you maximise your chances of survival?”While survival strategies vary hugely, he says, “there are some common considerations”.One is the pivot to cash. Another is the need to secure supply chains in readiness for the rebound. “This includes accelerating payment to key suppliers to ensure they can respond and supporting smaller suppliers to make sure they can survive the next few months,” Mr Mahapatra says.“Prior to the lockdown being lifted, companies will need to ensure availability of labour, liaise with customers and suppliers, and organise inventory to prepare for an uptick in demand. For some, Covid-19 will have a long-term business impact, meaning they need to start repositioning their brands and deliver operational changes now.”With such measures in place, a rapid restart should be achievable. But he warns: “Many companies will emerge from the crisis with higher debt to repay or lower reserves. This will cause them to reprioritise their investment plans, potentially acting as a lag on recovery in the year ahead.”
