;Ticker;Nombre_Completo;Date_Time;Titular;Subtitular;Texto
0;TXN;Texas Instruments;2019-10-22T21:15:50Z;Texas Instruments sales outlook spooks chip investors;;Texas Instruments offered a sales outlook that came up short against Wall Street estimates, driving down shares in the company and fellow chipmakers late Tuesday.The Dallas-based group was one of the first chipmakers to warn last year of softer demand in the sector, amid weaker economic growth globally and US-China trade tensions. Texas Instruments and the Philadelphia semiconductor index, which tracks 30 players in the industry, have both outperformed the broader market this year on hopes of improving trends.But Texas Instruments’ outlook for revenue in the fourth quarter, at $3.07bn to $3.33bn, was softer than the $3.59bn analysts expected. Revenue from the third quarter also fell shy of estimates.Shares in Texas Instruments fell nearly 9 per cent in after-hours trading Tuesday. Other US chipmakers including Intel, Advanced Micro Devices and Nvidia also saw their shares drop in sympathy. Nvidia fared the worst among the trio, with shares sliding 2.9 per cent.Texas Instruments is seen as a bellwether for semiconductor companies each quarter. The company makes a wide range of chips used in everything from calculators to cars and communications equipment.It booked revenue that fell about 11 per cent year-over-year to $3.77bn in the period ending in September, as “most markets weakened further”, chief executive Rich Templeton said. Analysts on average had forecast $3.82bn in revenue.Earnings per share of $1.49 beat expectations for $1.42.
1;TXN;Texas Instruments;2019-04-23T21:19:20Z;Soft chip demand weighs on Texas Instruments outlook;;Texas Instruments booked stronger earnings than expected in the first quarter, even as softer demand weighed on the chipmaker’s sales.The Dallas-based company has the largest number of customers in the semiconductor industry and makes a wide range of chips used in calculators, cars, communications equipment and industrial applications. Texas Instruments was one of the first chipmakers to warn last year of softer demand, but it eased those fears in January with a first-quarter forecast that cheered investors.Texas Instruments reported net income of $1.22bn, down 11 per cent from $1.37bn in the same period a year earlier. On a per-share basis, the company earned $1.26, handily beating analysts’ average estimate of $1.13. Earnings per share included a four-cent discrete tax benefit that was not included in the company’s previous guidance.Revenue was down 5 per cent at $3.59bn but also beat expectations, with analysts looking for $3.48bn.However, the company provided an outlook that mostly fell short of Wall Street’s forecasts after warning that demand for its products “continued to slow across most markets” in the last period. It projected earnings per share of $1.12 to $1.32 on revenue of $3.46bn to $3.74bn for the second quarter. Analysts were looking for $1.24 per share and $3.66bn.In the March quarter, sales in Texas Instruments’ analogue segment remained more resilient than embedded processing, which didn’t benefit from growing 5G technology, executives noted during an earnings call. They also said weakness in the quarter was seen across its portfolio with the exception of chips made for communications equipment, a business that grew about 30 per cent year-over-year.Shares of Texas Instruments initially spiked more than 5 per cent in after-hours trading but later shed those gains, slipping 2.4 per cent.
2;TXN;Texas Instruments;2019-01-23T22:23:33Z;Chipmaker Texas Instruments posts revenue drop on slower demand;;Chipmaker Texas Instruments on Wednesday said revenues fell in the fourth quarter as demand for its products slowed across most markets and delivered a soft outlook for the current quarter.The Dallas-based company said revenue fell 1 per cent from a year ago to $3.72bn, just shy of analysts’ estimates for $3.74bn, according to a survey of analysts by Refinitiv.The company noted its sales decreased “as demand for our products continued to slow across most markets”. Revenue for its analogue products grew 4 per cent but declined 12 per cent in its embedded processing business.Texas Instruments said on its earnings call that demand in China was weaker than in other regions and added that its customers signalled “this weakness is primarily from increased caution due to trade tensions”.Net income more than tripled to $1.24bn from $344m in the year-ago quarter as the company noted sharply lower provisions for income taxes. That translated to earnings of $1.27 a share, compared with 34 cents a share in the year-ago quarter and topped analysts’ estimates for $1.24 a share.Texas Instruments makes chips for products ranging from small personal gadgets like calculators to high-end industrial equipment and has more recently benefited from a move by automakers into self-driving technology. However, in October the company became among the first in the sector to warn of a slowdown in its so-called end markets, driven by a deceleration in semiconductors.The company also endured a flux in leadership last year after its chief executive Brian Crutcher abruptly resigned less than seven weeks into his job last summer owing to “violations” of the company’s code of conduct.For the current quarter, the company forecast revenue between $3.34bn to $3.63bn, with the low-end of that projection below analysts’ estimates for $3.59bn.It also provided a soft earnings guidance of between $1.03 a share to $1.21 a share, which includes a roughly $20m discrete tax benefit. That compared to analysts’ expectations for $1.20.Texas Instruments shares, which are up 1 per cent year-to-date, having declined 9 per cent last year, rose nearly 2 per cent in after-hours trade.
3;TXN;Texas Instruments;2018-07-24T22:03:27Z;Texas Instruments’ quarterly outlook tops view;;Chipmaker Texas Instruments whose chief executive abruptly resigned last week delivered upbeat outlook for the current quarter amid strong demand for its products in automotive and industrial markets.Shares in the Dallas-based company were up just 0.3 per cent in extended trade on Tuesday after it said it expects current quarter earnings of between $1.41 to $1.63 a share on revenues of between $4.11bn to $4.45bn. That compares with analyst expectations for earnings of $1.48 a share, on revenue of $4.27bn, according to a Thomson Reuters poll.The strong outlook accompanied second-quarter revenue that climbed 9 per cent from a year ago to $4.02bn — just ahead of analyst expectations for $3.97bn — driven by demand for its so-called analogue and embedded processing products in the industrial and automotive markets. Texas Instruments makes chips for products ranging from small personal gadgets like calculators to high-end industrial equipment and has more recently has benefited from a move by automakers into self-driving technology.The company also said its net income rose to $1.4bn or $1.40 a share, compared with $1.06bn or $1.03 a share in the year ago period. That handily topped estimates of $1.32 a share.Rich Templeton, who resumed the role of chief executive last week, presided over the results. Brian Crutcher stepped down from the top job after less than seven weeks at the helm owing to “violations” of the company’s code of conduct that were “related to personal behaviour” but not related to operations or financial reporting.Texas Instruments shares are up nearly 9 per cent year-to-date.
4;TXN;Texas Instruments;2018-07-20T15:30:56Z;Where did all the chief executives go (and so quietly)?;Blankfein’s stage-managed exit from Goldman appears to be the exception to a trend;"As Lloyd Blankfein began a long farewell from Goldman Sachs this week with praise from Wall Street luminaries ringing in his ears, the chief executive of a larger company slipped out the back door.In a curt statement, Texas Instruments announced the departure of Brian Crutcher, who had been in the job for less than two months: “Crutcher resigned due to violations of the company’s code of conduct. The violations are related to personal behaviour that is not consistent with our ethics and core values, but not related to company strategy, operations or financial reporting.”Chief executives are vanishing from public companies at an alarming rate, often in mysterious circumstances. This month Barnes & Noble’s chief executive, Demos Parneros, was fired “for violations of the company’s policies”. It was “not due to any disagreement with the company regarding its financial reporting, policies or practices or any potential fraud relating thereto”.In April, WPP announced that Martin Sorrell had “stepped down”, providing only this context: “The previously announced investigation into an allegation of misconduct against Sir Martin has concluded. The allegation did not involve amounts that are material.”If it goes on like this, stage-managed departures such as that of Mr Blankfein will be the exception. The rule will be vaguely worded statements and a quick trip out of the building — don’t stop for cake.There is a question about whether this lack of information is fair to shareholders, or other employees. Boards should ponder a few things before opting for the legal boilerplate.Mr Crutcher was hardly a household name; Texas Instruments itself gets relatively little attention. Perhaps his exit will remain a mystery. Sir Martin, on the other hand — larger than life, the personification of the advertising group he built — was unlikely to slip away without anyone finding out why.When Brian Krzanich left Intel last month, the chipmaker disclosed that he had a “past consensual relationship with an Intel employee”, which was a “violation of Intel’s non-fraternisation policy”. Boeing’s Harry Stonecipher and Priceline’s Darren Huston left in similar circumstances. Nobody is left wondering about darker explanations. Hewlett-Packard offered some details when chief executive Mark Hurd left in 2010, but investors were deprived of the full set of reasons and were left angry at the board.When Vikram Pandit was ousted from Citigroup in 2012, both he and the company maintained that he had left of his own volition. However, Mr Pandit’s lieutenant, John Havens, would not stick to the script. “He’s going around screaming that ‘we were f**king fired’,” a colleague told the Financial Times shortly afterwards*.When Pimco’s chief executive Mohamed El-Erian left in 2014, parent company Allianz offered only that he “has resigned”. As the FT first reported, though, his exit came after stormy clashes with chief investment officer Bill Gross, who ended up leaving too.If your company or your chief executive is important enough, the scandal bad enough, or the anger bitter enough, skimpy disclosure is not going to achieve anything.*Mr Havens subsequently rejected the attributed quotes and the characterisation of his departure."
5;TXN;Texas Instruments;2018-07-17T21:40:41Z;Texas Instruments CEO resigns after code of conduct violations;;Texas Instruments announced the resignation of its chief executive, Brian Crutcher, after fewer than seven weeks in the job, owing to “violations” of the company’s code of conduct.Rich Templeton, who Mr Crutcher replaced on June 1, will reassume his role as CEO on an “ongoing, indefinite basis”, the company said in a statement on Tuesday afternoon, and would also continue in his role as chairman.The semiconductor maker said in the same statement that Mr Crutcher had resigned “due to violations of the company’s code of conduct” and that these violations “are related to personal behaviour that is not consistent with our ethics and core values, but not related to company strategy, operations or financial reporting.”In an email to the Financial Times, TI said the “board was made aware of these allegations last week, and they immediately looked into them”, adding that Mr Crutcher submitted his resignation today.Mr Crutcher was a 22-year veteran of TI and, before his brief elevation to chief executive, had been chief operating officer since 2017. He could not be reached immediately for comment.In a January statement, when the appointment was announced, Mr Templeton then described his successor as “exceptional leader who inspires others and delivers great results”. Wayne Sanders, lead director of TI’s board and chairman of the governance and stockholder relations committee said in the same statement: “The directors have had a number of years to assess Brian’s ability, results and style, and we are highly confident he is TI’s next great leader.”TI shares were 1.8 per cent lower in after-hours trading on the Nasdaq after news of his departure.Mr Crutcher is the second leader of a major technology company to resign over conduct issues in a matter of weeks. In June, Brian Krzanich, quit as Intel CEO following a past relationship with an employee that the chipmaker said had violated its non-fraternisation policy.
6;TXN;Texas Instruments;2020-04-24T00:38:09+0000;Texas Instruments powers higher as sales, profit jump;;US chipmaker Texas Instruments posted solid double-digit growth in both sales and profit in the first three months of 2018, citing strong demand for its products in the industrial and automotive markets.The Dallas-based company’s strong earnings report helped juice its shares, which rose 4.9 per cent in after-hours trading on Tuesday. For the three months ending March 31, revenue rose 11 per cent year-on-year to $3.79bn.TI credited the increase in part to continued strength in demand for its analogue and embedded processing products in the industrial and automotive sector.Net income came in 37 per cent higher year-on-year to $1.37bn, or $1.35 a share, including a 14 cent boost from tax-related benefits.Analysts had been looking for net income of $1.1bn, or $1.10 a share, on sales of $3.6bn, according to Thomson Reuters.TI said it is eyeing revenue between $3.78bn and $4.1bn in the current quarter, with earnings per share expected to clock in between $1.19 and $1.39. The top end of that range is above the $3.89bn in revenue and $1.23 in earnings per share that analysts had pencilled in.The solid earnings will probably come as a relief to the semiconductor sector, which has been buffeted in recent weeks by concerns about whether its red-hot growth can continue if smartphone demand drops off, reducing the appetite for their products. Last week, Taiwan Semiconductor, one of Apple’s biggest suppliers, warned of “weak demand from the mobile sector”.But TI’s wide range of chips — used in everything from personal electronics to industrial equipment — could help insulate it from some of those pressures, particularly with its foothold in the automotive sector, as more carmakers race to advance driving technology.TI shares surged 43 per cent in 2017 but have fallen 5.7 per cent so far in 2018.
7;TXN;Texas Instruments;2018-01-29T11:56:05Z;Semiconductors: short circuit;Signs of trouble as the chip sector reaches new heights  ;"The chips are up. The main US semiconductor index has been hitting new all-time highs. Investors cheered Intel’s earnings last week. In Europe, shares in Switzerland-listed AMS shot up by a quarter on Monday after a big increase in its forecast sales growth rate. Behind the exuberance, though, not all is well in semiconductor land.Chip stocks have taken a surprisingly long time to return to their dotcom bubble heights, as they were unusually hyped back then. Ascending to the previous peak required the Philadelphia Semiconductor Sector Index (Sox) to rise 120 per cent in the past two years compared with a 51 per cent rise in the S&P 500.Challenges are multiplying faster than positives. Texas Instruments shares fell 9 per cent last week following a disappointing earnings forecast. Intel’s own forecast was trimmed on weaker gross margins.AMS’s fourth-quarter sales reassured markets about iPhone X demand, but said little about the broader outlook. Its shares are still below their November peak and AMS is not, in any event, a Sox constituentEven if Sox members have more earnings to support their shares than in 2000, there are still reasons to worry. First, the wider sector is in the grip of M&A hype. That includes what would be the biggest tech deal ever mooted — the $130bn acquisition of Qualcomm by Broadcom. Bankers are also betting on smaller companies to consolidate, pointing to the likes of Xilinx, with a $17bn enterprise value. The deal fever could abate just as quickly.Second, many of the biggest gainers have been puffed up to worrisome multiples, propelled by chips that are, or might be, part of the next big thing: bitcoin, artificial intelligence, self-driving cars and virtual reality. That drove the 300 per cent increase in shares in Nvidia in the past two years. Its $140bn enterprise value is supported by just $3bn of earnings before standard deductions. Finally, even companies with neither takeover speculation nor exposure to the frothier end users have been carried along in the euphoria. Texas Instruments has a reputation for discipline with cash. Its share price decline followed a forecast of 7 per cent year-on-year growth for the first quarter, disappointing to investors who had hoped for double-digit growth to continue. The Sox is now off its latest high; it might not take 18 years to print another, but a proper correction looks overdue.The Lex team is interested in hearing more from readers. Do you think chip-related stocks are overvalued? Please tell us what you think in the comments section below "
8;TXN;Texas Instruments;2020-04-16T04:01:47Z;Crisis of a lifetime shakes up risk tactics for financial advisers;Strategies to deal with investment dangers now take centre stage;For 11 years, US investors could mostly treat “risk” as an abstract concept that could be easily traded in for ever-higher returns. The coronavirus pandemic changed that, ending the longest US stock market bull run in history and replacing it with a bear market that throws investment danger into sharp relief.Some investors reacted early to the market volatility by moving assets into relatively safe investments: the first half of March saw large net outflows of dollars from US stock and bond mutual funds and net inflows into money market funds.Financial advisers typically caution that such sudden shifts in portfolios may be short-sighted and prefer that their clients focus on the long run.Even an unprecedented market crash is no reason to toss out one’s entire investing strategy. Advisers note that careful deliberation is vital. For instance, some investors should trim their exposure to stocks, but others should sit tight and wait for markets to recover.The first step is accepting that some risk is necessary to produce returns. For example, US stocks had an excellent 2019, resulting in a total return of 31.5 per cent for the benchmark S&P 500 — but that included sharp reversals in January, May and August.“How we talk about risk has some bearing,” says Chris Cooke, principal at Cooke Financial Group, an advisory firm in Indianapolis, Indiana. “These are really difficult discussions. Because the investments that offer decent returns in the long run may offer volatility in the short term.”That is why a basic tenet of investing is to spread risk among different asset classes that do not typically move in tandem, such as stocks, bonds and cash (also usually diversified among US and non-US holdings). Accredited investors with a net worth of $1m or annual income of at least $200,000 can add “alternative” assets such as hedge funds, private equity and commodities to their mix.Advisers believe that most investors can embrace the concept of asset allocation. “In theory, investors understand not putting all your eggs in one basket,” says Jan Spielman, an adviser with Quest Wealth Management of Storm Lake, Iowa.There are myriad ways to allocate assets, however, and they can be combined. Among FT 400 advisers, the most popular method is to build a “core” of lower-risk, passive investments that track market indices, complemented by riskier “satellite” investments. Some portfolios diversify across different types of risk, including volatility and correlation, rather than among asset classes.And many advisers favour allocating tactically in reaction to market developments, while others use computer-aided “model portfolios” designed for different risk levels.FT 400 advisers typically use an average of three different portfolio-building methods, including those described and others. Retirement investing can be its own category, where the long timelines lead some advisers to prefer a gradual reduction in equity exposure as a planned retirement date approaches, to reduce volatility as the investor increasingly relies on investment income.To tailor for risk, advisers sometimes deploy several techniques for different parts of one client’s account. That is important because many investors like to divide investors’ accounts into easily identified “buckets” that represent, say, different levels of risk. Tactical allocation might be right for a “high risk” bucket, but not for a retiree’s “income” bucket.This kind of compartmentalisation can ease investors’ minds if they know most of their money is in their “low risk” bucket.Ms Spielman uses buckets based on time horizon, so assets aimed at short-term use are put into shorter-term investments, as an example. “I don’t know if I have any client who can tell you how many large capitalisation stocks they own, but they can tell you how much they have invested for different timeframes,” she says.These buckets can make the various investment risks more tangible for investors. Traci Richmond, an adviser and co-founder of the Meakem Group in Bethesda, Maryland, finds that most investors worry about the risk of investment losses but not about other risks such as the risk of outliving one’s savings or the risk of inflation sapping their purchasing power.Like many advisers, Ms Richmond recommends investors keep enough emergency cash to cover at least one year of expenses. Many clients have found that approach helpful this year, she says, knowing that they do not have to sell assets at a loss to access cash.Even though having a “cash” bucket is a good general principle, the specific risk level in every portfolio has to be customised to the individual. That is why new clients at many brokerages are given questionnaires asking how they would feel about a large loss, what their investment goals are, and other ways to assess how much risk they can stand.Unfortunately, the extreme test of recent weeks could reveal that some people are poor judges of their risk tolerance.Of course, the recent market crash is the sort of event that provokes investors to rethink how much risk they want to build into their investment portfolios. But reassessing risk tolerance while markets are plunging may not be a wise long-term move.“People tend to think very short-term, but investing is about managing long-term risk,” says Dan Egan, managing director of behavioural finance and investing at Betterment, a wealth manager. “Investors should only reassess risk with a cool mind. Don’t deceive yourself into believing that panic is going to be useful.”If the coronavirus bear market teaches investors anything about risk, it might be that some people overestimated how much risk they are comfortable with in their portfolios. “If investors can’t sleep, that’s stress that we can’t just ignore,” says Ms Richmond. “But people should wait until things normalise before making any big changes.”
9;TXN;Texas Instruments;2018-01-23T21:31:06Z;Texas Instruments profit slumps after tax subtraction;;Texas Instruments’ quarterly earnings dropped 67 per cent due to unexpected tax expenses on the heels of the latest legislative overhaul, sending the US-based chipmaker’s shares lower in after-hours trading.TI said that sales for the three-month period ending December 31 were up 10 per cent year-on-year to $3.7bn, in line with analysts’ estimates. Rich Templeton — the company’s longtime chief executive and chairman who recently announced his impending departure — credited the boost to continued strong demand in the industrial and automotive businesses.But net income fell to $344m and earnings per share came in at just 34 cents, with both figures clocking respective 67 per cent year-on-year declines thanks to expenses “primarily due to the recently passed tax reform act”, TI said. Analysts surveyed by Factset had been looking for earning per share of $1.09 on $1.09bn in net income.Despite the short-term hit, TI expects to reap benefits from Republicans’ tax overhaul in the long term, with its annual operating tax rate expected to fall from 31 per cent in 2017 to 23 per cent in 2018 and an ongoing rate of 18 per cent beginning in 2019.For the current quarter, it said it is looking for revenue between $3.49bn and $3.79bn, and earnings per share of $1.01 and $1.17, generally in line with what analysts surveyed by Factset are expecting.Last week, Texas Instruments — which makes chips for use in products ranging from small personal gadgets like calculators to high-end industrial equipment — said that Mr Templeton will leave the top job in June. He will be replaced by Brian Crutcher, TI’s current chief operating officer.TI shares, which rose 43.1 per cent in 2017, dropped 5.3 per cent in after-hours trading.
