Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",85.64,86.97,82.56,86.38,86.38,"10,949,600"
"Apr 06, 2020",74.87,88.29,74.59,86.31,86.31,"14,564,400"
"Mar 30, 2020",84.87,86.45,71.20,72.50,72.50,"24,131,700"
"Mar 23, 2020",71.02,86.59,65.14,83.40,83.40,"23,044,600"
"Mar 16, 2020",78.57,95.77,70.26,71.45,71.45,"28,077,000"
"Mar 09, 2020",92.81,99.39,73.53,86.47,86.47,"29,264,700"
"Mar 02, 2020",89.55,100.65,89.34,97.70,97.70,"26,887,400"
"Feb 24, 2020",101.63,102.30,86.42,89.26,89.26,"22,524,000"
"Feb 17, 2020",104.08,104.63,101.61,101.71,101.71,"10,737,700"
"Feb 10, 2020",101.67,103.88,101.21,103.76,103.76,"8,474,600"
"Feb 03, 2020",104.47,104.97,101.24,101.34,100.65,"15,952,700"
"Jan 27, 2020",102.13,104.43,101.59,104.22,103.51,"9,921,600"
"Jan 20, 2020",98.81,102.36,98.51,102.16,101.46,"13,307,700"
"Jan 13, 2020",94.39,98.66,94.05,98.56,97.89,"15,946,400"
"Jan 06, 2020",93.35,94.66,92.94,94.34,93.69,"9,701,400"
"Dec 30, 2019",93.96,94.56,92.98,93.36,92.72,"6,630,700"
"Dec 23, 2019",95.06,95.24,93.30,94.19,93.55,"4,123,900"
"Dec 16, 2019",92.03,95.77,91.78,94.90,94.25,"14,991,700"
"Dec 09, 2019",92.28,92.46,90.31,92.05,91.42,"10,784,200"
"Dec 02, 2019",91.03,92.79,90.21,92.39,91.76,"10,146,800"
"Nov 25, 2019",91.59,92.09,90.64,91.35,90.72,"7,689,300"
"Nov 18, 2019",89.98,91.78,89.58,91.54,90.91,"13,170,100"
"Nov 11, 2019",89.25,90.57,88.17,89.56,88.95,"14,489,700"
"Nov 04, 2019",93.58,93.73,88.33,89.07,87.79,"14,677,000"
"Oct 28, 2019",93.70,94.98,92.86,93.56,92.21,"10,249,400"
"Oct 21, 2019",94.04,96.22,93.49,94.35,92.99,"12,011,700"
"Oct 14, 2019",92.71,94.28,91.35,94.14,92.78,"9,617,700"
"Oct 07, 2019",93.42,94.07,92.05,92.34,91.01,"9,558,100"
"Sep 30, 2019",93.85,94.67,91.68,93.61,92.26,"12,816,600"
"Sep 23, 2019",92.95,94.89,92.95,94.20,92.84,"11,444,000"
"Sep 16, 2019",91.86,93.56,90.94,93.18,91.84,"12,324,500"
"Sep 09, 2019",90.83,92.71,90.08,91.54,90.22,"12,422,000"
"Sep 02, 2019",91.22,93.23,90.74,91.09,89.78,"7,593,200"
"Aug 26, 2019",89.70,91.50,89.51,91.15,89.84,"11,931,400"
"Aug 19, 2019",90.25,91.46,89.05,89.58,88.29,"8,395,300"
"Aug 12, 2019",90.13,90.79,88.09,90.23,88.93,"12,678,100"
"Aug 05, 2019",88.95,90.39,87.24,89.97,88.01,"12,303,400"
"Jul 29, 2019",89.28,89.88,87.04,88.70,86.77,"11,787,500"
"Jul 22, 2019",90.48,90.57,88.48,88.95,87.01,"9,560,600"
"Jul 15, 2019",90.64,91.82,89.96,90.28,88.32,"8,285,500"
"Jul 08, 2019",90.09,91.42,89.52,90.25,88.29,"7,290,300"
"Jul 01, 2019",87.99,90.69,87.08,89.84,87.88,"7,745,800"
"Jun 24, 2019",91.56,91.99,87.64,88.01,86.09,"14,972,400"
"Jun 17, 2019",90.71,91.70,89.17,91.55,89.56,"12,551,900"
"Jun 10, 2019",89.30,90.88,87.88,90.58,88.61,"9,434,600"
"Jun 03, 2019",86.35,91.07,85.26,89.54,87.59,"10,290,700"
"May 27, 2019",88.39,88.51,85.10,86.12,84.25,"9,378,900"
"May 20, 2019",86.19,89.01,85.88,88.29,86.37,"9,349,100"
"May 13, 2019",84.66,86.54,84.30,85.85,83.98,"12,218,600"
"May 06, 2019",85.54,85.67,82.56,84.66,82.15,"11,879,400"
"Apr 29, 2019",84.44,85.60,83.78,85.43,82.90,"9,415,300"
