Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",39.96,40.28,35.98,39.15,39.15,"7,430,900"
"Apr 06, 2020",32.24,41.16,31.97,39.97,39.97,"10,603,300"
"Mar 30, 2020",35.00,35.33,29.96,30.64,30.64,"10,781,100"
"Mar 23, 2020",28.24,35.64,24.53,34.98,34.98,"9,743,500"
"Mar 16, 2020",41.63,41.86,27.83,28.31,28.31,"10,171,400"
"Mar 09, 2020",47.29,49.21,40.90,46.05,46.05,"11,196,300"
"Mar 02, 2020",47.95,51.39,47.61,49.81,49.81,"9,652,800"
"Feb 24, 2020",54.98,55.58,46.31,47.84,47.84,"10,075,400"
"Feb 17, 2020",54.97,55.68,54.05,55.49,55.49,"3,599,800"
"Feb 10, 2020",53.72,54.81,53.42,54.80,54.38,"3,247,700"
"Feb 03, 2020",52.86,53.72,52.46,53.37,52.97,"4,037,700"
"Jan 27, 2020",53.81,54.14,52.43,52.71,52.31,"6,395,700"
"Jan 20, 2020",52.86,54.13,52.73,54.02,53.61,"3,686,800"
"Jan 13, 2020",51.64,52.90,50.96,52.75,52.35,"4,456,300"
"Jan 06, 2020",51.30,51.85,50.89,51.52,51.13,"6,689,600"
"Dec 30, 2019",51.20,51.78,50.29,51.38,50.99,"4,525,900"
"Dec 23, 2019",50.90,51.25,50.43,51.25,50.86,"2,840,100"
"Dec 16, 2019",51.25,51.67,50.12,50.71,50.33,"7,941,600"
"Dec 09, 2019",52.63,52.74,50.53,51.15,50.76,"6,145,000"
"Dec 02, 2019",53.66,53.85,52.22,52.61,52.21,"7,407,100"
"Nov 25, 2019",53.40,54.01,53.06,53.77,53.36,"3,561,600"
"Nov 18, 2019",54.37,55.12,53.01,53.23,52.83,"3,590,500"
"Nov 11, 2019",53.21,54.27,52.71,54.22,53.42,"3,545,400"
"Nov 04, 2019",54.97,55.09,52.41,53.17,52.38,"4,340,500"
"Oct 28, 2019",54.16,55.49,53.69,55.23,54.41,"4,460,100"
"Oct 21, 2019",54.42,55.06,54.04,54.29,53.49,"3,323,200"
"Oct 14, 2019",53.56,54.61,53.08,54.48,53.67,"3,326,700"
"Oct 07, 2019",53.04,53.93,52.76,53.55,52.76,"5,885,000"
"Sep 30, 2019",51.73,53.34,51.36,53.32,52.53,"4,691,900"
"Sep 23, 2019",50.80,52.33,50.80,51.82,51.05,"3,687,200"
"Sep 16, 2019",50.75,52.43,50.63,51.12,50.36,"7,202,700"
"Sep 09, 2019",51.69,51.69,49.86,50.77,50.02,"5,160,900"
"Sep 02, 2019",50.82,52.12,50.82,51.80,51.03,"5,108,000"
"Aug 26, 2019",50.67,51.32,50.08,51.00,50.25,"4,053,400"
"Aug 19, 2019",50.87,51.22,50.24,50.36,49.61,"5,819,600"
"Aug 12, 2019",50.70,51.28,49.05,50.66,49.52,"5,335,600"
"Aug 05, 2019",50.03,50.86,48.02,50.80,49.65,"5,234,100"
"Jul 29, 2019",50.02,50.84,48.84,50.23,49.10,"6,659,900"
"Jul 22, 2019",49.67,50.13,49.24,49.84,48.71,"5,314,000"
"Jul 15, 2019",51.83,52.19,49.50,49.62,48.50,"4,298,400"
"Jul 08, 2019",51.07,52.49,51.07,51.74,50.57,"4,849,700"
"Jul 01, 2019",50.47,51.59,49.37,51.09,49.94,"2,897,200"
"Jun 24, 2019",51.25,51.59,49.29,50.12,48.99,"5,852,300"
"Jun 17, 2019",51.33,51.86,50.51,51.17,50.01,"7,332,900"
"Jun 10, 2019",51.27,51.56,50.64,51.13,49.98,"3,526,200"
"Jun 03, 2019",50.14,52.00,49.32,51.25,50.09,"3,790,800"
"May 27, 2019",51.45,51.45,49.15,49.95,48.82,"5,036,300"
"May 20, 2019",50.44,51.34,49.39,51.04,49.89,"4,238,300"
"May 13, 2019",49.47,50.47,49.37,50.41,48.89,"4,270,600"
"May 06, 2019",49.81,50.06,48.82,49.89,48.38,"4,911,300"
"Apr 29, 2019",49.44,50.10,48.56,50.05,48.54,"6,017,600"
"Apr 22, 2019",48.50,49.66,47.55,49.51,48.02,"4,145,600"
"Apr 15, 2019",51.09,51.25,48.22,48.59,47.12,"4,958,100"
"Apr 08, 2019",50.84,51.15,50.29,51.02,49.48,"5,604,000"
"Apr 01, 2019",50.29,51.10,49.63,50.77,49.24,"4,385,500"
"Mar 25, 2019",50.11,50.63,49.72,50.29,48.77,"5,886,200"
"Mar 18, 2019",50.72,50.89,49.22,49.98,48.47,"6,978,200"
"Mar 11, 2019",49.55,50.84,49.31,50.78,49.25,"6,825,500"
"Mar 04, 2019",49.19,49.86,48.74,49.42,47.93,"5,751,600"
"Feb 25, 2019",49.72,49.77,48.43,49.06,47.58,"8,718,800"
"Feb 18, 2019",49.61,50.09,48.66,49.93,48.03,"5,945,000"
"Feb 11, 2019",49.30,49.67,48.54,49.61,47.72,"6,538,900"
"Feb 04, 2019",48.85,49.69,48.60,49.25,47.37,"8,181,700"
"Jan 28, 2019",48.00,49.92,47.90,49.07,47.20,"7,524,700"
"Jan 21, 2019",46.88,48.06,46.51,48.04,46.21,"4,633,100"
"Jan 14, 2019",45.34,47.07,45.12,46.99,45.20,"3,958,400"
"Jan 07, 2019",43.03,45.44,42.81,45.42,43.69,"5,512,200"
"Dec 31, 2018",43.52,43.89,42.06,42.87,41.24,"6,188,000"
"Dec 24, 2018",44.34,44.59,42.09,43.48,41.82,"7,948,900"
"Dec 17, 2018",47.28,47.56,44.37,44.38,42.69,"12,947,200"
"Dec 10, 2018",47.23,47.66,46.22,47.17,45.37,"8,230,700"
"Dec 03, 2018",47.16,47.61,45.63,47.08,45.29,"7,872,200"
