Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",8.79,8.99,7.08,8.49,8.46,"127,065,100"
"Apr 06, 2020",5.20,10.07,5.13,8.20,8.18,"195,817,000"
"Mar 30, 2020",4.76,5.63,3.86,5.38,5.36,"185,405,400"
"Mar 23, 2020",4.81,6.67,4.30,4.86,4.85,"86,471,900"
"Mar 16, 2020",6.73,6.92,3.80,4.83,4.82,"86,776,400"
"Mar 09, 2020",13.42,13.70,6.60,8.07,8.05,"115,387,300"
"Mar 02, 2020",25.49,26.57,20.22,20.70,20.64,"36,651,100"
"Feb 24, 2020",26.96,27.29,23.38,24.92,24.85,"32,060,700"
"Feb 17, 2020",27.05,29.21,26.95,28.40,28.32,"11,421,200"
"Feb 10, 2020",27.88,29.03,27.24,27.36,27.28,"16,091,000"
"Feb 03, 2020",27.26,29.44,27.10,28.11,28.03,"21,183,800"
"Jan 27, 2020",29.08,29.49,26.95,27.44,27.36,"22,132,400"
"Jan 20, 2020",32.14,32.74,29.37,29.98,29.66,"18,214,900"
"Jan 13, 2020",32.50,33.77,31.85,32.67,32.32,"24,133,400"
"Jan 06, 2020",25.94,33.21,25.17,32.38,32.04,"67,212,600"
"Dec 30, 2019",26.12,26.28,24.78,25.69,25.42,"18,128,500"
"Dec 23, 2019",24.08,26.98,23.95,26.12,25.84,"37,634,200"
"Dec 16, 2019",21.59,23.11,21.50,22.62,22.38,"29,741,100"
"Dec 09, 2019",19.78,22.32,19.54,21.35,21.12,"31,358,200"
"Dec 02, 2019",20.00,20.42,18.33,19.99,19.78,"65,903,900"
"Nov 25, 2019",23.42,23.74,22.25,22.28,22.04,"16,554,900"
"Nov 18, 2019",23.57,23.61,22.19,23.41,23.16,"18,218,400"
"Nov 11, 2019",24.03,24.39,23.11,23.91,23.66,"21,073,700"
"Nov 04, 2019",24.40,25.08,23.23,24.43,24.17,"28,860,900"
"Oct 28, 2019",22.24,24.31,20.47,23.81,23.56,"31,693,800"
"Oct 21, 2019",22.19,23.80,20.57,22.07,21.59,"32,195,700"
"Oct 14, 2019",21.01,23.60,20.86,22.44,21.96,"33,872,400"
"Oct 07, 2019",22.23,22.30,20.12,21.42,20.96,"26,983,800"
"Sep 30, 2019",25.50,25.96,21.68,22.16,21.68,"24,427,600"
"Sep 23, 2019",25.47,26.34,24.85,25.70,25.14,"23,124,600"
"Sep 16, 2019",26.86,29.11,25.12,25.80,25.24,"50,817,700"
"Sep 09, 2019",22.79,24.63,22.64,24.34,23.81,"23,851,000"
"Sep 02, 2019",21.07,23.15,20.27,22.35,21.87,"17,828,700"
"Aug 26, 2019",20.99,22.27,20.59,21.57,21.10,"21,496,000"
"Aug 19, 2019",21.25,22.23,20.59,20.69,20.24,"25,471,500"
"Aug 12, 2019",21.80,22.53,19.44,20.84,20.39,"41,010,100"
"Aug 05, 2019",23.53,23.66,21.44,21.97,21.50,"25,400,200"
"Jul 29, 2019",23.96,24.94,22.60,24.19,23.67,"29,307,100"
"Jul 22, 2019",23.99,25.23,23.55,23.93,23.41,"19,353,600"
"Jul 15, 2019",27.05,27.08,23.16,24.03,23.26,"33,651,400"
"Jul 08, 2019",26.94,27.98,25.93,26.91,26.05,"27,166,600"
"Jul 01, 2019",29.68,29.90,26.42,27.18,26.31,"19,354,000"
"Jun 24, 2019",29.62,29.90,28.19,28.97,28.04,"15,958,800"
"Jun 17, 2019",27.31,29.98,27.08,29.64,28.69,"17,464,300"
"Jun 10, 2019",28.89,29.31,27.35,27.49,26.61,"24,194,700"
"Jun 03, 2019",26.61,29.45,26.40,28.95,28.02,"25,479,900"
"May 27, 2019",27.48,27.59,25.54,26.07,25.24,"20,051,000"
"May 20, 2019",30.46,30.88,27.19,27.33,26.46,"19,483,300"
"May 13, 2019",30.81,31.65,29.86,30.41,29.44,"14,545,300"
"May 06, 2019",30.11,31.39,29.82,31.22,30.22,"28,421,000"
"Apr 29, 2019",32.93,33.77,29.74,30.59,29.61,"23,198,600"
"Apr 22, 2019",36.45,37.40,32.69,33.06,32.00,"20,655,500"
"Apr 15, 2019",36.40,37.09,35.57,35.87,34.49,"15,240,500"
"Apr 08, 2019",35.69,38.12,34.74,36.50,35.09,"18,762,300"
"Apr 01, 2019",35.03,35.63,31.98,35.57,34.20,"22,789,600"
"Mar 25, 2019",34.77,36.08,34.24,34.66,33.32,"15,686,400"
"Mar 18, 2019",34.61,36.17,34.33,34.82,33.48,"17,792,800"
"Mar 11, 2019",32.26,34.60,32.14,34.45,33.12,"22,485,500"
"Mar 04, 2019",34.23,34.33,31.52,31.95,30.72,"19,984,700"
"Feb 25, 2019",33.28,34.18,32.08,33.99,32.68,"23,738,800"
"Feb 18, 2019",33.05,34.21,32.83,33.47,32.18,"19,434,400"
"Feb 11, 2019",29.50,33.49,29.48,33.30,32.02,"21,613,300"
"Feb 04, 2019",32.00,33.27,29.32,29.87,28.72,"21,973,300"
"Jan 28, 2019",31.42,33.48,31.33,32.65,31.39,"23,851,600"
"Jan 21, 2019",31.60,32.45,30.55,32.06,30.82,"17,271,300"
"Jan 14, 2019",30.60,32.51,30.51,32.09,30.61,"27,015,100"
"Jan 07, 2019",28.37,31.22,27.92,31.10,29.67,"23,764,300"
