Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",61.56,64.76,57.80,63.92,63.92,"9,228,300"
"Apr 06, 2020",47.01,66.65,45.70,62.23,62.23,"13,937,100"
"Mar 30, 2020",50.27,52.21,43.04,43.29,43.29,"12,461,000"
"Mar 23, 2020",44.36,55.89,42.11,51.28,51.28,"14,367,100"
"Mar 16, 2020",59.01,59.01,29.22,45.17,45.17,"26,283,900"
"Mar 09, 2020",70.60,73.35,58.97,66.47,66.47,"14,219,800"
"Mar 02, 2020",78.71,84.87,74.30,76.29,76.29,"11,256,800"
"Feb 24, 2020",86.73,87.18,73.80,78.11,78.11,"13,312,100"
"Feb 17, 2020",88.06,92.04,87.57,90.07,90.07,"4,982,200"
"Feb 10, 2020",86.95,92.30,86.03,88.32,88.32,"4,944,100"
"Feb 03, 2020",85.57,92.50,85.25,87.13,86.91,"6,663,200"
"Jan 27, 2020",89.16,91.05,84.51,84.79,84.57,"8,846,700"
"Jan 20, 2020",91.04,92.84,89.25,91.54,91.31,"5,380,700"
"Jan 13, 2020",89.42,92.19,87.59,91.53,91.30,"9,544,600"
"Jan 06, 2020",93.18,94.35,89.39,89.51,89.28,"8,383,000"
"Dec 30, 2019",96.28,96.34,93.60,94.10,93.86,"3,902,800"
"Dec 23, 2019",96.72,96.91,94.86,96.31,96.07,"2,648,600"
"Dec 16, 2019",94.84,99.04,94.38,96.35,96.11,"7,079,100"
"Dec 09, 2019",93.34,96.36,92.22,93.55,93.31,"4,598,200"
"Dec 02, 2019",94.72,95.57,91.72,93.77,93.53,"5,931,400"
"Nov 25, 2019",92.50,95.27,91.97,93.88,93.64,"5,349,200"
"Nov 18, 2019",91.97,92.69,88.82,91.47,91.24,"8,763,400"
"Nov 11, 2019",95.99,97.12,91.16,92.31,92.08,"5,810,600"
"Nov 04, 2019",93.49,97.64,93.14,96.88,96.41,"8,306,300"
"Oct 28, 2019",90.48,92.76,85.89,92.35,91.90,"8,104,500"
"Oct 21, 2019",89.83,91.02,88.19,89.58,89.15,"3,937,500"
"Oct 14, 2019",85.91,89.75,85.85,88.96,88.53,"4,277,600"
"Oct 07, 2019",83.16,87.22,80.53,86.26,85.84,"4,529,000"
"Sep 30, 2019",87.27,88.35,80.57,83.43,83.03,"6,460,600"
"Sep 23, 2019",88.06,89.30,85.88,86.88,86.46,"4,435,600"
"Sep 16, 2019",89.56,90.92,86.95,87.07,86.65,"5,545,600"
"Sep 09, 2019",89.55,91.57,88.47,90.18,89.74,"5,614,700"
"Sep 02, 2019",82.90,89.08,80.88,88.75,88.32,"3,938,400"
"Aug 26, 2019",80.79,84.82,79.99,83.17,82.77,"4,094,300"
"Aug 19, 2019",83.47,84.55,78.56,79.88,79.49,"4,414,100"
"Aug 12, 2019",82.83,84.83,78.56,81.85,81.45,"5,431,300"
"Aug 05, 2019",81.14,85.72,80.77,83.54,82.91,"7,124,500"
"Jul 29, 2019",82.32,88.98,79.99,83.25,82.62,"9,322,200"
"Jul 22, 2019",80.39,83.68,79.92,82.40,81.78,"7,192,700"
"Jul 15, 2019",80.23,81.99,77.71,80.09,79.49,"5,969,900"
"Jul 08, 2019",78.72,80.50,74.91,80.20,79.60,"5,833,100"
"Jul 01, 2019",82.50,82.99,78.56,79.19,78.59,"3,746,100"
"Jun 24, 2019",78.17,82.51,77.11,80.83,80.22,"11,017,000"
"Jun 17, 2019",75.14,78.75,74.55,78.42,77.83,"6,001,400"
"Jun 10, 2019",74.75,77.55,74.24,75.33,74.76,"5,854,700"
"Jun 03, 2019",64.20,74.30,64.10,73.40,72.85,"11,576,900"
"May 27, 2019",68.45,69.66,63.36,64.04,63.56,"8,739,800"
"May 20, 2019",72.78,73.66,66.92,67.81,67.30,"9,983,700"
"May 13, 2019",75.34,75.62,72.61,73.65,73.10,"8,688,500"
"May 06, 2019",77.90,80.84,75.75,77.23,76.44,"9,133,500"
"Apr 29, 2019",86.15,86.64,74.02,80.18,79.36,"8,270,700"
"Apr 22, 2019",89.75,90.53,85.17,86.51,85.62,"6,235,100"
"Apr 15, 2019",90.68,91.32,89.36,90.34,89.41,"4,588,700"
"Apr 08, 2019",87.00,91.22,86.73,90.79,89.86,"5,894,600"
"Apr 01, 2019",80.68,87.25,80.39,86.94,86.05,"5,831,100"
"Mar 25, 2019",77.60,79.96,77.11,79.49,78.67,"6,326,300"
"Mar 18, 2019",81.75,83.60,77.58,77.61,76.81,"8,888,400"
"Mar 11, 2019",81.99,83.43,80.67,81.96,81.12,"7,417,400"
"Mar 04, 2019",84.46,84.96,80.84,81.79,80.95,"8,953,100"
"Feb 25, 2019",83.03,84.82,82.01,84.27,83.40,"6,931,300"
"Feb 18, 2019",80.74,82.41,80.70,82.36,81.51,"4,270,200"
"Feb 11, 2019",75.70,81.18,75.46,80.95,80.12,"9,437,300"
"Feb 04, 2019",78.08,79.04,73.63,75.69,74.70,"10,749,500"
"Jan 28, 2019",72.42,79.72,71.82,78.02,77.00,"14,041,400"
"Jan 21, 2019",72.38,73.49,69.36,73.00,72.05,"6,604,400"
"Jan 14, 2019",69.12,73.47,68.48,72.93,71.98,"10,353,100"
"Jan 07, 2019",62.80,70.92,62.18,69.43,68.52,"12,944,800"
"Dec 31, 2018",61.50,63.01,58.91,62.62,61.80,"8,535,800"
"Dec 24, 2018",61.25,62.21,58.80,61.38,60.58,"6,237,400"
"Dec 17, 2018",65.08,66.69,61.44,61.44,60.64,"14,408,900"
"Dec 10, 2018",66.79,68.52,64.89,65.95,65.09,"10,833,500"
"Dec 03, 2018",74.49,76.65,66.94,67.09,66.21,"9,585,900"
"Nov 26, 2018",73.67,74.48,70.56,71.90,70.96,"9,279,800"
"Nov 19, 2018",74.16,74.33,70.41,72.99,72.04,"8,059,700"
"Nov 12, 2018",75.74,76.44,72.49,74.18,73.21,"8,956,700"
"Nov 05, 2018",79.03,79.12,74.88,75.62,74.42,"11,427,800"
"Oct 29, 2018",76.92,79.98,72.96,79.46,78.20,"21,027,500"
"Oct 22, 2018",74.82,76.73,71.66,73.73,72.56,"15,209,700"
"Oct 15, 2018",73.87,75.09,72.79,74.29,73.11,"15,814,800"
"Oct 08, 2018",78.53,80.06,72.52,74.02,72.84,"17,416,000"
"Oct 01, 2018",85.25,86.77,78.55,79.01,77.75,"11,678,400"
"Sep 24, 2018",89.44,89.50,83.04,83.90,82.57,"9,743,100"
"Sep 17, 2018",86.96,92.98,84.63,90.27,88.83,"12,038,500"
"Sep 10, 2018",84.92,87.46,84.19,86.88,85.50,"8,599,900"
"Sep 03, 2018",87.81,88.00,83.44,84.33,82.99,"12,889,600"
"Aug 27, 2018",88.95,92.88,87.35,88.01,86.61,"7,652,100"
"Aug 20, 2018",93.26,95.00,87.83,88.47,87.06,"8,348,500"
"Aug 13, 2018",94.61,94.64,90.18,92.76,91.29,"7,820,700"
"Aug 06, 2018",98.54,98.77,93.35,94.53,92.82,"6,253,000"
"Jul 30, 2018",94.37,98.61,92.40,98.45,96.67,"10,428,400"
"Jul 23, 2018",92.49,95.92,90.73,93.61,91.91,"8,306,400"
"Jul 16, 2018",93.60,97.22,92.13,92.94,91.26,"6,865,700"
"Jul 09, 2018",94.70,96.44,92.30,93.63,91.93,"5,620,300"
