Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,32.049999,32.189999,31.250000,31.900000,26.173433,3885900
2012-01-08,31.900000,32.169998,31.379999,31.930000,26.198048,3948200
2012-01-15,32.200001,33.150002,31.840000,32.889999,26.985710,3924000
2012-01-22,32.959999,33.529999,32.209999,33.470001,27.461590,4628500
2012-01-29,33.169998,34.000000,32.919998,33.910000,27.822603,5179200
2012-02-05,33.840000,34.669998,33.509998,33.990002,28.079712,3686500
2012-02-12,34.070000,34.470001,33.400002,33.820000,27.939278,4410200
2012-02-19,33.820000,34.240002,33.419998,33.919998,28.021887,3170400
2012-02-26,33.709999,34.450001,33.130001,33.880001,27.988848,8424600
2012-03-04,33.849998,34.150002,33.320000,34.020000,28.104500,4162600
2012-03-11,34.049999,34.400002,33.650002,33.799999,27.922750,4062100
2012-03-18,33.700001,33.919998,33.110001,33.639999,27.790573,3400900
2012-03-25,33.770000,34.220001,33.540001,34.029999,28.112759,3536200
2012-04-01,34.090000,34.509998,33.689999,33.810001,27.931017,3444100
2012-04-08,33.419998,33.599998,32.919998,33.049999,27.303162,3730600
2012-04-15,33.049999,33.889999,32.830002,33.770000,27.897970,4564100
2012-04-22,33.540001,34.660000,32.980000,34.580002,28.765390,3332500
2012-04-29,34.480000,34.889999,33.900002,34.099998,28.366096,4892700
2012-05-06,34.000000,34.549999,33.520000,34.330002,28.557428,4315700
2012-05-13,34.080002,34.189999,32.950001,33.009998,27.459383,3160400
2012-05-20,33.080002,34.259998,32.770000,34.060001,28.332832,3740000
2012-05-27,34.270000,34.720001,33.830002,34.160000,28.416014,2755900
2012-06-03,34.250000,35.000000,33.709999,34.320000,28.549110,4697200
2012-06-10,34.490002,34.490002,33.619999,33.700001,28.033363,4337700
2012-06-17,33.790001,34.200001,33.310001,33.340000,27.733894,4288700
2012-06-24,33.139999,34.599998,32.750000,34.279999,28.515829,3628000
2012-07-01,34.380001,34.820000,34.049999,34.709999,28.873522,2532100
2012-07-08,34.639999,35.500000,34.610001,35.500000,29.745176,2833200
2012-07-15,35.500000,36.150002,35.180000,36.070000,30.222778,2794600
2012-07-22,35.869999,36.730000,35.500000,36.630001,30.691990,3924800
2012-07-29,36.599998,39.380001,35.950001,37.619999,31.521513,4194100
2012-08-05,37.910000,38.490002,36.900002,37.790001,31.663952,5318000
2012-08-12,37.889999,38.490002,37.619999,37.779999,31.655575,4048300
2012-08-19,37.759998,37.900002,36.970001,37.389999,31.328804,4134100
2012-08-26,37.389999,37.630001,36.820000,36.869999,30.893093,2724000
2012-09-02,37.000000,37.740002,36.720001,37.279999,31.236626,3757200
2012-09-09,37.400002,37.860001,35.810001,35.860001,30.046820,5729500
2012-09-16,35.849998,37.150002,35.500000,36.810001,30.842813,5163400
2012-09-23,36.700001,37.500000,36.439999,37.060001,31.052292,3505000
2012-09-30,36.980000,37.410000,36.520000,37.240002,31.203119,2831500
2012-10-07,37.110001,37.299999,36.180000,36.320000,30.432257,2763200
2012-10-14,36.380001,37.430000,36.000000,37.279999,31.236626,3863400
2012-10-21,37.349998,37.450001,36.180000,36.660000,30.717129,3878600
2012-10-28,36.500000,36.930000,36.259998,36.500000,30.583071,2039400
2012-11-04,36.400002,37.340000,36.049999,36.549999,30.624960,3449900
2012-11-11,36.619999,37.250000,35.950001,37.029999,31.027161,5356900
2012-11-18,37.450001,37.500000,36.860001,37.139999,31.332758,2746500
2012-11-25,36.970001,38.259998,36.970001,38.169998,32.201702,4088400
2012-12-02,37.779999,38.169998,37.240002,37.759998,31.855816,3804200
2012-12-09,37.869999,38.500000,37.360001,37.450001,31.594296,3848000
2012-12-16,37.549999,38.119999,36.669998,37.049999,31.256828,7248000
2012-12-23,36.980000,37.410000,36.570000,36.740002,31.200460,2409000
2012-12-30,36.779999,38.259998,36.560001,38.139999,32.389370,3812400
2013-01-06,38.000000,38.400002,37.299999,38.349998,32.567707,4461600
2013-01-13,38.320000,38.330002,37.369999,37.910000,32.194054,3637400
2013-01-20,38.090000,38.900002,36.959999,37.400002,31.760939,5536000
2013-01-27,37.450001,38.750000,37.160000,38.410000,32.618668,7331300
2013-02-03,38.169998,39.330002,38.040001,39.180000,33.272560,4530600
2013-02-10,39.160000,39.500000,38.860001,39.169998,33.264069,2510500
2013-02-17,39.240002,39.830002,39.150002,39.820000,33.816071,2460500
2013-02-24,39.910000,39.980000,38.700001,39.570000,33.603760,4425000
2013-03-03,39.650002,40.689999,39.380001,40.110001,34.062336,4732600
2013-03-10,40.200001,40.470001,39.730000,40.259998,34.189724,6248900
2013-03-17,39.820000,41.000000,39.799999,40.770000,34.622826,2901000
