Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,23.700001,24.600000,22.850000,24.219999,19.251068,30604800
2012-01-08,24.280001,25.030001,23.959999,24.290001,19.306711,26812300
2012-01-15,24.490000,25.440001,24.320000,25.000000,19.871046,16955900
2012-01-22,24.959999,25.990000,24.850000,25.440001,20.220776,24837300
2012-01-29,25.180000,25.469999,23.680000,23.860001,18.964930,32333600
2012-02-05,23.780001,25.750000,23.760000,25.080000,19.934633,28726900
2012-02-12,25.219999,26.049999,25.020000,25.709999,20.435385,16134300
2012-02-19,25.930000,26.290001,24.920000,24.990000,19.863094,17911600
2012-02-26,24.910000,25.680000,24.280001,24.309999,19.322605,20128400
2012-03-04,24.219999,24.889999,23.920000,24.770000,19.688238,18866700
2012-03-11,24.719999,25.650000,23.389999,25.520000,20.284361,34864600
2012-03-18,25.350000,27.950001,25.309999,27.510000,21.866102,45033900
2012-03-25,27.690001,27.750000,23.610001,23.680000,18.821852,71428700
2012-04-01,23.240000,23.980000,22.430000,22.650000,18.003170,36658300
2012-04-08,22.309999,23.740000,21.209999,22.040001,17.518311,87951100
2012-04-15,22.049999,22.430000,21.389999,21.469999,17.065252,33668300
2012-04-22,21.260000,22.330000,21.129999,22.330000,17.879738,29409700
2012-04-29,22.330000,22.690001,20.780001,20.820000,16.670681,27919000
2012-05-06,20.660000,20.950001,19.230000,19.280001,15.437595,33566100
2012-05-13,19.139999,19.700001,17.840000,18.020000,14.428708,38655400
2012-05-20,17.660000,19.250000,17.530001,19.170000,15.349520,54133300
2012-05-27,19.250000,19.440001,18.180000,18.299999,14.652902,25753200
2012-06-03,18.320000,20.340000,17.920000,19.980000,15.998091,68804700
2012-06-10,20.129999,20.440001,19.290001,20.030001,16.169449,38883800
2012-06-17,19.850000,20.910000,19.180000,19.190001,15.491348,35973900
2012-06-24,19.000000,21.590000,18.389999,20.959999,16.920200,57098800
2012-07-01,21.879999,23.570000,21.500000,21.590000,17.428778,56417200
2012-07-08,21.510000,21.709999,18.379999,19.000000,15.337975,52831800
2012-07-15,19.129999,19.180000,18.120001,18.230000,14.716379,31655700
2012-07-22,18.000000,18.830000,16.969999,17.760000,14.336967,47533500
2012-07-29,18.790001,18.799999,17.170000,17.639999,14.240095,38729400
2012-08-05,21.600000,21.600000,18.459999,19.209999,15.507499,86748800
2012-08-12,19.100000,20.549999,18.969999,20.270000,16.363194,31691200
2012-08-19,19.000000,19.200001,16.250000,17.309999,13.973700,94975000
2012-08-26,18.500000,18.650000,17.450001,17.740000,14.320824,53304000
2012-09-02,17.719999,18.629999,17.510000,18.230000,14.716379,24042600
2012-09-09,18.200001,18.790001,18.100000,18.580000,15.140024,24622900
2012-09-16,18.500000,18.520000,17.459999,17.809999,14.512590,29864100
2012-09-23,17.750000,18.110001,16.780001,17.200001,14.015529,29657300
2012-09-30,17.200001,18.530001,16.850000,18.030001,14.691857,29519800
2012-10-07,17.799999,18.219999,17.590000,17.660000,14.390361,16708000
2012-10-14,17.850000,17.910000,17.219999,17.250000,14.056269,14098800
