Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",36.98,37.78,34.43,37.39,37.39,"36,014,600"
"Apr 06, 2020",35.63,37.88,34.45,37.14,37.14,"28,872,600"
"Mar 30, 2020",32.60,34.88,31.38,33.75,33.75,"32,801,800"
"Mar 23, 2020",28.81,33.53,26.93,32.54,32.54,"42,038,800"
"Mar 16, 2020",29.14,32.62,26.40,29.07,29.07,"49,309,500"
"Mar 09, 2020",34.80,37.44,29.40,34.13,34.13,"44,508,200"
"Mar 02, 2020",40.03,40.96,37.36,38.07,38.07,"57,849,800"
"Feb 24, 2020",44.02,44.12,38.54,39.90,39.90,"43,151,000"
"Feb 17, 2020",45.80,46.30,44.83,45.04,45.04,"15,194,500"
"Feb 10, 2020",46.98,47.20,45.69,45.90,45.90,"15,661,200"
"Feb 03, 2020",45.04,47.63,44.92,47.25,47.25,"28,126,000"
"Jan 27, 2020",45.17,45.76,44.10,44.78,44.78,"35,991,000"
"Jan 20, 2020",46.31,47.50,45.54,45.95,45.65,"26,210,500"
"Jan 13, 2020",50.67,51.21,45.86,46.18,45.88,"35,956,200"
"Jan 06, 2020",50.31,51.60,50.02,50.54,50.21,"17,576,900"
"Dec 30, 2019",50.54,50.92,49.80,50.27,49.94,"10,586,300"
"Dec 23, 2019",50.65,50.70,50.09,50.32,49.99,"5,919,000"
"Dec 16, 2019",50.73,51.26,50.10,50.63,50.30,"25,255,200"
"Dec 09, 2019",49.57,51.40,49.41,50.22,49.89,"18,604,000"
"Dec 02, 2019",49.11,49.93,47.91,49.64,49.31,"15,079,100"
"Nov 25, 2019",48.86,49.45,48.55,48.97,48.65,"11,995,900"
"Nov 18, 2019",48.63,49.11,48.38,48.80,48.48,"15,065,400"
"Nov 11, 2019",49.20,49.57,48.04,48.57,48.25,"15,552,400"
"Nov 04, 2019",47.74,50.03,47.60,49.20,48.88,"26,004,400"
"Oct 28, 2019",46.75,47.60,46.18,47.16,46.85,"34,632,200"
"Oct 21, 2019",45.53,46.95,45.33,46.38,45.77,"30,598,100"
"Oct 14, 2019",43.92,45.91,43.41,45.34,44.74,"35,118,000"
"Oct 07, 2019",42.60,44.69,41.66,44.12,43.54,"29,124,400"
"Sep 30, 2019",44.88,45.48,42.02,42.63,42.07,"42,052,600"
"Sep 23, 2019",46.08,46.99,44.08,44.53,43.94,"24,244,800"
"Sep 16, 2019",46.38,47.45,45.36,46.38,45.77,"23,989,100"
"Sep 09, 2019",43.31,47.17,43.17,46.90,46.28,"24,131,700"
"Sep 02, 2019",41.69,43.35,41.01,43.03,42.46,"14,218,100"
"Aug 26, 2019",41.33,42.25,40.52,42.06,41.50,"18,399,300"
"Aug 19, 2019",43.03,43.07,40.77,41.02,40.48,"16,031,000"
"Aug 12, 2019",45.26,45.51,41.42,42.33,41.77,"21,641,800"
"Aug 05, 2019",45.24,46.11,43.63,45.81,45.20,"26,921,200"
"Jul 29, 2019",47.44,47.57,44.30,46.03,45.42,"27,010,200"
"Jul 22, 2019",45.19,47.66,45.04,47.60,46.66,"26,248,900"
"Jul 15, 2019",43.60,45.77,42.97,45.27,44.38,"29,808,100"
"Jul 08, 2019",43.85,44.01,42.46,43.56,42.70,"21,435,700"
"Jul 01, 2019",44.92,45.12,43.96,44.53,43.65,"15,571,800"
"Jun 24, 2019",43.32,44.56,42.66,44.15,43.28,"26,449,900"
"Jun 17, 2019",44.51,44.56,42.13,43.41,42.55,"47,335,200"
"Jun 10, 2019",44.85,45.34,43.99,44.49,43.61,"20,136,900"
"Jun 03, 2019",42.69,44.73,42.50,44.40,43.52,"22,837,000"
"May 27, 2019",45.04,45.14,42.43,42.69,41.85,"26,794,600"
"May 20, 2019",46.09,46.40,44.98,45.16,44.27,"20,490,000"
"May 13, 2019",47.29,47.81,46.02,46.08,45.17,"18,578,300"
"May 06, 2019",49.07,49.51,47.18,48.10,47.15,"18,462,200"
"Apr 29, 2019",48.30,50.41,48.27,49.97,48.98,"28,496,400"
"Apr 22, 2019",48.25,48.96,47.37,48.43,47.20,"36,368,000"
"Apr 15, 2019",52.80,53.61,47.89,48.41,47.18,"31,791,700"
"Apr 08, 2019",50.88,52.93,50.57,52.81,51.47,"22,050,400"
"Apr 01, 2019",50.80,52.11,50.78,51.18,49.88,"22,031,300"
"Mar 25, 2019",50.49,51.02,49.89,50.43,49.15,"22,584,700"
"Mar 18, 2019",53.48,54.27,49.87,50.50,49.22,"21,717,900"
"Mar 11, 2019",51.76,53.21,51.49,53.12,51.77,"25,183,800"
"Mar 04, 2019",52.84,53.41,50.65,51.48,50.17,"20,065,600"
"Feb 25, 2019",53.36,53.66,52.36,52.69,51.35,"20,251,000"
"Feb 18, 2019",52.67,53.38,52.36,53.22,51.87,"14,110,900"
"Feb 11, 2019",52.00,53.11,50.99,52.99,51.65,"19,651,700"
"Feb 04, 2019",52.70,52.75,51.19,51.83,50.52,"18,900,800"
"Jan 28, 2019",53.02,53.70,51.75,52.62,51.29,"23,273,900"
"Jan 21, 2019",52.27,53.89,52.17,53.40,51.77,"27,000,000"
"Jan 14, 2019",47.64,53.04,47.63,52.66,51.06,"35,152,000"
"Jan 07, 2019",47.65,48.33,46.86,48.08,46.62,"22,252,200"
"Dec 31, 2018",46.89,47.97,46.41,47.91,46.45,"17,427,700"
"Dec 24, 2018",44.26,47.26,43.67,46.65,45.23,"27,256,600"
"Dec 17, 2018",48.39,49.89,44.12,44.64,43.28,"66,763,900"
"Dec 10, 2018",47.45,49.00,46.58,48.67,47.19,"39,943,300"
"Dec 03, 2018",51.80,51.98,46.67,47.71,46.26,"33,293,000"
"Nov 26, 2018",50.44,51.67,50.34,51.31,49.75,"26,784,200"
"Nov 19, 2018",49.34,50.47,48.97,49.86,48.34,"20,944,200"
"Nov 12, 2018",48.33,49.61,47.46,49.39,47.89,"28,061,100"
"Nov 05, 2018",47.37,49.24,47.37,48.50,47.02,"23,416,800"
"Oct 29, 2018",45.82,48.29,45.17,47.21,45.49,"29,671,400"
"Oct 22, 2018",47.44,47.65,45.16,45.47,43.81,"40,409,700"
"Oct 15, 2018",48.96,49.45,46.37,47.40,45.67,"36,325,600"
"Oct 08, 2018",52.41,52.85,48.25,49.10,47.31,"28,088,900"
"Oct 01, 2018",51.15,53.14,50.93,52.59,50.67,"20,729,100"
"Sep 24, 2018",53.36,53.36,50.90,50.99,49.13,"23,026,600"
"Sep 17, 2018",51.68,53.51,50.97,53.39,51.45,"39,572,400"
"Sep 10, 2018",52.23,52.49,50.98,51.65,49.77,"22,023,300"
"Sep 03, 2018",52.16,52.88,51.84,52.18,50.28,"15,336,900"
"Aug 27, 2018",52.84,53.44,51.70,52.15,50.25,"19,895,100"
"Aug 20, 2018",51.75,52.81,51.64,52.56,50.65,"17,209,900"
