Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",13.34,13.48,12.26,13.03,13.03,"33,126,700"
"Apr 06, 2020",11.27,14.14,10.80,12.86,12.86,"28,396,000"
"Mar 30, 2020",11.52,11.79,9.44,10.40,10.40,"48,470,800"
"Mar 23, 2020",10.11,12.63,9.12,11.88,11.88,"37,046,700"
"Mar 16, 2020",11.07,12.53,9.18,10.00,10.00,"60,601,000"
"Mar 09, 2020",13.33,14.75,10.58,12.73,12.73,"63,121,500"
"Mar 02, 2020",16.39,17.40,15.89,16.08,16.08,"53,513,400"
"Feb 24, 2020",19.73,19.77,15.71,16.09,16.09,"68,585,900"
"Feb 17, 2020",21.56,21.64,20.07,20.53,20.53,"24,684,900"
"Feb 10, 2020",22.26,22.59,21.78,21.98,21.98,"19,621,300"
"Feb 03, 2020",21.57,22.55,21.20,22.45,22.45,"24,512,700"
"Jan 27, 2020",21.57,22.46,21.12,21.66,21.49,"29,298,500"
"Jan 20, 2020",23.48,23.51,21.84,22.86,22.68,"30,440,500"
"Jan 13, 2020",24.83,24.83,23.21,23.61,23.42,"29,387,500"
"Jan 06, 2020",25.72,25.79,24.31,24.86,24.66,"22,615,200"
"Dec 30, 2019",25.57,25.99,25.09,25.64,25.43,"13,783,200"
"Dec 23, 2019",25.02,25.81,24.99,25.49,25.28,"9,114,700"
"Dec 16, 2019",23.88,25.28,23.73,25.09,24.89,"29,905,300"
"Dec 09, 2019",22.13,24.05,22.05,23.64,23.45,"33,641,000"
"Dec 02, 2019",22.41,22.55,21.31,22.21,22.03,"21,345,600"
"Nov 25, 2019",22.30,22.75,22.08,22.42,22.24,"16,526,300"
"Nov 18, 2019",22.58,23.05,21.82,22.42,22.24,"24,374,600"
"Nov 11, 2019",21.90,22.85,21.51,22.69,22.51,"14,964,100"
"Nov 04, 2019",22.08,22.79,21.59,22.25,21.89,"19,334,300"
"Oct 28, 2019",22.55,23.12,20.92,21.90,21.55,"28,438,200"
"Oct 21, 2019",21.76,23.20,21.54,22.38,22.02,"22,019,000"
"Oct 14, 2019",21.92,22.69,21.80,22.08,21.72,"16,032,500"
"Oct 07, 2019",22.49,22.55,21.27,22.23,21.87,"17,890,800"
"Sep 30, 2019",23.88,24.01,21.78,22.47,22.11,"30,557,900"
"Sep 23, 2019",23.45,24.39,23.24,24.04,23.65,"70,057,800"
"Sep 16, 2019",23.53,23.89,22.64,23.59,23.21,"56,015,500"
"Sep 09, 2019",23.66,24.73,21.36,22.72,22.35,"99,269,000"
"Sep 02, 2019",21.27,24.04,21.10,23.53,23.15,"19,239,300"
