Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",67.27,73.67,67.27,73.55,73.55,"8,200,700"
"Apr 06, 2020",68.30,69.98,66.69,68.39,68.39,"5,818,900"
"Mar 30, 2020",63.18,68.18,61.89,67.65,67.65,"9,791,700"
"Mar 23, 2020",65.62,65.77,59.36,61.97,61.97,"12,458,900"
"Mar 16, 2020",50.02,71.87,47.98,65.75,65.75,"16,879,000"
"Mar 09, 2020",70.99,73.21,61.00,63.29,63.29,"14,794,900"
"Mar 02, 2020",69.83,76.55,69.53,74.68,74.68,"12,072,000"
"Feb 24, 2020",76.39,77.00,68.05,69.52,69.52,"10,133,300"
"Feb 17, 2020",76.54,76.87,75.36,76.61,76.61,"5,563,900"
"Feb 10, 2020",74.58,76.46,74.55,76.43,76.19,"5,407,900"
"Feb 03, 2020",74.73,76.38,73.80,74.49,74.25,"8,424,300"
"Jan 27, 2020",71.00,77.24,70.29,74.22,73.98,"12,246,600"
"Jan 20, 2020",72.00,72.73,70.94,71.31,71.08,"8,046,800"
"Jan 13, 2020",70.22,72.35,70.14,72.00,71.77,"7,891,600"
"Jan 06, 2020",70.43,70.92,68.94,70.10,69.88,"7,250,200"
"Dec 30, 2019",70.55,70.71,69.54,70.27,70.05,"3,807,700"
"Dec 23, 2019",70.53,70.76,69.99,70.70,70.48,"3,243,700"
"Dec 16, 2019",70.01,70.83,67.99,70.25,70.03,"10,143,700"
"Dec 09, 2019",70.25,70.64,68.35,69.99,69.77,"8,759,500"
"Dec 02, 2019",70.06,70.60,68.81,70.25,70.03,"6,840,300"
"Nov 25, 2019",69.11,70.71,68.60,70.24,70.02,"7,117,200"
"Nov 18, 2019",67.30,70.08,67.20,68.84,68.62,"11,024,700"
"Nov 11, 2019",67.76,68.75,66.71,67.36,66.92,"6,336,400"
"Nov 04, 2019",68.78,69.03,66.45,67.58,67.14,"8,417,500"
"Oct 28, 2019",74.93,75.69,68.21,68.78,68.33,"10,084,600"
"Oct 21, 2019",73.89,75.97,73.19,74.89,74.40,"8,523,300"
"Oct 14, 2019",74.70,74.70,72.40,73.89,73.41,"7,761,300"
"Oct 07, 2019",75.94,76.43,74.11,74.12,73.64,"5,490,300"
"Sep 30, 2019",75.19,76.10,74.39,76.05,75.56,"7,974,000"
"Sep 23, 2019",73.09,76.70,72.53,75.66,75.17,"8,419,800"
"Sep 16, 2019",72.05,73.61,70.70,72.80,72.33,"12,126,900"
"Sep 09, 2019",75.54,75.54,69.97,71.98,71.51,"16,863,900"
"Sep 02, 2019",79.56,80.56,75.37,75.90,75.41,"10,382,200"
"Aug 26, 2019",78.78,80.70,78.46,79.78,79.26,"5,575,300"
"Aug 19, 2019",80.00,80.99,78.05,78.50,77.99,"5,734,800"
"Aug 12, 2019",76.81,79.80,76.50,79.70,78.95,"6,735,000"
"Aug 05, 2019",74.19,77.84,73.62,76.69,75.97,"7,105,200"
"Jul 29, 2019",75.83,77.57,73.07,74.32,73.62,"7,062,200"
"Jul 22, 2019",75.55,75.99,73.37,75.84,75.13,"4,435,600"
"Jul 15, 2019",75.43,76.84,74.98,75.52,74.81,"5,486,500"
"Jul 08, 2019",74.49,75.47,71.64,75.29,74.58,"7,310,000"
"Jul 01, 2019",73.24,75.13,72.50,74.33,73.63,"5,062,100"
"Jun 24, 2019",76.36,76.52,72.47,73.06,72.38,"8,352,000"
"Jun 17, 2019",77.35,77.73,74.95,75.94,75.23,"7,290,800"
"Jun 10, 2019",77.86,78.15,76.26,77.16,76.44,"4,896,700"
"Jun 03, 2019",74.78,79.22,74.51,77.98,77.25,"7,086,900"
"May 27, 2019",74.87,75.30,72.53,74.41,73.71,"5,486,100"
"May 20, 2019",73.92,75.49,72.71,74.71,74.01,"4,556,400"
"May 13, 2019",72.72,74.81,72.42,73.88,72.96,"8,228,200"
"May 06, 2019",74.04,74.51,72.22,73.51,72.60,"6,331,300"
"Apr 29, 2019",73.97,74.99,72.93,74.34,73.42,"6,487,200"
"Apr 22, 2019",73.99,74.34,72.76,74.12,73.20,"5,553,100"
"Apr 15, 2019",74.11,74.49,73.15,73.83,72.91,"4,589,600"
"Apr 08, 2019",72.33,74.14,71.59,73.89,72.97,"5,097,200"
"Apr 01, 2019",71.09,72.85,70.40,72.31,71.41,"8,146,400"
"Mar 25, 2019",67.13,72.19,66.87,71.23,70.35,"10,583,600"
"Mar 18, 2019",67.28,67.50,65.66,67.10,66.27,"6,389,200"
"Mar 11, 2019",65.74,67.46,65.60,67.40,66.56,"5,542,200"
"Mar 04, 2019",65.90,66.24,64.96,65.65,64.83,"5,582,600"
"Feb 25, 2019",66.31,66.53,65.01,65.58,64.77,"7,675,300"
"Feb 18, 2019",64.40,66.46,64.19,66.28,65.46,"6,782,900"
"Feb 11, 2019",63.04,64.92,63.04,64.69,63.66,"8,517,500"
"Feb 04, 2019",65.44,65.88,59.64,63.34,62.33,"18,025,000"
"Jan 28, 2019",63.27,65.17,62.72,64.67,63.64,"11,103,000"
"Jan 21, 2019",68.14,68.14,63.34,63.59,62.58,"13,488,700"
"Jan 14, 2019",66.92,68.75,66.36,68.36,67.27,"8,555,100"
"Jan 07, 2019",65.06,67.78,64.92,67.15,66.08,"9,839,600"
"Dec 31, 2018",66.02,66.32,64.07,65.06,64.03,"6,954,400"
"Dec 24, 2018",64.78,66.49,62.43,65.75,64.71,"5,855,700"
"Dec 17, 2018",68.66,68.96,63.36,64.90,63.87,"12,000,200"
"Dec 10, 2018",67.07,69.49,65.61,68.73,67.64,"8,963,800"
"Dec 03, 2018",66.33,67.67,65.25,66.81,65.75,"6,962,000"
"Nov 26, 2018",65.89,67.33,65.12,66.19,65.14,"10,496,800"
"Nov 19, 2018",65.16,66.34,64.00,65.94,64.89,"6,378,500"
"Nov 12, 2018",65.37,66.86,64.84,65.40,64.15,"7,323,000"
"Nov 05, 2018",65.83,67.93,63.58,65.55,64.29,"16,915,300"
"Oct 29, 2018",58.58,66.58,58.03,66.06,64.79,"17,667,800"
"Oct 22, 2018",60.56,60.87,57.36,58.03,56.92,"7,722,400"
"Oct 15, 2018",56.06,61.28,56.00,60.33,59.17,"7,510,900"
"Oct 08, 2018",59.13,60.16,54.46,56.07,55.00,"9,428,700"
"Oct 01, 2018",59.42,60.42,57.66,59.19,58.06,"6,394,400"
"Sep 24, 2018",60.03,60.12,58.83,59.37,58.23,"5,380,000"
"Sep 17, 2018",59.63,60.39,58.80,60.04,58.89,"6,085,400"
"Sep 10, 2018",59.00,59.74,58.18,59.55,58.41,"5,170,200"
"Sep 03, 2018",56.07,58.94,56.06,58.69,57.57,"5,801,500"
"Aug 27, 2018",56.54,57.10,55.73,56.58,55.50,"3,854,300"
"Aug 20, 2018",57.30,57.87,56.11,56.33,55.25,"7,183,500"
"Aug 13, 2018",55.93,57.29,55.30,57.15,55.84,"6,504,100"
"Aug 06, 2018",57.09,57.62,55.27,55.74,54.46,"8,463,700"
"Jul 30, 2018",55.14,58.03,54.53,57.17,55.86,"11,247,100"
"Jul 23, 2018",55.03,55.56,54.09,55.36,54.09,"6,809,100"
"Jul 16, 2018",55.92,55.92,53.15,54.98,53.72,"10,494,000"
"Jul 09, 2018",54.36,55.94,53.16,55.89,54.61,"10,803,600"
