Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,19.527500,20.785000,18.900000,20.162500,19.057787,39720000
2012-01-08,20.142500,20.344999,16.387501,16.782499,15.862979,81038400
2012-01-15,16.900000,16.945000,15.062500,15.280000,14.459416,63556400
2012-01-22,15.897500,16.975000,15.435000,16.440001,15.557128,110562800
2012-01-29,16.135000,16.469999,15.710000,16.225000,15.353671,49203600
2012-02-05,16.155001,17.275000,15.835000,16.785000,15.883591,44907800
2012-02-12,16.924999,18.570000,16.705000,18.320000,17.336164,40795200
2012-02-19,19.129999,19.129999,17.254999,17.844999,16.886669,38180400
2012-02-26,17.840000,18.070000,17.125000,17.230000,16.304701,29868800
2012-03-04,17.165001,17.745001,16.514999,17.455000,16.517614,27353800
2012-03-11,17.344999,17.344999,16.285000,16.709999,15.812622,32033400
2012-03-18,16.655001,17.090000,15.500000,16.260000,15.386790,38104200
2012-03-25,16.450001,16.490000,14.720000,15.585000,14.748043,51130600
2012-04-01,15.555000,16.340000,15.415000,15.970000,15.112365,29205600
2012-04-08,15.650000,15.835000,14.895000,15.300000,14.478344,32568000
2012-04-15,14.965000,15.770000,14.420000,15.070000,14.260696,35419800
2012-04-22,14.705000,16.965000,14.600000,16.895000,15.987687,46366000
2012-04-29,17.110001,18.110001,16.650000,17.184999,16.262117,46403600
2012-05-06,17.014999,18.405001,16.320000,17.754999,16.801506,47826400
2012-05-13,17.549999,18.334999,16.795000,17.135000,16.232750,46063800
2012-05-20,17.250000,18.500000,17.020000,17.385000,16.469591,34959400
2012-05-27,17.594999,17.705000,15.270000,15.575000,14.754891,40002000
2012-06-03,15.630000,17.049999,14.970000,16.495001,15.626454,30535000
2012-06-10,16.700001,18.145000,15.975000,18.100000,17.146938,41974800
2012-06-17,18.070000,18.745001,17.375000,18.200001,17.241673,41962600
2012-06-24,18.010000,20.850000,17.674999,19.700001,18.662689,86111400
2012-07-01,19.670000,20.385000,19.350000,19.754999,18.714794,30564400
2012-07-08,20.315001,20.465000,19.105000,20.295000,19.226362,39421200
