Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",296.62,312.23,292.14,306.28,306.28,"1,785,000"
"Apr 06, 2020",289.03,306.75,285.86,296.57,296.57,"1,320,000"
"Mar 30, 2020",274.96,288.00,264.01,279.68,279.68,"1,676,500"
"Mar 23, 2020",252.66,282.05,237.71,273.23,273.23,"2,031,000"
"Mar 16, 2020",256.60,286.93,236.68,250.65,250.65,"2,393,000"
"Mar 09, 2020",330.00,335.89,272.78,291.04,291.04,"3,022,300"
"Mar 02, 2020",328.03,345.06,313.54,333.81,333.81,"2,031,400"
"Feb 24, 2020",349.19,351.23,311.00,324.57,324.57,"1,842,900"
"Feb 17, 2020",352.26,360.00,350.70,355.67,355.67,"600,900"
"Feb 10, 2020",346.49,356.24,345.72,353.31,353.31,"962,000"
"Feb 03, 2020",348.87,357.09,345.27,348.20,348.20,"1,241,900"
"Jan 27, 2020",347.45,358.31,345.04,346.89,346.89,"1,484,900"
"Jan 20, 2020",354.41,365.68,351.03,352.36,352.33,"1,677,000"
"Jan 13, 2020",333.64,355.41,331.19,355.31,355.28,"1,638,700"
"Jan 06, 2020",321.47,334.33,319.83,333.65,333.62,"1,324,400"
"Dec 30, 2019",320.40,323.85,318.02,322.30,322.27,"893,800"
"Dec 23, 2019",319.55,322.46,316.08,321.11,321.08,"703,400"
"Dec 16, 2019",320.98,322.70,316.51,319.09,319.06,"1,532,900"
"Dec 09, 2019",306.17,318.47,302.00,316.92,316.89,"1,767,200"
"Dec 02, 2019",313.53,314.94,301.16,307.19,307.16,"2,039,400"
"Nov 25, 2019",308.76,318.25,306.25,313.09,313.06,"1,081,300"
"Nov 18, 2019",303.06,310.73,300.11,307.81,307.78,"1,484,100"
"Nov 11, 2019",290.50,302.21,288.70,301.98,301.95,"1,192,300"
"Nov 04, 2019",293.01,295.69,288.89,291.40,291.38,"994,700"
"Oct 28, 2019",283.11,295.45,282.86,291.83,291.81,"1,130,600"
"Oct 21, 2019",289.28,290.50,280.24,281.75,281.73,"1,316,700"
"Oct 14, 2019",294.06,297.21,287.60,287.81,287.79,"1,245,700"
"Oct 07, 2019",294.88,298.27,285.97,293.89,293.87,"1,924,100"
"Sep 30, 2019",294.32,299.17,285.05,296.87,296.85,"1,824,100"
"Sep 23, 2019",301.39,305.88,292.68,294.25,294.23,"1,532,400"
"Sep 16, 2019",300.01,307.39,298.52,302.32,302.29,"1,588,300"
"Sep 09, 2019",302.35,306.72,290.86,301.51,301.48,"2,039,800"
"Sep 02, 2019",308.78,309.87,296.01,302.84,302.81,"1,650,500"
"Aug 26, 2019",323.40,332.70,295.25,309.75,309.72,"1,942,700"
"Aug 19, 2019",337.92,339.17,320.31,321.67,321.64,"1,443,300"
"Aug 12, 2019",335.42,344.32,332.17,335.38,335.35,"945,500"
"Aug 05, 2019",331.56,338.58,322.22,336.87,336.84,"1,745,800"
