Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",10.57,10.67,9.68,10.25,10.25,"53,930,200"
"Apr 06, 2020",9.51,10.90,9.05,10.65,10.65,"53,801,800"
"Mar 30, 2020",9.10,9.96,8.51,9.11,9.11,"69,831,500"
"Mar 23, 2020",9.06,10.00,8.16,9.06,9.06,"84,629,500"
"Mar 16, 2020",8.90,11.13,8.45,9.10,9.10,"92,378,600"
"Mar 09, 2020",11.11,11.19,8.95,10.12,10.12,"86,939,200"
"Mar 02, 2020",12.13,13.15,11.73,11.97,11.73,"61,438,400"
"Feb 24, 2020",13.00,13.22,11.54,12.07,11.83,"72,019,800"
"Feb 17, 2020",13.55,13.70,12.98,13.22,12.96,"47,019,900"
"Feb 10, 2020",14.51,15.30,13.43,13.90,13.62,"74,985,300"
"Feb 03, 2020",13.70,14.59,13.57,14.53,14.24,"36,846,700"
"Jan 27, 2020",14.45,14.67,13.60,13.66,13.39,"44,746,000"
"Jan 20, 2020",14.05,15.25,13.96,14.71,14.42,"68,052,300"
"Jan 13, 2020",12.99,14.12,12.88,14.06,13.78,"62,641,200"
"Jan 06, 2020",12.52,13.29,12.47,12.99,12.73,"75,232,300"
"Dec 30, 2019",13.34,13.43,12.51,12.59,12.34,"40,288,000"
"Dec 23, 2019",13.23,13.53,13.06,13.42,13.15,"32,259,200"
"Dec 16, 2019",13.69,13.97,13.08,13.22,12.96,"65,675,800"
"Dec 09, 2019",14.17,14.40,13.55,13.60,13.33,"49,620,100"
"Dec 02, 2019",14.44,14.47,13.68,14.16,13.88,"54,699,600"
"Nov 25, 2019",14.97,15.04,14.27,14.49,13.96,"46,631,600"
"Nov 18, 2019",14.94,15.29,14.65,14.97,14.42,"41,030,800"
"Nov 11, 2019",14.61,15.21,14.37,14.97,14.42,"63,207,900"
"Nov 04, 2019",13.40,15.05,13.07,14.79,14.25,"114,606,200"
"Oct 28, 2019",12.95,13.36,12.64,13.32,12.83,"48,371,600"
"Oct 21, 2019",12.50,13.10,12.21,12.89,12.42,"58,795,900"
"Oct 14, 2019",11.73,12.71,11.57,12.44,11.98,"57,271,000"
"Oct 07, 2019",11.49,11.92,11.25,11.73,11.30,"45,234,500"
"Sep 30, 2019",12.43,12.61,11.34,11.54,11.12,"58,038,200"
"Sep 23, 2019",12.46,12.99,12.39,12.39,11.93,"49,480,700"
"Sep 16, 2019",12.75,13.07,12.48,12.52,12.06,"62,678,300"
"Sep 09, 2019",11.92,13.62,11.91,12.90,12.43,"87,029,500"
"Sep 02, 2019",11.30,11.97,11.21,11.80,11.37,"38,583,700"
"Aug 26, 2019",11.33,11.75,11.21,11.38,10.72,"46,122,400"
"Aug 19, 2019",11.27,11.71,11.17,11.21,10.56,"54,301,800"
"Aug 12, 2019",10.77,11.72,10.50,11.21,10.56,"66,898,700"
"Aug 05, 2019",11.79,11.95,10.29,10.78,10.16,"85,428,200"
"Jul 29, 2019",11.78,12.44,11.57,12.02,11.33,"52,432,900"
"Jul 22, 2019",11.33,11.77,10.86,11.75,11.07,"48,548,800"
"Jul 15, 2019",12.20,12.34,11.25,11.37,10.72,"54,562,600"
"Jul 08, 2019",11.77,12.22,11.61,12.20,11.50,"45,314,100"
"Jul 01, 2019",11.92,11.97,11.54,11.77,11.09,"43,408,900"
"Jun 24, 2019",11.38,11.83,10.67,11.76,11.08,"73,839,800"
"Jun 17, 2019",11.15,11.57,11.10,11.34,10.69,"77,282,000"
"Jun 10, 2019",10.54,11.20,10.29,11.10,10.46,"60,722,900"
