Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",53.51,54.15,50.54,53.81,53.81,"21,174,300"
"Apr 06, 2020",45.81,55.25,45.39,54.28,54.28,"21,306,200"
"Mar 30, 2020",47.40,48.46,42.14,43.40,43.40,"23,994,500"
"Mar 23, 2020",44.27,50.45,40.01,46.66,46.66,"29,377,400"
"Mar 16, 2020",46.73,50.65,43.01,44.10,44.10,"32,815,500"
"Mar 09, 2020",55.06,56.22,47.75,52.62,52.62,"33,907,000"
"Mar 02, 2020",60.60,62.88,57.01,58.24,58.24,"23,296,200"
"Feb 24, 2020",68.92,69.88,59.46,60.93,60.93,"27,939,500"
"Feb 17, 2020",68.34,70.29,67.91,70.09,70.09,"15,259,400"
"Feb 10, 2020",68.89,69.70,67.80,68.42,68.20,"15,718,000"
"Feb 03, 2020",61.85,71.48,61.57,69.59,69.37,"25,972,200"
"Jan 27, 2020",61.83,63.38,60.85,61.38,61.19,"15,178,300"
"Jan 20, 2020",62.40,63.15,61.83,62.42,62.22,"13,037,400"
"Jan 13, 2020",60.49,62.93,60.21,62.77,62.57,"15,562,100"
"Jan 06, 2020",61.04,61.99,59.98,60.64,60.45,"15,469,300"
"Dec 30, 2019",62.15,62.46,60.89,61.36,61.17,"8,413,500"
"Dec 23, 2019",63.15,63.34,61.91,62.16,61.96,"5,860,100"
"Dec 16, 2019",62.12,63.27,61.45,63.22,63.02,"18,327,300"
"Dec 09, 2019",62.57,62.71,60.43,61.64,61.45,"12,153,100"
"Dec 02, 2019",64.09,64.16,62.06,62.66,62.46,"12,361,300"
"Nov 25, 2019",63.33,64.37,63.10,64.11,63.91,"8,427,900"
"Nov 18, 2019",62.97,63.96,61.95,63.19,62.79,"13,041,700"
"Nov 11, 2019",62.68,63.40,62.02,63.38,62.98,"11,149,400"
"Nov 04, 2019",61.47,63.57,61.35,62.86,62.46,"12,821,900"
"Oct 28, 2019",60.44,62.20,59.75,61.23,60.84,"18,848,200"
"Oct 21, 2019",61.32,61.59,59.59,60.46,60.08,"13,508,400"
"Oct 14, 2019",60.60,61.98,60.02,60.64,60.26,"12,554,500"
"Oct 07, 2019",60.28,61.43,58.89,60.61,60.23,"12,740,600"
"Sep 30, 2019",59.05,61.79,58.87,60.51,60.13,"16,307,100"
"Sep 23, 2019",61.70,61.72,58.66,58.75,58.38,"17,632,700"
"Sep 16, 2019",64.00,64.54,61.46,61.80,61.41,"18,300,400"
"Sep 09, 2019",64.53,65.62,63.27,64.33,63.92,"13,238,000"
"Sep 02, 2019",60.95,65.00,60.84,64.45,64.04,"11,495,300"
"Aug 26, 2019",60.61,61.83,59.20,61.39,61.00,"13,713,700"
"Aug 19, 2019",61.94,62.52,59.80,60.00,59.43,"13,154,400"
"Aug 12, 2019",62.28,62.28,59.94,61.22,60.64,"16,606,100"
"Aug 05, 2019",62.70,63.98,61.15,62.46,61.86,"17,667,400"
"Jul 29, 2019",66.36,67.88,62.81,63.49,62.88,"22,714,300"
"Jul 22, 2019",65.30,66.50,64.83,66.40,65.77,"15,080,700"
"Jul 15, 2019",65.90,66.31,64.31,65.14,64.52,"14,827,400"
"Jul 08, 2019",64.41,65.91,63.62,65.86,65.23,"16,076,500"
"Jul 01, 2019",64.47,65.20,63.60,64.71,64.09,"11,702,100"
"Jun 24, 2019",64.09,64.48,62.94,63.39,62.79,"25,807,800"
"Jun 17, 2019",62.00,64.72,61.64,64.46,63.85,"33,486,200"
"Jun 10, 2019",62.85,63.93,61.02,61.64,61.05,"21,731,700"
"Jun 03, 2019",61.77,62.98,58.87,62.78,62.18,"29,096,800"
"May 27, 2019",62.14,62.90,61.55,61.93,61.34,"22,229,800"
"May 20, 2019",58.83,62.19,58.71,61.87,61.08,"45,594,000"
"May 13, 2019",58.02,59.50,56.73,59.44,58.68,"43,182,100"
"May 06, 2019",58.56,60.19,57.47,59.13,58.37,"50,344,000"
"Apr 29, 2019",71.15,73.38,57.70,59.25,58.49,"62,683,500"
"Apr 22, 2019",70.95,73.50,70.37,73.37,72.43,"16,050,900"
"Apr 15, 2019",74.44,74.58,70.56,71.34,70.42,"14,584,900"
"Apr 08, 2019",74.26,74.78,73.55,74.29,73.34,"10,537,600"
"Apr 01, 2019",73.00,74.85,72.65,74.20,73.25,"14,910,700"
"Mar 25, 2019",70.74,72.85,70.01,72.45,71.52,"13,290,600"
"Mar 18, 2019",72.10,72.64,70.64,70.89,69.98,"13,929,000"
"Mar 11, 2019",71.37,72.61,70.85,72.13,71.20,"18,095,200"
"Mar 04, 2019",72.56,72.88,70.57,71.15,70.24,"17,291,100"
"Feb 25, 2019",72.93,73.00,70.80,72.13,71.20,"19,432,000"
"Feb 18, 2019",73.21,73.57,71.12,72.38,71.26,"17,451,500"
"Feb 11, 2019",73.35,74.35,72.88,73.56,72.42,"14,759,800"
"Feb 04, 2019",70.07,74.69,69.94,73.16,72.02,"25,096,000"
"Jan 28, 2019",69.27,70.94,68.34,70.14,69.05,"16,042,100"
"Jan 21, 2019",67.30,70.32,66.21,70.02,68.93,"14,458,100"
"Jan 14, 2019",64.46,68.03,64.34,67.82,66.77,"17,728,000"
"Jan 07, 2019",63.35,65.19,62.80,64.92,63.91,"16,785,500"
