Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",170.16,183.95,167.63,182.11,182.11,"13,597,200"
"Apr 06, 2020",166.17,172.64,162.42,169.24,168.86,"13,302,600"
"Mar 30, 2020",149.35,162.80,146.19,162.20,161.84,"17,036,200"
"Mar 23, 2020",139.88,149.67,135.26,146.12,145.80,"17,056,000"
"Mar 16, 2020",134.19,157.65,125.00,140.13,139.82,"22,215,100"
"Mar 09, 2020",150.79,167.44,138.49,145.81,145.49,"23,869,300"
"Mar 02, 2020",150.36,163.28,150.25,158.38,158.03,"10,627,600"
"Feb 24, 2020",163.53,166.90,147.56,150.30,149.97,"14,199,800"
"Feb 17, 2020",158.30,167.04,157.75,166.88,166.51,"5,701,100"
"Feb 10, 2020",154.08,160.24,153.83,158.03,157.68,"5,530,700"
"Feb 03, 2020",154.28,157.97,154.00,154.97,154.63,"5,509,900"
"Jan 27, 2020",153.11,157.64,152.62,153.41,153.07,"6,880,600"
"Jan 20, 2020",157.35,158.70,153.38,154.34,154.00,"5,174,200"
"Jan 13, 2020",151.96,160.41,151.43,157.99,157.64,"10,446,200"
"Jan 06, 2020",154.41,154.76,151.13,153.22,152.57,"13,916,500"
"Dec 30, 2019",156.15,158.19,154.66,155.39,154.73,"6,081,400"
"Dec 23, 2019",157.03,157.16,154.20,156.65,155.98,"3,743,200"
"Dec 16, 2019",154.84,158.12,152.54,156.71,156.04,"11,608,300"
"Dec 09, 2019",154.26,156.29,152.95,154.63,153.97,"10,417,700"
"Dec 02, 2019",158.28,158.43,152.00,154.72,154.06,"20,869,400"
"Nov 25, 2019",159.89,161.01,155.42,157.36,156.69,"9,564,900"
"Nov 18, 2019",160.07,162.10,157.18,159.79,159.11,"7,457,200"
"Nov 11, 2019",157.72,162.53,154.59,160.14,159.46,"8,168,100"
"Nov 04, 2019",160.48,161.10,156.38,157.86,157.19,"6,634,600"
"Oct 28, 2019",162.38,163.09,159.33,159.90,159.22,"5,496,300"
"Oct 21, 2019",164.97,166.98,161.73,162.18,161.49,"6,004,000"
"Oct 14, 2019",162.80,164.97,160.74,164.41,163.71,"7,475,100"
"Oct 07, 2019",159.98,164.29,157.98,162.25,161.24,"7,576,700"
"Sep 30, 2019",159.68,161.35,155.29,160.97,159.96,"8,782,900"
"Sep 23, 2019",157.73,160.86,156.96,160.02,159.02,"6,812,100"
"Sep 16, 2019",156.63,158.60,152.36,156.23,155.25,"8,764,200"
"Sep 09, 2019",162.04,162.34,155.24,157.78,156.79,"10,986,600"
"Sep 02, 2019",155.41,162.19,155.21,161.54,160.53,"7,243,000"
"Aug 26, 2019",138.28,158.91,137.70,156.09,155.11,"15,440,700"
"Aug 19, 2019",137.89,140.37,135.66,136.99,136.13,"8,424,200"
"Aug 12, 2019",135.01,137.49,132.80,135.91,135.06,"7,355,300"
"Aug 05, 2019",132.61,138.12,131.03,135.58,134.73,"7,248,500"
"Jul 29, 2019",137.85,138.14,131.55,133.69,132.85,"8,732,300"
"Jul 22, 2019",141.26,141.31,134.07,137.97,137.11,"9,886,100"
"Jul 15, 2019",141.79,145.06,141.21,141.28,140.40,"8,097,000"
"Jul 08, 2019",139.23,142.06,138.19,141.52,140.31,"7,637,700"
"Jul 01, 2019",136.01,140.12,135.02,139.95,138.76,"4,664,800"
"Jun 24, 2019",138.91,139.07,134.57,135.16,134.01,"8,359,300"
"Jun 17, 2019",137.05,139.78,135.67,138.78,137.60,"8,461,700"
"Jun 10, 2019",133.67,137.35,133.52,135.69,134.53,"7,570,700"
"Jun 03, 2019",127.87,133.43,127.87,133.15,132.01,"8,839,900"
"May 27, 2019",121.52,128.07,118.20,127.28,126.19,"13,888,900"
"May 20, 2019",119.83,122.56,119.05,121.96,120.92,"7,865,500"
"May 13, 2019",120.07,121.04,116.15,120.19,119.17,"11,625,700"
"May 06, 2019",123.16,124.67,120.20,121.84,120.80,"6,016,400"
"Apr 29, 2019",125.06,126.75,123.69,124.70,123.64,"6,475,900"
"Apr 22, 2019",123.20,126.84,122.63,125.26,124.19,"6,853,100"
"Apr 15, 2019",122.40,124.83,122.40,123.55,122.50,"6,739,000"
"Apr 08, 2019",122.24,123.15,121.00,122.38,121.02,"7,972,000"
"Apr 01, 2019",119.49,123.50,116.76,122.58,121.22,"9,881,600"
"Mar 25, 2019",117.42,120.73,117.22,119.30,117.97,"8,602,400"
"Mar 18, 2019",115.62,118.50,114.18,117.47,116.16,"12,520,300"
"Mar 11, 2019",118.89,121.27,108.74,113.89,112.62,"24,861,700"
"Mar 04, 2019",120.31,120.34,117.86,118.71,117.39,"10,955,700"
"Feb 25, 2019",119.41,120.20,116.36,119.50,118.17,"8,425,800"
"Feb 18, 2019",119.73,119.90,117.90,118.38,117.06,"7,765,400"
"Feb 11, 2019",116.45,120.33,116.10,119.00,117.68,"8,714,400"
"Feb 04, 2019",115.19,117.39,114.73,116.32,115.03,"6,693,500"
"Jan 28, 2019",113.10,116.31,113.05,115.04,113.76,"8,117,700"
"Jan 21, 2019",113.00,115.21,112.35,114.20,112.93,"8,202,300"
"Jan 14, 2019",115.82,115.98,111.30,113.53,112.27,"14,009,400"
"Jan 07, 2019",110.84,117.24,110.50,116.06,114.46,"13,183,200"
"Dec 31, 2018",107.59,111.01,106.03,108.77,107.27,"9,601,700"
"Dec 24, 2018",99.51,108.59,98.08,107.07,105.60,"8,918,400"
"Dec 17, 2018",104.00,106.09,98.65,99.74,98.37,"15,728,700"
"Dec 10, 2018",103.22,108.00,102.37,104.98,103.54,"13,163,300"
"Dec 03, 2018",113.01,113.15,102.05,102.70,101.29,"20,726,300"
"Nov 26, 2018",106.69,112.26,106.41,110.99,109.46,"14,664,500"
"Nov 19, 2018",111.61,112.78,103.61,105.86,104.40,"9,584,100"
"Nov 12, 2018",116.16,117.47,108.55,111.42,109.89,"12,170,700"
"Nov 05, 2018",112.10,118.45,112.00,116.10,114.50,"8,762,600"
"Oct 29, 2018",108.80,114.66,108.72,112.12,110.58,"10,504,700"
"Oct 22, 2018",109.94,113.48,106.81,107.83,106.35,"13,006,700"
"Oct 15, 2018",105.25,111.07,104.87,109.55,108.04,"15,250,600"
"Oct 08, 2018",103.37,107.14,101.89,104.76,103.32,"11,268,300"
"Oct 01, 2018",109.56,109.99,103.19,103.76,102.05,"12,999,000"
"Sep 24, 2018",107.98,110.30,106.95,109.30,107.50,"9,732,800"
"Sep 17, 2018",108.70,110.87,107.24,108.26,106.47,"14,422,700"
"Sep 10, 2018",111.39,112.59,108.36,108.91,107.11,"11,268,700"
"Sep 03, 2018",107.99,112.31,107.87,110.82,108.99,"9,595,700"
