Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",22.00,22.79,20.64,22.14,22.14,"18,757,200"
"Apr 06, 2020",19.18,22.75,19.00,22.32,22.32,"21,915,500"
"Mar 30, 2020",18.79,20.46,17.69,18.36,18.36,"27,218,200"
"Mar 23, 2020",19.23,22.20,17.12,19.03,19.03,"34,297,700"
"Mar 16, 2020",19.87,21.97,17.70,18.76,18.76,"32,976,300"
"Mar 09, 2020",23.94,25.09,20.88,22.89,22.89,"34,778,400"
"Mar 02, 2020",25.89,26.93,24.25,25.44,25.44,"37,743,800"
"Feb 24, 2020",28.51,28.66,23.89,25.70,25.70,"51,308,100"
"Feb 17, 2020",30.15,30.77,29.12,29.21,29.21,"15,789,300"
"Feb 10, 2020",29.66,30.60,29.41,30.21,30.21,"19,638,900"
"Feb 03, 2020",29.41,30.88,29.11,29.79,29.79,"17,407,800"
"Jan 27, 2020",30.00,30.76,29.07,29.26,29.26,"20,286,400"
"Jan 20, 2020",32.32,32.46,29.90,30.32,30.32,"19,307,100"
"Jan 13, 2020",31.75,32.89,31.46,32.43,32.43,"18,121,600"
"Jan 06, 2020",31.83,32.57,31.57,31.85,31.85,"19,750,100"
"Dec 30, 2019",33.17,33.35,31.77,32.03,32.03,"12,318,700"
"Dec 23, 2019",32.89,33.48,32.78,33.13,33.13,"7,325,100"
"Dec 16, 2019",32.37,33.11,32.04,32.95,32.95,"13,155,500"
"Dec 09, 2019",31.98,32.67,31.85,32.34,32.34,"13,004,300"
"Dec 02, 2019",32.88,33.40,31.85,32.04,32.04,"18,704,200"
"Nov 25, 2019",32.60,33.66,32.04,32.94,32.94,"16,629,400"
"Nov 18, 2019",30.28,32.61,29.97,32.53,32.53,"29,925,700"
"Nov 11, 2019",30.85,31.38,29.61,29.72,29.72,"22,196,900"
"Nov 04, 2019",27.51,31.30,27.15,30.91,30.91,"30,229,200"
"Oct 28, 2019",27.66,28.28,26.54,27.26,27.26,"17,060,800"
"Oct 21, 2019",27.84,28.32,26.93,27.57,27.57,"16,556,600"
"Oct 14, 2019",27.85,28.43,27.22,27.71,27.71,"13,467,900"
"Oct 07, 2019",27.01,28.21,26.81,27.97,27.97,"14,253,200"
"Sep 30, 2019",26.86,27.24,25.95,27.01,27.01,"16,993,100"
"Sep 23, 2019",26.19,27.12,25.90,26.80,26.80,"20,467,900"
"Sep 16, 2019",27.88,27.97,26.22,26.23,26.23,"21,701,900"
"Sep 09, 2019",27.32,28.63,27.21,27.89,27.89,"18,007,200"
"Sep 02, 2019",27.32,27.93,26.57,27.34,27.34,"14,758,200"
"Aug 26, 2019",27.13,28.12,26.21,27.60,27.60,"17,748,300"
