Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",146.85,149.74,138.85,149.20,149.20,"16,194,000"
"Apr 06, 2020",141.15,152.59,138.96,148.29,148.29,"9,922,200"
"Mar 30, 2020",134.58,140.98,127.12,136.49,136.49,"15,462,200"
"Mar 23, 2020",120.48,135.94,105.00,132.85,132.85,"19,899,600"
"Mar 16, 2020",132.42,139.75,119.01,121.20,120.25,"32,122,900"
"Mar 09, 2020",120.49,143.61,119.00,143.34,142.22,"63,268,900"
"Mar 02, 2020",120.90,135.03,120.61,128.24,127.24,"19,438,300"
"Feb 24, 2020",136.98,137.23,115.40,120.11,119.17,"18,897,100"
"Feb 17, 2020",131.54,138.46,131.17,138.13,137.05,"12,704,800"
"Feb 10, 2020",123.79,131.83,123.10,131.50,130.47,"10,949,800"
"Feb 03, 2020",123.37,125.48,122.72,123.28,122.32,"6,417,400"
"Jan 27, 2020",127.52,130.44,122.40,122.99,122.03,"8,618,700"
"Jan 20, 2020",124.43,129.16,123.80,128.26,127.26,"6,109,600"
"Jan 13, 2020",120.61,124.78,119.76,124.44,123.47,"9,511,100"
"Jan 06, 2020",119.47,120.67,116.76,120.37,119.43,"7,740,100"
"Dec 30, 2019",117.93,120.36,117.08,119.94,119.00,"3,765,300"
"Dec 23, 2019",118.28,118.80,116.26,118.18,117.26,"2,911,600"
"Dec 16, 2019",114.00,120.92,113.25,118.02,117.10,"9,284,400"
"Dec 09, 2019",118.37,119.27,112.32,113.71,111.78,"9,459,100"
"Dec 02, 2019",120.92,120.99,116.73,118.37,116.36,"8,067,200"
"Nov 25, 2019",120.33,121.56,117.81,120.95,118.90,"6,247,800"
"Nov 18, 2019",118.98,122.20,118.87,119.60,117.57,"8,532,400"
"Nov 11, 2019",116.56,118.92,115.75,118.87,116.85,"10,808,600"
"Nov 04, 2019",126.76,126.92,116.18,116.57,114.59,"10,125,100"
"Oct 28, 2019",132.94,134.25,123.25,126.80,124.65,"15,700,800"
"Oct 21, 2019",132.89,136.32,132.39,132.82,130.57,"4,440,200"
"Oct 14, 2019",129.69,133.08,128.59,132.98,130.72,"4,174,900"
"Oct 07, 2019",129.67,131.15,127.63,129.31,127.12,"6,373,900"
"Sep 30, 2019",128.87,130.67,126.16,130.27,128.06,"7,030,400"
"Sep 23, 2019",124.72,129.50,124.72,128.85,126.66,"8,037,100"
"Sep 16, 2019",124.10,129.00,123.78,125.03,122.91,"9,627,800"
"Sep 09, 2019",128.62,129.57,124.00,124.32,121.18,"8,867,500"
"Sep 02, 2019",123.34,128.68,122.79,128.62,125.37,"4,829,100"
"Aug 26, 2019",121.36,124.44,120.26,123.63,120.51,"3,726,900"
"Aug 19, 2019",124.41,125.00,120.27,120.72,117.67,"3,313,600"
"Aug 12, 2019",120.20,124.44,117.95,123.67,120.55,"5,159,300"
"Aug 05, 2019",116.61,120.56,114.18,120.30,117.26,"5,009,400"
"Jul 29, 2019",112.10,117.93,110.84,117.21,114.25,"7,171,300"
"Jul 22, 2019",117.81,118.19,110.89,111.53,108.72,"5,784,400"
"Jul 15, 2019",120.08,120.70,117.50,117.73,114.76,"3,610,400"
"Jul 08, 2019",120.68,122.36,119.64,120.07,117.04,"4,593,800"
"Jul 01, 2019",118.94,121.44,115.85,121.04,117.99,"2,707,100"
"Jun 24, 2019",123.36,124.02,116.95,117.79,114.82,"5,343,800"
"Jun 17, 2019",120.11,125.19,120.11,123.15,120.04,"6,063,200"
"Jun 10, 2019",116.54,120.11,115.49,119.76,115.68,"5,999,700"
"Jun 03, 2019",118.15,120.43,111.90,116.00,112.05,"8,074,500"
"May 27, 2019",120.49,121.00,116.89,117.72,113.71,"3,545,000"
"May 20, 2019",117.65,120.72,115.67,119.98,115.89,"4,260,400"
"May 13, 2019",116.59,118.81,116.13,117.98,113.96,"4,146,800"
"May 06, 2019",120.11,120.42,115.79,117.58,113.58,"5,022,900"
"Apr 29, 2019",116.49,121.01,115.82,120.70,116.59,"7,280,200"
"Apr 22, 2019",120.01,120.41,113.62,116.79,112.81,"7,607,500"
"Apr 15, 2019",122.88,123.02,117.56,120.45,116.35,"3,060,300"
"Apr 08, 2019",122.28,122.76,120.32,122.73,118.55,"4,709,200"
"Apr 01, 2019",119.21,122.75,117.97,122.41,118.24,"4,148,100"
"Mar 25, 2019",118.61,119.99,117.56,119.00,114.95,"5,053,900"
"Mar 18, 2019",115.37,120.93,114.91,119.12,115.06,"4,268,700"
"Mar 11, 2019",112.55,116.80,112.40,115.23,110.27,"5,934,300"
"Mar 04, 2019",115.16,115.24,111.30,111.99,107.17,"7,045,500"
"Feb 25, 2019",118.67,118.82,112.01,114.65,109.71,"9,581,800"
"Feb 18, 2019",115.00,118.98,114.26,118.49,113.39,"7,712,900"
"Feb 11, 2019",112.04,115.11,110.26,115.03,110.08,"7,318,700"
"Feb 04, 2019",108.41,112.46,106.89,112.32,107.49,"10,425,700"
"Jan 28, 2019",103.88,109.43,103.03,108.56,103.89,"6,987,400"
"Jan 21, 2019",106.89,107.26,102.60,104.17,99.69,"6,633,800"
"Jan 14, 2019",106.28,108.27,105.22,107.25,102.63,"5,376,000"
"Jan 07, 2019",105.16,107.75,100.05,106.64,102.05,"9,518,700"
"Dec 31, 2018",106.51,106.91,102.45,104.81,100.30,"5,422,600"
"Dec 24, 2018",105.76,107.34,100.57,106.07,101.50,"6,432,100"
"Dec 17, 2018",114.59,114.59,105.23,106.10,101.53,"8,293,000"
"Dec 10, 2018",116.49,117.87,112.74,114.32,108.44,"5,603,800"
"Dec 03, 2018",115.50,117.44,110.78,115.72,109.77,"4,562,300"
"Nov 26, 2018",109.93,115.13,109.65,115.04,109.13,"6,167,000"
"Nov 19, 2018",111.49,113.34,107.07,109.38,103.76,"4,559,700"
"Nov 12, 2018",110.52,113.22,109.70,111.41,105.68,"7,065,800"
"Nov 05, 2018",107.90,112.48,107.90,110.62,104.93,"6,579,000"
"Oct 29, 2018",106.47,108.02,102.28,107.53,102.00,"12,690,800"
"Oct 22, 2018",113.20,117.03,105.57,106.01,100.56,"11,820,900"
"Oct 15, 2018",107.04,112.91,107.04,112.58,106.79,"6,888,400"
"Oct 08, 2018",109.65,112.52,106.34,107.43,101.91,"8,770,800"
"Oct 01, 2018",112.57,112.90,107.23,109.79,104.15,"6,808,900"
"Sep 24, 2018",119.51,119.51,111.32,112.48,106.70,"17,158,700"
"Sep 17, 2018",121.72,123.16,120.82,120.92,114.70,"5,592,200"
"Sep 10, 2018",123.35,124.16,121.06,121.89,114.67,"4,628,800"
"Sep 03, 2018",124.15,125.00,122.40,122.65,115.39,"3,386,500"
"Aug 27, 2018",124.04,125.10,122.65,124.28,116.92,"3,134,800"
"Aug 20, 2018",124.00,124.72,121.20,123.64,116.32,"3,477,300"
"Aug 13, 2018",121.00,124.11,120.64,124.03,116.69,"3,698,500"
"Aug 06, 2018",122.55,123.13,120.62,120.96,113.80,"4,574,900"
"Jul 30, 2018",121.14,122.99,118.82,122.58,115.32,"6,251,400"
"Jul 23, 2018",115.96,122.53,114.84,121.11,113.94,"7,616,500"
"Jul 16, 2018",116.22,117.30,114.34,116.00,109.13,"5,706,500"
"Jul 09, 2018",115.41,117.43,113.56,116.24,109.36,"5,047,800"
