Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",65.00,65.43,56.51,63.35,63.35,"16,071,700"
"Apr 06, 2020",49.20,69.17,49.00,64.34,64.34,"20,313,900"
"Mar 30, 2020",53.04,59.00,43.11,45.48,45.48,"25,182,200"
"Mar 23, 2020",39.88,67.72,37.15,54.66,54.66,"35,217,200"
"Mar 16, 2020",58.24,58.36,26.15,39.00,39.00,"43,101,200"
"Mar 09, 2020",82.07,82.69,57.27,65.32,65.32,"16,707,500"
"Mar 02, 2020",97.75,100.40,83.79,88.15,88.15,"11,037,900"
"Feb 24, 2020",119.09,119.77,94.23,97.50,97.50,"10,433,900"
"Feb 17, 2020",121.16,121.41,119.01,121.10,121.10,"4,097,700"
"Feb 10, 2020",120.62,124.01,120.24,121.71,121.71,"5,513,300"
"Feb 03, 2020",117.13,121.95,114.88,120.71,120.71,"8,200,800"
"Jan 27, 2020",115.90,119.59,115.83,116.43,116.43,"6,067,800"
"Jan 20, 2020",113.11,117.77,113.01,117.09,117.09,"5,531,100"
"Jan 13, 2020",114.55,114.89,110.73,113.52,113.52,"8,841,300"
"Jan 06, 2020",112.12,115.50,111.63,114.55,113.66,"8,226,300"
"Dec 30, 2019",108.00,112.52,107.49,112.38,111.51,"7,196,400"
"Dec 23, 2019",109.94,109.94,107.30,108.01,107.18,"5,074,500"
"Dec 16, 2019",116.17,116.81,109.03,110.24,109.39,"12,912,400"
"Dec 09, 2019",119.96,119.97,114.95,115.58,114.69,"5,410,200"
"Dec 02, 2019",118.49,119.98,117.05,119.83,118.90,"5,669,900"
"Nov 25, 2019",115.26,119.28,114.71,118.44,117.52,"4,162,000"
"Nov 18, 2019",112.45,115.27,112.29,114.67,113.78,"5,476,700"
"Nov 11, 2019",114.18,114.95,109.75,112.60,111.73,"4,618,400"
"Nov 04, 2019",112.19,114.91,110.66,114.91,114.02,"4,975,700"
"Oct 28, 2019",112.55,113.92,111.31,112.17,111.30,"5,367,700"
"Oct 21, 2019",110.47,112.71,108.57,112.37,111.50,"5,719,300"
"Oct 14, 2019",112.75,112.82,109.09,110.45,109.60,"5,734,700"
"Oct 07, 2019",116.21,116.41,111.59,113.04,111.30,"8,330,600"
"Sep 30, 2019",116.80,118.87,113.98,116.42,114.63,"9,134,400"
"Sep 23, 2019",119.70,121.13,115.54,116.36,114.57,"7,881,000"
"Sep 16, 2019",126.24,128.07,119.05,119.80,117.96,"10,447,600"
"Sep 09, 2019",125.87,128.41,124.94,127.34,125.38,"5,325,800"
"Sep 02, 2019",120.57,127.61,118.62,125.48,123.55,"4,838,700"
"Aug 26, 2019",121.27,122.92,119.04,120.98,119.12,"4,391,100"
"Aug 19, 2019",118.46,122.71,117.36,120.53,118.67,"4,450,300"
"Aug 12, 2019",122.13,122.92,114.64,117.10,115.30,"5,431,200"
"Aug 05, 2019",118.76,123.89,116.37,122.43,120.55,"5,657,500"
"Jul 29, 2019",125.96,126.75,119.85,120.09,118.24,"4,688,600"
"Jul 22, 2019",124.73,126.45,123.00,125.96,124.02,"4,668,800"
"Jul 15, 2019",124.98,125.99,121.26,124.41,122.49,"5,781,300"
"Jul 08, 2019",123.27,125.18,120.71,124.76,121.97,"6,318,500"
"Jul 01, 2019",122.87,123.68,120.32,123.64,120.88,"3,513,800"
"Jun 24, 2019",121.62,123.97,119.27,121.73,119.01,"9,095,800"
"Jun 17, 2019",119.83,121.45,112.50,121.23,118.52,"12,735,600"
"Jun 10, 2019",121.61,122.75,117.13,119.68,117.01,"5,286,100"
"Jun 03, 2019",116.01,122.64,115.39,121.32,118.61,"6,506,800"
"May 27, 2019",120.73,120.99,114.70,116.32,113.72,"6,431,900"
"May 20, 2019",120.16,125.33,119.22,120.13,117.45,"8,494,000"
"May 13, 2019",120.06,122.12,118.02,119.86,117.18,"6,341,500"
"May 06, 2019",116.44,122.02,116.02,121.75,119.03,"5,535,300"
"Apr 29, 2019",121.74,121.88,115.46,117.68,115.05,"6,531,000"
"Apr 22, 2019",116.37,121.88,116.19,121.62,118.90,"7,030,000"
"Apr 15, 2019",116.44,117.11,113.82,116.87,114.26,"5,023,100"
"Apr 08, 2019",119.00,119.53,115.81,116.50,113.18,"4,924,100"
"Apr 01, 2019",122.13,122.36,117.00,118.98,115.59,"6,251,600"
"Mar 25, 2019",117.66,122.37,117.39,121.47,118.01,"7,193,500"
"Mar 18, 2019",111.14,118.20,108.32,117.44,114.10,"10,194,000"
"Mar 11, 2019",107.71,111.39,107.33,110.66,107.51,"5,951,100"
"Mar 04, 2019",111.62,112.86,106.75,107.64,104.58,"6,633,700"
"Feb 25, 2019",112.57,113.38,110.30,111.65,108.47,"4,421,000"
"Feb 18, 2019",112.12,112.12,109.36,111.76,108.58,"3,479,500"
"Feb 11, 2019",109.86,113.19,109.51,112.12,108.93,"4,278,200"
"Feb 04, 2019",105.32,110.20,105.32,109.41,106.30,"6,536,900"
"Jan 28, 2019",106.06,107.85,104.25,104.98,101.99,"5,507,600"
"Jan 21, 2019",108.70,110.08,105.70,106.43,103.40,"4,238,700"
"Jan 14, 2019",107.65,109.20,105.34,109.02,105.92,"5,767,200"
"Jan 07, 2019",101.74,108.20,101.63,107.99,104.17,"7,008,500"
"Dec 31, 2018",98.57,101.69,97.91,101.40,97.81,"6,654,900"
"Dec 24, 2018",98.70,99.90,95.83,98.34,94.86,"4,742,800"
"Dec 17, 2018",102.91,105.92,97.37,99.18,95.67,"15,251,000"
"Dec 10, 2018",104.83,107.05,100.88,103.20,99.55,"9,066,300"
"Dec 03, 2018",111.09,111.48,104.28,104.83,101.12,"6,998,900"
"Nov 26, 2018",112.65,114.15,109.25,110.54,106.63,"7,968,200"
"Nov 19, 2018",111.75,114.05,110.46,111.57,107.62,"3,936,100"
"Nov 12, 2018",113.00,114.09,109.75,111.86,107.90,"8,671,600"
"Nov 05, 2018",105.19,114.46,105.12,112.44,108.46,"11,160,500"
"Oct 29, 2018",105.63,109.00,103.89,105.30,101.58,"8,107,100"
"Oct 22, 2018",106.78,108.06,103.26,103.91,100.23,"5,774,800"
"Oct 15, 2018",106.60,110.92,105.57,106.33,102.57,"6,193,100"
"Oct 08, 2018",108.43,109.34,103.14,106.76,102.27,"7,314,400"
"Oct 01, 2018",111.13,111.18,106.94,108.39,103.83,"7,694,300"
"Sep 24, 2018",111.27,114.22,110.72,111.19,106.51,"7,280,700"
"Sep 17, 2018",118.59,124.00,112.60,112.89,108.14,"11,112,100"
"Sep 10, 2018",117.45,120.93,117.23,119.05,114.04,"4,611,600"
"Sep 03, 2018",116.11,120.20,115.97,119.16,114.15,"4,608,400"
"Aug 27, 2018",114.71,116.62,113.45,116.04,111.16,"3,631,800"
"Aug 20, 2018",113.74,115.31,112.21,114.33,109.52,"4,394,600"
"Aug 13, 2018",109.54,114.06,108.45,113.85,109.06,"4,600,800"
"Aug 06, 2018",109.18,111.70,107.96,109.47,104.87,"4,321,500"
"Jul 30, 2018",106.76,109.73,104.72,108.88,104.30,"5,569,700"
"Jul 23, 2018",110.73,111.56,106.51,106.78,102.29,"8,053,700"
"Jul 16, 2018",110.74,112.81,110.05,110.46,105.82,"5,979,300"
"Jul 09, 2018",110.68,112.32,109.25,112.09,106.65,"8,358,300"
