Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",16.10,16.24,13.21,15.33,15.33,"23,168,500"
"Apr 06, 2020",12.83,17.72,12.64,16.09,16.09,"25,810,200"
"Mar 30, 2020",14.00,14.86,11.35,11.67,11.67,"28,247,400"
"Mar 23, 2020",11.47,16.70,10.27,14.24,13.96,"39,272,700"
"Mar 16, 2020",12.64,13.96,7.90,11.67,11.44,"41,775,800"
"Mar 09, 2020",17.36,18.15,12.97,15.14,14.85,"42,366,100"
"Mar 02, 2020",24.37,24.43,18.71,19.03,18.66,"27,769,100"
"Feb 24, 2020",27.97,28.49,22.89,24.11,23.64,"25,603,500"
"Feb 17, 2020",30.68,30.95,29.00,29.25,28.68,"13,215,900"
"Feb 10, 2020",32.49,32.59,30.00,30.82,30.22,"30,190,800"
"Feb 03, 2020",31.98,35.75,31.89,32.70,32.07,"20,577,800"
"Jan 27, 2020",33.24,34.25,31.38,31.88,31.26,"13,187,800"
"Jan 20, 2020",35.45,36.97,34.20,34.48,33.81,"17,908,100"
"Jan 13, 2020",35.71,35.99,34.48,35.60,34.91,"13,941,300"
"Jan 06, 2020",34.81,36.64,34.63,35.74,35.05,"16,296,700"
"Dec 30, 2019",36.70,38.37,35.22,35.23,34.55,"12,559,400"
"Dec 23, 2019",37.61,37.94,36.52,36.65,35.94,"6,584,200"
"Dec 16, 2019",37.86,38.19,36.18,37.58,36.85,"20,371,300"
"Dec 09, 2019",37.36,37.82,35.50,37.52,36.79,"19,870,400"
"Dec 02, 2019",37.35,37.70,34.72,37.36,36.42,"21,021,300"
"Nov 25, 2019",35.87,37.93,35.51,37.33,36.39,"16,448,200"
"Nov 18, 2019",37.10,37.36,35.30,35.84,34.94,"18,006,600"
"Nov 11, 2019",29.78,37.50,29.17,37.23,36.30,"48,069,300"
"Nov 04, 2019",28.97,30.37,28.48,30.08,29.33,"23,915,200"
"Oct 28, 2019",28.40,28.78,26.98,28.37,27.66,"10,792,500"
"Oct 21, 2019",26.92,28.36,26.83,28.31,27.60,"13,953,100"
"Oct 14, 2019",27.86,29.15,26.44,26.44,25.78,"25,276,700"
"Oct 07, 2019",27.19,28.63,26.02,28.03,27.33,"22,798,700"
"Sep 30, 2019",29.83,30.01,26.53,27.27,26.59,"27,508,000"
"Sep 23, 2019",31.55,32.38,29.17,29.78,29.03,"22,665,800"
"Sep 16, 2019",32.34,33.89,31.35,31.82,31.02,"31,684,500"
"Sep 09, 2019",34.41,36.52,30.10,32.70,31.88,"45,779,800"
"Sep 02, 2019",32.65,34.50,31.33,34.13,33.06,"16,233,600"
"Aug 26, 2019",33.95,34.13,31.10,33.22,32.18,"16,261,100"
"Aug 19, 2019",32.64,35.14,32.64,33.59,32.54,"21,328,900"
"Aug 12, 2019",35.57,35.58,30.11,31.79,30.80,"38,811,300"
"Aug 05, 2019",52.00,52.07,34.61,35.91,34.79,"35,591,200"
"Jul 29, 2019",56.64,56.92,52.57,53.29,51.63,"8,144,600"
"Jul 22, 2019",56.37,57.09,56.19,56.64,54.87,"8,161,400"
"Jul 15, 2019",56.83,57.23,55.58,55.93,54.18,"11,898,800"
"Jul 08, 2019",55.87,57.00,54.38,56.81,55.04,"12,472,800"
"Jul 01, 2019",56.01,56.49,54.98,56.46,54.70,"8,624,600"
"Jun 24, 2019",54.38,55.15,53.23,55.15,53.43,"13,327,400"
"Jun 17, 2019",51.74,54.86,51.74,54.44,52.74,"20,994,800"
"Jun 10, 2019",49.55,52.17,49.55,51.72,50.11,"13,931,400"
"Jun 03, 2019",47.47,49.72,46.46,49.18,47.43,"16,166,100"
"May 27, 2019",53.00,53.09,47.34,47.54,45.85,"18,251,400"
"May 20, 2019",55.45,55.75,51.76,53.08,51.19,"22,761,800"
"May 13, 2019",57.61,58.21,55.97,56.33,54.33,"10,456,900"
"May 06, 2019",61.80,62.66,58.08,59.03,56.93,"8,741,000"
"Apr 29, 2019",65.00,67.09,62.58,63.01,60.77,"5,859,500"
"Apr 22, 2019",64.22,66.36,63.66,65.00,62.69,"4,563,000"
