Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",59.52,59.64,50.37,55.10,55.10,"8,901,300"
"Apr 06, 2020",47.60,61.10,47.29,59.71,59.71,"8,052,300"
"Mar 30, 2020",45.06,48.23,43.77,45.09,45.09,"8,724,600"
"Mar 23, 2020",39.98,50.13,38.12,46.47,46.47,"7,159,400"
"Mar 16, 2020",38.29,43.93,34.44,40.81,40.81,"9,967,000"
"Mar 09, 2020",53.10,56.04,36.55,46.31,45.59,"12,893,300"
"Mar 02, 2020",62.21,64.15,56.57,57.78,56.88,"8,674,700"
"Feb 24, 2020",71.06,71.58,59.31,61.51,60.55,"9,913,200"
"Feb 17, 2020",73.90,74.49,71.78,73.60,72.45,"3,584,600"
"Feb 10, 2020",72.08,76.76,71.90,74.73,73.57,"4,009,700"
"Feb 03, 2020",71.65,75.88,71.17,72.38,71.25,"6,120,200"
"Jan 27, 2020",71.09,73.17,68.58,71.27,70.16,"9,596,900"
"Jan 20, 2020",76.99,77.06,71.62,73.17,72.03,"4,758,200"
"Jan 13, 2020",75.10,77.65,74.86,77.45,76.24,"4,661,900"
"Jan 06, 2020",75.64,76.84,74.18,74.79,73.63,"5,393,700"
"Dec 30, 2019",78.34,80.40,75.93,75.95,74.77,"4,101,100"
"Dec 23, 2019",78.50,79.26,78.05,78.34,77.12,"1,601,200"
"Dec 16, 2019",79.51,80.42,78.49,78.57,77.35,"7,117,400"
"Dec 09, 2019",77.79,80.19,75.93,78.57,76.71,"4,462,200"
"Dec 02, 2019",78.81,79.79,74.97,77.50,75.66,"6,297,400"
"Nov 25, 2019",78.02,79.49,77.55,78.37,76.51,"2,815,700"
"Nov 18, 2019",79.30,79.67,76.51,77.59,75.75,"4,261,500"
"Nov 11, 2019",83.15,83.40,79.35,79.67,77.78,"4,415,400"
"Nov 04, 2019",80.00,83.99,79.65,83.90,81.91,"6,646,600"
"Oct 28, 2019",76.82,79.36,74.88,78.97,77.10,"6,218,900"
"Oct 21, 2019",74.10,77.27,71.71,76.28,74.47,"7,067,800"
"Oct 14, 2019",71.73,74.95,70.97,73.09,71.36,"4,089,900"
"Oct 07, 2019",70.89,73.52,68.64,72.61,70.89,"4,486,400"
"Sep 30, 2019",73.27,74.85,69.12,71.07,69.39,"4,072,000"
"Sep 23, 2019",71.25,73.72,70.47,73.29,71.55,"4,796,600"
"Sep 16, 2019",74.91,75.92,71.40,72.33,70.62,"6,372,600"
"Sep 09, 2019",68.79,75.99,68.65,75.47,73.07,"7,469,000"
"Sep 02, 2019",64.40,68.31,63.65,68.05,65.89,"3,787,100"
"Aug 26, 2019",62.93,66.43,61.22,65.37,63.29,"4,539,700"
"Aug 19, 2019",66.75,67.60,61.54,61.83,59.86,"4,967,300"
