Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",88.73,92.14,85.48,91.56,91.56,"9,743,300"
"Apr 06, 2020",78.01,91.00,77.13,90.10,90.10,"8,971,700"
"Mar 30, 2020",82.64,84.00,74.40,75.06,75.06,"13,558,100"
"Mar 23, 2020",67.69,83.63,60.69,80.96,80.96,"12,831,700"
"Mar 16, 2020",81.34,90.16,67.42,68.34,68.34,"23,041,600"
"Mar 09, 2020",91.40,94.59,73.90,88.53,88.53,"17,939,300"
"Mar 02, 2020",86.61,98.92,86.61,96.36,95.78,"11,843,500"
"Feb 24, 2020",95.87,96.44,84.48,86.46,85.94,"12,241,400"
"Feb 17, 2020",94.13,99.42,93.75,95.96,95.38,"7,848,900"
"Feb 10, 2020",90.70,93.81,90.60,93.66,93.09,"6,040,800"
"Feb 03, 2020",92.64,92.77,89.78,90.58,90.03,"8,660,300"
"Jan 27, 2020",91.68,93.56,91.08,92.44,91.88,"11,105,000"
"Jan 20, 2020",88.93,92.13,88.60,91.81,91.25,"7,567,300"
"Jan 13, 2020",84.49,88.82,84.41,88.73,88.19,"10,324,200"
"Jan 06, 2020",83.05,84.56,82.09,84.41,83.90,"10,099,800"
"Dec 30, 2019",84.11,85.09,82.70,82.86,82.36,"8,455,700"
"Dec 23, 2019",84.70,84.82,83.26,84.32,83.81,"4,728,400"
"Dec 16, 2019",81.48,85.33,81.19,84.59,83.54,"12,489,700"
"Dec 09, 2019",81.26,81.52,80.25,81.34,80.33,"6,787,900"
"Dec 02, 2019",82.32,83.08,81.10,81.20,80.19,"10,779,200"
"Nov 25, 2019",82.25,83.49,81.83,82.64,81.61,"8,190,600"
"Nov 18, 2019",81.67,83.12,81.24,82.23,81.21,"11,351,900"
"Nov 11, 2019",79.38,81.43,78.90,81.27,80.26,"9,416,100"
"Nov 04, 2019",82.61,82.73,78.58,79.41,78.42,"9,023,300"
"Oct 28, 2019",84.82,85.15,82.21,82.79,81.76,"8,772,200"
"Oct 21, 2019",85.65,86.55,85.20,85.31,84.25,"5,982,600"
"Oct 14, 2019",85.79,85.88,83.57,85.60,84.54,"6,316,400"
"Oct 07, 2019",85.31,86.26,84.82,85.57,84.51,"7,203,500"
"Sep 30, 2019",85.50,85.93,84.00,85.61,84.55,"8,944,400"
"Sep 23, 2019",83.35,85.62,83.04,85.34,84.28,"7,227,600"
"Sep 16, 2019",82.60,83.62,82.18,83.26,81.70,"9,495,500"
"Sep 09, 2019",81.82,83.22,80.95,82.38,80.83,"10,368,700"
