Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",79.40,81.24,74.35,79.26,79.26,"11,634,000"
"Apr 06, 2020",75.21,84.84,75.13,81.44,81.44,"14,226,300"
"Mar 30, 2020",74.42,79.04,70.34,71.25,71.25,"18,053,500"
"Mar 23, 2020",63.83,79.31,56.42,74.54,74.54,"22,206,700"
"Mar 16, 2020",75.81,81.28,58.72,64.93,64.93,"25,523,700"
"Mar 09, 2020",85.09,89.52,75.01,85.56,84.82,"26,129,400"
"Mar 02, 2020",91.50,99.26,90.08,92.77,91.97,"23,312,800"
"Feb 24, 2020",101.67,102.65,89.08,90.72,89.94,"24,763,700"
"Feb 17, 2020",104.03,105.78,103.52,104.93,104.02,"8,392,900"
"Feb 10, 2020",101.84,104.97,101.50,103.55,102.65,"10,578,500"
"Feb 03, 2020",95.06,103.50,94.95,101.96,101.08,"16,392,400"
"Jan 27, 2020",94.86,97.48,93.96,94.47,93.65,"15,078,800"
"Jan 20, 2020",95.35,99.82,94.32,96.84,96.00,"14,816,600"
"Jan 13, 2020",94.63,95.95,93.34,95.68,94.85,"11,297,000"
"Jan 06, 2020",94.54,95.64,94.01,94.98,94.16,"13,726,600"
"Dec 30, 2019",94.95,95.88,93.71,95.16,94.34,"6,852,400"
"Dec 23, 2019",94.72,95.39,94.16,94.99,94.17,"5,265,500"
"Dec 16, 2019",94.05,95.46,93.44,94.40,93.58,"13,855,000"
"Dec 09, 2019",92.91,94.96,92.16,93.60,92.79,"11,656,000"
"Dec 02, 2019",92.98,93.76,90.35,93.08,92.27,"12,664,600"
"Nov 25, 2019",91.37,93.12,90.71,92.50,91.70,"8,981,300"
"Nov 18, 2019",90.91,91.67,89.15,90.74,89.95,"10,298,500"
"Nov 11, 2019",90.98,92.96,90.49,91.79,91.00,"9,906,900"
"Nov 04, 2019",89.50,92.37,89.19,92.22,91.42,"10,729,500"
"Oct 28, 2019",86.48,89.45,85.63,88.61,87.14,"13,328,700"
"Oct 21, 2019",83.00,85.91,82.97,85.62,84.20,"8,659,600"
"Oct 14, 2019",80.91,82.91,80.10,82.56,81.19,"12,758,100"
"Oct 07, 2019",79.13,82.81,76.11,81.36,80.01,"10,498,500"
"Sep 30, 2019",83.35,84.05,76.43,79.32,78.00,"9,364,100"
"Sep 23, 2019",82.97,84.43,81.78,83.01,81.63,"10,779,300"
"Sep 16, 2019",86.97,86.99,83.49,83.57,82.18,"10,459,500"
"Sep 09, 2019",83.82,89.07,83.49,87.47,86.02,"12,850,700"
"Sep 02, 2019",79.52,83.49,77.62,83.25,81.87,"9,415,200"
"Aug 26, 2019",77.16,81.29,76.05,80.72,79.38,"9,233,600"
"Aug 19, 2019",78.91,79.36,76.09,76.59,75.32,"11,205,900"
"Aug 12, 2019",78.55,80.37,74.86,77.32,45.70,"13,765,200"
"Aug 05, 2019",77.91,80.02,76.33,79.03,46.71,"12,990,500"
"Jul 29, 2019",81.45,83.94,78.98,79.30,46.46,"15,984,200"
"Jul 22, 2019",80.04,82.86,79.46,81.57,47.79,"10,376,000"
"Jul 15, 2019",81.22,81.41,78.70,79.86,46.79,"10,959,400"
"Jul 08, 2019",81.22,82.22,78.24,81.21,47.58,"12,156,000"
"Jul 01, 2019",84.55,84.70,80.48,81.81,47.93,"7,552,800"
"Jun 24, 2019",82.92,83.48,81.85,83.28,48.79,"13,096,400"
"Jun 17, 2019",78.20,83.74,77.46,83.22,48.76,"14,576,000"
"Jun 10, 2019",79.54,80.56,77.74,78.37,45.92,"7,344,900"
"Jun 03, 2019",74.57,79.40,74.42,79.08,46.33,"9,664,300"
