Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",62.39,63.77,55.83,63.22,63.22,"21,052,100"
"Apr 06, 2020",52.39,66.06,51.15,62.42,62.42,"22,514,200"
"Mar 30, 2020",60.01,61.34,46.15,48.71,48.71,"24,096,900"
"Mar 23, 2020",49.20,70.71,46.29,60.03,60.03,"27,691,800"
"Mar 16, 2020",60.00,63.97,40.76,48.80,48.80,"36,520,200"
"Mar 09, 2020",84.40,89.99,58.56,69.63,69.37,"30,362,900"
"Mar 02, 2020",97.72,98.98,87.99,91.85,91.51,"21,403,300"
"Feb 24, 2020",113.17,114.44,94.62,98.62,98.25,"24,564,100"
"Feb 17, 2020",122.07,124.57,119.29,120.12,119.68,"10,680,700"
"Feb 10, 2020",109.66,124.74,108.19,122.80,122.35,"20,876,600"
"Feb 03, 2020",108.96,112.23,107.38,110.09,109.68,"9,067,500"
"Jan 27, 2020",106.89,110.40,106.28,108.45,108.05,"10,307,600"
"Jan 20, 2020",110.72,114.28,108.81,112.14,111.72,"9,715,800"
"Jan 13, 2020",111.25,112.56,109.58,111.82,111.41,"8,230,000"
"Jan 06, 2020",108.16,111.05,107.80,110.69,110.28,"9,548,900"
"Dec 30, 2019",108.20,111.15,107.30,109.13,108.73,"8,888,400"
"Dec 23, 2019",110.24,110.56,107.96,108.32,107.92,"7,723,000"
"Dec 16, 2019",113.60,114.52,108.01,110.08,109.67,"17,546,400"
"Dec 09, 2019",108.36,114.55,107.65,112.76,112.34,"14,614,300"
"Dec 02, 2019",101.53,109.32,99.18,107.58,107.18,"32,248,800"
"Nov 25, 2019",97.41,102.87,97.26,101.66,101.28,"10,193,600"
"Nov 18, 2019",95.60,96.82,93.53,96.63,95.93,"14,096,000"
"Nov 11, 2019",100.96,100.97,94.10,95.67,94.98,"23,559,400"
"Nov 04, 2019",138.72,138.72,97.05,101.32,100.59,"48,061,600"
"Oct 28, 2019",137.11,138.90,134.96,137.80,136.80,"5,828,500"
"Oct 21, 2019",136.91,139.32,135.53,137.06,136.07,"7,591,700"
"Oct 14, 2019",138.11,139.21,135.46,136.03,135.04,"4,693,800"
"Oct 07, 2019",132.54,139.88,130.39,138.27,137.27,"4,870,700"
"Sep 30, 2019",132.56,135.29,131.31,133.22,132.26,"5,808,500"
"Sep 23, 2019",133.79,134.54,131.01,132.17,131.21,"7,244,600"
"Sep 16, 2019",131.54,135.98,129.85,134.18,133.21,"8,617,600"
"Sep 09, 2019",130.49,133.02,128.23,132.30,131.34,"7,103,700"
"Sep 02, 2019",129.06,133.81,127.98,131.71,130.76,"4,892,900"
"Aug 26, 2019",128.65,131.74,127.04,130.10,129.16,"5,499,500"
