Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",8.93,8.95,7.32,8.12,8.12,"15,894,500"
"Apr 06, 2020",7.36,9.20,7.26,8.40,8.40,"18,281,000"
"Mar 30, 2020",6.58,7.91,6.30,7.17,7.17,"27,106,700"
"Mar 23, 2020",7.80,7.83,6.00,7.11,6.96,"36,684,400"
"Mar 16, 2020",5.42,6.87,4.49,6.30,6.17,"62,513,300"
"Mar 09, 2020",10.39,10.65,6.21,7.14,6.99,"52,217,800"
"Mar 02, 2020",14.61,15.20,12.40,12.60,12.34,"32,242,900"
"Feb 24, 2020",16.05,16.34,14.34,14.84,14.53,"40,720,300"
"Feb 17, 2020",16.81,17.50,16.65,16.95,16.60,"14,117,800"
"Feb 10, 2020",16.54,18.03,16.17,17.26,16.90,"20,924,800"
"Feb 03, 2020",16.61,17.95,16.54,16.82,16.47,"25,134,700"
"Jan 27, 2020",17.49,17.67,15.74,16.51,16.17,"32,779,800"
"Jan 20, 2020",19.75,19.77,17.84,17.97,17.60,"18,555,200"
"Jan 13, 2020",21.03,21.39,19.64,19.79,19.38,"20,194,500"
"Jan 06, 2020",21.62,21.84,20.37,21.01,20.58,"16,757,800"
"Dec 30, 2019",21.09,21.64,20.94,21.58,21.13,"10,795,600"
"Dec 23, 2019",20.53,21.38,20.51,20.94,20.51,"7,372,900"
"Dec 16, 2019",20.24,20.64,19.89,20.51,20.09,"18,828,600"
"Dec 09, 2019",18.88,20.39,18.81,20.00,19.59,"15,860,100"
"Dec 02, 2019",18.87,19.30,18.42,19.00,18.61,"20,476,000"
"Nov 25, 2019",19.07,19.70,18.70,18.84,18.45,"13,206,500"
"Nov 18, 2019",19.94,19.94,19.14,19.23,18.71,"14,721,700"
"Nov 11, 2019",20.49,20.63,19.63,20.29,19.74,"12,746,300"
"Nov 04, 2019",20.86,21.28,20.17,20.60,20.05,"17,106,800"
"Oct 28, 2019",21.56,21.61,19.54,20.51,19.96,"24,230,100"
"Oct 21, 2019",23.07,23.74,20.34,21.36,20.79,"30,646,900"
"Oct 14, 2019",23.13,23.66,22.78,22.90,22.28,"14,813,400"
"Oct 07, 2019",23.15,23.63,22.31,23.47,22.84,"14,640,500"
"Sep 30, 2019",23.89,24.24,22.45,23.13,22.51,"18,179,700"
"Sep 23, 2019",24.09,24.62,23.43,24.18,23.53,"25,721,700"
"Sep 16, 2019",26.48,26.53,23.90,24.39,23.73,"26,088,600"
