Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,39.740002,40.070000,38.930000,39.580002,31.941751,6547400
2012-01-08,39.740002,42.070000,39.240002,42.029999,33.918938,10943500
2012-01-15,42.560001,42.820000,41.380001,41.959999,33.862442,7167400
2012-01-22,41.910000,45.630001,40.970001,44.340000,35.783142,15863900
2012-01-29,43.889999,46.180000,43.450001,46.110001,37.211571,9517600
2012-02-05,45.750000,47.189999,45.020000,46.090000,37.195423,8474500
2012-02-12,46.459999,46.689999,45.230000,46.049999,37.163155,7526700
2012-02-19,46.119999,47.860001,45.560001,47.040001,38.091515,7288200
2012-02-26,46.549999,47.590000,46.080002,46.860001,37.945759,5825800
2012-03-04,46.599998,46.959999,44.900002,46.880001,37.961948,6424200
2012-03-11,47.090000,50.320000,46.930000,49.389999,39.994476,11012700
2012-03-18,49.110001,50.009998,47.900002,49.060001,39.727242,6993600
2012-03-25,49.639999,50.959999,48.160000,49.080002,39.743450,10361400
2012-04-01,49.160000,50.090000,48.060001,48.389999,39.184708,6423600
2012-04-08,47.549999,48.630001,46.599998,48.160000,38.998455,9806000
2012-04-15,48.279999,52.029999,47.730000,51.700001,41.865025,12511800
2012-04-22,50.529999,53.980000,49.740002,52.889999,42.828655,18623200
2012-04-29,52.750000,54.320000,51.770000,51.889999,42.018887,12104600
2012-05-06,51.840000,51.990002,48.040001,48.790001,39.508614,14479900
2012-05-13,48.200001,48.430000,45.000000,45.270000,36.658222,13000200
2012-05-20,45.299999,48.410000,45.009998,47.520000,38.480202,10532300
2012-05-27,47.980000,48.610001,45.840000,46.270000,37.467991,9273700
2012-06-03,46.270000,49.730000,45.160000,48.660000,39.532288,9609500
2012-06-10,49.540001,49.740002,47.560001,49.009998,39.816628,10985500
2012-06-17,48.790001,50.889999,48.330002,49.080002,39.873512,8176000
2012-06-24,48.560001,48.560001,43.790001,45.730000,37.151890,14594600
2012-07-01,46.119999,47.320000,45.360001,46.119999,37.468746,6452100
2012-07-08,45.919998,47.619999,42.910000,43.950001,35.705799,13703300
2012-07-15,43.860001,45.180000,42.959999,43.910000,35.673302,8768400
2012-07-22,43.020000,44.869999,41.830002,44.639999,36.266373,9302500
2012-07-29,44.730000,45.200001,37.840000,42.389999,34.438419,24814100
2012-08-05,42.549999,42.619999,40.869999,41.360001,33.601627,12431800
