Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",47.62,50.75,46.60,50.51,50.51,"13,001,100"
"Apr 06, 2020",48.68,49.00,46.57,47.54,47.31,"10,710,400"
"Mar 30, 2020",45.73,49.17,45.30,48.38,48.14,"14,683,100"
"Mar 23, 2020",45.30,46.23,41.70,44.96,44.74,"20,608,700"
"Mar 16, 2020",39.80,51.53,39.31,45.12,44.90,"34,402,800"
"Mar 09, 2020",42.18,44.34,39.01,42.40,42.19,"18,770,800"
"Mar 02, 2020",41.86,45.05,41.76,43.95,43.73,"14,873,700"
"Feb 24, 2020",44.16,45.35,40.14,41.60,41.40,"15,893,700"
"Feb 17, 2020",48.40,48.73,44.73,44.77,44.55,"12,350,700"
"Feb 10, 2020",47.08,48.86,47.00,48.58,48.34,"7,810,100"
"Feb 03, 2020",47.41,47.98,46.51,47.09,46.86,"11,185,200"
"Jan 27, 2020",47.15,48.01,46.69,47.26,47.03,"12,095,800"
"Jan 20, 2020",46.34,47.37,46.33,47.23,47.00,"10,862,900"
"Jan 13, 2020",45.02,46.70,45.00,46.30,46.07,"12,048,600"
"Jan 06, 2020",44.30,45.25,44.13,44.90,44.45,"10,968,800"
"Dec 30, 2019",45.11,45.44,44.01,44.25,43.80,"7,055,700"
"Dec 23, 2019",45.06,45.53,44.86,45.26,44.80,"6,298,000"
"Dec 16, 2019",44.93,45.20,44.15,44.96,44.51,"14,285,800"
"Dec 09, 2019",45.36,45.77,44.85,44.90,44.45,"9,089,900"
"Dec 02, 2019",44.44,45.84,44.31,45.34,44.88,"14,141,000"
"Nov 25, 2019",42.54,45.21,42.36,44.53,44.08,"20,562,300"
"Nov 18, 2019",42.37,43.21,42.21,42.31,41.88,"8,520,800"
"Nov 11, 2019",41.91,42.41,41.33,42.38,41.95,"6,983,700"
"Nov 04, 2019",41.30,41.98,41.15,41.97,41.55,"9,314,300"
"Oct 28, 2019",40.70,41.40,40.24,41.26,40.84,"8,444,100"
"Oct 21, 2019",40.81,40.95,40.40,40.57,40.16,"6,978,000"
"Oct 14, 2019",41.27,41.42,40.26,40.81,40.19,"10,570,400"
"Oct 07, 2019",43.54,43.88,41.12,41.16,40.53,"15,160,800"
"Sep 30, 2019",43.61,43.99,42.61,43.74,43.07,"10,423,800"
"Sep 23, 2019",43.03,43.73,42.58,43.54,42.88,"10,587,200"
"Sep 16, 2019",42.84,43.69,42.41,42.94,42.29,"9,064,700"
"Sep 09, 2019",42.68,44.73,42.39,42.98,42.33,"13,777,000"
"Sep 02, 2019",42.42,43.14,42.18,42.60,41.95,"9,028,400"
"Aug 26, 2019",42.27,43.00,41.73,42.61,41.96,"10,845,300"
"Aug 19, 2019",41.67,43.09,40.63,42.00,41.36,"19,120,000"
"Aug 12, 2019",41.60,42.41,40.68,41.45,40.82,"12,152,000"
"Aug 05, 2019",41.37,42.16,40.16,41.71,41.08,"17,087,500"
"Jul 29, 2019",41.38,42.04,40.56,41.36,40.73,"11,682,700"
"Jul 22, 2019",41.22,41.65,40.06,41.38,40.75,"10,257,800"
"Jul 15, 2019",41.00,41.94,40.85,41.26,40.63,"8,526,200"
"Jul 08, 2019",41.52,41.69,40.80,41.01,40.18,"9,495,300"
"Jul 01, 2019",40.73,41.98,40.54,41.50,40.66,"6,302,800"
"Jun 24, 2019",41.50,42.28,39.68,40.54,39.72,"17,240,900"
"Jun 17, 2019",41.45,41.75,40.31,41.41,40.57,"12,062,200"
"Jun 10, 2019",42.03,42.20,41.27,41.43,40.59,"11,895,100"
"Jun 03, 2019",39.49,42.23,39.40,42.05,41.20,"12,508,800"
"May 27, 2019",40.64,41.08,38.44,39.49,38.69,"15,248,800"
"May 20, 2019",39.87,40.54,37.00,40.27,39.46,"27,038,300"
"May 13, 2019",39.36,40.32,39.24,39.79,38.99,"15,427,600"
"May 06, 2019",39.51,40.03,38.69,39.86,39.05,"14,478,700"
"Apr 29, 2019",39.86,40.10,38.81,39.68,38.88,"13,435,500"
"Apr 22, 2019",40.28,40.68,38.78,39.94,39.13,"18,247,400"
"Apr 15, 2019",41.25,41.50,40.07,40.39,39.57,"12,631,600"
"Apr 08, 2019",41.87,42.38,40.91,41.15,40.11,"12,102,700"
"Apr 01, 2019",44.68,44.73,41.52,41.93,40.87,"14,410,300"
"Mar 25, 2019",43.45,44.83,43.22,44.76,43.63,"10,220,900"
"Mar 18, 2019",42.40,43.89,42.18,43.59,42.49,"11,197,600"
"Mar 11, 2019",42.80,43.06,42.24,42.56,41.49,"14,172,200"
"Mar 04, 2019",43.50,43.70,42.57,42.99,41.91,"9,697,000"
"Feb 25, 2019",43.00,43.56,41.90,43.39,42.30,"15,201,600"
"Feb 18, 2019",43.27,43.48,41.04,42.91,41.83,"16,012,300"
"Feb 11, 2019",43.15,43.95,42.93,43.20,42.11,"14,559,500"
"Feb 04, 2019",42.00,42.96,41.57,42.94,41.86,"12,150,600"
"Jan 28, 2019",41.50,42.50,41.35,42.00,40.94,"13,751,000"
"Jan 21, 2019",43.90,43.95,41.22,41.46,40.42,"12,619,300"
"Jan 14, 2019",42.45,43.86,42.13,43.84,42.74,"12,041,200"
"Jan 07, 2019",41.62,43.31,41.31,42.54,41.27,"17,645,900"
"Dec 31, 2018",42.46,42.81,41.09,41.70,40.45,"13,134,300"
"Dec 24, 2018",42.54,43.05,40.91,42.37,41.10,"10,101,300"
"Dec 17, 2018",44.55,44.63,42.22,42.54,41.27,"21,601,100"
"Dec 10, 2018",44.50,45.40,43.76,44.57,43.24,"14,173,200"
"Dec 03, 2018",45.11,45.70,43.97,44.34,43.01,"13,387,600"
"Nov 26, 2018",45.79,46.10,43.60,45.09,43.74,"22,547,000"
"Nov 19, 2018",45.90,46.26,43.34,45.67,44.30,"16,972,600"
"Nov 12, 2018",45.03,46.05,44.48,45.89,44.52,"14,708,700"
"Nov 05, 2018",43.29,45.13,43.22,45.02,43.67,"13,930,600"
"Oct 29, 2018",41.61,43.98,41.58,43.20,41.91,"20,101,100"
"Oct 22, 2018",41.95,42.99,40.61,41.17,39.94,"18,827,200"
"Oct 15, 2018",39.71,41.85,39.71,41.73,40.30,"10,334,600"
"Oct 08, 2018",39.70,41.10,39.29,39.69,38.33,"15,680,900"
"Oct 01, 2018",39.47,40.05,39.15,39.70,38.34,"8,316,100"
"Sep 24, 2018",40.04,40.20,38.79,39.40,38.05,"8,448,700"
"Sep 17, 2018",41.25,41.50,39.39,40.01,38.64,"15,024,600"
"Sep 10, 2018",41.39,42.29,41.33,41.90,40.46,"12,164,200"
"Sep 03, 2018",39.14,41.49,39.14,41.29,39.87,"12,607,700"
"Aug 27, 2018",38.05,39.23,37.78,39.15,37.81,"11,202,600"
"Aug 20, 2018",38.69,39.15,36.25,37.96,36.66,"21,122,500"
"Aug 13, 2018",37.25,38.65,36.87,38.64,37.31,"15,424,000"
"Aug 06, 2018",37.21,37.37,36.78,37.09,35.82,"6,840,200"
"Jul 30, 2018",35.81,37.35,35.44,37.02,35.75,"13,147,800"
"Jul 23, 2018",37.26,37.40,35.69,36.65,35.39,"11,034,200"
"Jul 16, 2018",37.56,37.56,36.01,37.25,35.97,"12,104,900"
