Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",13.16,13.38,10.34,11.65,11.65,"34,999,000"
"Apr 06, 2020",13.04,14.16,12.01,13.25,13.25,"21,605,800"
"Mar 30, 2020",15.40,15.40,11.85,12.54,12.54,"11,016,000"
"Mar 23, 2020",-,-,-,-,-,-
"Mar 16, 2020",-,-,-,-,-,-
"Mar 09, 2020",-,-,-,-,-,-
"Mar 02, 2020",-,-,-,-,-,-
"Feb 24, 2020",-,-,-,-,-,-
"Feb 17, 2020",-,-,-,-,-,-
"Feb 10, 2020",-,-,-,-,-,-
"Feb 03, 2020",-,-,-,-,-,-
"Jan 27, 2020",-,-,-,-,-,-
"Jan 20, 2020",-,-,-,-,-,-
"Jan 13, 2020",-,-,-,-,-,-
"Jan 06, 2020",-,-,-,-,-,-
"Dec 30, 2019",-,-,-,-,-,-
"Dec 23, 2019",-,-,-,-,-,-
"Dec 16, 2019",-,-,-,-,-,-
"Dec 09, 2019",-,-,-,-,-,-
"Dec 02, 2019",-,-,-,-,-,-
"Nov 25, 2019",-,-,-,-,-,-
"Nov 18, 2019",-,-,-,-,-,-
"Nov 11, 2019",-,-,-,-,-,-
"Nov 04, 2019",-,-,-,-,-,-
"Oct 28, 2019",-,-,-,-,-,-
"Oct 21, 2019",27.13,27.68,26.88,27.64,27.64,"10,706,100"
"Oct 14, 2019",26.79,27.92,26.69,27.01,27.01,"13,644,600"
"Oct 07, 2019",24.85,26.79,24.54,26.45,26.45,"12,450,900"
"Sep 30, 2019",24.17,24.50,23.74,24.49,24.49,"5,079,000"
