Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",254.73,268.29,246.40,265.16,265.16,"2,170,700"
"Apr 06, 2020",246.26,264.99,243.37,258.58,258.58,"2,920,500"
"Mar 30, 2020",235.90,256.65,226.02,234.55,234.55,"4,654,400"
"Mar 23, 2020",181.96,237.05,168.65,231.75,231.75,"4,942,800"
"Mar 16, 2020",231.94,240.23,180.19,183.29,183.29,"7,563,800"
"Mar 09, 2020",236.10,256.00,225.75,254.17,254.17,"4,986,100"
"Mar 02, 2020",254.93,263.73,242.75,249.89,249.89,"3,115,800"
"Feb 24, 2020",274.47,275.61,238.04,254.51,254.51,"4,053,000"
"Feb 17, 2020",288.38,296.25,276.79,278.11,278.11,"2,329,200"
"Feb 10, 2020",277.94,289.01,276.94,288.78,288.78,"1,526,500"
"Feb 03, 2020",276.08,285.96,272.81,278.40,278.40,"2,354,800"
"Jan 27, 2020",277.15,289.96,269.49,271.01,271.01,"2,718,800"
"Jan 20, 2020",284.64,290.14,279.18,280.77,280.77,"1,855,700"
"Jan 13, 2020",281.75,291.50,279.83,285.80,285.80,"2,421,300"
"Jan 06, 2020",263.90,283.74,261.32,281.64,281.64,"2,860,500"
"Dec 30, 2019",264.12,266.39,259.90,264.77,264.77,"1,563,400"
"Dec 23, 2019",263.34,265.93,259.67,263.98,263.98,"1,221,500"
"Dec 16, 2019",253.82,261.92,252.52,261.55,261.55,"2,863,900"
"Dec 09, 2019",251.10,256.35,248.55,252.90,252.90,"2,364,800"
"Dec 02, 2019",251.33,255.71,246.74,251.37,251.37,"2,213,800"
"Nov 25, 2019",256.87,259.09,249.36,251.58,251.58,"2,784,400"
"Nov 18, 2019",259.79,266.45,255.36,257.02,257.02,"2,595,200"
"Nov 11, 2019",253.58,262.07,251.60,259.78,259.78,"2,416,300"
"Nov 04, 2019",278.86,282.29,254.42,254.74,254.74,"3,234,700"
"Oct 28, 2019",267.91,294.57,264.48,276.87,276.87,"2,912,700"
"Oct 21, 2019",285.44,285.45,266.71,268.29,268.29,"1,624,500"
"Oct 14, 2019",277.35,283.44,275.02,282.83,282.83,"1,163,900"
"Oct 07, 2019",274.92,279.04,265.90,276.80,276.80,"1,286,900"
"Sep 30, 2019",272.48,277.18,264.07,276.60,276.60,"2,179,700"
"Sep 23, 2019",272.40,279.44,270.42,272.48,272.48,"2,015,700"
"Sep 16, 2019",262.91,276.54,261.86,274.17,274.17,"1,812,600"
"Sep 09, 2019",289.05,289.05,257.01,265.47,265.47,"2,467,100"
"Sep 02, 2019",288.89,291.64,283.53,288.47,288.47,"1,361,500"
"Aug 26, 2019",273.84,291.05,272.50,289.74,289.74,"2,230,400"
"Aug 19, 2019",278.77,284.15,269.23,270.44,270.44,"1,383,400"
"Aug 12, 2019",278.12,281.13,269.76,275.41,275.41,"1,801,500"
"Aug 05, 2019",264.13,280.55,256.27,278.86,278.86,"2,454,600"
"Jul 29, 2019",284.33,286.88,259.73,268.71,268.71,"2,613,800"
"Jul 22, 2019",285.88,289.83,282.20,283.94,283.94,"1,396,200"
"Jul 15, 2019",284.47,292.17,282.18,284.69,284.69,"1,518,000"
"Jul 08, 2019",277.58,285.86,274.54,284.24,284.24,"1,934,000"
"Jul 01, 2019",278.25,281.30,273.39,278.49,278.49,"1,473,100"
"Jun 24, 2019",274.81,276.00,268.53,275.33,275.33,"1,764,400"
"Jun 17, 2019",267.85,278.61,265.50,273.93,273.93,"1,828,400"
"Jun 10, 2019",266.04,271.34,261.55,267.74,267.74,"1,518,100"
"Jun 03, 2019",250.05,265.90,245.00,264.92,264.92,"1,907,500"
"May 27, 2019",256.10,258.45,243.86,249.77,249.77,"1,861,100"
"May 20, 2019",247.92,258.42,245.84,256.11,256.11,"1,796,700"
"May 13, 2019",242.90,255.30,240.56,249.56,249.56,"2,338,200"
"May 06, 2019",245.33,252.34,240.84,247.83,247.83,"2,796,500"
"Apr 29, 2019",231.67,251.38,229.01,250.47,250.47,"3,154,800"
"Apr 22, 2019",216.82,233.06,216.82,232.47,232.47,"2,122,700"
"Apr 15, 2019",225.84,228.20,214.25,218.49,218.49,"1,617,000"
"Apr 08, 2019",226.83,228.59,221.50,225.32,225.32,"2,517,400"
"Apr 01, 2019",225.52,228.98,222.70,227.77,227.77,"2,166,500"
"Mar 25, 2019",219.31,224.20,215.39,223.60,223.60,"1,862,600"
"Mar 18, 2019",216.65,226.15,213.34,219.43,219.43,"2,479,800"
"Mar 11, 2019",202.93,216.35,201.67,216.21,216.21,"2,819,700"
"Mar 04, 2019",217.75,217.89,198.75,201.74,201.74,"2,898,900"
"Feb 25, 2019",210.44,216.85,206.36,215.93,215.93,"2,349,200"
"Feb 18, 2019",210.09,212.50,204.78,209.18,209.18,"2,071,300"
"Feb 11, 2019",208.41,211.47,205.21,210.26,210.26,"2,126,000"
"Feb 04, 2019",205.50,209.75,202.18,207.74,207.74,"2,521,800"
"Jan 28, 2019",207.85,214.50,201.59,205.38,205.38,"3,382,300"
"Jan 21, 2019",199.64,209.49,198.47,208.85,208.85,"1,944,500"
"Jan 14, 2019",191.89,200.98,189.69,200.87,200.87,"3,359,900"
"Jan 07, 2019",187.92,194.50,184.52,192.91,192.91,"2,427,000"
"Dec 31, 2018",187.45,188.99,176.11,187.43,187.43,"2,683,200"
"Dec 24, 2018",183.82,189.35,176.15,185.88,185.88,"2,091,600"
"Dec 17, 2018",189.47,192.98,180.00,184.94,184.94,"4,493,900"
"Dec 10, 2018",190.17,202.80,188.99,190.27,190.27,"2,512,700"
"Dec 03, 2018",206.25,207.75,188.56,190.01,190.01,"2,824,200"
"Nov 26, 2018",194.05,204.37,192.59,203.76,203.76,"2,245,200"
"Nov 19, 2018",201.30,201.30,188.75,192.65,192.65,"1,703,500"
"Nov 12, 2018",206.24,207.23,193.37,201.37,201.37,"2,366,100"
"Nov 05, 2018",205.44,212.18,198.40,207.17,207.17,"2,722,200"
"Oct 29, 2018",206.75,216.11,190.00,204.91,204.91,"4,830,100"
"Oct 22, 2018",218.30,220.99,200.85,203.45,203.45,"3,367,900"
"Oct 15, 2018",221.90,229.10,216.86,218.40,218.40,"2,218,700"
"Oct 08, 2018",228.44,229.94,212.55,222.42,222.42,"3,208,400"
"Oct 01, 2018",250.00,252.69,226.28,229.24,229.24,"2,320,600"
"Sep 24, 2018",239.66,250.68,239.01,249.66,249.66,"1,743,400"
"Sep 17, 2018",247.72,248.86,239.26,241.13,241.13,"2,812,200"
"Sep 10, 2018",244.50,249.89,241.32,247.94,247.94,"2,175,700"
"Sep 03, 2018",253.37,254.28,241.92,242.55,242.55,"2,151,400"
"Aug 27, 2018",250.67,256.22,248.64,254.04,254.04,"1,933,700"
"Aug 20, 2018",244.83,251.30,240.73,249.50,249.50,"2,081,900"
"Aug 13, 2018",243.65,245.47,238.44,243.50,243.50,"1,599,000"
"Aug 06, 2018",242.06,249.18,240.56,243.52,243.52,"2,098,300"
"Jul 30, 2018",240.64,245.25,227.79,242.64,242.64,"3,211,200"
"Jul 23, 2018",248.29,252.49,239.35,241.27,241.27,"2,173,500"
"Jul 16, 2018",238.98,248.65,236.54,248.14,248.14,"1,815,400"
"Jul 09, 2018",226.43,238.72,226.43,238.15,238.15,"2,169,400"
"Jul 02, 2018",216.83,225.94,215.28,225.53,225.53,"1,313,100"
"Jun 25, 2018",222.03,223.75,211.66,217.94,217.94,"2,036,600"
"Jun 18, 2018",226.17,227.39,220.64,222.90,222.90,"1,915,900"
"Jun 11, 2018",219.72,229.01,218.66,227.90,227.90,"2,002,900"
"Jun 04, 2018",215.89,221.10,214.07,219.72,219.72,"2,036,300"
"May 28, 2018",201.94,216.96,201.54,215.36,215.36,"2,333,900"
"May 21, 2018",202.43,205.00,199.44,203.70,203.70,"1,950,900"
