Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,15.050000,16.379999,14.720000,16.299999,16.299999,5938800
2012-01-08,16.309999,16.879999,15.580000,16.870001,16.870001,9883500
2012-01-15,16.990000,18.000000,16.770000,17.280001,17.280001,7517300
2012-01-22,17.980000,19.000000,17.340000,17.920000,17.920000,13938900
2012-01-29,17.820000,18.430000,17.330000,17.660000,17.660000,7753800
2012-02-05,17.639999,18.200001,16.900000,16.959999,16.959999,7308400
2012-02-12,17.160000,18.879999,16.799999,17.570000,17.570000,12415400
2012-02-19,17.610001,17.740000,16.330000,16.940001,16.940001,4653400
2012-02-26,16.750000,17.860001,16.370001,17.540001,17.540001,7866700
2012-03-04,17.410000,17.719999,16.320000,17.160000,17.160000,6130800
2012-03-11,17.120001,18.200001,16.480000,18.080000,18.080000,6044800
2012-03-18,17.980000,19.940001,17.910000,19.799999,19.799999,8314100
2012-03-25,19.980000,20.600000,19.200001,19.299999,19.299999,6037700
2012-04-01,19.290001,19.870001,18.910000,19.590000,19.590000,3077500
2012-04-08,19.219999,19.250000,17.520000,17.650000,17.650000,5030900
2012-04-15,17.670000,19.500000,17.080000,19.430000,19.430000,5991400
2012-04-22,19.139999,23.010000,18.309999,22.940001,22.940001,14146000
2012-04-29,22.850000,23.230000,22.230000,22.379999,22.379999,11634400
2012-05-06,22.290001,24.299999,21.740000,23.340000,23.340000,8190600
2012-05-13,23.080000,23.850000,21.430000,21.750000,21.750000,7808400
2012-05-20,21.900000,23.650000,21.639999,22.410000,22.410000,6459800
2012-05-27,22.680000,23.090000,20.500000,20.520000,20.520000,5891000
2012-06-03,20.760000,23.620001,20.250000,22.780001,22.780001,10283600
2012-06-10,23.110001,23.190001,21.120001,22.650000,22.650000,8384600
2012-06-17,22.370001,23.959999,22.370001,23.340000,23.340000,15974900
2012-06-24,23.100000,23.370001,22.000000,22.700001,22.700001,5352600
2012-07-01,22.760000,25.540001,22.650000,25.320000,25.320000,5678800
2012-07-08,25.219999,26.299999,23.959999,25.469999,25.469999,8470200
2012-07-15,25.500000,25.969999,24.360001,24.549999,24.549999,4468600
2012-07-22,24.290001,25.760000,23.670000,25.600000,25.600000,4272000
2012-07-29,25.559999,26.150000,17.750000,18.480000,18.480000,22819300
2012-08-05,18.469999,18.820000,17.469999,18.209999,18.209999,13061400
2012-08-12,18.120001,19.030001,17.830000,18.940001,18.940001,6342300
2012-08-19,18.860001,20.110001,18.260000,20.040001,20.040001,5912200
2012-08-26,20.120001,20.530001,19.510000,20.010000,20.010000,5751600
2012-09-02,20.010000,20.040001,18.230000,18.330000,18.330000,7343300
2012-09-09,18.340000,18.370001,17.280001,17.879999,17.879999,11091900
2012-09-16,17.830000,20.000000,17.719999,19.950001,19.950001,7831600
2012-09-23,19.750000,19.780001,17.320000,18.049999,18.049999,7047200
2012-09-30,18.129999,18.410000,17.799999,18.360001,18.360001,4955400
2012-10-07,18.209999,18.629999,16.620001,16.750000,16.750000,5889500
2012-10-14,16.809999,18.270000,16.750000,17.219999,17.219999,4976000
2012-10-21,17.219999,17.270000,15.890000,16.180000,16.180000,7061500
2012-10-28,16.200001,17.809999,15.430000,17.040001,17.040001,7339900
2012-11-04,17.090000,18.190001,16.309999,16.850000,16.850000,6711700
2012-11-11,16.910000,17.350000,15.900000,16.950001,16.950001,4402400
2012-11-18,17.090000,18.320000,17.049999,18.299999,18.299999,3635000
2012-11-25,18.280001,18.320000,17.410000,17.600000,17.600000,4252800
2012-12-02,17.670000,18.000000,17.459999,17.860001,17.860001,4634300
2012-12-09,17.870001,18.410000,15.780000,16.040001,16.040001,12227700
2012-12-16,16.070000,16.760000,15.830000,16.350000,16.350000,5780500
2012-12-23,16.309999,16.389999,15.840000,16.070000,16.070000,2746100
2012-12-30,16.080000,17.370001,15.990000,17.280001,17.280001,6096200
2013-01-06,17.309999,19.600000,16.719999,18.200001,18.200001,11438700
2013-01-13,18.760000,19.840000,18.520000,19.180000,19.180000,7428800
2013-01-20,19.180000,19.230000,18.040001,18.700001,18.700001,9072500
2013-01-27,18.790001,18.900000,17.770000,18.440001,18.440001,6072000
2013-02-03,18.389999,18.600000,17.440001,18.320000,18.320000,5191000
2013-02-10,18.330000,22.820000,18.160000,22.000000,22.000000,16009300
2013-02-17,21.990000,22.230000,20.700001,21.040001,21.040001,10248700
2013-02-24,21.230000,22.790001,20.500000,22.459999,22.459999,5487000
2013-03-03,22.330000,23.650000,21.889999,23.530001,23.530001,5388400
2013-03-10,23.480000,25.290001,23.030001,24.840000,24.840000,8458000
2013-03-17,21.820000,24.000000,21.610001,22.570000,22.570000,14985000
2013-03-24,22.410000,23.440001,21.469999,23.410000,23.410000,3878300
2013-03-31,23.420000,23.450001,21.010000,21.370001,21.370001,5778600
2013-04-07,21.459999,22.670000,21.080000,21.920000,21.920000,4453600
2013-04-14,21.780001,22.040001,20.590000,21.700001,21.700001,4710600
2013-04-21,21.740000,22.840000,20.969999,22.500000,22.500000,4334500
2013-04-28,22.570000,22.889999,20.900000,22.240000,22.240000,5624600
2013-05-05,22.100000,23.360001,21.500000,23.290001,23.290001,3126000
2013-05-12,23.360001,24.860001,22.620001,23.040001,23.040001,5815100
2013-05-19,23.020000,23.879999,21.559999,23.000000,23.000000,8120000
2013-05-26,23.080000,23.889999,22.170000,22.170000,22.170000,2977100
2013-06-02,22.309999,22.530001,20.160000,21.400000,21.400000,5928800
2013-06-09,21.440001,21.940001,19.730000,21.170000,21.170000,7895800
2013-06-16,21.350000,21.700001,18.850000,19.070000,19.070000,7166600
