Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",135.63,145.90,131.24,139.36,139.36,"5,793,100"
"Apr 06, 2020",129.89,142.14,129.47,136.60,136.60,"7,629,700"
"Mar 30, 2020",128.36,131.87,115.90,123.00,123.00,"7,682,700"
"Mar 23, 2020",105.74,138.97,96.23,127.96,127.96,"8,981,700"
"Mar 16, 2020",115.06,126.22,92.86,108.52,108.52,"7,988,600"
"Mar 09, 2020",135.41,136.31,109.85,127.61,127.61,"11,828,700"
"Mar 02, 2020",151.57,159.61,144.73,147.08,146.70,"9,010,000"
"Feb 24, 2020",169.37,170.71,143.22,150.68,150.29,"8,307,800"
"Feb 17, 2020",173.53,178.59,173.32,174.23,173.78,"2,984,200"
"Feb 10, 2020",170.85,175.08,168.78,173.64,173.19,"4,348,100"
"Feb 03, 2020",169.88,175.10,169.18,171.86,171.41,"4,591,200"
"Jan 27, 2020",163.55,170.89,163.28,168.69,168.25,"5,248,200"
"Jan 20, 2020",166.52,168.43,163.53,166.58,166.15,"4,595,700"
"Jan 13, 2020",158.34,168.81,157.30,166.52,166.09,"9,625,300"
"Jan 06, 2020",154.17,161.59,152.88,158.25,157.84,"7,416,100"
"Dec 30, 2019",154.22,155.48,152.59,155.26,154.46,"2,977,400"
"Dec 23, 2019",155.37,155.57,152.01,154.48,153.68,"1,609,800"
"Dec 16, 2019",152.36,155.30,151.77,155.10,154.30,"5,288,900"
"Dec 09, 2019",152.02,154.63,150.20,151.44,150.66,"5,252,600"
"Dec 02, 2019",152.40,153.31,148.28,152.64,151.85,"4,902,200"
"Nov 25, 2019",152.43,155.79,152.06,152.42,151.63,"3,520,700"
"Nov 18, 2019",152.98,155.10,150.46,151.93,151.14,"3,924,500"
"Nov 11, 2019",152.49,156.98,151.64,153.54,152.74,"3,886,400"
"Nov 04, 2019",147.26,155.52,146.47,153.31,152.52,"5,625,500"
"Oct 28, 2019",145.08,146.20,139.30,146.19,145.43,"5,215,400"
"Oct 21, 2019",147.25,149.23,143.75,144.49,143.74,"6,809,500"
"Oct 14, 2019",132.61,145.82,131.48,145.25,144.50,"7,657,400"
"Oct 07, 2019",127.33,134.38,125.95,133.50,132.81,"3,963,100"
"Sep 30, 2019",133.10,133.68,124.52,127.80,127.14,"3,547,800"
"Sep 23, 2019",131.90,134.70,131.32,132.52,131.83,"3,189,100"
"Sep 16, 2019",132.19,134.09,130.85,132.04,131.36,"3,393,700"
"Sep 09, 2019",129.81,133.74,129.50,133.09,132.40,"5,281,300"
"Sep 02, 2019",124.88,130.54,124.74,128.91,127.89,"3,234,500"
"Aug 26, 2019",120.53,125.98,118.94,125.80,124.80,"3,786,100"
"Aug 19, 2019",121.69,124.73,118.93,119.50,118.55,"4,042,000"
"Aug 12, 2019",117.77,120.27,116.11,120.07,119.12,"3,413,200"
"Aug 05, 2019",118.96,119.40,115.12,118.77,117.83,"3,474,900"
"Jul 29, 2019",124.28,125.81,120.56,121.20,120.24,"3,887,600"
"Jul 22, 2019",123.59,126.47,122.02,124.46,123.47,"4,351,400"
"Jul 15, 2019",122.79,123.99,116.77,123.43,122.45,"7,176,200"
"Jul 08, 2019",122.06,122.85,118.75,122.77,121.80,"4,538,500"
"Jul 01, 2019",123.01,124.50,121.45,122.94,121.96,"2,430,300"
"Jun 24, 2019",119.35,122.42,116.40,121.82,120.85,"4,576,600"
"Jun 17, 2019",116.73,120.80,114.36,119.50,118.55,"4,638,800"
"Jun 10, 2019",120.00,121.72,115.42,116.91,115.98,"3,860,800"
"Jun 03, 2019",113.48,119.50,111.58,117.50,116.21,"7,330,700"
"May 27, 2019",121.26,122.93,110.04,113.28,112.04,"5,471,700"
"May 20, 2019",120.69,123.39,118.74,120.85,119.52,"4,390,600"
"May 13, 2019",118.33,123.56,116.52,121.95,120.61,"4,019,800"
"May 06, 2019",123.23,124.76,117.68,120.66,119.34,"3,913,600"
"Apr 29, 2019",124.88,125.58,118.50,125.25,123.87,"4,579,700"
"Apr 22, 2019",124.88,125.72,121.16,124.51,123.14,"4,395,200"
"Apr 15, 2019",118.23,125.92,116.68,125.03,123.66,"6,954,900"
"Apr 08, 2019",117.50,118.95,115.23,118.38,117.08,"3,156,600"
"Apr 01, 2019",116.49,118.65,115.67,117.39,116.10,"5,074,500"
"Mar 25, 2019",112.79,118.33,112.18,115.98,114.71,"5,208,200"
"Mar 18, 2019",114.78,116.92,111.27,112.46,111.23,"7,626,300"
"Mar 11, 2019",111.46,115.95,111.09,114.50,113.24,"4,991,000"
"Mar 04, 2019",108.77,112.34,108.77,111.30,109.72,"6,862,400"
"Feb 25, 2019",111.89,112.72,107.61,108.06,106.53,"5,311,500"
"Feb 18, 2019",107.29,112.78,106.90,111.35,109.77,"5,679,700"
"Feb 11, 2019",103.01,107.61,101.91,107.54,106.02,"6,842,100"
"Feb 04, 2019",106.23,106.43,101.11,102.22,100.77,"7,410,600"
"Jan 28, 2019",108.00,109.50,104.61,106.19,104.69,"5,838,200"
"Jan 21, 2019",109.20,110.00,106.19,108.91,107.37,"5,226,100"
"Jan 14, 2019",101.70,111.09,101.05,110.52,108.96,"6,345,000"
"Jan 07, 2019",97.35,103.16,96.90,102.54,101.09,"3,912,400"
"Dec 31, 2018",95.85,97.03,92.80,96.90,95.53,"4,192,100"
"Dec 24, 2018",92.46,96.54,90.55,95.59,93.88,"3,284,100"
"Dec 17, 2018",96.41,98.25,92.59,92.74,91.08,"6,080,200"
"Dec 10, 2018",97.71,100.45,95.19,96.67,94.94,"5,781,600"
"Dec 03, 2018",104.62,105.71,97.39,98.22,96.47,"4,734,700"
"Nov 26, 2018",98.54,103.67,98.37,103.05,101.21,"6,626,700"
"Nov 19, 2018",100.25,100.82,95.54,98.20,96.45,"3,898,800"
"Nov 12, 2018",102.33,102.57,96.33,100.84,99.04,"5,725,800"
"Nov 05, 2018",103.60,104.93,101.32,102.42,100.59,"5,245,200"
"Oct 29, 2018",103.81,104.22,97.46,103.35,101.50,"6,707,400"
"Oct 22, 2018",106.35,106.35,101.12,102.25,100.42,"7,630,000"
"Oct 15, 2018",103.56,107.31,101.93,106.12,104.22,"8,430,600"
"Oct 08, 2018",111.84,113.79,101.78,102.57,100.74,"7,536,400"
"Oct 01, 2018",115.52,117.20,111.97,112.10,110.10,"5,814,600"
"Sep 24, 2018",116.90,117.11,112.94,113.28,111.26,"5,137,500"
"Sep 17, 2018",117.50,119.48,116.22,117.11,115.02,"4,005,600"
