Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",186.45,190.91,178.88,188.55,188.55,"10,927,100"
"Apr 06, 2020",169.61,190.05,169.52,189.48,189.48,"12,403,800"
"Mar 30, 2020",172.26,177.29,159.41,162.13,162.13,"15,480,300"
"Mar 23, 2020",149.78,175.46,146.80,167.34,167.34,"16,143,100"
"Mar 16, 2020",148.72,165.64,146.71,151.30,151.30,"25,755,800"
"Mar 09, 2020",175.06,180.38,157.00,176.50,176.50,"27,469,400"
"Mar 02, 2020",191.30,205.75,185.76,189.20,188.31,"17,979,600"
"Feb 24, 2020",211.15,212.32,185.95,191.01,190.12,"16,715,500"
"Feb 17, 2020",224.04,224.59,218.03,218.34,217.32,"6,309,600"
"Feb 10, 2020",214.89,227.85,214.12,222.64,221.60,"7,571,200"
"Feb 03, 2020",203.77,217.42,203.58,214.16,213.16,"11,481,600"
"Jan 27, 2020",205.22,209.44,202.97,203.13,202.18,"7,450,900"
"Jan 20, 2020",211.70,212.74,207.52,209.99,209.01,"5,293,700"
"Jan 13, 2020",209.79,214.42,209.14,214.10,213.10,"7,617,500"
"Jan 06, 2020",204.60,211.83,204.19,209.08,208.10,"8,615,500"
"Dec 30, 2019",212.81,214.45,205.17,205.26,204.30,"7,350,900"
"Dec 23, 2019",212.08,214.26,210.67,212.26,211.27,"2,673,800"
"Dec 16, 2019",211.10,213.94,206.94,212.11,211.12,"8,896,800"
"Dec 09, 2019",206.86,211.64,203.83,209.05,208.07,"6,194,300"
"Dec 02, 2019",202.85,205.99,199.61,205.53,203.70,"6,114,700"
"Nov 25, 2019",204.74,206.82,203.81,206.21,204.37,"4,887,800"
"Nov 18, 2019",208.39,210.50,204.66,204.91,203.08,"6,120,700"
"Nov 11, 2019",202.77,210.33,201.58,209.71,207.84,"6,726,000"
"Nov 04, 2019",201.25,204.45,198.95,203.00,201.19,"5,367,700"
"Oct 28, 2019",196.31,201.31,195.68,198.80,197.03,"5,522,900"
"Oct 21, 2019",195.94,196.05,191.40,195.00,193.26,"5,607,100"
"Oct 14, 2019",194.30,198.98,192.46,195.79,194.05,"6,285,100"
"Oct 07, 2019",186.00,196.54,183.70,194.25,192.52,"8,633,100"
"Sep 30, 2019",192.52,194.24,182.06,186.18,184.52,"6,604,600"
"Sep 23, 2019",192.65,194.00,190.33,191.55,189.84,"5,471,000"
"Sep 16, 2019",191.60,196.25,187.75,194.11,192.38,"8,222,400"
