Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,8.720000,8.760000,8.220000,8.520000,7.931023,24330300
2012-01-08,8.520000,9.000000,8.520000,8.840000,8.228904,20654400
2012-01-15,8.920000,9.560000,8.820000,9.400000,8.750188,28820300
2012-01-22,9.410000,9.780000,9.130000,9.620000,8.954979,33936300
2012-01-29,9.550000,10.050000,9.220000,10.040000,9.345947,30531200
2012-02-05,9.960000,9.990000,9.490000,9.620000,8.954979,23881700
2012-02-12,9.650000,9.780000,9.430000,9.430000,8.778115,21694400
2012-02-19,9.460000,9.470000,8.670000,8.680000,8.079959,23641300
2012-02-26,8.700000,9.110000,8.670000,8.960000,8.340608,28906900
2012-03-04,8.910000,8.910000,8.430000,8.480000,7.897817,30758000
2012-03-11,8.350000,8.530000,8.030000,8.310000,7.739489,58808000
2012-03-18,8.340000,8.440000,8.130000,8.230000,7.664981,32310300
2012-03-25,8.310000,8.470000,8.150000,8.240000,7.674294,43922300
2012-04-01,8.220000,8.500000,8.150000,8.310000,7.739489,37222600
2012-04-08,8.180000,8.300000,7.900000,7.940000,7.394891,37819500
2012-04-15,7.970000,8.300000,7.850000,7.910000,7.366949,54756800
2012-04-22,7.840000,8.290000,7.760000,8.250000,7.683608,46241800
2012-04-29,8.220000,8.370000,8.070000,8.100000,7.543907,36346900
2012-05-06,8.110000,8.350000,8.040000,8.050000,7.497337,35696800
2012-05-13,8.020000,8.380000,8.000000,8.150000,7.590472,58245500
2012-05-20,8.180000,8.850000,8.050000,8.760000,8.158596,58458600
2012-05-27,8.860000,9.140000,8.760000,8.950000,8.335551,43330500
2012-06-03,8.850000,9.150000,8.580000,9.060000,8.438001,51783500
2012-06-10,9.110000,9.400000,8.860000,8.930000,8.326224,54888800
2012-06-17,8.920000,9.370000,8.800000,9.210000,8.587296,49150300
2012-06-24,9.100000,9.420000,8.710000,9.220000,8.596622,54577400
2012-07-01,9.300000,9.350000,9.060000,9.270000,8.643237,29360900
2012-07-08,9.230000,9.770000,9.140000,9.440000,8.801744,49227900
2012-07-15,9.480000,9.820000,8.820000,8.860000,8.260959,55419700
2012-07-22,8.720000,8.920000,8.450000,8.900000,8.298252,45405900
2012-07-29,8.870000,9.280000,8.850000,9.130000,8.512705,52281400
2012-08-05,9.150000,9.350000,8.920000,9.070000,8.456758,33290100
2012-08-12,9.030000,9.150000,8.910000,9.130000,8.512705,34265400
2012-08-19,9.100000,9.530000,9.080000,9.210000,8.596723,51418700
2012-08-26,9.210000,9.240000,8.810000,8.940000,8.344699,26957900
2012-09-02,8.930000,9.320000,8.770000,9.190000,8.578052,28055100
2012-09-09,9.230000,9.280000,8.950000,9.070000,8.466042,32655300
2012-09-16,9.010000,9.140000,8.800000,8.840000,8.251360,32929800
2012-09-23,8.820000,8.990000,8.750000,8.770000,8.186023,26638500
2012-09-30,8.780000,9.170000,8.750000,8.970000,8.372703,42951800
2012-10-07,8.990000,9.030000,8.680000,8.840000,8.251360,25062700
2012-10-14,8.870000,9.100000,8.810000,8.880000,8.288698,31755600
2012-10-21,8.900000,8.950000,8.680000,8.740000,8.158016,33483900
2012-10-28,8.750000,9.100000,8.740000,9.030000,8.428705,16677600
2012-11-04,9.030000,9.320000,8.930000,9.060000,8.456712,31490600
2012-11-11,9.080000,9.210000,8.700000,8.930000,8.335364,33924500
2012-11-18,9.000000,9.370000,8.920000,9.370000,8.746066,20999700
2012-11-25,9.300000,9.580000,9.160000,9.530000,8.895415,34459100
2012-12-02,9.580000,9.890000,9.420000,9.810000,9.156771,37877200
2012-12-09,9.750000,10.410000,9.700000,10.190000,9.521549,37970800
2012-12-16,10.250000,10.610000,10.240000,10.460000,9.773838,39904200
2012-12-23,10.470000,10.530000,10.130000,10.160000,9.493520,13415800
2012-12-30,10.130000,10.920000,10.100000,10.880000,10.166288,27404400
2013-01-06,10.900000,11.270000,10.800000,11.050000,10.325135,41743100
2013-01-13,11.050000,11.450000,10.940000,11.260000,10.521359,48116600
2013-01-20,11.280000,11.620000,11.190000,11.440000,10.689550,41865200
2013-01-27,11.540000,11.540000,11.200000,11.230000,10.493326,44194000
2013-02-03,11.220000,11.730000,11.150000,11.640000,10.876432,43121300
2013-02-10,11.670000,11.760000,11.380000,11.600000,10.839055,27225100
2013-02-17,11.640000,11.700000,11.310000,11.600000,10.839055,20656300
2013-02-24,11.630000,11.950000,11.230000,11.820000,11.044624,31986200
2013-03-03,11.760000,12.300000,11.750000,12.260000,11.455761,35792600
2013-03-10,12.190000,12.550000,12.070000,12.380000,11.577506,34951300
2013-03-17,12.290000,12.930000,12.140000,12.870000,12.035745,27898800
2013-03-24,12.950000,13.580000,12.750000,13.480000,12.606199,36693500
2013-03-31,13.470000,13.510000,12.450000,12.810000,11.979631,45670600
2013-04-07,12.830000,13.250000,12.640000,13.150000,12.297593,32277400
2013-04-14,13.110000,13.400000,12.610000,13.340000,12.475276,33072600
2013-04-21,13.460000,13.610000,13.110000,13.390000,12.522037,35869200
2013-04-28,13.450000,14.110000,13.400000,14.070000,13.157957,30053700
2013-05-05,14.080000,14.490000,14.030000,14.160000,13.242121,25595000
2013-05-12,14.150000,14.490000,13.940000,14.380000,13.447864,54388700
2013-05-19,14.380000,14.560000,13.870000,14.280000,13.354342,45462200
2013-05-26,14.400000,14.440000,14.060000,14.170000,13.251477,30740100
2013-06-02,14.180000,14.280000,13.190000,13.880000,12.980274,46162900
2013-06-09,13.940000,14.100000,13.730000,13.870000,13.007640,27663600
2013-06-16,13.930000,13.940000,13.350000,13.480000,12.641888,34655900
2013-06-23,13.350000,13.440000,12.790000,12.890000,12.088572,42392100
2013-06-30,12.960000,13.250000,12.580000,12.790000,11.994790,17963800
2013-07-07,12.860000,13.480000,12.760000,13.460000,12.623133,26990100
2013-07-14,13.460000,13.900000,13.160000,13.810000,12.951368,28463500
2013-07-21,13.780000,14.020000,13.240000,13.790000,12.932612,30739300
2013-07-28,13.770000,14.220000,13.650000,14.190000,13.307743,25655800
2013-08-04,14.130000,14.240000,13.690000,13.740000,12.885725,23592700
2013-08-11,13.680000,13.830000,13.220000,13.340000,12.546211,35241200
2013-08-18,13.270000,13.290000,12.990000,13.270000,12.480374,24365400
2013-08-25,13.280000,13.360000,12.640000,12.810000,12.047747,25531800
2013-09-01,12.970000,13.260000,12.730000,13.100000,12.320494,19572800
2013-09-08,13.040000,13.960000,12.980000,13.900000,13.072888,31651000
