Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",58.39,62.22,54.50,59.92,59.92,"7,894,100"
"Apr 06, 2020",52.71,62.27,51.38,58.40,58.40,"8,496,800"
"Mar 30, 2020",57.77,60.14,48.12,50.20,50.20,"12,687,400"
"Mar 23, 2020",46.06,61.46,42.43,57.25,57.25,"11,257,500"
"Mar 16, 2020",58.32,60.98,39.06,47.63,47.63,"12,713,000"
"Mar 09, 2020",79.76,79.99,60.39,63.85,63.85,"11,193,100"
"Mar 02, 2020",86.94,88.45,80.17,83.37,83.37,"9,274,600"
"Feb 24, 2020",94.00,96.11,85.41,86.89,86.89,"6,037,400"
"Feb 17, 2020",94.94,96.32,93.86,94.84,94.84,"2,446,300"
"Feb 10, 2020",94.43,95.60,94.15,95.17,95.17,"2,695,100"
"Feb 03, 2020",91.67,94.53,91.07,94.45,94.45,"4,811,400"
"Jan 27, 2020",90.64,92.76,89.80,91.31,91.08,"4,336,500"
"Jan 20, 2020",90.52,92.16,90.29,90.69,90.46,"3,432,600"
"Jan 13, 2020",90.27,92.02,90.27,90.50,90.27,"4,672,100"
"Jan 06, 2020",92.45,92.51,90.20,90.48,90.25,"7,100,000"
"Dec 30, 2019",85.96,94.46,83.95,93.56,93.33,"6,975,800"
"Dec 23, 2019",86.23,86.59,85.14,86.07,85.85,"1,795,800"
"Dec 16, 2019",84.05,86.24,83.43,85.83,85.62,"6,149,400"
"Dec 09, 2019",84.26,85.08,83.30,84.10,83.89,"4,039,300"
"Dec 02, 2019",83.81,84.99,82.82,84.22,84.01,"5,164,500"
"Nov 25, 2019",83.27,84.38,83.12,83.98,83.77,"4,870,000"
"Nov 18, 2019",82.70,84.33,82.23,82.91,82.70,"5,665,900"
"Nov 11, 2019",78.72,82.94,78.70,82.94,82.73,"4,461,800"
"Nov 04, 2019",77.44,79.42,76.62,78.95,78.75,"4,223,300"
"Oct 28, 2019",75.15,78.52,75.15,77.57,77.18,"3,747,200"
"Oct 21, 2019",76.97,77.18,73.75,75.00,74.62,"3,903,200"
"Oct 14, 2019",76.19,77.53,74.95,76.97,76.58,"3,278,400"
"Oct 07, 2019",77.54,77.72,75.23,76.09,75.70,"4,608,300"
"Sep 30, 2019",73.34,79.39,72.26,77.77,77.38,"10,513,200"
"Sep 23, 2019",73.68,74.81,72.67,73.36,72.99,"4,513,300"
"Sep 16, 2019",72.26,74.29,71.94,73.52,73.15,"5,589,300"
"Sep 09, 2019",71.30,73.00,69.76,72.15,71.78,"3,313,300"
"Sep 02, 2019",70.10,72.83,69.81,71.22,70.86,"3,272,500"
"Aug 26, 2019",68.83,70.77,67.94,70.39,70.03,"2,903,000"
"Aug 19, 2019",69.04,70.38,67.92,68.40,68.05,"4,855,400"
"Aug 12, 2019",66.86,69.18,66.47,68.81,68.46,"4,689,900"
"Aug 05, 2019",66.63,67.26,63.69,67.06,66.72,"4,999,300"
"Jul 29, 2019",64.86,67.78,64.48,67.06,66.52,"7,173,700"
"Jul 22, 2019",68.64,68.77,62.03,64.68,64.16,"11,080,600"
"Jul 15, 2019",66.00,68.85,65.41,68.57,68.02,"5,870,400"
"Jul 08, 2019",64.43,67.76,63.64,65.93,65.40,"10,984,100"
"Jul 01, 2019",63.53,64.38,62.28,64.34,63.82,"3,440,100"
"Jun 24, 2019",60.79,63.38,60.44,63.36,62.85,"9,090,800"
"Jun 17, 2019",61.44,62.15,58.83,60.84,60.35,"7,018,300"
"Jun 10, 2019",60.90,62.61,60.49,61.71,61.21,"5,133,100"
"Jun 03, 2019",59.25,62.75,59.19,60.99,60.50,"9,024,700"
"May 27, 2019",62.13,62.32,59.16,59.25,58.77,"9,903,500"
"May 20, 2019",67.63,68.42,61.92,62.13,61.63,"10,164,500"
"May 13, 2019",66.99,68.12,65.43,67.63,67.09,"10,314,100"
"May 06, 2019",66.51,68.83,66.29,67.45,66.91,"8,855,000"
"Apr 29, 2019",69.47,70.65,65.23,67.10,66.37,"10,137,900"
"Apr 22, 2019",67.73,70.20,67.19,69.69,68.93,"5,617,300"
"Apr 15, 2019",71.14,71.65,67.08,67.62,66.89,"5,533,100"
"Apr 08, 2019",71.92,73.53,70.58,71.11,70.34,"6,125,800"
"Apr 01, 2019",74.79,79.10,69.64,71.63,70.85,"16,553,600"
"Mar 25, 2019",71.57,75.24,71.50,74.94,74.13,"9,461,500"
"Mar 18, 2019",69.38,72.03,68.88,71.66,70.88,"5,941,400"
"Mar 11, 2019",69.96,70.47,67.96,69.51,68.76,"9,246,500"
"Mar 04, 2019",70.93,71.75,69.79,70.01,69.25,"7,408,500"
"Feb 25, 2019",70.80,70.97,67.84,70.95,70.18,"6,720,400"
"Feb 18, 2019",69.46,70.99,69.40,70.50,69.73,"4,984,600"
"Feb 11, 2019",70.86,71.00,67.92,69.51,68.76,"9,081,700"
"Feb 04, 2019",72.16,72.33,70.01,70.62,69.85,"5,574,700"
"Jan 28, 2019",70.63,73.00,70.13,72.40,71.42,"8,052,100"
"Jan 21, 2019",70.89,73.60,70.33,71.10,70.13,"5,944,300"
"Jan 14, 2019",69.46,71.76,65.87,70.88,69.92,"9,100,300"
"Jan 07, 2019",75.59,75.59,68.90,69.47,68.53,"10,547,000"
"Dec 31, 2018",73.61,76.88,72.17,75.58,74.55,"7,948,600"
"Dec 24, 2018",73.58,74.49,70.91,73.61,72.61,"5,480,200"
"Dec 17, 2018",75.70,77.36,72.71,73.60,72.60,"9,740,700"
"Dec 10, 2018",73.64,77.87,72.29,75.83,74.80,"9,055,700"
"Dec 03, 2018",77.33,77.40,72.98,73.45,72.45,"10,341,800"
"Nov 26, 2018",81.74,81.84,75.83,76.70,75.66,"49,807,100"
"Nov 19, 2018",82.38,83.08,79.82,81.15,80.05,"3,712,600"
"Nov 12, 2018",82.00,83.86,80.55,82.65,81.53,"6,082,200"
"Nov 05, 2018",77.03,82.04,77.01,82.02,80.91,"5,310,700"
"Oct 29, 2018",77.70,79.06,76.03,76.98,75.75,"6,179,900"
"Oct 22, 2018",76.96,79.97,75.82,77.01,75.78,"5,525,300"
"Oct 15, 2018",73.06,76.84,72.50,76.57,75.34,"3,918,600"
"Oct 08, 2018",74.36,75.81,71.88,72.96,71.79,"10,561,600"
"Oct 01, 2018",66.96,74.83,65.80,74.70,73.50,"9,102,300"
"Sep 24, 2018",66.81,67.25,65.05,66.60,65.53,"6,396,700"
"Sep 17, 2018",68.06,68.06,64.68,67.00,65.93,"5,912,000"
"Sep 10, 2018",67.04,68.19,66.46,68.01,66.92,"2,306,400"
"Sep 03, 2018",67.65,67.89,66.54,66.83,65.76,"2,280,400"
"Aug 27, 2018",67.45,68.65,66.83,67.60,66.52,"2,773,400"
"Aug 20, 2018",65.78,67.38,65.00,67.03,65.96,"5,970,600"
"Aug 13, 2018",71.05,72.04,63.02,65.59,64.54,"5,838,400"
"Aug 06, 2018",72.34,73.19,70.81,71.09,69.95,"2,908,100"
"Jul 30, 2018",69.52,72.18,69.04,72.16,70.81,"2,837,900"
"Jul 23, 2018",70.52,71.32,68.09,69.80,68.49,"7,820,000"
"Jul 16, 2018",70.69,70.93,69.84,70.42,69.10,"3,358,200"
"Jul 09, 2018",70.21,71.29,69.79,70.85,69.53,"4,278,600"
