Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,15.760000,16.400000,15.430000,15.900000,13.561172,98769800
2012-01-08,16.000000,17.320000,15.930000,16.629999,14.183792,110316300
2012-01-15,16.590000,18.600000,16.030001,18.389999,15.684899,135615800
2012-01-22,17.990000,18.879999,17.639999,18.559999,15.829892,114565100
2012-01-29,18.790001,20.500000,18.049999,20.309999,17.370203,165037900
2012-02-05,20.510000,20.700001,19.500000,19.660000,16.814283,112414000
2012-02-12,19.980000,20.090000,18.200001,19.160000,16.386660,127400800
2012-02-19,19.430000,19.530001,18.400000,18.490000,15.813634,68880200
2012-02-26,18.330000,19.420000,18.209999,18.870001,16.138638,112463200
2012-03-04,18.780001,18.780001,17.240000,18.370001,15.711010,126857100
2012-03-11,18.370001,19.750000,17.930000,19.530001,16.703100,156879900
2012-03-18,19.450001,20.700001,19.309999,20.330000,17.387300,136095100
2012-03-25,20.610001,21.190001,19.360001,19.639999,16.797178,130054800
2012-04-01,19.639999,20.049999,18.320000,18.389999,15.728108,79626400
2012-04-08,17.959999,18.240000,17.260000,17.280001,14.778781,130898000
2012-04-15,17.610001,18.540001,17.219999,17.480000,14.949837,149966900
2012-04-22,16.910000,17.680000,16.629999,16.950001,14.496545,144183000
2012-04-29,16.820000,17.680000,15.900000,16.000000,13.724092,146313200
2012-05-06,15.850000,16.260000,14.700000,14.950000,12.823447,166166600
2012-05-13,14.590000,14.730000,13.230000,13.350000,11.451040,183271100
2012-05-20,13.120000,13.900000,12.810000,13.250000,11.365261,158290000
2012-05-27,13.420000,13.660000,12.630000,12.730000,10.919230,104188700
2012-06-03,12.760000,14.270000,12.260000,13.710000,11.759832,151273100
2012-06-10,14.070000,14.300000,13.330000,14.300000,12.265907,123023400
2012-06-17,14.100000,14.500000,13.790000,14.140000,12.128665,166721100
2012-06-24,13.810000,14.610000,13.300000,14.590000,12.514657,129855000
2012-07-01,14.610000,15.210000,14.110000,14.140000,12.128665,89244100
2012-07-08,14.130000,14.180000,13.500000,14.050000,12.051468,102112500
2012-07-15,14.150000,14.450000,12.770000,12.780000,10.962117,152690400
2012-07-22,12.440000,13.650000,12.290000,13.490000,11.571124,137477600
2012-07-29,13.340000,13.880000,12.980000,13.780000,11.865512,98659000
2012-08-05,13.890000,14.730000,13.790000,14.610000,12.580194,78441400
2012-08-12,14.480000,14.790000,14.290000,14.590000,12.562976,64872700
2012-08-19,14.580000,15.340000,14.180000,14.560000,12.537142,85696700
2012-08-26,14.620000,15.250000,14.450000,15.000000,12.916015,94886200
2012-09-02,15.290000,17.110001,15.130000,17.080000,14.707034,134687900
2012-09-09,16.930000,18.500000,16.600000,18.240000,15.705874,150870300
2012-09-16,17.990000,18.090000,16.840000,17.080000,14.707034,124759600
2012-09-23,16.850000,17.330000,16.299999,16.740000,14.414271,100243100
2012-09-30,16.940001,17.879999,16.730000,17.500000,15.068681,99564400
2012-10-07,17.170000,17.910000,17.160000,17.309999,14.905078,83409200
2012-10-14,17.510000,18.570000,17.309999,17.530001,15.094514,140787400
2012-10-21,17.510000,17.670000,16.860001,17.040001,14.672593,91812100
2012-10-28,17.190001,17.840000,17.129999,17.780001,15.309779,70888900
2012-11-04,17.650000,18.240000,16.299999,16.610001,14.386637,115976300
2012-11-11,16.700001,16.910000,15.950000,16.180000,14.014197,78414900
2012-11-18,16.490000,16.799999,16.150000,16.430000,14.230728,51520600
2012-11-25,16.320000,17.100000,16.230000,16.870001,14.611838,92342700
2012-12-02,17.010000,17.120001,16.350000,16.969999,14.698451,73087200
2012-12-09,16.910000,18.090000,16.799999,18.049999,15.633876,109080900
2012-12-16,18.080000,19.450001,18.070000,18.920000,16.387428,104843800
2012-12-23,18.900000,19.110001,18.500000,18.620001,16.127583,38173200
2012-12-30,18.600000,20.250000,18.520000,20.190001,17.487429,111610300
2013-01-06,20.020000,20.430000,19.410000,20.170000,17.470108,131394900
2013-01-13,20.240000,22.459999,19.750000,22.379999,19.384283,162290800
2013-01-20,22.129999,23.030001,22.030001,22.700001,19.661449,96709600
2013-01-27,22.790001,23.740000,22.049999,23.510000,20.363024,103164200
2013-02-03,22.840000,23.580000,22.670000,23.320000,20.242752,102313600
2013-02-10,23.209999,23.940001,23.129999,23.870001,20.720177,75209600
2013-02-17,23.990000,24.469999,22.559999,23.580000,20.468443,75041800
2013-02-24,23.830000,23.850000,21.780001,22.430000,19.470190,116272200
2013-03-03,22.360001,23.370001,22.120001,23.030001,19.991020,87949600
2013-03-10,23.030001,23.660000,22.530001,23.590000,20.477125,84577100
2013-03-17,23.030001,23.190001,21.930000,22.180000,19.253181,108128200
2013-03-24,22.370001,22.490000,21.780001,21.980000,19.079575,71183600
2013-03-31,21.990000,22.129999,20.790001,21.559999,18.714996,96811800
2013-04-07,21.480000,22.629999,21.190001,21.820000,18.940685,84770200
2013-04-14,21.750000,22.250000,20.160000,20.580000,17.864319,161611200
2013-04-21,20.610001,21.809999,20.530001,21.400000,18.576107,93394900
2013-04-28,21.559999,23.150000,21.530001,22.760000,19.802855,83155300
2013-05-05,22.799999,23.940001,22.780001,23.940001,20.829536,72707000
2013-05-12,23.799999,25.240000,23.530001,25.190001,21.917128,86761500
2013-05-19,25.110001,25.690001,23.980000,24.350000,21.186270,74501100
2013-05-26,24.809999,26.420000,24.530001,25.900000,22.534874,82339900
2013-06-02,26.059999,27.000000,24.600000,27.000000,23.491961,117488800
2013-06-09,26.969999,27.170000,25.410000,25.830000,22.473976,121370100
2013-06-16,26.080000,26.690001,24.160000,24.910000,21.673508,109761500
2013-06-23,24.290001,25.389999,23.920000,24.430000,21.255875,87575700
2013-06-30,24.639999,25.190001,23.830000,24.570000,21.377680,63122600
2013-07-07,24.809999,26.139999,24.450001,26.129999,22.734999,82700100
2013-07-14,26.469999,27.950001,26.160000,27.600000,24.014002,107050400
2013-07-21,27.750000,27.980000,27.400000,27.700001,24.101009,70191900
2013-07-28,27.580000,28.020000,26.980000,27.850000,24.231520,64279900
2013-08-04,27.750000,27.990000,26.740000,26.760000,23.325247,45902200
2013-08-11,26.639999,27.129999,26.219999,26.469999,23.072470,48812900
2013-08-18,26.330000,26.480000,25.760000,26.320000,22.941719,57104700
2013-08-25,26.330000,26.670000,25.250000,25.760000,22.453602,51477100
2013-09-01,26.219999,27.040001,25.950001,26.809999,23.368830,44271500
2013-09-08,26.959999,28.400000,26.950001,28.129999,24.519400,60996200
2013-09-15,28.480000,29.500000,28.040001,28.190001,24.571701,87101800
2013-09-22,27.980000,28.030001,26.700001,27.080000,23.604170,82044400
2013-09-29,26.690001,27.260000,26.570000,26.990000,23.525723,60126800
2013-10-06,26.709999,28.010000,26.410000,27.950001,24.362503,69656100
2013-10-13,27.730000,29.969999,27.500000,29.690001,25.879168,91474400
2013-10-20,29.540001,29.670000,28.920000,29.230000,25.478209,63107300
2013-10-27,29.230000,29.549999,28.730000,29.200001,25.452063,57674300
2013-11-03,29.230000,29.590000,28.690001,29.440001,25.705624,63254300
2013-11-10,29.400000,30.520000,29.270000,30.299999,26.456533,58625000
2013-11-17,30.440001,31.350000,30.190001,31.340000,27.364613,53993600
2013-11-24,31.379999,31.799999,31.250000,31.299999,27.329681,32817400
2013-12-01,31.520000,31.850000,30.129999,30.459999,26.596235,56360400
2013-12-08,30.690001,31.170000,30.040001,31.090000,27.146322,54293100
2013-12-15,31.270000,31.650000,30.370001,30.930000,27.006624,72811900
2013-12-22,31.150000,31.250000,30.730000,31.059999,27.120129,21270100
2013-12-29,31.070000,31.700001,30.740000,31.510000,27.513048,32141900
2014-01-05,31.750000,31.930000,31.100000,31.299999,27.329681,44699500
2014-01-12,31.299999,33.520000,30.600000,33.400002,29.163303,94304400
2014-01-19,33.209999,33.490002,30.090000,30.450001,26.587505,70392600
2014-01-26,30.420000,30.639999,29.280001,29.510000,25.766739,77557000
2014-02-02,29.510000,29.969999,28.780001,29.690001,25.967003,83103200
2014-02-09,29.660000,30.549999,29.469999,29.690001,25.967003,58683400
2014-02-16,29.620001,29.860001,28.889999,29.620001,25.905771,52420200
2014-02-23,29.660000,30.940001,29.420000,30.799999,26.937811,64702800
2014-03-02,30.240000,32.709999,29.930000,32.209999,28.171001,64404500
2014-03-09,32.220001,32.299999,31.000000,31.100000,27.200193,61387700
2014-03-16,31.370001,33.250000,31.299999,32.599998,28.512096,66613300
2014-03-23,32.730000,32.750000,30.590000,30.910000,27.034021,55963700
2014-03-30,31.180000,31.590000,30.360001,30.370001,26.561733,58521700
2014-04-06,30.350000,30.379999,28.309999,28.469999,24.899982,79189100
2014-04-13,28.780001,31.290001,28.680000,30.760000,26.902824,66336300
2014-04-20,30.969999,31.379999,30.299999,30.580000,26.745399,47691100
2014-04-27,30.549999,31.440001,29.490000,30.690001,26.841606,58314100
2014-05-04,30.250000,30.299999,29.020000,29.680000,26.043417,63885300
2014-05-11,29.850000,30.520000,29.260000,30.139999,26.447058,66449400
2014-05-18,29.920000,30.520000,29.510000,30.490000,26.754175,37010800
2014-05-25,30.639999,31.290001,30.629999,30.860001,27.078836,33334100
