Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",114.60,114.60,95.69,105.48,105.48,"4,312,300"
"Apr 06, 2020",97.20,115.16,95.88,114.75,114.75,"3,956,700"
"Mar 30, 2020",106.55,108.81,90.95,91.67,91.67,"4,955,200"
"Mar 23, 2020",97.81,111.72,87.64,107.29,107.29,"6,289,500"
"Mar 16, 2020",96.03,111.86,94.61,98.76,98.76,"7,818,000"
"Mar 09, 2020",112.26,119.18,101.03,112.75,112.75,"8,470,500"
"Mar 02, 2020",140.38,148.11,122.47,125.13,125.13,"6,958,900"
"Feb 24, 2020",165.74,165.78,136.38,140.38,139.31,"6,243,200"
"Feb 17, 2020",169.15,170.33,165.47,168.57,167.29,"2,764,900"
"Feb 10, 2020",169.30,171.05,167.38,169.78,168.49,"2,227,700"
"Feb 03, 2020",169.45,174.00,168.56,169.95,168.66,"2,458,200"
"Jan 27, 2020",168.32,172.45,166.02,168.52,167.24,"4,388,800"
"Jan 20, 2020",162.00,173.44,158.41,171.49,170.19,"4,854,000"
"Jan 13, 2020",166.40,167.51,161.73,163.03,161.79,"2,898,700"
"Jan 06, 2020",169.00,169.50,164.93,165.99,164.73,"2,149,800"
"Dec 30, 2019",170.46,171.07,167.50,169.32,168.03,"1,631,100"
"Dec 23, 2019",170.13,170.30,168.01,169.55,168.26,"990,000"
"Dec 16, 2019",171.81,172.63,167.64,169.51,168.22,"3,516,500"
"Dec 09, 2019",165.73,172.58,165.73,170.10,168.81,"2,841,000"
"Dec 02, 2019",165.75,168.05,160.46,166.23,164.97,"3,045,200"
"Nov 25, 2019",165.33,167.13,164.41,164.74,162.41,"2,372,100"
"Nov 18, 2019",163.34,165.63,161.07,164.91,162.58,"2,683,800"
"Nov 11, 2019",166.20,167.64,161.26,163.97,161.65,"2,403,900"
"Nov 04, 2019",162.78,169.80,162.24,167.59,165.22,"3,112,600"
"Oct 28, 2019",157.69,160.78,154.37,160.73,158.46,"3,084,300"
"Oct 21, 2019",153.34,158.50,151.97,156.58,154.36,"3,238,000"
"Oct 14, 2019",155.67,160.51,150.30,152.23,150.08,"4,952,400"
"Oct 07, 2019",153.49,158.49,149.89,156.48,154.27,"2,504,300"
"Sep 30, 2019",158.62,159.67,147.01,154.05,151.87,"2,475,400"
"Sep 23, 2019",155.00,159.57,153.86,158.19,155.95,"2,193,800"
"Sep 16, 2019",157.34,160.17,156.07,156.30,154.09,"3,704,900"
"Sep 09, 2019",147.91,159.55,147.75,158.44,156.20,"4,086,800"
"Sep 02, 2019",144.80,149.92,141.50,146.44,144.37,"2,707,200"
"Aug 26, 2019",144.90,148.37,142.96,146.21,143.16,"2,631,800"
"Aug 19, 2019",150.00,150.50,143.01,143.90,140.90,"2,753,200"
"Aug 12, 2019",150.72,153.03,143.90,147.52,144.45,"3,238,100"
"Aug 05, 2019",154.69,155.31,148.84,153.00,149.81,"3,956,100"
"Jul 29, 2019",164.70,166.27,154.33,157.62,154.33,"4,181,100"
"Jul 22, 2019",161.33,165.35,160.45,164.95,161.51,"4,722,900"
"Jul 15, 2019",174.37,174.37,160.62,162.87,159.48,"5,189,900"
"Jul 08, 2019",173.24,174.67,170.96,174.07,170.44,"2,801,500"
"Jul 01, 2019",171.25,174.93,169.03,174.01,170.38,"1,921,600"
"Jun 24, 2019",165.21,170.35,163.84,170.07,166.53,"3,593,100"
"Jun 17, 2019",168.15,169.53,162.46,165.51,162.06,"3,203,000"
"Jun 10, 2019",166.96,170.41,165.25,167.90,164.40,"2,435,200"
"Jun 03, 2019",159.18,167.62,158.62,165.76,162.31,"2,888,000"
"May 27, 2019",164.24,165.73,158.75,159.60,155.31,"3,403,800"
"May 20, 2019",163.67,166.60,161.66,164.92,160.49,"2,821,800"
"May 13, 2019",164.85,165.79,159.34,163.78,159.38,"4,430,200"
"May 06, 2019",167.76,170.69,163.75,167.39,162.89,"4,655,600"
"Apr 29, 2019",169.26,171.77,167.34,170.36,165.78,"2,839,000"
"Apr 22, 2019",165.95,169.12,164.53,168.96,164.42,"2,770,300"
"Apr 15, 2019",166.47,169.04,161.95,166.34,161.87,"3,250,400"
"Apr 08, 2019",163.11,169.34,160.78,167.76,163.25,"3,125,800"
"Apr 01, 2019",158.14,164.24,157.92,163.22,158.83,"3,213,700"
"Mar 25, 2019",154.00,158.94,152.25,157.02,152.80,"3,760,700"
"Mar 18, 2019",173.24,175.72,153.12,153.79,149.66,"4,391,200"
"Mar 11, 2019",168.38,174.61,167.69,172.52,167.88,"4,753,400"
"Mar 04, 2019",172.64,175.22,166.22,167.84,163.33,"4,983,400"
"Feb 25, 2019",173.54,174.10,170.08,172.59,166.98,"4,173,800"
"Feb 18, 2019",171.14,176.11,170.44,172.47,166.86,"3,033,300"
"Feb 11, 2019",165.93,172.29,165.81,172.27,166.67,"4,556,800"
"Feb 04, 2019",164.18,167.28,160.59,165.40,160.02,"5,228,200"
"Jan 28, 2019",167.58,168.82,162.49,164.00,158.67,"3,809,400"
"Jan 21, 2019",164.87,169.81,164.87,168.31,162.84,"3,610,300"
"Jan 14, 2019",149.66,166.93,149.23,165.59,160.21,"5,742,700"
"Jan 07, 2019",147.63,152.98,146.89,150.81,145.91,"4,492,400"
"Dec 31, 2018",141.85,148.70,140.88,148.28,143.46,"3,490,200"
"Dec 24, 2018",138.00,142.89,133.78,141.23,136.64,"2,996,000"
"Dec 17, 2018",147.00,149.16,137.92,138.72,134.21,"6,064,600"
"Dec 10, 2018",157.65,157.82,147.38,147.81,143.01,"4,069,200"
"Dec 03, 2018",170.32,171.01,156.13,157.87,152.74,"3,983,500"
"Nov 26, 2018",169.20,170.75,165.90,169.01,162.55,"5,216,200"
"Nov 19, 2018",169.08,170.47,164.67,167.25,160.85,"3,614,600"
"Nov 12, 2018",166.59,170.00,163.19,169.04,162.58,"4,702,000"
"Nov 05, 2018",164.05,168.28,161.35,166.72,160.34,"3,937,800"
"Oct 29, 2018",160.99,167.90,159.96,164.18,157.90,"4,658,800"
"Oct 22, 2018",164.17,164.49,154.33,158.53,152.47,"5,941,600"
"Oct 15, 2018",158.52,164.41,156.79,162.63,156.41,"4,969,500"
"Oct 08, 2018",168.18,170.94,155.36,158.52,152.46,"4,686,900"
"Oct 01, 2018",166.19,170.72,163.15,168.31,161.87,"3,767,000"
"Sep 24, 2018",173.27,173.45,164.28,164.54,158.25,"4,361,900"
"Sep 17, 2018",171.25,174.22,168.27,173.00,166.38,"4,810,300"
"Sep 10, 2018",179.42,179.96,170.75,171.22,164.67,"4,140,600"
"Sep 03, 2018",177.97,180.77,176.51,178.81,171.97,"3,437,200"
"Aug 27, 2018",176.95,178.18,175.08,177.15,169.41,"3,617,000"
"Aug 20, 2018",176.26,178.20,174.76,176.31,168.61,"3,194,200"
"Aug 13, 2018",173.72,177.83,172.70,176.50,168.79,"3,834,900"
"Aug 06, 2018",174.55,177.76,172.56,173.96,166.36,"2,631,100"
"Jul 30, 2018",175.88,177.40,171.86,174.43,166.81,"3,496,200"
"Jul 23, 2018",172.96,175.72,170.82,175.60,167.93,"5,537,100"
"Jul 16, 2018",166.85,175.35,166.08,173.00,165.44,"6,762,300"
"Jul 09, 2018",170.00,173.33,165.53,166.45,159.18,"7,909,600"
