Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",718.52,720.91,677.50,720.91,720.91,"844,400"
"Apr 06, 2020",657.17,746.65,653.91,727.42,727.42,"712,300"
"Mar 30, 2020",664.11,709.99,611.82,630.58,630.58,"1,022,700"
"Mar 23, 2020",645.90,679.08,579.40,658.78,658.78,"1,368,000"
"Mar 16, 2020",610.00,755.66,600.00,645.12,645.12,"1,387,600"
"Mar 09, 2020",670.00,701.88,595.91,672.64,672.64,"1,109,400"
"Mar 02, 2020",704.48,775.37,698.49,715.55,715.55,"1,262,600"
"Feb 24, 2020",735.25,737.00,666.36,701.70,701.70,"1,077,600"
"Feb 17, 2020",759.68,770.42,748.43,760.22,760.22,"522,800"
"Feb 10, 2020",785.24,799.15,759.15,763.20,763.20,"862,000"
"Feb 03, 2020",762.97,808.94,756.61,787.15,787.15,"1,044,600"
"Jan 27, 2020",800.47,812.11,752.76,757.18,757.18,"753,500"
"Jan 20, 2020",831.00,843.82,817.87,819.95,819.95,"454,800"
"Jan 13, 2020",815.15,835.97,813.66,831.31,831.31,"659,800"
"Jan 06, 2020",779.89,822.25,779.10,817.69,817.69,"777,700"
"Dec 30, 2019",795.81,809.99,783.79,789.54,789.54,"458,800"
"Dec 23, 2019",798.12,798.12,783.85,792.83,792.83,"341,500"
"Dec 16, 2019",778.41,795.36,772.99,793.31,793.31,"846,600"
"Dec 09, 2019",760.89,781.52,750.00,769.70,769.70,"951,900"
"Dec 02, 2019",721.15,762.50,709.10,761.00,761.00,"1,236,800"
"Nov 25, 2019",717.86,732.10,714.43,719.41,719.41,"925,900"
"Nov 18, 2019",723.10,736.99,703.69,711.85,711.85,"1,114,800"
"Nov 11, 2019",702.94,726.93,698.53,724.82,724.82,"727,100"
"Nov 04, 2019",721.66,730.19,680.00,708.86,708.86,"1,233,900"
"Oct 28, 2019",701.56,717.11,691.31,714.18,714.18,"612,000"
"Oct 21, 2019",688.14,703.68,678.37,698.19,698.19,"809,200"
"Oct 14, 2019",689.66,690.62,665.24,680.50,680.50,"1,120,100"
"Oct 07, 2019",681.66,697.48,641.70,688.10,688.10,"1,009,800"
"Sep 30, 2019",701.62,709.53,655.98,686.27,686.27,"983,700"
"Sep 23, 2019",705.44,714.20,686.33,699.28,699.28,"735,100"
"Sep 16, 2019",708.84,716.27,698.97,709.18,709.18,"705,600"
"Sep 09, 2019",688.08,726.67,669.92,713.00,713.00,"1,035,500"
"Sep 02, 2019",654.98,689.73,646.43,684.98,684.98,"783,900"
"Aug 26, 2019",648.00,661.05,638.92,656.79,656.79,"1,038,900"
"Aug 19, 2019",675.16,683.77,640.02,642.84,642.84,"900,500"
"Aug 12, 2019",700.15,702.78,658.36,665.19,665.19,"1,141,300"
"Aug 05, 2019",701.48,714.96,686.62,702.28,702.28,"1,157,300"
"Jul 29, 2019",779.02,781.39,713.58,717.82,717.82,"1,639,400"
"Jul 22, 2019",816.58,825.24,772.81,775.11,775.11,"1,463,100"
"Jul 15, 2019",821.85,833.29,812.99,813.85,813.85,"771,300"
"Jul 08, 2019",855.00,867.94,830.27,835.44,835.44,"744,500"
"Jul 01, 2019",853.04,873.51,840.00,859.91,859.91,"548,200"
"Jun 24, 2019",828.59,840.00,820.08,840.00,840.00,"755,500"
