Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",12.05,12.98,11.00,12.38,12.38,"139,101,300"
"Apr 06, 2020",9.20,14.18,8.80,13.11,13.11,"179,320,400"
"Mar 30, 2020",11.11,12.40,8.08,8.46,8.46,"157,393,500"
"Mar 23, 2020",8.95,20.28,8.44,12.02,12.02,"217,047,400"
"Mar 16, 2020",10.46,13.41,7.03,8.72,8.72,"129,486,000"
"Mar 09, 2020",23.93,24.09,9.60,11.10,11.10,"128,374,300"
"Mar 02, 2020",37.10,37.10,26.55,27.10,27.10,"41,365,900"
"Feb 24, 2020",44.49,44.65,33.17,37.26,37.26,"40,234,400"
"Feb 17, 2020",52.09,52.35,46.85,46.97,46.97,"14,636,300"
"Feb 10, 2020",52.25,54.28,50.97,52.46,52.46,"10,811,300"
"Feb 03, 2020",54.19,55.85,52.31,52.81,52.81,"10,607,500"
"Jan 27, 2020",53.12,56.22,52.77,53.85,53.85,"11,200,700"
"Jan 20, 2020",59.00,59.03,55.23,55.84,55.84,"9,048,500"
"Jan 13, 2020",57.98,59.78,57.15,59.65,59.65,"6,723,300"
"Jan 06, 2020",57.08,58.39,56.48,57.96,57.96,"6,947,700"
"Dec 30, 2019",59.10,59.11,57.25,57.60,57.60,"4,139,800"
"Dec 23, 2019",57.52,59.34,57.36,59.11,59.11,"4,221,300"
"Dec 16, 2019",56.36,57.98,54.59,57.56,57.56,"9,579,100"
"Dec 09, 2019",54.75,56.72,54.35,55.78,55.78,"5,431,400"
"Dec 02, 2019",53.70,55.18,52.10,54.71,54.71,"6,619,500"
"Nov 25, 2019",54.36,54.71,53.58,53.64,53.64,"4,917,700"
"Nov 18, 2019",53.10,54.32,52.26,54.01,54.01,"10,287,900"
"Nov 11, 2019",51.56,53.24,50.83,53.06,53.06,"7,031,900"
"Nov 04, 2019",51.71,54.00,50.05,51.82,51.82,"11,648,300"
"Oct 28, 2019",51.53,53.15,49.97,51.33,51.33,"9,029,700"
"Oct 21, 2019",50.98,51.66,49.76,51.47,51.47,"6,126,400"
"Oct 14, 2019",48.89,50.50,48.80,50.21,50.21,"5,745,700"
"Oct 07, 2019",48.44,49.86,46.96,49.16,49.16,"6,102,500"
"Sep 30, 2019",51.34,52.53,47.74,48.44,48.44,"10,458,700"
"Sep 23, 2019",53.36,54.41,50.50,51.02,51.02,"7,300,900"
"Sep 16, 2019",53.62,54.53,52.72,53.67,53.67,"8,815,900"
"Sep 09, 2019",52.44,55.75,52.44,54.68,54.68,"9,660,400"
"Sep 02, 2019",50.27,52.47,49.44,52.12,52.12,"6,589,700"
"Aug 26, 2019",50.15,50.88,48.54,50.75,50.75,"8,984,200"
"Aug 19, 2019",51.32,51.65,49.57,49.72,49.72,"9,402,600"
"Aug 12, 2019",49.31,50.72,48.42,50.48,50.48,"13,532,200"
"Aug 05, 2019",46.40,50.14,45.64,49.66,49.66,"17,588,900"
"Jul 29, 2019",48.99,49.91,47.00,47.45,47.45,"11,638,500"
"Jul 22, 2019",48.51,49.67,47.74,49.04,49.04,"12,575,900"
"Jul 15, 2019",49.90,51.13,48.54,48.60,48.60,"8,823,900"
"Jul 08, 2019",51.65,51.74,48.90,49.79,49.79,"11,707,400"
"Jul 01, 2019",54.30,54.30,51.84,51.95,51.95,"7,491,800"
"Jun 24, 2019",50.91,53.63,49.88,53.63,53.63,"12,521,000"
"Jun 17, 2019",54.23,54.41,51.09,51.11,51.11,"11,735,600"
"Jun 10, 2019",52.59,54.54,52.53,54.28,54.28,"8,263,600"
"Jun 03, 2019",54.64,54.87,51.01,52.59,52.59,"20,216,200"
"May 27, 2019",55.48,55.83,54.27,54.71,54.71,"4,860,800"
"May 20, 2019",56.00,56.99,55.19,55.38,55.38,"7,344,000"
"May 13, 2019",57.02,57.87,55.09,56.92,56.92,"10,276,500"
"May 06, 2019",57.04,58.57,55.77,57.90,57.90,"12,691,600"
"Apr 29, 2019",57.30,59.60,56.11,58.25,58.25,"12,129,600"
"Apr 22, 2019",56.57,57.51,56.22,57.27,57.27,"7,173,600"
"Apr 15, 2019",58.69,59.71,56.60,56.92,56.92,"9,465,800"
"Apr 08, 2019",57.10,58.81,55.66,58.60,58.60,"8,923,700"
"Apr 01, 2019",55.47,57.42,55.42,57.13,57.13,"6,691,400"
"Mar 25, 2019",55.53,55.75,53.26,54.96,54.96,"11,796,400"
"Mar 18, 2019",55.74,56.67,55.06,55.62,55.62,"10,211,700"
"Mar 11, 2019",55.06,55.96,54.56,55.55,55.55,"9,257,800"
"Mar 04, 2019",55.29,55.64,54.04,55.01,55.01,"11,457,200"
"Feb 25, 2019",56.26,56.43,54.54,55.27,55.27,"14,803,700"
"Feb 18, 2019",53.77,55.97,52.96,55.35,55.35,"11,963,900"
"Feb 11, 2019",51.55,53.03,51.35,53.03,53.03,"6,575,900"
"Feb 04, 2019",51.33,53.18,50.66,51.31,51.31,"8,773,400"
"Jan 28, 2019",47.29,51.97,47.25,51.47,51.47,"18,314,500"
"Jan 21, 2019",47.18,47.99,46.08,47.93,47.93,"5,320,700"
"Jan 14, 2019",45.70,47.61,45.42,47.53,47.53,"8,809,900"
"Jan 07, 2019",43.00,46.41,42.81,46.19,46.19,"8,939,600"
"Dec 31, 2018",42.29,43.34,40.50,43.03,43.03,"9,010,500"
"Dec 24, 2018",40.36,42.41,39.36,41.98,41.98,"7,051,900"
"Dec 17, 2018",47.56,48.00,40.54,40.79,40.79,"17,386,400"
"Dec 10, 2018",47.66,48.89,46.70,47.62,47.62,"7,671,600"
"Dec 03, 2018",52.00,52.88,47.17,47.59,47.59,"14,100,400"
"Nov 26, 2018",51.16,52.73,50.09,51.32,51.32,"19,728,500"
"Nov 19, 2018",50.45,51.33,47.99,50.74,50.74,"6,478,400"
"Nov 12, 2018",48.60,51.06,48.40,50.43,50.43,"12,813,700"
"Nov 05, 2018",45.80,50.40,45.55,48.75,48.75,"15,449,400"
"Oct 29, 2018",44.45,46.84,41.61,45.80,45.80,"20,645,000"
"Oct 22, 2018",49.24,49.55,43.46,43.88,43.88,"14,891,000"
"Oct 15, 2018",50.68,52.08,48.89,49.00,49.00,"11,140,000"
"Oct 08, 2018",54.16,54.41,49.99,50.70,50.70,"9,827,900"
"Oct 01, 2018",57.60,57.86,53.91,54.24,54.24,"6,684,300"
"Sep 24, 2018",57.60,57.91,53.57,57.43,57.43,"11,714,800"
"Sep 17, 2018",55.47,58.09,55.27,57.88,57.88,"9,494,800"
"Sep 10, 2018",53.72,55.69,52.62,55.47,55.47,"7,487,500"
"Sep 03, 2018",53.53,53.83,52.53,53.37,53.37,"4,945,100"
"Aug 27, 2018",53.40,54.55,53.08,53.61,53.61,"7,628,200"
