Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,25.030001,25.270000,24.139999,24.430000,21.129681,4834300
2012-01-08,24.410000,25.250000,24.270000,24.799999,21.449694,8668400
2012-01-15,24.950001,25.480000,24.469999,25.340000,21.916750,4715300
2012-01-22,25.430000,26.270000,25.350000,25.990000,22.478935,7087300
2012-01-29,25.740000,25.750000,24.500000,25.070000,21.683218,14173400
2012-02-05,24.969999,26.330000,24.910000,26.000000,22.487583,10591900
2012-02-12,26.219999,26.930000,26.020000,26.809999,23.188158,9803500
2012-02-19,26.760000,26.879999,25.969999,26.690001,23.084370,6500100
2012-02-26,26.459999,26.990000,26.070000,26.110001,22.582726,8559100
2012-03-04,26.160000,26.379999,25.410000,26.129999,22.600019,6632200
2012-03-11,26.080000,26.950001,25.780001,26.610001,23.015177,7617700
2012-03-18,26.740000,26.990000,26.200001,26.639999,23.041117,7100900
2012-03-25,26.889999,27.340000,25.680000,25.900000,22.401093,8704000
2012-04-01,25.820000,26.120001,25.070000,25.520000,22.072432,8891700
2012-04-08,25.120001,25.480000,24.490000,24.570000,21.250763,9035100
2012-04-15,24.719999,25.129999,24.400000,25.040001,21.657274,8680100
2012-04-22,24.730000,25.530001,24.719999,25.139999,21.743767,15510500
2012-04-29,25.070000,25.070000,23.240000,23.670000,20.472347,14465900
2012-05-06,23.480000,24.230000,23.080000,23.360001,20.204231,16191800
2012-05-13,23.139999,23.910000,21.920000,21.990000,19.019312,22090200
2012-05-20,21.600000,22.969999,21.480000,22.059999,19.079849,25948800
2012-05-27,22.280001,22.590000,21.320000,21.379999,18.491709,9997900
2012-06-03,21.350000,22.389999,21.250000,22.120001,19.131746,12984800
2012-06-10,22.120001,22.190001,21.030001,21.480000,18.578203,12422800
2012-06-17,21.440001,22.500000,21.330000,21.770000,18.942402,9985000
2012-06-24,21.440001,22.730000,21.049999,22.670000,19.725508,7890000
2012-07-01,22.780001,22.920000,22.059999,22.219999,19.333950,4320300
2012-07-08,22.090000,22.690001,21.580000,22.559999,19.629787,6203800
2012-07-15,22.530001,23.030001,22.150000,22.370001,19.464474,4636600
2012-07-22,22.049999,23.500000,21.730000,23.250000,20.230173,9439800
2012-07-29,23.230000,23.459999,22.350000,22.959999,19.977837,9820100
2012-08-05,23.070000,23.600000,23.049999,23.360001,20.325886,4599200
2012-08-12,23.379999,23.740000,23.100000,23.590000,20.526014,5200100
2012-08-19,23.650000,24.129999,22.490000,22.770000,19.812517,7121700
2012-08-26,22.920000,23.250000,22.600000,22.870001,19.899530,5567000
2012-09-02,22.790001,23.930000,22.760000,23.730000,20.647831,4691000
2012-09-09,23.610001,24.500000,23.490000,24.469999,21.291712,5731500
2012-09-16,24.400000,24.450001,23.500000,23.790001,20.814398,8062200
2012-09-23,23.650000,23.900000,22.879999,23.290001,20.376940,6408500
2012-09-30,23.379999,24.020000,23.180000,23.590000,20.639418,6124800
2012-10-07,23.450001,23.790001,23.160000,23.260000,20.350687,4972800
2012-10-14,23.280001,24.580000,23.110001,24.270000,21.234360,5554300
2012-10-21,24.070000,24.430000,23.480000,23.770000,20.796904,7682100
2012-10-28,23.990000,24.350000,23.680000,24.020000,21.015635,3988400
2012-11-04,23.900000,24.520000,23.480000,23.590000,20.639418,5287200
