Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",57.22,61.53,56.33,59.23,59.23,"49,015,400"
"Apr 06, 2020",48.43,57.70,48.43,57.31,57.31,"38,634,500"
"Mar 30, 2020",46.40,49.75,44.59,47.15,47.15,"45,044,300"
"Mar 23, 2020",41.44,50.29,40.39,46.35,46.35,"54,032,500"
"Mar 16, 2020",34.38,46.87,33.00,40.56,40.56,"66,092,800"
"Mar 09, 2020",50.00,50.58,39.39,39.50,39.50,"70,037,400"
"Mar 02, 2020",45.65,52.50,45.39,52.35,52.20,"63,433,400"
"Feb 24, 2020",51.15,51.34,42.37,44.63,44.50,"68,736,200"
"Feb 17, 2020",44.31,49.59,44.26,49.44,49.30,"38,310,700"
"Feb 10, 2020",44.09,44.67,43.62,44.07,43.95,"26,469,600"
"Feb 03, 2020",44.82,45.71,43.53,44.02,43.90,"35,462,200"
"Jan 27, 2020",44.83,45.41,43.74,45.06,44.93,"31,713,200"
"Jan 20, 2020",43.23,44.36,43.09,44.29,44.17,"22,933,100"
"Jan 13, 2020",42.53,44.01,42.11,43.48,43.36,"32,476,700"
"Jan 06, 2020",43.76,43.85,41.55,42.27,42.15,"42,018,600"
"Dec 30, 2019",42.82,44.08,42.79,42.83,42.71,"27,992,900"
"Dec 23, 2019",41.00,43.04,40.85,42.71,42.59,"22,919,500"
"Dec 16, 2019",41.39,41.45,40.35,40.93,40.81,"40,348,900"
"Dec 09, 2019",40.12,41.41,39.54,41.29,41.17,"34,346,200"
"Dec 02, 2019",38.30,40.19,38.25,39.80,39.55,"38,912,800"
"Nov 25, 2019",37.91,38.57,37.61,38.40,38.16,"23,895,000"
"Nov 18, 2019",37.52,38.75,37.43,38.09,37.85,"23,315,200"
"Nov 11, 2019",36.51,37.77,36.46,37.61,37.37,"21,591,800"
"Nov 04, 2019",39.52,39.59,36.07,36.61,36.38,"42,052,100"
"Oct 28, 2019",38.81,39.86,38.28,39.61,39.36,"25,606,900"
"Oct 21, 2019",38.65,39.78,37.71,39.18,38.93,"24,717,600"
"Oct 14, 2019",37.57,38.79,37.26,38.44,38.20,"23,734,800"
"Oct 07, 2019",37.96,39.11,37.55,37.62,37.38,"29,932,600"
"Sep 30, 2019",37.63,38.77,37.45,38.31,38.07,"33,274,300"
"Sep 23, 2019",39.80,40.65,38.31,38.40,38.16,"35,403,800"
"Sep 16, 2019",39.05,40.17,38.08,39.84,39.59,"39,508,700"
"Sep 09, 2019",39.24,40.17,37.55,38.62,38.23,"42,018,700"
"Sep 02, 2019",40.01,41.06,38.62,38.66,38.27,"29,735,600"
"Aug 26, 2019",39.55,41.23,39.21,39.89,39.49,"36,203,300"
"Aug 19, 2019",38.03,39.70,37.84,39.30,38.91,"33,311,900"
"Aug 12, 2019",39.34,39.46,37.27,38.58,38.19,"41,224,900"
"Aug 05, 2019",37.91,39.94,37.04,39.03,38.64,"49,147,700"
"Jul 29, 2019",37.48,37.93,35.65,36.91,36.54,"40,790,800"
"Jul 22, 2019",39.36,40.33,36.90,37.28,36.91,"44,862,600"
"Jul 15, 2019",39.38,39.98,38.55,39.29,38.90,"33,564,800"
"Jul 08, 2019",38.58,39.49,38.00,39.42,39.03,"26,828,100"
"Jul 01, 2019",37.63,38.91,37.21,38.42,38.04,"27,617,900"
"Jun 24, 2019",37.74,38.74,37.21,38.47,38.09,"53,325,200"
"Jun 17, 2019",35.91,38.47,35.61,37.49,37.11,"67,331,500"
"Jun 10, 2019",35.14,36.24,34.83,35.93,35.57,"52,199,300"
"Jun 03, 2019",33.30,35.85,32.86,35.67,35.17,"57,236,300"
"May 27, 2019",31.75,33.40,31.10,33.09,32.63,"38,015,300"
"May 20, 2019",30.90,32.03,30.80,31.92,31.47,"36,235,400"
"May 13, 2019",30.47,31.08,30.21,30.92,30.49,"39,441,900"
"May 06, 2019",30.11,31.13,29.77,30.15,29.73,"43,261,900"
"Apr 29, 2019",31.34,31.45,29.94,30.22,29.80,"46,182,100"
"Apr 22, 2019",33.24,33.25,31.17,31.46,31.02,"59,547,600"
"Apr 15, 2019",35.98,36.22,32.87,33.04,31.78,"133,296,200"
"Apr 08, 2019",36.71,36.83,35.60,36.25,34.87,"39,449,400"
"Apr 01, 2019",35.84,36.53,35.38,36.50,35.11,"44,936,900"
"Mar 25, 2019",34.81,36.03,34.50,35.77,34.41,"80,818,700"
"Mar 18, 2019",33.32,34.80,32.66,34.50,33.19,"78,517,000"
"Mar 11, 2019",33.28,34.94,32.46,33.14,31.88,"102,911,800"
"Mar 04, 2019",33.80,34.75,32.94,33.71,32.30,"58,169,200"
"Feb 25, 2019",36.30,36.49,33.67,33.82,32.40,"62,771,500"
"Feb 18, 2019",33.62,37.63,33.00,36.48,34.95,"67,881,100"
"Feb 11, 2019",33.52,33.88,32.75,33.24,31.85,"28,476,900"
"Feb 04, 2019",33.43,34.31,33.31,33.84,32.42,"23,265,000"
"Jan 28, 2019",33.34,34.25,32.67,33.84,32.42,"40,924,600"
"Jan 21, 2019",31.76,33.20,31.45,33.16,31.77,"33,705,400"
"Jan 14, 2019",32.85,33.49,30.67,31.77,30.44,"66,165,900"
"Jan 07, 2019",34.67,35.18,33.39,34.88,33.42,"25,415,400"
"Dec 31, 2018",34.47,34.87,33.28,34.38,32.94,"22,629,700"
"Dec 24, 2018",33.98,35.08,33.91,34.47,33.02,"20,888,700"
"Dec 17, 2018",33.54,34.67,32.00,33.53,32.12,"51,398,200"
"Dec 10, 2018",33.41,34.49,33.21,33.31,31.91,"28,448,500"
"Dec 03, 2018",32.80,34.13,32.42,33.39,31.73,"26,941,300"
"Nov 26, 2018",32.58,33.13,31.60,32.34,30.73,"25,460,500"
"Nov 19, 2018",33.29,33.70,32.35,32.46,30.84,"17,674,200"
"Nov 12, 2018",31.95,33.65,30.93,33.32,31.66,"28,857,500"
"Nov 05, 2018",32.46,32.79,31.51,32.02,30.42,"21,073,300"
"Oct 29, 2018",30.11,32.49,29.70,32.42,30.80,"32,285,000"
"Oct 22, 2018",32.09,32.79,29.06,30.00,28.50,"45,186,100"
"Oct 15, 2018",32.56,33.25,31.00,32.19,30.59,"29,045,700"
"Oct 08, 2018",30.01,32.90,29.76,32.04,30.44,"37,364,300"
"Oct 01, 2018",30.20,31.59,30.02,30.58,29.06,"25,792,600"
"Sep 24, 2018",31.69,32.09,29.30,30.20,28.69,"35,108,900"
"Sep 17, 2018",30.53,31.94,30.30,31.56,29.99,"31,547,100"
"Sep 10, 2018",29.98,30.90,29.16,30.38,28.73,"26,655,300"
"Sep 03, 2018",30.59,30.64,29.85,30.13,28.49,"23,090,500"
"Aug 27, 2018",32.10,32.49,30.73,31.03,29.34,"25,589,200"
"Aug 20, 2018",32.28,32.52,31.46,32.03,30.29,"28,577,400"
"Aug 13, 2018",35.37,35.72,31.45,32.06,30.32,"41,138,300"
"Aug 06, 2018",36.29,36.75,35.39,35.60,33.67,"23,414,100"
"Jul 30, 2018",36.78,36.99,36.02,36.46,34.48,"22,267,700"
"Jul 23, 2018",36.95,38.63,36.52,36.89,34.89,"25,499,000"
