Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",85.80,90.25,83.71,89.91,89.91,"37,013,900"
"Apr 06, 2020",81.91,88.87,81.21,86.79,86.79,"36,150,900"
"Mar 30, 2020",84.00,85.96,77.16,78.86,78.86,"51,549,700"
"Mar 23, 2020",65.00,86.86,60.58,83.23,83.23,"94,976,900"
"Mar 16, 2020",65.28,74.06,60.00,67.45,67.45,"86,536,700"
"Mar 09, 2020",81.89,88.40,71.76,75.58,75.58,"85,595,000"
"Mar 02, 2020",89.60,94.98,85.88,88.36,88.36,"56,961,500"
"Feb 24, 2020",95.54,97.07,85.15,89.38,89.13,"56,666,100"
"Feb 17, 2020",103.00,103.39,99.63,100.25,99.97,"23,295,200"
"Feb 10, 2020",99.22,103.89,99.00,103.54,103.25,"26,853,400"
"Feb 03, 2020",99.00,102.78,98.57,99.44,99.16,"32,159,200"
"Jan 27, 2020",98.21,101.30,95.92,96.30,96.03,"35,863,700"
"Jan 20, 2020",104.25,105.62,101.66,102.03,101.75,"20,828,300"
"Jan 13, 2020",101.00,104.55,100.82,104.53,104.24,"28,863,000"
"Jan 06, 2020",100.95,102.74,100.76,100.90,100.62,"26,417,300"
"Dec 30, 2019",101.54,102.21,100.31,101.92,101.64,"16,894,700"
"Dec 23, 2019",100.23,101.79,99.55,101.57,101.29,"18,696,000"
"Dec 16, 2019",98.14,101.40,98.06,99.96,99.68,"52,450,100"
"Dec 09, 2019",97.02,98.29,96.16,97.77,97.50,"25,082,200"
"Dec 02, 2019",94.09,97.31,91.31,97.00,96.73,"27,233,600"
"Nov 25, 2019",93.78,94.61,92.74,93.49,92.99,"17,886,300"
"Nov 18, 2019",93.50,95.12,91.93,93.34,92.84,"27,526,900"
"Nov 11, 2019",89.37,93.56,89.37,93.04,92.54,"25,971,300"
"Nov 04, 2019",90.13,90.72,88.74,89.81,89.33,"32,450,100"
"Oct 28, 2019",91.06,91.30,88.94,89.18,88.70,"39,491,300"
"Oct 21, 2019",96.61,96.87,90.75,90.92,90.43,"42,821,600"
"Oct 14, 2019",94.20,96.46,94.05,96.10,95.58,"23,448,400"
"Oct 07, 2019",92.50,94.57,90.41,93.88,93.38,"29,022,300"
"Sep 30, 2019",92.53,94.75,90.35,93.07,92.57,"33,113,700"
"Sep 23, 2019",86.98,92.86,86.76,92.31,91.82,"57,152,400"
"Sep 16, 2019",87.09,88.72,86.47,86.68,86.22,"23,364,600"
"Sep 09, 2019",88.94,89.35,85.87,87.32,86.85,"25,930,300"
"Sep 02, 2019",84.00,88.98,83.62,88.69,88.21,"20,465,700"
"Aug 26, 2019",81.44,85.99,80.74,84.50,83.83,"22,639,500"
"Aug 19, 2019",82.00,83.72,79.45,80.44,79.80,"33,454,600"
"Aug 12, 2019",81.41,84.15,79.25,80.28,79.64,"30,121,000"
"Aug 05, 2019",79.66,83.43,78.19,81.98,81.33,"35,101,900"
"Jul 29, 2019",87.65,87.91,80.79,81.14,80.50,"30,399,900"
"Jul 22, 2019",86.56,87.84,85.83,87.54,86.85,"27,086,700"
"Jul 15, 2019",89.06,89.87,86.48,86.55,85.86,"25,269,700"
"Jul 08, 2019",86.06,89.31,85.97,89.12,88.41,"27,440,500"
"Jul 01, 2019",84.93,86.91,84.22,86.82,86.13,"24,248,500"
"Jun 24, 2019",86.00,86.85,82.16,83.95,83.28,"45,102,200"
"Jun 17, 2019",83.34,85.75,82.01,85.75,85.07,"33,229,700"
"Jun 10, 2019",83.75,84.34,82.45,83.44,82.78,"20,124,100"
"Jun 03, 2019",77.24,83.68,77.08,83.41,82.75,"36,209,600"
"May 27, 2019",82.85,83.19,77.07,77.14,76.32,"33,113,100"
"May 20, 2019",83.80,83.80,81.99,82.16,81.28,"33,885,400"
"May 13, 2019",81.65,85.52,81.32,84.57,83.67,"30,650,000"
"May 06, 2019",83.77,84.27,81.54,83.95,83.05,"43,936,300"
"Apr 29, 2019",88.18,88.51,84.99,85.70,84.78,"32,759,100"
"Apr 22, 2019",88.35,88.94,87.01,88.31,87.37,"34,256,700"
"Apr 15, 2019",86.89,90.00,86.44,89.20,88.25,"22,399,100"
"Apr 08, 2019",85.01,86.49,83.97,86.24,85.32,"21,813,100"
"Apr 01, 2019",85.04,86.16,84.16,85.40,84.49,"26,280,200"
"Mar 25, 2019",81.48,84.85,80.89,84.21,83.31,"44,180,000"
"Mar 18, 2019",87.30,88.59,82.15,82.19,81.31,"52,431,100"
"Mar 11, 2019",85.39,87.61,85.02,86.80,85.87,"30,406,700"
"Mar 04, 2019",87.32,87.99,84.02,84.80,83.89,"24,505,300"
"Feb 25, 2019",85.39,87.99,84.96,87.16,86.01,"28,799,600"
"Feb 18, 2019",84.58,85.05,83.35,84.76,83.64,"24,570,700"
"Feb 11, 2019",82.95,85.78,82.87,85.38,84.25,"28,771,900"
"Feb 04, 2019",81.22,83.19,80.83,82.36,81.27,"23,079,000"
"Jan 28, 2019",79.80,81.95,79.74,81.51,80.43,"28,790,800"
"Jan 21, 2019",80.33,81.40,79.55,80.61,79.54,"23,815,000"
"Jan 14, 2019",75.46,80.97,75.46,80.45,79.39,"35,728,300"
"Jan 07, 2019",74.74,77.40,74.30,76.04,75.03,"47,423,300"
"Dec 31, 2018",73.98,75.12,71.21,74.65,73.66,"28,133,400"
"Dec 24, 2018",71.40,74.46,68.08,73.34,72.37,"33,772,500"
"Dec 17, 2018",71.37,74.29,66.53,72.37,71.41,"69,583,500"
"Dec 10, 2018",73.10,75.28,70.61,72.53,71.57,"36,655,900"
"Dec 03, 2018",77.10,79.00,72.87,73.34,72.37,"34,839,600"
"Nov 26, 2018",72.34,75.48,71.30,75.12,73.91,"31,017,500"
"Nov 19, 2018",74.69,74.75,69.52,71.49,70.34,"25,707,200"
"Nov 12, 2018",76.35,77.49,72.89,74.74,73.53,"33,696,200"
"Nov 05, 2018",76.49,78.23,75.53,76.36,75.13,"29,134,000"
"Oct 29, 2018",73.26,78.59,71.39,76.58,75.34,"41,212,600"
"Oct 22, 2018",74.65,75.21,70.69,72.07,70.91,"42,819,300"
"Oct 15, 2018",75.77,77.80,74.14,74.21,73.01,"35,273,500"
"Oct 08, 2018",80.04,81.49,73.90,75.91,74.68,"50,605,800"
"Oct 01, 2018",85.10,85.85,79.43,80.12,78.83,"42,550,200"
"Sep 24, 2018",85.16,85.27,81.95,84.72,83.35,"49,180,300"
"Sep 17, 2018",83.49,86.04,82.94,85.55,84.17,"40,664,900"
"Sep 10, 2018",81.39,83.90,81.22,83.49,82.14,"29,783,200"
"Sep 03, 2018",79.39,81.16,79.00,80.30,79.00,"46,045,700"
"Aug 27, 2018",83.04,83.63,81.01,82.20,80.67,"25,812,800"
"Aug 20, 2018",81.52,83.68,80.95,82.45,80.92,"27,600,400"
"Aug 13, 2018",80.82,81.15,79.12,79.75,78.27,"29,715,300"
"Aug 06, 2018",78.74,81.88,78.43,80.73,79.23,"24,621,800"
"Jul 30, 2018",76.88,79.07,75.43,78.74,77.28,"31,495,100"
"Jul 23, 2018",76.71,78.44,75.06,76.89,75.46,"28,626,500"
"Jul 16, 2018",77.36,78.10,75.80,76.96,75.53,"25,333,600"
