Date,Open,High,Low,Close,Adj Close,Volume
2019-03-03,21.629999,21.959999,21.500000,21.950001,12.452044,4091400
2019-03-10,21.980000,23.250000,21.980000,23.020000,13.059047,24890600
2019-03-17,23.020000,23.639999,22.830000,22.860001,12.968280,16163300
2019-03-24,22.830000,23.270000,22.459999,22.990000,13.042027,15621900
2019-03-31,23.100000,23.530001,22.770000,22.990000,13.042027,23165900
2019-04-07,23.709999,24.770000,23.520000,23.959999,13.592299,27067600
2019-04-14,23.990000,24.770000,23.990000,24.400000,13.841908,20150900
2019-04-21,24.250000,24.490000,23.950001,24.240000,13.751141,18869800
2019-04-28,24.270000,24.480000,23.240000,23.549999,13.359710,18400800
2019-05-05,23.129999,23.309999,17.889999,19.389999,10.999777,55181000
2019-05-12,19.160000,20.209999,18.770000,19.840000,11.255058,52437400
2019-05-19,19.610001,20.660000,19.600000,19.850000,11.260733,37748900
2019-05-26,19.870001,20.030001,18.540001,18.730000,10.625366,24959500
2019-06-02,18.650000,19.230000,17.500000,19.150000,10.863628,41954200
2019-06-09,19.209999,19.610001,18.059999,19.360001,11.026401,39266200
2019-06-16,19.820000,20.940001,19.690001,20.840000,11.869327,40277500
2019-06-23,20.840000,21.820000,20.730000,21.760000,12.393310,30359700
2019-06-30,22.100000,25.540001,21.879999,25.000000,14.238637,62798000
2019-07-07,25.930000,26.070000,25.379999,25.570000,14.563277,71369000
2019-07-14,22.000000,23.650000,21.559999,22.270000,12.683778,82409300
2019-07-21,22.250000,23.000000,22.049999,22.730000,12.945768,27482500
2019-07-28,22.650000,22.660000,21.090000,21.150000,12.045886,24709800
2019-08-04,21.000000,23.049999,20.010000,22.990000,13.093850,66009700
2019-08-11,22.750000,23.530001,21.450001,23.510000,13.390015,65906700
2019-08-18,23.650000,23.930000,23.120001,23.219999,13.224846,33420800
2019-08-25,23.500000,23.500000,22.540001,23.250000,13.284274,22560800
2019-09-01,23.139999,25.770000,22.959999,24.520000,14.009911,31146500
2019-09-08,24.670000,24.959999,24.070000,24.459999,13.975628,32245200
2019-09-15,24.350000,24.570000,23.790001,23.879999,13.644235,36781400
2019-09-22,23.809999,24.030001,23.330000,23.500000,13.427115,19204900
2019-09-29,23.520000,23.760000,23.000000,23.480000,13.415688,18473300
2019-10-06,23.469999,23.930000,23.139999,23.559999,13.461398,18280400
2019-10-13,23.510000,23.790001,23.010000,23.010000,13.147146,17413900
2019-10-20,23.129999,23.299999,22.600000,22.690001,12.964310,14334100
2019-10-27,22.820000,23.209999,22.639999,22.879999,13.072869,19193800
2019-11-03,23.590000,24.900000,23.370001,24.830000,14.187034,28730700
2019-11-10,24.559999,24.860001,24.090000,24.830000,14.187034,20044500
2019-11-17,24.850000,24.900000,24.379999,24.520000,14.009911,13219500
2019-11-24,24.559999,25.000000,24.500000,24.900000,14.299780,13301200
2019-12-01,24.770000,25.650000,24.520000,25.459999,14.621381,54452600
2019-12-08,25.299999,26.709999,25.299999,26.000000,14.931497,65068800
2019-12-15,26.090000,26.700001,25.480000,25.510000,14.650096,57189600
2019-12-22,25.580000,25.860001,25.410000,25.600000,14.701781,12199800
2019-12-29,25.600000,26.030001,25.309999,25.830000,14.833867,13218100
2020-01-05,25.980000,27.459999,25.920000,26.490000,15.212897,49482400
2020-01-12,26.750000,28.219999,26.209999,28.129999,16.154732,88431900
2020-01-19,28.000000,28.700001,27.809999,28.070000,16.120274,48583700
2020-01-26,27.719999,28.600000,27.340000,28.420000,16.321276,31550200
2020-02-02,16.700001,20.770000,16.639999,19.730000,11.330709,80507200
2020-02-09,19.940001,21.100000,19.850000,20.660000,20.535782,47225700
2020-02-16,20.450001,20.889999,20.260000,20.469999,20.346924,33830300
2020-02-23,20.100000,20.320000,17.969999,19.030001,19.030001,50703600
2020-03-01,19.040001,20.360001,18.330000,18.680000,18.680000,45336400
2020-03-08,17.350000,18.340000,15.900000,17.450001,17.450001,48479400
2020-03-15,16.010000,17.570000,15.120000,16.959999,16.959999,60597800
2020-03-22,16.750000,19.389999,16.059999,18.930000,18.930000,44127700
2020-03-29,19.240000,19.670000,18.040001,18.290001,18.290001,34303600
2020-04-05,18.780001,19.820000,18.480000,19.370001,19.370001,19641900
2020-04-12,19.260000,20.740000,18.629999,20.120001,20.120001,31869000
2020-04-19,20.090000,21.219999,19.059999,20.959999,20.959999,33210100
2020-04-26,21.400000,21.830000,20.840000,21.280001,21.280001,23322400
