Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",56.60,56.69,49.63,52.37,52.37,"17,555,300"
"Apr 06, 2020",47.02,60.73,46.00,56.68,56.68,"19,149,100"
"Mar 30, 2020",57.03,57.62,43.41,43.60,43.41,"24,820,300"
"Mar 23, 2020",46.54,60.13,40.39,56.90,56.65,"27,695,200"
"Mar 16, 2020",63.80,66.50,38.00,47.42,47.21,"29,186,400"
"Mar 09, 2020",71.31,76.68,66.06,71.92,71.60,"21,388,900"
"Mar 02, 2020",72.99,78.33,71.66,76.65,76.31,"16,778,100"
"Feb 24, 2020",82.12,83.40,69.38,72.39,71.84,"30,943,500"
"Feb 17, 2020",80.50,84.92,79.41,82.44,81.82,"8,031,900"
"Feb 10, 2020",80.00,80.35,78.00,80.25,79.64,"7,960,400"
"Feb 03, 2020",78.45,79.80,77.40,79.51,78.91,"7,300,400"
"Jan 27, 2020",76.90,79.15,76.75,78.41,77.59,"16,930,500"
"Jan 20, 2020",76.36,78.17,76.35,77.13,76.32,"5,183,100"
"Jan 13, 2020",73.91,76.75,73.81,76.35,75.55,"8,318,600"
"Jan 06, 2020",73.65,74.70,73.16,73.74,72.97,"9,124,400"
"Dec 30, 2019",72.98,74.00,71.93,73.79,72.79,"6,657,200"
"Dec 23, 2019",72.68,73.39,71.80,73.25,72.26,"3,944,900"
"Dec 16, 2019",72.81,73.51,71.44,72.50,71.52,"13,975,300"
"Dec 09, 2019",76.16,76.16,72.13,72.50,71.52,"12,231,900"
"Dec 02, 2019",76.40,76.59,75.02,75.94,74.91,"8,409,400"
"Nov 25, 2019",76.44,77.88,76.26,76.63,75.37,"8,255,600"
"Nov 18, 2019",77.49,79.15,75.70,76.22,74.97,"7,704,300"
"Nov 11, 2019",76.45,77.55,75.63,77.46,76.19,"9,284,000"
"Nov 04, 2019",80.89,81.05,76.21,76.32,75.07,"12,648,300"
"Oct 28, 2019",80.57,82.17,80.19,81.08,79.53,"10,258,500"
"Oct 21, 2019",79.35,81.14,79.18,80.88,79.33,"7,233,900"
"Oct 14, 2019",78.00,79.57,77.27,79.47,77.95,"5,984,700"
"Oct 07, 2019",77.98,78.97,77.40,77.89,76.40,"6,322,000"
"Sep 30, 2019",76.76,78.46,75.69,78.41,76.68,"7,146,300"
"Sep 23, 2019",75.90,77.51,75.37,77.13,75.43,"7,622,200"
"Sep 16, 2019",72.74,76.24,72.74,75.89,74.22,"9,160,300"
"Sep 09, 2019",75.72,75.90,72.39,72.63,71.03,"9,119,200"
"Sep 02, 2019",73.75,76.73,73.72,75.95,74.28,"7,686,900"
"Aug 26, 2019",72.92,74.17,72.48,73.81,71.96,"6,404,800"
"Aug 19, 2019",72.82,73.83,72.10,72.50,70.68,"4,660,200"
"Aug 12, 2019",72.62,73.12,71.52,72.81,70.99,"6,298,900"
"Aug 05, 2019",70.13,72.75,68.27,72.68,70.86,"9,367,800"
"Jul 29, 2019",69.78,70.89,68.80,70.05,68.07,"9,601,400"
"Jul 22, 2019",68.82,69.82,68.17,69.54,67.58,"6,171,800"
"Jul 15, 2019",70.82,71.24,68.70,68.74,66.80,"6,286,500"
"Jul 08, 2019",70.00,71.44,69.72,70.73,68.74,"7,727,300"
"Jul 01, 2019",69.13,70.68,67.70,69.99,68.02,"6,193,500"
"Jun 24, 2019",72.59,72.85,68.30,68.97,66.81,"10,090,200"
"Jun 17, 2019",73.49,73.97,72.06,72.25,69.98,"12,926,300"
"Jun 10, 2019",72.61,73.67,71.37,73.27,70.97,"6,833,800"
"Jun 03, 2019",70.33,73.48,69.74,72.65,70.37,"8,584,400"
"May 27, 2019",70.77,71.22,68.61,70.08,67.66,"6,536,500"
"May 20, 2019",69.27,71.00,68.10,70.53,68.09,"8,788,800"
"May 13, 2019",67.97,69.74,67.74,69.27,66.88,"11,837,900"
"May 06, 2019",70.12,70.70,66.21,68.24,65.88,"25,192,600"
"Apr 29, 2019",70.50,71.85,69.00,70.30,67.65,"7,703,900"
"Apr 22, 2019",68.49,70.82,67.22,70.58,67.92,"6,260,700"
"Apr 15, 2019",71.39,71.45,67.77,68.53,65.95,"7,684,900"
