Date,Open,High,Low,Close,Adj Close,Volume
2014-04-14,17.900000,17.920000,15.150000,16.250000,16.250000,4060300
2014-04-21,16.590000,16.688999,15.250000,15.300000,15.300000,345000
2014-04-28,15.430000,16.056000,14.510000,15.800000,15.800000,381800
2014-05-05,15.690000,15.990000,14.120000,14.510000,14.510000,232400
2014-05-12,14.730000,14.872000,13.570000,13.810000,13.810000,537400
2014-05-19,13.850000,15.610000,13.100000,14.530000,14.530000,829000
2014-05-26,14.570000,14.810000,13.120000,13.350000,13.350000,452800
2014-06-02,13.490000,14.500000,13.010000,14.450000,14.450000,316200
2014-06-09,14.450000,14.675000,13.400000,14.000000,14.000000,374700
2014-06-16,14.570000,14.710000,13.450000,14.120000,14.120000,525400
2014-06-23,14.200000,15.220000,13.980000,13.980000,13.980000,1107300
2014-06-30,14.270000,14.737000,13.910000,14.680000,14.680000,301300
2014-07-07,14.550000,14.665000,13.020000,13.030000,13.030000,379600
2014-07-14,13.050000,13.750000,12.282000,12.480000,12.480000,411700
2014-07-21,12.450000,13.460000,12.280000,13.000000,13.000000,313600
2014-07-28,12.950000,13.096000,12.350000,12.650000,12.650000,248200
2014-08-04,12.770000,14.080000,12.480000,13.580000,13.580000,479500
2014-08-11,13.700000,17.080000,13.650000,16.840000,16.840000,729600
2014-08-18,17.000000,17.690001,15.420000,17.450001,17.450001,859800
2014-08-25,17.549999,18.340000,16.840000,17.920000,17.920000,463500
2014-09-01,18.139999,18.320000,16.040001,16.430000,16.430000,1042100
2014-09-08,16.379999,18.030001,15.810000,17.740000,17.740000,820000
2014-09-15,17.830000,19.238001,16.500000,18.990000,18.990000,1294100
2014-09-22,18.850000,19.143000,16.820000,17.219999,17.219999,1072300
2014-09-29,17.100000,17.219999,15.740000,16.570000,16.570000,720800
2014-10-06,16.629999,16.639999,14.320000,14.880000,14.880000,779500
2014-10-13,14.950000,17.020000,14.790000,16.430000,16.430000,907700
2014-10-20,16.330000,16.889999,16.170000,16.510000,16.510000,335200
2014-10-27,16.469999,17.879999,16.340000,17.750000,17.750000,360300
2014-11-03,17.820000,22.490000,17.580000,21.420000,21.420000,1259400
2014-11-10,21.440001,23.780001,21.160000,23.690001,23.690001,831900
2014-11-17,23.840000,27.719999,23.549999,26.930000,26.930000,1145600
2014-11-24,27.170000,29.420000,26.500000,28.750000,28.750000,874700
2014-12-01,28.830000,29.260000,25.760000,27.330000,27.330000,832900
2014-12-08,27.350000,27.510000,23.799999,24.459999,24.459999,531100
2014-12-15,24.440001,28.139999,23.480000,27.209999,27.209999,600500
2014-12-22,27.350000,28.840000,26.010000,26.680000,26.680000,332900
2014-12-29,26.600000,26.980000,25.590000,26.059999,26.059999,250400
