Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",142.44,144.73,123.32,138.60,138.60,"9,170,900"
"Apr 06, 2020",126.53,148.83,123.42,145.17,145.17,"5,830,200"
"Mar 30, 2020",123.24,135.21,113.80,115.81,115.81,"9,296,400"
"Mar 23, 2020",100.75,134.99,93.51,121.28,121.28,"11,078,700"
"Mar 16, 2020",127.00,128.32,93.00,102.43,102.43,"11,095,500"
"Mar 09, 2020",150.00,160.07,126.19,140.32,140.32,"12,750,300"
"Mar 02, 2020",186.20,198.81,163.48,164.99,164.99,"9,147,300"
"Feb 24, 2020",207.20,208.04,176.30,184.77,184.77,"8,593,700"
"Feb 17, 2020",210.67,215.94,208.26,215.20,215.20,"3,353,300"
"Feb 10, 2020",206.54,215.40,206.25,211.84,211.84,"2,879,000"
"Feb 03, 2020",196.64,210.77,195.95,207.82,206.95,"5,208,900"
"Jan 27, 2020",194.09,209.29,192.50,195.69,194.87,"7,338,900"
"Jan 20, 2020",205.90,206.43,195.62,198.28,197.45,"3,903,800"
"Jan 13, 2020",205.53,209.75,204.02,207.00,206.13,"3,827,000"
"Jan 06, 2020",204.75,208.13,203.72,205.31,204.45,"3,534,700"
"Dec 30, 2019",207.00,209.77,203.19,206.82,205.96,"2,506,100"
"Dec 23, 2019",207.35,208.51,205.72,207.00,206.13,"1,633,900"
"Dec 16, 2019",210.05,211.19,203.13,206.86,205.99,"6,739,100"
"Dec 09, 2019",201.59,212.05,200.44,206.49,205.63,"4,489,900"
"Dec 02, 2019",199.85,203.50,192.40,202.38,201.53,"4,286,200"
"Nov 25, 2019",198.65,202.30,197.29,198.79,197.96,"3,658,400"
"Nov 18, 2019",197.24,198.08,193.09,197.91,197.08,"3,352,600"
"Nov 11, 2019",197.45,199.35,193.85,196.65,195.83,"3,082,500"
"Nov 04, 2019",198.32,201.38,196.00,199.54,197.83,"4,918,400"
"Oct 28, 2019",192.00,196.00,182.07,195.90,194.22,"7,598,400"
"Oct 21, 2019",185.79,191.61,181.59,190.70,189.06,"3,957,100"
"Oct 14, 2019",178.39,185.19,176.69,184.54,182.96,"4,192,300"
"Oct 07, 2019",173.34,182.01,166.19,179.66,178.12,"4,039,000"
"Sep 30, 2019",181.30,183.61,167.56,174.76,173.26,"3,732,600"
"Sep 23, 2019",175.55,182.53,174.37,180.46,178.91,"4,109,000"
"Sep 16, 2019",180.36,181.55,175.84,177.04,175.52,"3,833,500"
"Sep 09, 2019",174.23,184.65,173.22,182.23,180.67,"4,607,800"
"Sep 02, 2019",163.84,174.17,158.96,173.49,172.00,"3,035,600"
"Aug 26, 2019",159.87,167.39,156.54,165.77,163.44,"3,086,700"
"Aug 19, 2019",165.09,165.98,157.00,158.03,155.80,"2,944,000"
"Aug 12, 2019",163.52,167.06,156.02,161.82,159.54,"3,487,400"
"Aug 05, 2019",165.03,167.89,161.14,164.51,162.19,"3,336,800"
"Jul 29, 2019",174.81,182.08,167.66,168.99,166.61,"6,557,100"
"Jul 22, 2019",169.55,179.80,169.55,174.89,172.43,"3,725,300"
"Jul 15, 2019",168.80,172.40,165.42,169.61,167.22,"4,916,500"
"Jul 08, 2019",165.57,169.36,159.93,169.07,166.69,"5,608,700"
"Jul 01, 2019",172.71,172.71,164.13,166.63,164.28,"2,923,300"
"Jun 24, 2019",171.01,172.39,168.23,170.01,167.62,"4,668,000"
"Jun 17, 2019",164.45,173.00,161.30,171.04,168.63,"4,165,100"
"Jun 10, 2019",166.50,169.97,161.79,164.21,161.90,"3,978,900"
"Jun 03, 2019",152.45,166.81,152.45,165.54,163.21,"4,711,400"
"May 27, 2019",158.48,159.50,152.18,152.32,150.17,"3,951,100"
"May 20, 2019",162.76,166.95,156.93,158.30,156.07,"4,262,600"
"May 13, 2019",169.00,171.35,163.69,163.91,161.60,"6,047,900"
"May 06, 2019",175.50,177.80,167.89,173.62,170.30,"4,588,200"
"Apr 29, 2019",189.28,190.50,170.23,179.85,176.41,"6,615,700"
"Apr 22, 2019",189.59,190.97,181.15,183.00,179.50,"3,685,500"
"Apr 15, 2019",188.12,190.65,186.88,189.92,186.29,"3,061,000"
"Apr 08, 2019",182.28,189.02,180.43,188.64,185.03,"4,001,400"
"Apr 01, 2019",173.77,183.68,173.77,183.40,179.89,"4,354,800"
"Mar 25, 2019",162.88,172.36,162.47,171.62,168.34,"3,935,700"
"Mar 18, 2019",171.15,176.20,162.30,163.39,160.26,"4,930,800"
"Mar 11, 2019",169.12,173.57,168.92,170.77,167.50,"4,672,500"
"Mar 04, 2019",176.42,177.77,167.38,169.03,165.80,"3,755,700"
"Feb 25, 2019",177.12,178.47,174.49,176.05,172.68,"4,079,500"
"Feb 18, 2019",172.59,177.47,172.04,175.77,172.41,"3,016,600"
"Feb 11, 2019",162.86,173.72,162.79,173.66,170.34,"4,774,900"
"Feb 04, 2019",164.81,167.20,160.12,162.09,158.26,"3,546,100"
"Jan 28, 2019",158.24,166.75,155.19,164.39,160.51,"6,069,200"
"Jan 21, 2019",160.78,161.64,155.69,160.99,157.19,"3,558,900"
"Jan 14, 2019",156.38,164.17,153.70,162.49,158.65,"4,459,900"
"Jan 07, 2019",150.85,158.54,149.45,157.98,154.25,"4,740,100"
"Dec 31, 2018",149.01,151.43,143.80,151.33,147.76,"4,167,000"
"Dec 24, 2018",144.36,151.24,140.82,148.25,144.75,"3,114,400"
"Dec 17, 2018",150.50,153.88,142.86,145.58,142.14,"7,236,600"
"Dec 10, 2018",157.24,159.62,150.48,151.02,147.45,"4,399,100"
"Dec 03, 2018",176.28,179.21,156.20,157.04,153.33,"4,805,800"
"Nov 26, 2018",164.93,172.60,163.36,172.04,167.98,"5,231,000"
"Nov 19, 2018",170.44,171.08,162.30,163.54,159.68,"3,364,500"
"Nov 12, 2018",167.11,171.64,163.28,171.31,167.26,"6,928,000"
"Nov 05, 2018",162.25,172.13,161.17,167.33,162.65,"8,558,500"
"Oct 29, 2018",148.00,163.68,143.00,161.65,157.13,"10,107,300"
"Oct 22, 2018",158.53,158.93,144.03,145.46,141.39,"8,504,500"
"Oct 15, 2018",163.80,166.25,156.78,157.87,153.46,"7,113,200"
"Oct 08, 2018",181.29,182.11,164.37,167.30,162.62,"5,859,000"
"Oct 01, 2018",185.36,187.24,180.77,182.37,177.27,"5,331,200"
"Sep 24, 2018",191.41,191.41,183.21,183.93,178.79,"5,672,300"
"Sep 17, 2018",187.45,193.19,186.10,190.58,185.25,"5,458,200"
"Sep 10, 2018",178.84,187.31,177.92,187.15,181.92,"3,879,100"
"Sep 03, 2018",175.21,179.00,173.88,177.72,172.75,"2,925,600"
"Aug 27, 2018",171.84,176.24,171.71,175.60,169.93,"4,507,900"
"Aug 20, 2018",169.54,172.59,168.65,171.53,166.00,"5,479,000"
"Aug 13, 2018",168.02,169.67,163.70,169.57,164.10,"5,325,100"
"Aug 06, 2018",174.51,175.77,167.61,168.00,162.58,"5,373,000"
"Jul 30, 2018",164.28,172.60,157.32,172.51,166.94,"7,427,600"
"Jul 23, 2018",162.55,166.27,158.86,164.42,159.11,"6,415,600"
"Jul 16, 2018",159.89,165.32,156.76,163.47,158.20,"6,584,600"
"Jul 09, 2018",157.70,162.25,156.73,161.51,156.30,"5,254,300"
