Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,25.620001,25.940001,24.820000,25.770000,20.274014,4096100
2012-01-08,25.850000,26.709999,25.629999,26.150000,20.572969,4051200
2012-01-15,26.170000,26.850000,25.850000,26.840000,21.115814,3292400
2012-01-22,26.950001,28.520000,26.190001,28.280001,22.248703,4614300
2012-01-29,28.040001,29.250000,27.680000,29.000000,22.815149,2742000
2012-02-05,28.870001,29.309999,28.700001,29.040001,22.846617,2282900
2012-02-12,29.400000,29.840000,29.010000,29.420000,23.145575,2794600
2012-02-19,29.469999,29.950001,28.580000,28.930000,22.760078,2755100
2012-02-26,28.740000,30.059999,28.510000,29.959999,23.570414,4003000
2012-03-04,29.840000,30.620001,29.139999,30.200001,23.759218,3191300
2012-03-11,30.219999,30.370001,29.510000,29.709999,23.373726,5691500
2012-03-18,29.740000,30.090000,29.000000,29.650000,23.522018,2851700
2012-03-25,29.850000,30.000000,29.129999,29.590000,23.474415,2716900
2012-04-01,29.549999,29.799999,29.070000,29.350000,23.284019,2404900
2012-04-08,28.940001,29.170000,28.219999,28.809999,22.855629,3189900
2012-04-15,28.809999,29.559999,28.540001,29.440001,23.355415,3454700
2012-04-22,29.170000,29.750000,28.840000,29.620001,23.498222,3009100
2012-04-29,29.540001,29.540001,28.330000,28.389999,22.522430,2924300
2012-05-06,28.240000,28.540001,27.680000,27.959999,22.181299,3673300
2012-05-13,27.750000,28.059999,26.570000,26.639999,21.134119,2824300
2012-05-20,26.660000,27.350000,26.469999,26.950001,21.380047,3200500
2012-05-27,27.059999,27.530001,26.250000,26.290001,20.856453,2383100
2012-06-03,26.389999,27.620001,25.770000,27.610001,21.903639,2350500
2012-06-10,27.809999,27.860001,26.980000,27.690001,21.967106,2771000
2012-06-17,27.590000,28.200001,27.170000,27.440001,21.967682,2683400
2012-06-24,27.230000,28.299999,26.889999,28.240000,22.608143,2298000
2012-07-01,28.250000,28.959999,27.590000,28.240000,22.608143,2012700
2012-07-08,28.120001,29.379999,27.780001,29.000000,23.216576,3205200
2012-07-15,29.020000,31.000000,28.610001,30.700001,24.577547,5039300
2012-07-22,30.450001,31.120001,29.820000,30.770000,24.633593,3573000
2012-07-29,30.820000,31.139999,30.180000,30.850000,24.697634,2964700
2012-08-05,30.959999,31.219999,30.070000,30.670000,24.553528,3656400
2012-08-12,31.120001,32.630001,31.020000,31.959999,25.586267,7175800
2012-08-19,31.709999,32.290001,31.020000,32.099998,25.698339,4802500
2012-08-26,32.209999,32.320000,31.620001,32.020000,25.634304,2007400
2012-09-02,31.990000,33.549999,31.780001,33.270000,26.635014,3457000
2012-09-09,32.630001,33.330002,31.879999,33.150002,26.538948,4448900
2012-09-16,32.689999,34.700001,31.930000,33.750000,27.229980,6110400
2012-09-23,34.919998,36.680000,34.189999,36.299999,29.287354,8642300
2012-09-30,36.230000,36.529999,35.389999,36.040001,29.077587,4264900
2012-10-07,35.540001,35.939999,35.090000,35.189999,28.391790,3654200
2012-10-14,35.459999,36.959999,34.500000,35.830002,28.908148,6486000
2012-10-21,35.830002,36.130001,34.849998,35.299999,28.480543,3151100
2012-10-28,35.549999,36.709999,35.020000,35.900002,28.964642,2642400
2012-11-04,35.880001,36.410000,34.950001,35.410000,28.569296,3345500
2012-11-11,35.480000,35.660000,33.889999,34.650002,27.956112,4523600
2012-11-18,34.820000,36.750000,34.820000,36.709999,29.618155,2047700
2012-11-25,36.590000,36.990002,36.009998,36.439999,29.400314,3333200
2012-12-02,36.689999,36.689999,35.459999,36.290001,29.279287,2940200
2012-12-09,36.220001,37.110001,36.209999,36.349998,29.327698,3093900
2012-12-16,36.320000,37.849998,36.200001,37.849998,30.745995,4021900
2012-12-23,37.770000,38.369999,37.450001,38.090000,30.940950,2372000
2012-12-30,38.009998,39.299999,37.880001,38.880001,31.582682,3392300
2013-01-06,38.630001,39.389999,38.049999,38.860001,31.566442,3939200
2013-01-13,38.799999,40.240002,38.779999,40.020000,32.508720,3808800
2013-01-20,38.770000,39.980000,37.860001,39.820000,32.346260,6612600
2013-01-27,39.810001,39.820000,38.360001,39.130001,31.785769,5037100
2013-02-03,39.070000,40.340000,38.900002,40.150002,32.614330,3434300
2013-02-10,40.299999,40.700001,39.680000,40.639999,33.012352,2178000
2013-02-17,40.759998,42.279999,38.910000,41.799999,33.954639,5539700
2013-02-24,42.299999,42.459999,41.099998,41.619999,33.808414,5984500
2013-03-03,41.650002,43.860001,41.570000,43.450001,35.294941,3500300
2013-03-10,43.459999,43.680000,42.230000,43.139999,35.043129,3574200
2013-03-17,42.200001,43.560001,42.200001,43.080002,35.249790,3828000
2013-03-24,42.599998,44.930000,42.430000,44.869999,36.714447,3018500
2013-03-31,44.820000,45.259998,42.779999,44.250000,36.207134,5527700
2013-04-07,44.230000,45.689999,44.230000,44.860001,36.706264,3757400
2013-04-14,44.570000,44.570000,42.360001,43.270000,35.405254,6051100
2013-04-21,43.259998,46.810001,42.639999,45.799999,37.475407,7136700
2013-04-28,46.000000,48.020000,45.799999,47.650002,38.989166,6419800
