Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,69.000000,71.999001,63.020000,66.650002,66.650002,14625400
2015-01-08,67.949997,69.690002,63.110001,64.589996,64.589996,6912500
2015-01-15,64.230003,70.800003,63.599998,68.839996,68.839996,5187500
2015-01-22,69.540001,78.050003,67.029999,75.500000,75.500000,8891000
2015-01-29,72.699997,75.879997,66.760002,68.330002,68.330002,11659800
2015-02-05,67.660004,68.730003,63.169998,64.750000,64.750000,6591100
2015-02-12,65.629997,70.269997,65.000000,67.540001,67.540001,5059900
2015-02-19,67.000000,69.349998,64.040001,67.209999,67.209999,6243300
2015-02-26,68.000000,73.250000,67.889999,72.019997,72.019997,7550600
2015-03-05,72.199997,75.449997,71.739998,72.949997,72.949997,6091500
2015-03-12,73.339996,80.800003,71.800003,79.959999,79.959999,7476300
2015-03-19,81.519997,85.627998,75.519997,77.129997,77.129997,14148700
2015-03-26,73.500000,81.400002,72.099998,78.800003,78.800003,10898300
2015-04-02,79.199997,79.199997,72.510002,72.839996,72.839996,7576500
2015-04-09,72.709999,75.930000,69.300003,70.910004,70.910004,8114900
2015-04-16,70.800003,74.540001,68.610001,74.480003,74.480003,5867600
2015-04-23,73.930000,73.949997,65.442001,68.650002,68.650002,7304800
2015-04-30,68.470001,70.500000,65.800003,69.059998,69.059998,8626200
2015-05-07,77.629997,78.000000,73.209999,74.959999,74.959999,10596300
2015-05-14,75.169998,81.989998,75.040001,81.150002,81.150002,8793500
2015-05-21,81.150002,86.750000,79.790001,86.400002,86.400002,9956100
2015-05-28,86.209999,86.330002,79.000000,81.550003,81.550003,11257700
2015-06-04,80.680000,83.849998,77.599998,82.500000,82.500000,14101400
2015-06-11,82.489998,85.070000,81.651001,84.559998,84.559998,38518200
2015-06-18,84.629997,88.349998,83.623001,84.589996,84.589996,11468000
2015-06-25,84.750000,85.860001,77.830002,80.360001,80.360001,28474400
2015-07-02,80.720001,81.934998,74.360001,74.680000,74.680000,9630600
2015-07-09,76.300003,79.099998,73.709999,77.879997,77.879997,7872000
2015-07-16,78.070000,80.790001,71.010002,74.169998,74.169998,9984100
2015-07-23,74.709999,77.220001,68.500000,70.470001,70.470001,9589700
2015-07-30,60.650002,62.348000,54.250000,54.830002,54.830002,28364400
2015-08-06,54.730000,57.599998,50.799999,56.959999,56.959999,12895500
2015-08-13,57.230000,59.680000,55.009998,55.590000,55.590000,10682300
2015-08-20,54.610001,55.355000,45.000000,52.750000,52.750000,15088800
2015-08-27,54.130001,56.279999,53.119999,54.820000,54.820000,10615900
2015-09-03,55.000000,59.450001,54.720001,56.549999,56.549999,7104500
2015-09-10,56.980000,57.160000,51.299999,51.740002,51.740002,9490600
2015-09-17,51.490002,52.660000,47.189999,48.060001,48.060001,9631700
2015-09-24,47.660000,49.150002,42.730000,45.049999,45.049999,10133400
2015-10-01,44.459999,45.860001,42.240002,45.549999,45.549999,8224200
2015-10-08,45.250000,46.970001,43.680000,46.500000,46.500000,7367800
2015-10-15,47.060001,48.900002,46.290001,48.500000,48.500000,6254300
2015-10-22,49.250000,51.625000,44.500000,45.169998,45.169998,8726500
2015-10-29,43.900002,47.049999,43.490002,46.570000,46.570000,8899500
2015-11-05,46.790001,55.830002,44.349998,52.200001,52.200001,13327600
2015-11-12,51.740002,56.964001,50.095001,56.340000,56.340000,11132200
