Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",42.79,43.40,38.95,43.24,43.24,"8,958,500"
"Apr 06, 2020",38.22,43.96,35.23,43.28,43.28,"11,119,700"
"Mar 30, 2020",39.19,41.96,35.38,37.97,37.97,"9,371,200"
"Mar 23, 2020",34.60,43.75,32.38,39.01,39.01,"9,824,300"
"Mar 16, 2020",41.84,45.11,34.38,35.00,35.00,"7,394,900"
"Mar 09, 2020",45.84,48.13,42.87,47.23,47.23,"9,157,400"
"Mar 02, 2020",50.71,51.81,46.11,49.06,49.06,"7,917,900"
"Feb 24, 2020",57.11,57.30,48.74,50.41,50.12,"7,454,400"
"Feb 17, 2020",59.91,59.93,58.44,59.21,58.87,"3,093,900"
"Feb 10, 2020",59.02,61.33,58.76,60.20,59.85,"2,545,500"
"Feb 03, 2020",58.38,61.35,58.15,59.23,58.89,"4,666,200"
"Jan 27, 2020",60.83,62.43,57.95,58.17,57.84,"6,082,800"
"Jan 20, 2020",63.00,63.18,61.33,61.95,61.59,"2,913,600"
"Jan 13, 2020",63.18,63.84,62.31,63.34,62.98,"5,555,100"
"Jan 06, 2020",62.77,63.74,62.48,63.08,62.72,"4,872,200"
"Dec 30, 2019",62.33,63.75,62.15,63.31,62.95,"3,930,100"
"Dec 23, 2019",62.32,62.86,61.83,62.44,62.08,"2,274,000"
"Dec 16, 2019",62.21,63.00,61.16,62.08,61.72,"6,669,800"
"Dec 09, 2019",59.28,62.43,59.18,61.64,61.29,"6,122,000"
"Dec 02, 2019",58.31,59.66,56.79,59.47,59.13,"5,527,500"
"Nov 25, 2019",57.94,58.87,57.77,58.20,57.87,"2,545,300"
"Nov 18, 2019",57.77,59.10,57.21,57.80,57.16,"3,884,900"
"Nov 11, 2019",57.37,58.45,57.04,58.19,57.55,"4,422,400"
"Nov 04, 2019",58.64,59.00,57.63,57.94,57.30,"5,036,200"
"Oct 28, 2019",58.55,59.65,56.86,58.71,58.06,"3,849,200"
"Oct 21, 2019",55.74,59.13,55.31,57.92,57.28,"5,836,000"
"Oct 14, 2019",53.90,55.79,53.90,55.09,54.48,"5,335,200"
"Oct 07, 2019",53.73,54.90,52.19,54.36,53.76,"5,594,600"
"Sep 30, 2019",54.90,56.80,52.10,54.09,53.49,"6,127,200"
"Sep 23, 2019",54.80,55.68,54.03,54.62,54.02,"4,324,400"
"Sep 16, 2019",56.42,57.14,54.49,55.08,54.47,"5,580,800"
"Sep 09, 2019",53.91,57.30,53.46,56.76,56.13,"6,081,600"
"Sep 02, 2019",53.10,54.50,51.90,53.41,52.82,"4,172,800"
"Aug 26, 2019",53.67,54.15,52.33,53.47,52.88,"3,739,400"
"Aug 19, 2019",55.91,56.12,52.89,53.08,52.20,"4,173,000"
"Aug 12, 2019",56.23,57.57,53.44,55.04,54.13,"4,010,700"
"Aug 05, 2019",56.55,57.84,54.72,56.77,55.83,"5,854,500"
"Jul 29, 2019",60.73,61.45,57.68,57.83,56.87,"5,504,100"
"Jul 22, 2019",57.82,63.97,57.33,61.11,60.10,"10,481,000"
"Jul 15, 2019",58.63,59.46,57.62,57.64,56.68,"7,588,700"
"Jul 08, 2019",57.67,59.11,56.64,58.59,57.62,"8,239,100"
"Jul 01, 2019",57.78,58.90,56.94,57.91,56.95,"9,855,600"
"Jun 24, 2019",56.21,57.37,55.23,57.01,56.06,"5,703,400"
"Jun 17, 2019",56.21,57.50,55.42,56.21,55.28,"6,550,600"
"Jun 10, 2019",54.24,56.75,54.24,56.25,55.32,"6,156,500"
"Jun 03, 2019",53.62,56.00,53.46,53.84,52.95,"7,854,000"
"May 27, 2019",56.33,56.53,53.48,53.66,52.77,"6,272,400"
"May 20, 2019",55.68,57.25,55.17,56.31,55.07,"4,890,000"
"May 13, 2019",56.29,56.86,55.37,56.00,54.77,"6,108,900"
"May 06, 2019",60.40,61.06,56.40,57.70,56.43,"6,516,100"
"Apr 29, 2019",62.23,62.59,60.43,61.57,60.22,"6,617,100"
"Apr 22, 2019",67.80,69.08,61.70,62.45,61.08,"10,116,100"
"Apr 15, 2019",67.16,68.27,66.57,68.15,66.65,"4,103,900"
"Apr 08, 2019",67.36,67.50,65.13,66.96,65.49,"4,480,100"
"Apr 01, 2019",65.85,67.99,65.55,67.45,65.97,"4,656,200"
"Mar 25, 2019",63.32,65.49,62.15,65.16,63.73,"4,712,900"
"Mar 18, 2019",65.94,67.32,63.71,63.73,62.33,"4,967,200"
"Mar 11, 2019",64.66,65.96,64.14,65.93,64.48,"6,937,800"
"Mar 04, 2019",68.54,68.54,63.73,64.68,63.26,"5,862,500"
"Feb 25, 2019",68.51,69.01,67.08,68.20,66.70,"4,374,500"
"Feb 18, 2019",66.89,68.28,66.59,68.26,66.45,"3,852,700"
"Feb 11, 2019",63.94,67.40,63.68,66.98,65.21,"4,353,200"
"Feb 04, 2019",63.63,64.42,62.34,63.40,61.72,"5,046,700"
"Jan 28, 2019",60.49,67.90,59.87,63.50,61.82,"9,135,900"
"Jan 21, 2019",60.50,61.43,58.68,60.99,59.37,"3,727,500"
"Jan 14, 2019",57.87,61.12,57.66,60.87,59.26,"4,619,400"
"Jan 07, 2019",55.91,58.91,55.16,58.38,56.83,"5,550,900"
"Dec 31, 2018",56.66,57.45,52.79,56.09,54.60,"5,004,700"
"Dec 24, 2018",53.72,57.20,52.83,56.40,54.91,"3,750,700"
"Dec 17, 2018",57.55,58.66,54.00,54.04,52.61,"7,147,800"
"Dec 10, 2018",58.47,60.85,56.72,57.76,56.23,"4,777,900"
"Dec 03, 2018",62.83,63.21,58.07,58.26,56.72,"5,244,600"
"Nov 26, 2018",59.62,62.76,59.50,61.83,60.19,"5,547,400"
"Nov 19, 2018",61.12,61.69,58.15,58.80,56.97,"5,692,500"
"Nov 12, 2018",62.87,64.34,61.52,62.99,61.03,"5,746,100"
"Nov 05, 2018",61.99,65.34,60.42,62.84,60.88,"7,055,100"
"Oct 29, 2018",59.50,63.05,57.88,62.29,60.35,"7,819,700"
"Oct 22, 2018",62.08,64.52,57.32,58.53,56.71,"14,555,300"
"Oct 15, 2018",63.59,65.58,61.50,61.72,59.80,"8,796,900"
"Oct 08, 2018",67.90,68.36,63.16,63.88,61.89,"7,526,200"
"Oct 01, 2018",70.89,71.28,67.93,68.20,66.08,"6,464,400"
"Sep 24, 2018",70.57,71.89,69.50,70.38,68.19,"6,077,100"
"Sep 17, 2018",71.82,73.28,69.67,70.78,68.58,"7,153,700"
"Sep 10, 2018",72.41,73.08,70.92,71.70,69.47,"7,041,600"
"Sep 03, 2018",78.05,79.11,72.22,72.41,70.16,"7,098,600"
"Aug 27, 2018",77.76,78.88,77.53,78.18,75.75,"4,102,700"
"Aug 20, 2018",77.01,78.05,76.65,77.56,74.87,"4,764,400"
"Aug 13, 2018",79.32,79.57,76.86,76.96,74.29,"6,537,200"
"Aug 06, 2018",77.20,79.91,76.89,79.32,76.57,"4,667,700"
"Jul 30, 2018",75.43,77.80,75.08,77.23,74.56,"6,147,300"
"Jul 23, 2018",68.40,76.59,68.21,75.43,72.82,"9,258,700"
"Jul 16, 2018",67.50,69.13,65.70,68.45,66.08,"5,178,800"
"Jul 09, 2018",66.22,67.66,65.93,67.50,65.16,"4,161,800"
