Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,10.071111,10.146667,9.604445,9.755555,8.067023,2272000
2012-01-08,9.795555,9.826667,9.626667,9.773334,8.081725,2257000
2012-01-15,9.871111,10.124444,9.782222,10.044444,8.305908,1542600
2012-01-22,10.013333,10.240000,9.533334,9.671111,7.997195,2811900
2012-01-29,9.560000,9.977777,9.440000,9.844444,8.140527,3016700
2012-02-05,9.768888,9.848889,9.240000,9.266666,7.662753,1869300
2012-02-12,9.386666,9.493333,9.160000,9.200000,7.671554,2472200
2012-02-19,9.235556,9.404445,8.951111,9.320000,7.771619,2625800
2012-02-26,9.213333,9.306666,8.617778,8.648889,7.212002,3849900
2012-03-04,8.644444,9.400000,8.577778,9.320000,7.771619,4069600
2012-03-11,9.333333,9.475555,9.222222,9.297778,7.753088,3210700
2012-03-18,9.217778,9.417778,9.057777,9.306666,7.760499,2098700
2012-03-25,9.408889,9.528889,9.244445,9.457778,7.886505,2480700
2012-04-01,9.444445,9.457778,9.075556,9.200000,7.671554,2321300
2012-04-08,9.035556,9.262222,8.902223,9.088889,7.578901,3281800
2012-04-15,9.128889,9.373333,8.986667,9.257778,7.719733,3204800
2012-04-22,9.142222,9.608889,8.937778,9.577778,7.986569,3646800
2012-04-29,9.546667,9.680000,9.315556,9.368889,7.812388,4161300
2012-05-06,9.315556,9.537778,9.226666,9.435555,7.867977,3074300
2012-05-13,9.324445,9.560000,9.217778,9.248889,7.778646,4232400
2012-05-20,9.244445,9.586667,9.195556,9.413333,7.916953,3250200
2012-05-27,9.502222,9.595555,9.173333,9.200000,7.737529,3025500
2012-06-03,9.257778,9.697778,9.204445,9.493333,7.984232,3727600
2012-06-10,9.591111,9.782222,9.386666,9.675555,8.137488,4585600
2012-06-17,9.595555,9.933333,9.386666,9.466666,7.961806,15587300
2012-06-24,9.360000,9.991111,9.337778,9.942223,8.361767,3407600
2012-07-01,9.906667,10.080000,9.813334,9.982223,8.395407,1727400
2012-07-08,9.951111,10.222222,9.862223,10.213333,8.589778,2324600
2012-07-15,10.164444,10.431111,10.128889,10.222222,8.597255,1938900
2012-07-22,10.080000,10.640000,9.968889,10.560000,8.881342,2014200
2012-07-29,10.555555,10.742222,10.288889,10.617778,8.929930,1880400
2012-08-05,10.657778,10.671111,10.404445,10.573334,8.892554,1546400
2012-08-12,10.528889,10.666667,10.408889,10.648889,9.023975,1618600
2012-08-19,10.591111,10.644444,10.302222,10.400000,8.813066,1665600
2012-08-26,10.426666,10.533334,10.253333,10.346666,8.767870,1599800
2012-09-02,10.395555,10.848889,10.253333,10.795555,9.148261,1916900
2012-09-09,10.795555,10.826667,10.511111,10.720000,9.084238,1469300
2012-09-16,10.662222,10.693334,10.488889,10.515555,8.910988,2695300
2012-09-23,10.488889,10.631111,10.311111,10.395555,8.809298,1983300
2012-09-30,10.395555,10.466666,10.035556,10.346666,8.767870,2626400
2012-10-07,10.324445,10.355556,10.080000,10.146667,8.598388,1275800
2012-10-14,10.133333,10.280000,9.955556,10.062222,8.526829,1753800
2012-10-21,10.066667,10.155556,9.560000,9.986667,8.462798,2477900
2012-10-28,9.982223,10.577778,9.906667,10.400000,8.813066,2053800
2012-11-04,10.373333,10.440000,9.968889,9.995556,8.470333,2320600
2012-11-11,10.075556,10.133333,9.520000,9.631111,8.224793,2307100
2012-11-18,9.702222,9.977777,9.635555,9.951111,8.498072,1217300
2012-11-25,9.937778,10.128889,9.871111,10.120000,8.642298,1949000
2012-12-02,10.155556,10.155556,9.813334,9.955556,8.501866,2244200
2012-12-09,9.937778,10.128889,9.826667,9.862223,8.422163,1700300
2012-12-16,9.880000,10.080000,9.768888,9.831111,8.395590,2298500
2012-12-23,9.848889,9.991111,9.591111,9.608889,8.205820,1625100
2012-12-30,9.582222,10.315556,9.573334,10.244445,8.748571,1756100
2013-01-06,10.217778,10.520000,10.182222,10.466666,8.938344,2486100
2013-01-13,10.466666,10.720000,10.351111,10.613334,9.063598,2283000
2013-01-20,10.573334,11.142222,10.515555,11.053333,9.439349,2443900
2013-01-27,11.044444,11.155556,10.862223,11.044444,9.431757,4677500
2013-02-03,10.991111,11.191112,10.982223,11.106667,9.484893,2012600
2013-02-10,11.128889,11.266666,11.008889,11.222222,9.661713,1779800
2013-02-17,11.226666,11.382222,10.840000,11.008889,9.478044,2479300
2013-02-24,11.053333,11.071111,10.600000,10.791111,9.290545,2390700
2013-03-03,10.760000,10.942223,10.595555,10.911111,9.393863,2329900
2013-03-10,10.875556,10.933333,10.711111,10.808888,9.305854,2042500
2013-03-17,10.675555,10.911111,10.644444,10.755555,9.259935,1692600
2013-03-24,10.808888,10.928889,10.720000,10.911111,9.393863,1578100
2013-03-31,10.857778,10.986667,10.177778,10.275556,8.846683,2152300
2013-04-07,10.302222,10.520000,10.217778,10.471111,9.015049,1556500
2013-04-14,10.435555,10.435555,9.982223,10.226666,8.804591,1670100
2013-04-21,10.200000,10.648889,10.111111,10.497778,9.038003,1583700
2013-04-28,10.542222,10.911111,10.511111,10.853333,9.344117,1712800
2013-05-05,10.857778,10.888889,10.644444,10.808888,9.305854,1283900
2013-05-12,10.795555,11.057777,10.626667,10.862223,9.429838,1031500
2013-05-19,10.813334,10.946667,10.631111,10.773334,9.352671,1173800
2013-05-26,10.902223,11.315556,10.764444,11.226666,9.746223,1114900
