Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",64.23,66.50,60.09,66.07,66.07,"76,821,300"
"Apr 06, 2020",54.48,68.10,52.64,64.71,64.71,"107,170,200"
"Mar 30, 2020",60.47,62.78,48.05,49.93,49.93,"75,430,600"
"Mar 23, 2020",50.35,66.07,45.50,61.14,61.14,"97,797,600"
"Mar 16, 2020",60.01,62.39,43.44,51.94,51.94,"129,496,400"
"Mar 09, 2020",72.64,75.83,58.40,66.33,66.33,"102,193,200"
"Mar 02, 2020",82.76,88.01,75.52,79.60,79.60,"65,171,500"
"Feb 24, 2020",92.76,93.25,79.19,82.18,82.18,"71,495,800"
"Feb 17, 2020","2,200.30","2,200.30",93.10,95.36,95.36,"22,071,000"
"Feb 10, 2020",99.19,99.71,96.02,96.58,96.12,"35,760,300"
"Feb 03, 2020",95.07,99.35,94.27,98.70,98.23,"33,165,600"
"Jan 27, 2020",95.02,97.17,93.17,94.52,94.08,"36,336,900"
"Jan 20, 2020",96.83,97.87,95.90,96.41,95.95,"25,592,700"
"Jan 13, 2020",95.67,97.88,95.10,97.17,96.71,"27,871,500"
"Jan 06, 2020",96.57,97.26,95.30,95.57,95.12,"21,538,400"
"Dec 30, 2019",94.68,97.33,93.83,96.51,96.05,"15,323,100"
"Dec 23, 2019",94.37,95.07,94.05,94.58,94.13,"11,117,500"
"Dec 16, 2019",94.23,94.97,92.63,94.08,93.63,"28,966,500"
"Dec 09, 2019",92.45,94.49,91.47,93.81,93.37,"18,343,900"
"Dec 02, 2019",93.39,93.52,89.86,92.50,92.07,"24,754,300"
"Nov 25, 2019",93.49,93.80,92.64,93.35,92.91,"13,518,000"
"Nov 18, 2019",93.84,94.18,91.94,92.95,92.51,"19,163,700"
"Nov 11, 2019",93.14,94.28,92.78,94.00,93.09,"13,748,300"
"Nov 04, 2019",92.82,93.99,92.13,93.69,92.79,"25,401,000"
"Oct 28, 2019",90.16,92.38,89.19,92.31,91.42,"24,757,500"
"Oct 21, 2019",86.95,90.75,86.68,89.97,89.10,"21,478,800"
"Oct 14, 2019",85.59,87.31,85.17,86.09,85.26,"12,245,400"
"Oct 07, 2019",83.57,86.34,82.03,85.68,84.85,"11,993,400"
"Sep 30, 2019",86.31,86.65,80.95,83.83,83.02,"22,412,700"
"Sep 23, 2019",84.59,87.03,84.39,85.83,85.00,"19,676,300"
"Sep 16, 2019",87.49,87.49,85.31,85.32,84.49,"21,418,000"
"Sep 09, 2019",84.74,87.73,83.59,86.88,86.04,"22,398,600"
"Sep 02, 2019","1,925.30","1,925.30",80.33,84.13,83.32,"15,220,300"
