Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 13, 2020",482.31,518.06,472.88,516.75,516.75,"3,585,100"
"Apr 06, 2020",442.79,518.17,438.11,492.15,492.15,"3,198,000"
"Mar 30, 2020",471.65,486.48,412.01,420.03,420.03,"4,946,600"
"Mar 23, 2020",410.82,474.83,390.77,459.66,459.66,"4,644,100"
"Mar 16, 2020",449.00,457.03,325.43,412.70,412.70,"7,562,800"
"Mar 09, 2020",501.35,546.46,462.87,499.33,499.33,"5,661,500"
"Mar 02, 2020",522.02,574.86,513.02,541.00,541.00,"3,563,800"
"Feb 24, 2020",561.36,571.97,497.67,516.75,515.43,"4,274,900"
"Feb 17, 2020",583.12,592.39,572.39,573.34,571.88,"1,629,900"
"Feb 10, 2020",571.11,585.45,568.86,585.45,583.96,"1,868,800"
"Feb 03, 2020",559.32,589.99,557.86,572.55,571.09,"3,523,400"
"Jan 27, 2020",587.89,598.00,551.20,556.99,555.57,"3,418,600"
"Jan 20, 2020",594.45,599.95,589.45,594.84,593.32,"1,795,800"
"Jan 13, 2020",567.47,595.07,566.33,594.47,592.95,"2,738,500"
"Jan 06, 2020",562.23,573.14,559.39,567.09,565.64,"2,954,600"
"Dec 30, 2019",578.25,585.12,564.29,564.45,563.01,"1,714,900"
"Dec 23, 2019",581.91,585.06,577.26,581.69,580.21,"656,700"
"Dec 16, 2019",574.29,582.61,570.24,580.98,579.50,"2,288,100"
"Dec 09, 2019",577.85,580.53,570.17,572.23,570.77,"1,780,200"
"Dec 02, 2019",580.57,583.00,567.55,578.54,577.06,"1,949,600"
"Nov 25, 2019",577.74,587.42,576.33,583.13,581.64,"1,690,100"
"Nov 18, 2019",581.01,591.70,566.62,574.83,573.36,"3,183,800"
"Nov 11, 2019",578.45,597.00,577.67,592.77,590.13,"1,799,400"
"Nov 04, 2019",584.28,584.53,558.75,581.35,578.76,"2,937,200"
"Oct 28, 2019",575.03,589.00,571.58,579.64,577.05,"2,982,100"
"Oct 21, 2019",561.55,580.00,546.17,574.93,572.36,"3,407,900"
"Oct 14, 2019",551.15,567.00,549.19,560.86,558.36,"1,975,500"
"Oct 07, 2019",547.62,564.44,541.62,550.01,547.56,"2,231,600"
"Sep 30, 2019",545.92,553.11,534.81,548.84,546.39,"2,032,300"
"Sep 23, 2019",548.10,552.10,538.27,544.28,541.85,"2,126,600"
"Sep 16, 2019",536.01,554.08,527.37,550.54,548.08,"2,413,600"
"Sep 09, 2019",534.15,548.98,513.89,541.52,539.10,"2,479,000"
